# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 20:29:10 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c263710067.json
# init = /tmp/RtmpC8O1hA/init-b41c25c922072_1.json
# random
#   seed = 1252003
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0112_rep012_accurate_moderate/prior_sensitivity_obspair_FAST-202605292129-1-5884e3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0112_rep012_accurate_moderate/prior_sensitivity_obspair_FAST-profile-202605292129-1-1ba25a.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0738711
# Diagonal elements of inverse mass matrix:
# 0.0668853, 0.0463398, 0.0417692, 0.0132062, 0.0315049, 0.0316655, 0.0504853
-529.959,0.999888,0.0738711,6,63,0,531.847,-1.75574,-1.58034,-1.61947,-0.0560387,4.40925,0.157548,-0.721544,5.04669,2.05883,5.62856e-06,9.03388e-06,1.4501e-05,2.32783e-05,3.73663e-05,5.99577e-05,9.61058e-05,0.000153688,0.000244687,0.000386708,0.000604552,0.000931618,0.00141095,0.00209577,0.00304921,0.00434304,0.00605495,0.00826415,0.0110454,0.0144617,0.0185569,0.0232667,0.0284796,0.0340357,0.039729,0.0453126,0.0505069,0.055012,0.0585244,0.0607642,0.0615155,0.0606772,0.0583061,0.0546203,0.0499504,0.0446632,0.0391002,0.0335461,0.0282223,0.0232896,0.0188554,0.01498,0.0116832,0.00895071,0.00674218,0.00499913,0.00365364,0.00263587,0.00187981,0.00132707,0.000928568,0.000644693,0.000444562,0.000304727,0.000207775,0.000141006,9.5292e-05,6.41557e-05,4.30454e-05,2.8791e-05,1.92012e-05,-0,-0,-0,-0,-0,-0,-0,-8.78059,-0,-0,-0,-13.9572,-0,-6.16783,-0,-0,-10.2138,-4.79583,-4.50574,-16.945,-15.9477,-11.2822,-21.3514,-20.2821,-16.1284,-34.0359,-41.799,-40.6028,-17.0299,-30.8083,-52.9809,-42.0328,-19.8943,-20.3515,-38.9574,-24.8688,-19.4498,-33.9483,-21.4059,-11.2792,-7.94191,-8.40208,-13.3488,-4.71602,-14.9981,-5.29849,-0,-0,-0,-0,-0,-7.34674,-0,-0,-0,-8.86671,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,2,3,4,4,8,3,11,14,7,16,17,5,11,5,17,10,7,11,8,4,8,7,6,4,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-531.745,0.998633,0.0738711,5,31,0,532.904,-1.40144,-1.19013,-1.88347,-0.121894,4.66585,0.274848,-0.696089,5.03284,2.16049,7.02667e-06,1.09559e-05,1.70942e-05,2.66971e-05,4.17444e-05,6.536e-05,0.000102451,0.000160617,0.000251326,0.000391208,0.000603326,0.000918316,0.00137542,0.00202343,0.00292141,0.00413915,0.00575699,0.007865,0.0105614,0.0139506,0.0181408,0.0230062,0.0283947,0.0341257,0.039989,0.0457451,0.0511255,0.0558364,0.0595662,0.0620039,0.0628769,0.0620139,0.0594224,0.055334,0.0501627,0.0443879,0.0384413,0.0326521,0.027242,0.0223442,0.0180258,0.0143069,0.0111743,0.00859208,0.00650802,0.00486041,0.00358325,0.00261117,0.00188341,0.00134642,0.000955141,0.000673076,0.000471584,0.000328758,0.000228184,0.000157763,0.000108697,7.46569e-05,5.11306e-05,3.49254e-05,2.37964e-05,-0,-0,-0,-0,-0,-0,-0,-8.73649,-0,-0,-0,-13.9859,-0,-6.20296,-0,-0,-10.3147,-4.84533,-4.55055,-17.0889,-16.0384,-11.316,-21.3693,-20.2662,-16.0958,-33.9314,-41.6286,-40.3946,-16.924,-30.5861,-52.565,-41.7059,-19.7616,-20.2606,-38.9023,-24.9183,-19.5517,-34.2185,-21.618,-11.4036,-8.0319,-8.49403,-13.4824,-4.75691,-15.1042,-5.32663,-0,-0,-0,-0,-0,-7.30365,-0,-0,-0,-8.75442,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,3,1,3,0,5,8,7,1,11,6,8,9,10,14,13,7,17,15,6,4,12,6,7,6,4,3,3,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-530.555,0.999297,0.0738711,5,31,0,533.625,-1.61281,-1.44434,-1.92308,-0.138911,4.45227,0.274946,-0.831264,5.05467,2.15222,9.40602e-06,1.45501e-05,2.25184e-05,3.48728e-05,5.4048e-05,8.3837e-05,0.000130121,0.0002019,0.0003126,0.000481479,0.000734846,0.00110692,0.00164029,0.00238597,0.00340301,0.00475731,0.00651962,0.00876228,0.0115549,0.0149591,0.0190237,0.0236575,0.0287339,0.0340911,0.0395345,0.0448406,0.0497617,0.0540324,0.0573795,0.0595413,0.060301,0.0595382,0.0572836,0.0537389,0.0492317,0.0441298,0.0387705,0.0334271,0.0283048,0.0235489,0.0192543,0.0154746,0.0122293,0.00950877,0.00728077,0.00549618,0.00409601,0.00301784,0.00220131,0.00159176,0.00114233,0.000814437,0.000577347,0.000407226,0.000285961,0.000200014,0.000139402,9.6846e-05,6.70831e-05,4.63404e-05,3.19295e-05,-0,-0,-0,-0,-0,-0,-0,-8.50774,-0,-0,-0,-13.6123,-0,-6.03815,-0,-0,-10.0659,-4.7373,-4.46065,-16.8098,-15.8483,-11.2322,-21.2981,-20.2723,-16.1529,-34.1511,-42.0071,-40.8544,-17.1484,-31.0319,-53.3597,-42.3171,-20.0182,-20.4653,-39.1458,-24.965,-19.5006,-33.9839,-21.3883,-11.246,-7.90005,-8.33711,-13.2118,-4.65554,-14.7676,-5.2037,-0,-0,-0,-0,-0,-7.11301,-0,-0,-0,-8.51712,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,3,3,3,8,12,7,12,7,10,5,15,6,12,17,16,14,17,4,1,6,2,3,2,1,3,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
-527.99,0.994425,0.0738711,5,31,0,533.958,-1.4508,-1.29005,-1.45686,-0.263536,4.32969,-0.0131413,-1.13339,5.0996,2.23676,1.12919e-05,1.66123e-05,2.44576e-05,3.60432e-05,5.31841e-05,7.86011e-05,0.000116382,0.000172671,0.000256659,0.000381939,0.000568224,0.000843333,0.00124522,0.00182371,0.00264169,0.00377513,0.00531175,0.00734789,0.00998334,0.0133142,0.0174244,0.0222637,0.0277262,0.0336437,0.0397841,0.0458551,0.0515158,0.0563975,0.0601359,0.0624157,0.0630237,0.0618985,0.0591548,0.0550653,0.050003,0.0443701,0.0385387,0.0328168,0.0274344,0.0225455,0.0182356,0.0145348,0.0114304,0.00888009,0.00682365,0.00519265,0.00391773,0.00293372,0.00218251,0.00161442,0.00118828,0.000870829,0.000635749,0.000462561,0.000335537,0.000242734,0.000175163,0.000126113,9.06009e-05,6.4952e-05,4.64658e-05,-0,-0,-0,-0,-0,-0,-0,-8.66412,-0,-0,-0,-14.1563,-0,-6.30688,-0,-0,-10.4757,-4.91334,-4.60684,-17.2757,-16.1995,-11.4144,-21.5123,-20.3516,-16.1214,-33.905,-41.5221,-40.2546,-16.8669,-30.5133,-52.5206,-41.7339,-19.7932,-20.2946,-38.9437,-24.9215,-19.5365,-34.1682,-21.5757,-11.3767,-8.00876,-8.46241,-13.4144,-4.72394,-14.9621,-5.26051,-0,-0,-0,-0,-0,-7.04606,-0,-0,-0,-8.32354,-0,-0,-0,-0,-0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,1,3,4,0,2,2,3,6,5,2,6,14,19,10,15,10,16,16,13,6,6,7,4,8,6,2,3,1,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-529.019,0.988023,0.0738711,6,63,0,530.522,-1.39076,-1.2014,-1.35681,-0.247144,4.3409,0.0449101,-1.04701,4.98144,2.16679,7.58096e-06,1.12263e-05,1.66391e-05,2.46919e-05,3.67031e-05,5.46778e-05,8.1687e-05,0.000122461,0.000184305,0.000278451,0.000421945,0.000640053,0.000969053,0.00145907,0.00217655,0.00320569,0.00464833,0.00662151,0.00925226,0.0126693,0.0169917,0.0221804,0.0281271,0.0346447,0.0414622,0.0482285,0.0545262,0.0598994,0.063898,0.06614,0.0663861,0.0646053,0.0609978,0.0559545,0.0499657,0.0435249,0.0370599,0.0309004,0.0252717,0.0203044,0.0160504,0.0125018,0.00960972,0.00730044,0.00548936,0.00409094,0.0030255,0.00222292,0.00162413,0.00118096,0.000855194,0.000617083,0.000443883,0.00031842,0.000227858,0.000162691,0.000115924,8.24433e-05,5.85237e-05,4.1467e-05,2.9324e-05,-0,-0,-0,-0,-0,-0,-0,-9.00772,-0,-0,-0,-14.7079,-0,-6.52995,-0,-0,-10.7425,-5.01743,-4.68289,-17.4743,-16.3001,-11.4256,-21.4261,-20.1757,-15.9149,-33.3499,-40.727,-39.4112,-16.5028,-29.8758,-51.5331,-41.0919,-19.5784,-20.1825,-38.9534,-25.0754,-19.7713,-34.7699,-22.0684,-11.6907,-8.26404,-8.76376,-13.9349,-4.91982,-15.6148,-5.49898,-0,-0,-0,-0,-0,-7.39051,-0,-0,-0,-8.72366,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,4,2,2,3,8,6,14,6,14,4,9,11,15,9,9,14,14,10,8,4,10,7,0,1,2,3,2,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-527.473,0.998233,0.0738711,5,63,0,532.09,-2.21117,-2.48015,-1.0566,-0.429634,3.43181,0.0305688,-1.15847,5.09831,2.3487,4.36315e-05,6.04378e-05,8.37305e-05,0.000116023,0.00016081,0.000222949,0.000309203,0.000428967,0.000595265,0.000826038,0.00114571,0.00158691,0.00219199,0.00301382,0.00411527,0.00556678,0.00744154,0.00980808,0.0127207,0.0162084,0.0202643,0.024823,0.0297643,0.0349129,0.0400453,0.0449029,0.049211,0.052705,0.0551609,0.0564254,0.0564374,0.0552325,0.0529304,0.0497139,0.0458046,0.0414395,0.0368502,0.0322452,0.0277977,0.0236381,0.0198532,0.0164894,0.0135599,0.0110528,0.0089389,0.00717932,0.00573073,0.00454946,0.00359408,0.00282691,0.00221473,0.00172892,0.00134529,0.00104366,0.000807434,0.000623085,0.000479679,0.000368446,0.000282398,0.000215994,0.000164865,-0,-0,-0,-0,-0,-0,-0,-7.75413,-0,-0,-0,-12.8919,-0,-5.80455,-0,-0,-9.80136,-4.62455,-4.36452,-16.4889,-15.5956,-11.088,-21.0867,-20.1294,-16.0887,-34.1358,-42.1629,-41.2026,-17.385,-31.6232,-54.6178,-43.443,-20.5714,-21.0103,-40.0838,-25.4682,-19.8054,-34.3438,-21.4968,-11.2347,-7.83878,-8.21008,-12.9019,-4.50507,-14.152,-4.93655,-0,-0,-0,-0,-0,-6.36026,-0,-0,-0,-7.38083,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,4,5,5,1,4,6,7,13,7,17,6,15,12,5,7,12,10,7,9,6,9,4,1,6,4,3,1,3,0,2,0,1,2,0,0,1,2,0,0,0,0,0,0,0
