# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 20:29:10 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c263710067.json
# init = /tmp/RtmpC8O1hA/init-b41c25c922072_4.json
# random
#   seed = 1252003
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0112_rep012_accurate_moderate/prior_sensitivity_obspair_FAST-202605292129-4-5884e3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0112_rep012_accurate_moderate/prior_sensitivity_obspair_FAST-profile-202605292129-4-1ba25a.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.107713
# Diagonal elements of inverse mass matrix:
# 0.0723291, 0.0632373, 0.0376767, 0.0113558, 0.0360228, 0.0253821, 0.0365134
-528.959,0.997039,0.107713,5,31,0,531.73,-1.2731,-2.55992,-1.03283,-0.234333,3.85113,-0.0616116,-1.01121,4.58902,2.06079,2.30658e-05,3.42578e-05,5.0878e-05,7.55527e-05,0.000112169,0.000166461,0.000246845,0.000365572,0.000540235,0.00079561,0.00116561,0.00169497,0.00244,0.00346781,0.00485336,0.00667413,0.00900223,0.0118946,0.0153824,0.01946,0.0240781,0.0291193,0.0344127,0.0397402,0.0448495,0.0494718,0.0533432,0.0562283,0.0579455,0.0583879,0.0575388,0.0554732,0.0523458,0.0483691,0.0437877,0.0388546,0.033811,0.02887,0.0242051,0.0199432,0.0161635,0.0129005,0.0101515,0.00788598,0.00605523,0.00460139,0.00346444,0.00258715,0.0019181,0.00141303,0.0010351,0.000754473,0.000547492,0.000395724,0.000285012,0.000204617,0.000146473,0.000104572,7.44738e-05,5.29163e-05,3.75164e-05,-0,-0,-0,-0,-0,-0,-0,-7.91405,-0,-0,-0,-12.7602,-0,-5.66423,-0,-0,-9.42057,-4.43167,-4.17453,-15.7576,-14.9058,-10.6091,-20.216,-19.3524,-15.5222,-33.0699,-41.0341,-40.2967,-17.0895,-31.2471,-54.2506,-43.3778,-20.6492,-21.2023,-40.6692,-25.9834,-20.3218,-35.4495,-22.3272,-11.7446,-8.25,-8.70099,-13.7704,-4.84267,-15.3205,-5.3814,-0,-0,-0,-0,-0,-7.18949,-0,-0,-0,-8.49437,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,1,4,5,4,5,8,5,7,10,9,6,12,11,11,7,12,11,17,4,9,13,6,1,3,2,5,2,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-528.554,0.999818,0.107713,5,63,0,530.328,-2.45942,-2.01505,-1.03584,-0.340469,3.44841,0.426222,-1.50987,4.83297,2.11482,1.68275e-05,2.40281e-05,3.43172e-05,4.90266e-05,7.00704e-05,0.000100207,0.000143424,0.000205519,0.000294963,0.000424218,0.000611688,0.000884503,0.00128208,0.00185992,0.00269272,0.00387568,0.00552284,0.00776054,0.0107144,0.0144887,0.0191407,0.024636,0.0308392,0.0375071,0.0442968,0.0507879,0.056515,0.0610146,0.0638935,0.0649105,0.0640287,0.0614033,0.0573287,0.0521809,0.0463685,0.040289,0.0342919,0.0286507,0.0235491,0.019084,0.0152795,0.0121083,0.00951168,0.0074162,0.00574517,0.00442572,0.0033925,0.00258911,0.00196823,0.00149095,0.00112578,0.000847549,0.000636362,0.000476605,0.000356127,0.000265526,0.000197568,0.000146715,0.000108744,8.04485e-05,5.94025e-05,-0,-0,-0,-0,-0,-0,-0,-8.48997,-0,-0,-0,-14.061,-0,-6.28722,-0,-0,-10.3977,-4.8587,-4.53617,-16.9375,-15.8238,-11.1106,-20.8738,-19.6993,-15.5842,-32.7811,-40.2255,-39.153,-16.5032,-30.0822,-52.2201,-41.8544,-20.0127,-20.6713,-39.9248,-25.6934,-20.2371,-35.5258,-22.492,-11.8767,-8.36248,-8.82773,-13.9657,-4.90409,-15.4782,-5.42032,-0,-0,-0,-0,-0,-7.07316,-0,-0,-0,-8.2338,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,3,1,5,4,8,15,14,12,13,13,6,10,9,8,16,7,10,8,8,6,4,1,4,2,4,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
-527.105,0.999572,0.107713,5,31,0,531.295,-2.07386,-1.32753,-1.43572,-0.539908,3.39786,0.362896,-0.754703,5.05473,2.49175,3.7351e-05,5.00721e-05,6.71648e-05,9.01623e-05,0.00012116,0.000163043,0.000219814,0.000297088,0.00040284,0.000548535,0.000750832,0.00103397,0.00143277,0.00199584,0.00278826,0.00389312,0.00541136,0.00745906,0.0101615,0.0136437,0.0180172,0.0232429,0.0292013,0.0356791,0.0423622,0.0488398,0.0546254,0.0592069,0.0621383,0.0631561,0.0622541,0.0596597,0.0557409,0.0509121,0.0455704,0.0400614,0.034662,0.0295752,0.0249324,0.0208029,0.0172061,0.0141263,0.0115254,0.00935346,0.00755615,0.00608003,0.0048753,0.00389726,0.00310685,0.00247059,0.00196018,0.00155199,0.00122644,0.000967445,0.00076185,0.000598973,0.000470171,0.000368479,0.000288306,0.000225177,0.000175522,-0,-0,-0,-0,-0,-0,-0,-8.12148,-0,-0,-0,-13.7487,-0,-6.21669,-0,-0,-10.4385,-4.89833,-4.58914,-17.1779,-16.0657,-11.2853,-21.2012,-19.9991,-15.8075,-33.2113,-40.7016,-39.574,-16.6704,-30.3836,-52.7541,-42.2865,-20.2093,-20.8436,-40.1505,-25.7387,-20.1727,-35.2082,-22.1495,-11.618,-8.12498,-8.51943,-13.3896,-4.67201,-14.6562,-5.10274,-0,-0,-0,-0,-0,-6.46822,-0,-0,-0,-7.42029,-0,-0,-0,-0,-0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,3,0,4,7,2,5,1,7,10,9,14,8,12,13,9,11,18,10,5,8,9,6,6,4,1,6,1,2,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
-527.02,0.988775,0.107713,5,31,0,530.705,-2.16668,-1.46601,-1.3905,-0.531997,3.41706,0.352516,-0.73877,5.09436,2.48404,3.96815e-05,5.33079e-05,7.16499e-05,9.63687e-05,0.000129734,0.000174866,0.000236084,0.000319427,0.000433421,0.000590238,0.00080738,0.00111001,0.00153377,0.00212767,0.00295625,0.00410054,0.00565696,0.00773368,0.0104435,0.0138933,0.0181701,0.0232375,0.028982,0.0352017,0.0416031,0.0478064,0.053366,0.0578159,0.0607475,0.061909,0.0612713,0.0590142,0.0554512,0.0509509,0.0458805,0.0405711,0.0352987,0.0302742,0.0256418,0.0214851,0.0178369,0.0146923,0.0120215,0.00978011,0.00791757,0.00638236,0.00512553,0.0041025,0.00327389,0.00260561,0.00206867,0.00163869,0.00129539,0.00102204,0.000804899,0.000632795,0.000496654,0.000389153,0.000304402,0.000237683,0.000185226,-0,-0,-0,-0,-0,-0,-0,-8.04898,-0,-0,-0,-13.6068,-0,-6.15273,-0,-0,-10.3497,-4.86217,-4.56177,-17.1054,-16.0319,-11.286,-21.2465,-20.08,-15.8979,-33.4466,-41.0281,-39.9069,-16.8062,-30.603,-53.0564,-42.4497,-20.2458,-20.8382,-40.0623,-25.6376,-20.0634,-34.9746,-21.9812,-11.5212,-8.05297,-8.44086,-13.2632,-4.6274,-14.516,-5.05422,-0,-0,-0,-0,-0,-6.41386,-0,-0,-0,-7.36536,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,1,3,7,3,6,6,7,13,9,10,14,5,13,10,11,12,11,6,6,9,7,5,3,3,2,3,3,0,0,1,0,1,0,1,0,1,0,1,0,0,0,2,0
-528.726,0.993011,0.107713,5,47,0,531.932,-3.15331,-1.68751,-1.13042,-0.428855,2.64236,0.0215805,-1.38472,4.86143,2.39167,3.39525e-05,4.70482e-05,6.52087e-05,9.04044e-05,0.000125382,0.000173977,0.000241558,0.000335654,0.000466851,0.000650043,0.000906157,0.00126443,0.00176517,0.00246265,0.00342745,0.00474697,0.00652304,0.00886552,0.0118815,0.0156604,0.0202571,0.025618,0.031597,0.0379451,0.044312,0.0502679,0.0553511,0.0591378,0.0613211,0.0617674,0.0605287,0.0578114,0.0539232,0.0492172,0.044044,0.0387175,0.033494,0.0285636,0.0240515,0.0200258,0.0165095,0.0134921,0.0109413,0.00881237,0.00705468,0.00561703,0.00445066,0.00351107,0.00275886,0.00215999,0.00168553,0.00131131,0.00101732,0.000787189,0.000607643,0.000467981,0.000359641,0.000275807,0.000211085,0.000161222,0.000122881,-0,-0,-0,-0,-0,-0,-0,-7.99943,-0,-0,-0,-13.3463,-0,-6.00652,-0,-0,-10.0648,-4.72559,-4.43277,-16.6265,-15.597,-10.9934,-20.7282,-19.6297,-15.5825,-32.8943,-40.5168,-39.5904,-16.7498,-30.6282,-53.2881,-42.7585,-20.4414,-21.0806,-40.5934,-26.0117,-20.3783,-35.5562,-22.3654,-11.7322,-8.20764,-8.61131,-13.5456,-4.7316,-14.8622,-5.18195,-0,-0,-0,-0,-0,-6.63673,-0,-0,-0,-7.66708,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,2,2,0,9,5,9,6,9,12,15,15,21,14,11,4,5,14,7,8,5,3,4,4,5,1,1,1,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0
-529.437,0.999404,0.107713,5,63,0,531.114,-0.731214,-1.66966,-1.45211,-0.355921,4.58954,0.178375,-1.0236,4.7746,2.25964,3.06375e-05,4.36014e-05,6.21131e-05,8.86032e-05,0.000126615,0.00018134,0.000260421,0.000375092,0.000541707,0.000783533,0.00113245,0.00163009,0.00232794,0.00328624,0.00457162,0.00625345,0.00839898,0.0110675,0.0143037,0.0181311,0.0225463,0.0274143,0.0325629,0.037788,0.0428617,0.0475431,0.0515906,0.0547759,0.0569003,0.0578147,0.0574432,0.0558049,0.0530236,0.0493112,0.0449304,0.0401522,0.0352259,0.0303634,0.0257326,0.0214571,0.0176178,0.0142569,0.0113831,0.00897812,0.00700436,0.0054124,0.00414772,0.00315605,0.00238699,0.00179605,0.00134547,0.00100412,0.000746913,0.000553992,0.000409849,0.000302508,0.000222804,0.00016377,0.000120142,8.79621e-05,6.42672e-05,-0,-0,-0,-0,-0,-0,-0,-7.88834,-0,-0,-0,-12.8382,-0,-5.71801,-0,-0,-9.55929,-4.50374,-4.24724,-16.0405,-15.1687,-10.7901,-20.5475,-19.6546,-15.7489,-33.5073,-41.5018,-40.6631,-17.1987,-31.3556,-54.2822,-43.2884,-20.5591,-21.0672,-40.3343,-25.7206,-20.0758,-34.9452,-21.96,-11.5251,-8.07769,-8.50102,-13.4269,-4.71296,-14.8837,-5.21906,-0,-0,-0,-0,-0,-6.90365,-0,-0,-0,-8.1034,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,3,2,1,2,7,7,5,3,10,5,7,6,5,12,13,13,15,14,20,5,8,5,6,3,2,4,4,0,1,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
