# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 20:40:57 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c2135851c8.json
# init = /tmp/RtmpC8O1hA/init-b41c233a7e4ad_2.json
# random
#   seed = 1252005
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0114_rep012_mildly_wrong_weak/prior_sensitivity_obspair_FAST-202605292140-2-2c6edb.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0114_rep012_mildly_wrong_weak/prior_sensitivity_obspair_FAST-profile-202605292140-2-559e81.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0601589
# Diagonal elements of inverse mass matrix:
# 0.0731274, 0.0859934, 0.188456, 0.0193646, 0.100489, 0.0926185, 0.220292
-527.918,0.999533,0.0601589,6,127,0,531.186,-2.2084,-1.4818,-0.942411,-0.0286695,3.34278,-0.591101,-0.639342,5.06505,2.17893,7.85718e-06,1.26177e-05,2.01941e-05,3.21847e-05,5.1034e-05,8.04293e-05,0.000125846,0.000195276,0.000300159,0.000456546,0.000686453,0.00101938,0.00149383,0.00215864,0.00307379,0.00431023,0.00594835,0.00807454,0.0107757,0.0141312,0.018204,0.022966,0.0283241,0.0341114,0.0400843,0.0459323,0.0512989,0.0558173,0.0591543,0.0610575,0.0613931,0.0601654,0.0575127,0.05368,0.0489779,0.0437385,0.0382771,0.0328651,0.0277156,0.0229797,0.0187493,0.0150665,0.0119332,0.00932244,0.00718836,0.00547444,0.00412035,0.00306678,0.00225863,0.00164696,0.00118973,0.000851902,0.000604989,0.000426339,0.00029829,0.000207306,0.000143179,9.83177e-05,6.715e-05,4.56337e-05,3.08673e-05,-0,-0,-0,-0,-0,-0,-0,-8.5411,-0,-0,-0,-13.7771,-0,-6.13828,-0,-0,-10.2493,-4.81904,-4.53047,-17.0375,-16.0244,-11.3212,-21.3842,-20.2688,-16.0839,-33.8865,-41.5812,-40.3994,-16.9656,-30.7553,-53.0187,-42.1599,-19.9902,-20.473,-39.213,-25.0362,-19.5774,-34.1535,-21.5145,-11.3194,-7.9532,-8.39057,-13.2853,-4.67533,-14.8059,-5.20766,-0,-0,-0,-0,-0,-7.06804,-0,-0,-0,-8.48131,-0,-0,-0,-0,-0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2,3,3,4,3,2,6,3,6,11,6,9,9,13,9,12,11,14,13,9,7,5,8,6,7,5,1,4,1,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
-527.478,0.99399,0.0601589,6,63,0,530.644,-1.99508,-2.19752,-1.22262,-0.363528,3.12205,0.00383184,-1.58548,4.76523,2.25969,3.47281e-05,4.91812e-05,6.96576e-05,9.86737e-05,0.000139801,0.000198107,0.000280781,0.000398001,0.000564115,0.000799189,0.0011309,0.00159656,0.0022449,0.00313687,0.00434469,0.00594855,0.00803058,0.0106661,0.0139127,0.0177987,0.0223116,0.027358,0.0327801,0.0383574,0.043816,0.0488458,0.0531269,0.056365,0.0583311,0.058898,0.0580594,0.055924,0.0526903,0.0486121,0.0439665,0.0390257,0.0340357,0.0292011,0.0246773,0.0205681,0.01693,0.0137797,0.0111035,0.00886769,0.00702621,0.00552818,0.00432249,0.00336103,0.00260047,0.00200306,0.0015367,0.00117463,0.00089489,0.0006797,0.000514811,0.000388912,0.00029309,0.000220373,0.000165337,0.000123784,9.24829e-05,-0,-0,-0,-0,-0,-0,-0,-7.82906,-0,-0,-0,-12.8798,-0,-5.76453,-0,-0,-9.649,-4.54069,-4.27495,-16.1145,-15.2106,-10.7962,-20.5076,-19.5648,-15.6388,-33.21,-41.091,-40.2627,-17.0497,-31.1514,-54.0795,-43.2564,-20.6033,-21.1672,-40.6163,-25.9483,-20.2821,-35.3355,-22.2112,-11.652,-8.15733,-8.56912,-13.5015,-4.72534,-14.8743,-5.1979,-0,-0,-0,-0,-0,-6.7468,-0,-0,-0,-7.85216,-0,-0,-0,-0,-0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,4,2,6,5,9,5,8,8,11,7,9,15,8,10,9,8,12,10,8,3,7,5,4,5,3,4,2,2,2,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0
-528.644,0.999425,0.0601589,6,63,0,529.901,-2.72001,-1.1996,-1.99916,-0.2373,4.02452,0.442315,-0.58901,5.21426,2.18951,9.37039e-06,1.39143e-05,2.06712e-05,3.07299e-05,4.57268e-05,6.81334e-05,0.000101701,0.000152148,0.000228169,0.000342819,0.000515097,0.000771445,0.001147,0.00168665,0.00244606,0.00349247,0.00490495,0.00677372,0.00919831,0.0122847,0.0161426,0.020729,0.0259633,0.0317202,0.0378248,0.044046,0.0500889,0.0555876,0.0601078,0.0631811,0.0643991,0.0635667,0.0608128,0.0565395,0.051257,0.0454453,0.0394933,0.0336914,0.0282442,0.0232866,0.0188973,0.0151087,0.011915,0.00928081,0.00715016,0.0054561,0.00412885,0.00310192,0.00231572,0.00171922,0.00127011,0.000934202,0.000684424,0.000499636,0.000363548,0.000263733,0.000190792,0.000137666,9.90898e-05,7.11555e-05,5.0978e-05,-0,-0,-0,-0,-0,-0,-0,-8.79066,-0,-0,-0,-14.3345,-0,-6.38501,-0,-0,-10.635,-4.9947,-4.68874,-17.5976,-16.5052,-11.6287,-21.9064,-20.7048,-16.374,-34.3477,-41.9154,-40.4571,-16.8697,-30.3792,-52.1104,-41.335,-19.5997,-20.1097,-38.6217,-24.73,-19.3897,-33.9051,-21.4012,-11.2796,-7.93747,-8.38497,-13.2899,-4.67981,-14.8219,-5.21102,-0,-0,-0,-0,-0,-6.97582,-0,-0,-0,-8.24057,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,2,6,5,6,7,2,13,3,10,12,18,13,19,6,17,11,10,9,7,5,2,2,2,1,0,2,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
-529.521,0.992639,0.0601589,6,63,0,534.92,-2.74412,-1.7178,0.243907,-0.542504,2.68057,-0.174574,-0.243599,5.03535,2.50165,4.32908e-05,5.79313e-05,7.75397e-05,0.000103814,0.000139043,0.000186316,0.000249813,0.000335217,0.00045027,0.000605584,0.000815764,0.00110103,0.00148949,0.00202035,0.00274818,0.0037483,0.00512236,0.00700225,0.00954796,0.0129338,0.0173174,0.0227786,0.029253,0.0364716,0.0439455,0.0510235,0.0570195,0.0613606,0.0637,0.0639595,0.0623029,0.0590668,0.0546746,0.0495611,0.044117,0.0386595,0.0334221,0.0285599,0.0241612,0.0202634,0.0168669,0.0139478,0.0114675,0.00938038,0.0076385,0.00619497,0.005006,0.00403192,0.00323767,0.00259277,0.0020711,0.00165055,0.00131255,0.00104166,0.000825109,0.000652389,0.000514917,0.000405703,0.000319083,0.000250484,0.000196233,-0,-0,-0,-0,-0,-0,-0,-8.00073,-0,-0,-0,-13.623,-0,-6.20449,-0,-0,-10.5483,-4.96152,-4.65143,-17.3917,-16.2242,-11.3458,-21.1906,-19.8673,-15.624,-32.7302,-40.1011,-39.0738,-16.5214,-30.2446,-52.7392,-42.4363,-20.3445,-21.0318,-40.5718,-26.0237,-20.3912,-35.5575,-22.338,-11.6968,-8.1648,-8.54487,-13.4047,-4.66913,-14.6237,-5.08402,-0,-0,-0,-0,-0,-6.40665,-0,-0,-0,-7.33487,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,3,1,4,1,9,7,6,11,3,14,13,14,13,9,13,13,7,5,8,9,5,5,5,5,3,0,2,0,1,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0
-529.86,0.994065,0.0601589,6,127,0,534.232,-1.99401,-2.47277,-1.91704,-0.16246,4.53597,0.934338,-2.08832,4.98174,2.00941,1.12302e-05,1.71831e-05,2.62954e-05,4.02495e-05,6.16305e-05,9.442e-05,0.000144768,0.000222196,0.000341418,0.000524677,0.000803618,0.00121936,0.00182154,0.00266748,0.0038213,0.00535202,0.0073301,0.00982094,0.0128745,0.0165109,0.0207056,0.0253582,0.0303186,0.0354044,0.0404181,0.0451584,0.0494242,0.0530163,0.0557397,0.05741,0.057872,0.0570491,0.0550051,0.051926,0.0480423,0.0435846,0.0387694,0.0337968,0.0288505,0.0240987,0.01969,0.0157449,0.0123411,0.00950434,0.00721095,0.00540295,0.00400615,0.00294435,0.00214769,0.00155638,0.00112144,0.000803955,0.000573754,0.000407805,0.000288789,0.000203823,0.000143413,0.000100622,7.04132e-05,4.91524e-05,3.42314e-05,-0,-0,-0,-0,-0,-0,-0,-8.41195,-0,-0,-0,-13.4189,-0,-5.92662,-0,-0,-9.83153,-4.62324,-4.35251,-16.4149,-15.5094,-11.024,-20.976,-20.0455,-16.0424,-34.0734,-42.1024,-41.1202,-17.3224,-31.4329,-54.1409,-42.9577,-20.3023,-20.7055,-39.4637,-25.0644,-19.5007,-33.8739,-21.2738,-11.1768,-7.85528,-8.30248,-13.1845,-4.65601,-14.7965,-5.22081,-0,-0,-0,-0,-0,-7.12597,-0,-0,-0,-8.49826,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,4,2,1,1,8,9,3,9,11,10,10,9,10,12,15,13,7,12,8,12,6,6,4,1,1,2,2,2,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0
-529.749,0.992078,0.0601589,6,63,0,532.893,-0.682366,-1.74397,-0.441649,-0.843139,3.72581,0.247791,0.125232,4.99532,2.73071,0.000109344,0.000136072,0.000169481,0.000211325,0.00026387,0.000330066,0.000413809,0.00052032,0.000656732,0.000833012,0.00106344,0.00136901,0.00178104,0.00234638,0.00313346,0.00423855,0.00579039,0.00794817,0.0108867,0.0147733,0.019753,0.025626,0.0321455,0.0389662,0.0456494,0.0516875,0.0565633,0.0598431,0.0612798,0.0608674,0.0588136,0.0554565,0.0511817,0.0463636,0.04133,0.0363439,0.0315976,0.0272155,0.0232644,0.0197666,0.0167133,0.0140769,0.0118192,0.00989834,0.00827216,0.00690092,0.00574832,0.004782,0.00397357,0.00329843,0.00273545,0.00226659,0.00187653,0.00155228,0.00128289,0.00105911,0.00087317,0.000718515,0.000589648,0.000481986,0.000391733,-0,-0,-0,-0,-0,-0,-0,-7.56107,-0,-0,-0,-13.1873,-0,-6.05488,-0,-0,-10.3031,-4.83481,-4.52021,-16.8597,-15.6978,-10.9924,-20.6249,-19.4704,-15.4338,-32.5879,-40.2135,-39.4244,-16.7538,-30.7896,-53.8343,-43.3824,-20.8066,-21.4987,-41.4202,-26.5178,-20.728,-36.0397,-22.565,-11.7713,-8.1831,-8.52644,-13.3141,-4.61539,-14.3846,-4.9761,-0,-0,-0,-0,-0,-6.08948,-0,-0,-0,-6.85032,-0,-0,-0,-0,-0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,3,1,3,3,2,5,7,7,8,4,14,22,16,18,7,10,2,8,5,8,5,5,4,0,4,3,2,4,1,2,2,3,1,1,0,0,2,1,1,0,0,0,0,0,0
