# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 21:00:53 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c2279e374b.json
# init = /tmp/RtmpC8O1hA/init-b41c2610a047a_2.json
# random
#   seed = 1252008
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0117_rep012_badly_wrong_weak/prior_sensitivity_obspair_FAST-202605292200-2-61e7fe.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0117_rep012_badly_wrong_weak/prior_sensitivity_obspair_FAST-profile-202605292200-2-2ec107.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0699799
# Diagonal elements of inverse mass matrix:
# 0.0980836, 0.0920289, 0.156017, 0.0248145, 0.0659291, 0.209057, 0.216438
-532.921,0.995248,0.0699799,5,31,0,534.027,-2.91988,-4.58814,0.0367475,-0.499485,4.37697,0.375741,-0.2289,5.39725,2.02614,2.59157e-05,3.51151e-05,4.75859e-05,6.44968e-05,8.74379e-05,0.000118577,0.000160874,0.000218388,0.0002967,0.000403527,0.000549608,0.000749996,0.00102593,0.00140755,0.00193749,0.00267556,0.00370348,0.00512842,0.00708219,0.00971296,0.0131669,0.0175593,0.0229375,0.0292395,0.0362584,0.0436238,0.0508169,0.057229,0.0622585,0.0654238,0.066456,0.0653416,0.0623054,0.0577458,0.0521487,0.0460056,0.0397515,0.0337287,0.0281741,0.0232241,0.0189326,0.0152924,0.0122581,0.00976354,0.00773529,0.00610077,0.00479305,0.00375303,0.00293003,0.00228155,0.00177245,0.00137405,0.00106316,0.00082117,0.000633224,0.000487548,0.000374837,0.000287771,0.000220611,0.00016887,0.000129054,-0,-0,-0,-0,-0,-0,-0,-8.42924,-0,-0,-0,-14.3909,-0,-6.56591,-0,-0,-11.197,-5.27296,-4.95017,-18.5372,-17.3202,-12.1265,-22.6499,-21.1934,-16.5854,-34.4537,-41.7134,-40.0497,-16.6588,-29.9956,-51.5131,-40.9219,-19.4299,-19.9619,-38.3975,-24.6319,-19.3507,-33.8941,-21.4161,-11.2877,-7.93374,-8.3608,-13.2047,-4.6291,-14.5859,-5.09934,-0,-0,-0,-0,-0,-6.58999,-0,-0,-0,-7.62612,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,2,2,2,7,11,10,11,11,10,13,10,23,14,14,5,10,5,13,2,4,2,1,1,2,0,3,2,1,1,0,1,0,0,0,0,1,0,0,0,0,0
-531.91,0.999857,0.0699799,6,63,0,534.957,-1.62316,-0.463023,-1.21851,-0.763433,2.65275,-0.22838,-1.04562,5.28028,2.99756,3.08168e-05,3.9173e-05,4.98846e-05,6.36692e-05,8.14952e-05,0.000104687,0.000135088,0.000175308,0.00022912,0.000302093,0.000402625,0.000543628,0.000745257,0.00103925,0.00147555,0.00213189,0.00312656,0.00463394,0.0069008,0.0102604,0.0151395,0.0213902,0.0287279,0.036713,0.04476,0.0521904,0.0583317,0.0626396,0.0648046,0.0647979,0.0628437,0.0593369,0.0547447,0.0495228,0.0440614,0.038662,0.0335351,0.0288113,0.0245582,0.0207965,0.0175161,0.0146868,0.0122683,0.0102157,0.00848364,0.00702909,0.00581234,0.00479788,0.0039544,0.00325475,0.00267558,0.002197,0.00180214,0.00147679,0.00120902,0.000988827,0.000807866,0.00065916,0.000536887,0.000436186,0.000353001,-0,-0,-0,-0,-0,-0,-0,-8.64896,-0,-0,-0,-15.0345,-0,-6.86926,-0,-0,-11.5356,-5.37435,-4.97612,-18.3179,-16.7618,-11.5345,-21.2993,-19.8277,-15.5322,-32.4814,-39.7825,-38.785,-16.4183,-30.1013,-52.575,-42.3679,-20.3355,-21.0373,-40.5882,-26.0232,-20.371,-35.4699,-22.2403,-11.6189,-8.08928,-8.44161,-13.2022,-4.58383,-14.3088,-4.9577,-0,-0,-0,-0,-0,-6.12066,-0,-0,-0,-6.91899,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,5,8,10,5,5,14,24,20,14,12,10,9,9,7,5,6,6,3,3,1,3,4,1,0,3,1,0,0,1,0,0,0,1,1,0,0,0,0,0
-532.092,0.999901,0.0699799,6,63,0,536.984,-1.6961,-4.60632,-1.22591,-0.158408,4.67351,1.11584,-0.35647,4.83274,1.86206,9.99448e-06,1.53153e-05,2.34698e-05,3.59681e-05,5.51269e-05,8.45023e-05,0.000129557,0.00019869,0.000304805,0.000467562,0.000715843,0.00108903,0.00163713,0.00242092,0.00351196,0.00499131,0.00694588,0.00946073,0.0126054,0.0164134,0.0208601,0.0258468,0.0312143,0.0367653,0.0422792,0.047517,0.0522214,0.0561228,0.0589561,0.0604907,0.0605739,0.059182,0.0564438,0.0525989,0.0479369,0.0427518,0.0373149,0.0318632,0.0265992,0.0216948,0.0172906,0.013485,0.0103182,0.00776963,0.00577398,0.00424459,0.00309221,0.00223555,0.00160567,0.00114674,0.000814919,0.000576576,0.000406348,0.000285373,0.000199777,0.000139451,9.70841e-05,6.74237e-05,4.67186e-05,3.23027e-05,2.22899e-05,-0,-0,-0,-0,-0,-0,-0,-8.52377,-0,-0,-0,-13.6449,-0,-6.02361,-0,-0,-9.93921,-4.66061,-4.37363,-16.4386,-15.4797,-10.9667,-20.8013,-19.8192,-15.8173,-33.5133,-41.3317,-40.323,-16.9858,-30.8579,-53.2739,-42.4071,-20.1216,-20.6154,-39.4923,-25.2188,-19.7302,-34.463,-21.7612,-11.492,-8.11518,-8.61236,-13.7215,-4.85753,-15.4632,-5.46211,-0,-0,-0,-0,-0,-7.4584,-0,-0,-0,-8.8778,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,1,2,2,6,6,7,6,6,11,10,9,8,15,11,16,8,15,10,7,9,8,2,4,5,2,1,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
-529.342,0.997794,0.0699799,5,31,0,533.99,-1.21736,-3.31204,-0.599078,-0.206861,4.71091,0.399272,-1.18382,4.83203,1.82868,9.67542e-06,1.4536e-05,2.18435e-05,3.28355e-05,4.93828e-05,7.43201e-05,0.000111955,0.000168851,0.000255011,0.000385598,0.000583226,0.000880634,0.00132337,0.00197195,0.0029029,0.0042076,0.00598793,0.00834743,0.0113776,0.0151403,0.0196479,0.0248464,0.0306047,0.0367149,0.0428997,0.0488296,0.0541471,0.0584988,0.0615726,0.0631361,0.0630705,0.0613906,0.0582428,0.0538804,0.0486259,0.0428296,0.0368338,0.0309443,0.0254109,0.0204157,0.0160689,0.012412,0.00942833,0.0070588,0.00522013,0.00382076,0.00277256,0.0019975,0.00143043,0.00101908,0.000722827,0.000510729,0.000359651,0.000252505,0.000176804,0.000123498,8.60714e-05,5.98632e-05,4.15539e-05,2.879e-05,1.99092e-05,-0,-0,-0,-0,-0,-0,-0,-8.6865,-0,-0,-0,-14.0697,-0,-6.22873,-0,-0,-10.236,-4.7858,-4.47611,-16.7616,-15.7191,-11.0851,-20.9196,-19.8274,-15.7444,-33.2136,-40.8247,-39.7425,-16.7252,-30.3871,-52.5065,-41.8575,-19.9019,-20.4469,-39.3068,-25.2042,-19.808,-34.7557,-22.0355,-11.6744,-8.26174,-8.77818,-13.9921,-4.95348,-15.7657,-5.56731,-0,-0,-0,-0,-0,-7.57967,-0,-0,-0,-8.99929,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,4,3,3,1,9,6,8,14,13,12,12,16,12,15,7,9,8,9,5,6,12,2,3,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-528.571,0.998559,0.0699799,6,63,0,531.2,-1.78457,-2.22142,-0.702314,-0.713143,3.15973,1.24934,-0.613814,4.73497,2.49888,9.57902e-05,0.000122558,0.000156865,0.000200875,0.000257395,0.000330088,0.000423757,0.00054475,0.000701532,0.000905535,0.00117243,0.00152417,0.00199222,0.00262293,0.0034848,0.00467491,0.00632254,0.00858789,0.0116502,0.0156764,0.0207656,0.0268664,0.0337498,0.0410215,0.0481627,0.0545787,0.0596605,0.0628938,0.064028,0.0631061,0.0603744,0.0562151,0.0510914,0.0454841,0.0398184,0.0344055,0.0294304,0.0249779,0.0210671,0.0176784,0.0147723,0.0122999,0.0102099,0.00845235,0.00698089,0.00575348,0.00473292,0.00388671,0.00318679,0.00260913,0.00213332,0.0017421,0.00142093,0.00115766,0.000942123,0.000765851,0.00062182,0.000504216,0.000408242,0.000329957,0.000266129,-0,-0,-0,-0,-0,-0,-0,-7.51518,-0,-0,-0,-12.9726,-0,-5.94346,-0,-0,-10.1273,-4.7574,-4.45243,-16.6224,-15.4978,-10.8506,-20.3327,-19.162,-15.1658,-31.9892,-39.4672,-38.7283,-16.4906,-30.3923,-53.3366,-43.1786,-20.819,-21.6327,-41.9045,-26.9563,-21.1544,-36.8976,-23.1603,-12.1062,-8.43001,-8.79633,-13.7532,-4.77331,-14.8937,-5.15795,-0,-0,-0,-0,-0,-6.35267,-0,-0,-0,-7.17452,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,2,3,6,4,7,7,8,11,16,11,19,12,13,10,12,10,7,8,6,5,1,1,2,6,3,1,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
-527.257,0.999968,0.0699799,5,63,0,528.959,-2.25292,-2.08314,-0.788988,-0.347895,3.69195,-0.118338,-0.528165,5.15864,2.24403,2.0906e-05,2.97739e-05,4.24108e-05,6.04243e-05,8.61125e-05,0.000122763,0.000175078,0.000249786,0.000356499,0.000508886,0.000726249,0.00103549,0.00147335,0.00208869,0.00294409,0.00411617,0.00569351,0.00777137,0.0104425,0.0137844,0.0178438,0.0226015,0.0279673,0.0337695,0.0397545,0.0455988,0.0509341,0.0553873,0.0586288,0.0604222,0.0606605,0.059377,0.0567296,0.0529678,0.0483921,0.0433167,0.0380385,0.0328137,0.0278449,0.0232751,0.0191908,0.0156292,0.0125888,0.0100405,0.0079383,0.00622785,0.00485254,0.00375799,0.00289462,0.00221885,0.0016935,0.00128752,0.000975416,0.000736607,0.000554636,0.000416494,0.000311975,0.000233136,0.000173831,0.000129332,9.60203e-05,-0,-0,-0,-0,-0,-0,-0,-8.2949,-0,-0,-0,-13.7458,-0,-6.17122,-0,-0,-10.3369,-4.85731,-4.56187,-17.1369,-16.1044,-11.3692,-21.4603,-20.3292,-16.1252,-33.9666,-41.6811,-40.5077,-17.0192,-30.8704,-53.2468,-42.3577,-20.0862,-20.5665,-39.3695,-25.1137,-19.6149,-34.1691,-21.4866,-11.2811,-7.90664,-8.31722,-13.1249,-4.60113,-14.5082,-5.07872,-0,-0,-0,-0,-0,-6.65504,-0,-0,-0,-7.78364,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,2,4,4,5,4,7,10,6,6,6,12,10,12,13,13,7,12,10,5,11,6,2,3,5,5,2,3,1,2,2,2,1,0,0,0,2,0,0,0,0,0,0,0,0
