# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 21:22:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c25788bf4f.json
# init = /tmp/RtmpC8O1hA/init-b41c24f70f3f9_1.json
# random
#   seed = 1252010
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0119_rep012_badly_wrong_strong/prior_sensitivity_obspair_FAST-202605292222-1-65f0c3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0119_rep012_badly_wrong_strong/prior_sensitivity_obspair_FAST-profile-202605292222-1-28f78a.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.185183
# Diagonal elements of inverse mass matrix:
# 0.0402444, 0.0352879, 0.00613158, 0.00424911, 0.00556814, 0.00917219, 0.00727214
-529.064,0.998509,0.185183,4,31,0,531.996,-0.887334,-1.9329,-0.749374,-0.800432,4.34887,0.472364,-0.42139,5.25539,2.62739,7.75167e-05,9.74896e-05,0.000122759,0.000154819,0.000195641,0.00024786,0.000315056,0.000402195,0.000516322,0.000667703,0.000871653,0.00115132,0.00154141,0.0020923,0.00287329,0.00397363,0.00549976,0.00756771,0.0102899,0.0137572,0.0180183,0.0230155,0.0286078,0.0345707,0.0406062,0.046364,0.0514702,0.0555621,0.0583317,0.0595777,0.0592493,0.0574532,0.0544153,0.0504293,0.0458122,0.0408718,0.035881,0.0310612,0.0265719,0.0225114,0.0189235,0.0158105,0.0131472,0.0108924,0.00899847,0.00741701,0.00610235,0.00501323,0.00411335,0.0033714,0.0027607,0.0022587,0.00184651,0.00150832,0.00123099,0.0010036,0.000817125,0.000664125,0.000538502,0.000435272,0.000350388,-0,-0,-0,-0,-0,-0,-0,-7.81857,-0,-0,-0,-13.5337,-0,-6.16949,-0,-0,-10.4061,-4.88386,-4.57659,-17.1448,-16.0655,-11.3148,-21.3244,-20.1885,-16.0192,-33.7836,-41.5345,-40.4636,-17.0497,-31.0252,-53.694,-42.8518,-20.3778,-20.9103,-40.0817,-25.5785,-19.9653,-34.718,-21.7674,-11.3812,-7.93471,-8.29416,-12.9946,-4.51969,-14.1321,-4.90398,-0,-0,-0,-0,-0,-6.09297,-0,-0,-0,-6.90416,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,2,4,3,6,9,6,8,8,7,6,18,17,5,10,10,11,7,15,7,13,5,2,6,3,1,0,2,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
-533.592,0.976919,0.185183,4,15,0,534.614,-0.738072,-2.17464,-1.00409,-0.621745,4.14604,0.911987,-0.779072,4.63223,2.28602,7.7678e-05,0.000101816,0.000133543,0.000175308,0.000230397,0.000303258,0.000399968,0.000528951,0.000702084,0.000936468,0.00125722,0.00170135,0.00232149,0.00318687,0.00438149,0.00599987,0.00814036,0.010895,0.0143353,0.0184938,0.0233448,0.0287552,0.0345139,0.0403474,0.0459434,0.0509759,0.0551278,0.058114,0.059709,0.0597885,0.0583783,0.0556484,0.0518535,0.0472842,0.0422392,0.0370057,0.0318425,0.0269627,0.0225197,0.0185999,0.0152279,0.0123823,0.010015,0.00806606,0.00647415,0.00518165,0.00413718,0.00329638,0.00262165,0.00208165,0.00165044,0.0013068,0.0010334,0.000816219,0.000643909,0.000507349,0.00039922,0.000313671,0.000246031,0.000192584,0.000150378,-0,-0,-0,-0,-0,-0,-0,-7.54461,-0,-0,-0,-12.7527,-0,-5.74872,-0,-0,-9.62184,-4.51945,-4.24503,-15.9613,-15.0295,-10.6468,-20.1984,-19.2614,-15.4017,-32.7404,-40.5734,-39.8349,-16.9096,-30.9864,-53.9754,-43.3305,-20.7153,-21.361,-41.1373,-26.3735,-20.6817,-36.133,-22.7602,-11.9538,-8.36925,-8.78297,-13.811,-4.82009,-15.1198,-5.26263,-0,-0,-0,-0,-0,-6.64018,-0,-0,-0,-7.58631,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,2,0,3,1,5,7,6,9,6,10,14,11,14,10,15,19,6,8,7,10,9,4,4,3,1,2,3,1,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0
-530.877,1,0.185183,4,15,0,535.935,-0.535465,-2.03509,-0.902697,-0.669928,4.23888,0.778134,-0.801156,4.73627,2.36978,7.15968e-05,9.27754e-05,0.000120336,0.000156282,0.000203303,0.000265054,0.000346565,0.000454901,0.000600203,0.000797428,0.00106915,0.00144959,0.00198891,0.00275542,0.0038348,0.0053262,0.00733532,0.00996407,0.0132963,0.0173799,0.0222076,0.0276596,0.0335341,0.0395573,0.045405,0.0507286,0.0551836,0.0584573,0.060301,0.0605731,0.059285,0.0566008,0.0527849,0.0481478,0.0430104,0.0376796,0.0324269,0.027471,0.0229645,0.0189912,0.0155735,0.0126889,0.0102879,0.0083097,0.00669201,0.00537641,0.00431097,0.00345095,0.00275858,0.00220236,0.00175633,0.00139919,0.00111359,0.000885422,0.00070329,0.000557983,0.000442101,0.000349704,0.000276041,0.00021732,0.000170523,-0,-0,-0,-0,-0,-0,-0,-7.69543,-0,-0,-0,-13.0729,-0,-5.89419,-0,-0,-9.83011,-4.60877,-4.32027,-16.2098,-15.2293,-10.7633,-20.3712,-19.38,-15.4607,-32.7939,-40.5592,-39.7524,-16.8504,-30.8429,-53.6826,-43.076,-20.5907,-21.2344,-40.9021,-26.2291,-20.5726,-35.9463,-22.6428,-11.8913,-8.32436,-8.73406,-13.7304,-4.79033,-15.0205,-5.22573,-0,-0,-0,-0,-0,-6.57186,-0,-0,-0,-7.49118,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,2,3,3,5,5,8,9,11,10,12,9,12,12,11,6,9,8,9,8,8,13,3,6,2,2,4,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-529.363,0.99925,0.185183,5,31,0,532.755,-1.16655,-2.19617,-0.629114,-0.756066,4.18263,0.528578,-0.424208,5.16278,2.50994,7.5144e-05,9.53361e-05,0.000121061,0.000153901,0.000195934,0.000249915,0.000319544,0.000409871,0.000527923,0.000683711,0.00089185,0.00117411,0.00156312,0.00210682,0.00287286,0.00395114,0.00545278,0.00750336,0.0102288,0.0137335,0.0180739,0.0232125,0.0290116,0.0352309,0.0415401,0.0475472,0.0528364,0.0570129,0.059755,0.0608692,0.0603266,0.0582565,0.0549058,0.0505912,0.0456571,0.0404386,0.03523,0.0302625,0.0256939,0.0216114,0.018044,0.0149793,0.0123798,0.0101957,0.00837374,0.00686195,0.00561271,0.00458377,0.00373847,0.00304552,0.00247843,0.00201504,0.00163683,0.00132846,0.00107721,0.000872594,0.000705995,0.00057034,0.000459856,0.000369845,0.000296502,-0,-0,-0,-0,-0,-0,-0,-7.79967,-0,-0,-0,-13.4945,-0,-6.16257,-0,-0,-10.4233,-4.8924,-4.58255,-17.1517,-16.0531,-11.2892,-21.2403,-20.075,-15.9055,-33.5063,-41.1678,-40.1027,-16.905,-30.7893,-53.3517,-42.6435,-20.315,-20.8878,-40.1257,-25.6638,-20.0751,-34.9785,-21.969,-11.5036,-8.02989,-8.40218,-13.1751,-4.58579,-14.348,-4.98176,-0,-0,-0,-0,-0,-6.20712,-0,-0,-0,-7.04404,-0,-0,-0,-0,-0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,6,7,8,10,5,10,13,5,16,15,11,9,11,11,4,8,9,9,1,5,3,2,3,1,3,2,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0
-529.078,0.998102,0.185183,4,31,0,531.582,-1.57548,-1.8654,-0.907824,-0.622221,4.22804,0.504136,-0.695601,5.21111,2.39435,4.08662e-05,5.35879e-05,7.03281e-05,9.23991e-05,0.000121573,0.000160268,0.000211825,0.000280935,0.000374314,0.000501786,0.000678001,0.000924972,0.00127539,0.00177626,0.00249213,0.00350701,0.00492393,0.00686029,0.00943766,0.012765,0.0169168,0.0218824,0.0275625,0.0337599,0.0401838,0.0464677,0.0521973,0.0569488,0.0603383,0.0620863,0.0620818,0.0604028,0.0572789,0.053029,0.0480098,0.0425765,0.0370527,0.0317071,0.0267387,0.0222727,0.018366,0.0150222,0.0122085,0.00987151,0.00794967,0.00638117,0.00510849,0.00408054,0.00325328,0.00258948,0.00205815,0.00163373,0.0012953,0.00102585,0.00081158,0.000641385,0.000506319,0.000399209,0.000314319,0.000247072,0.000193823,-0,-0,-0,-0,-0,-0,-0,-8.17739,-0,-0,-0,-13.9715,-0,-6.33324,-0,-0,-10.6273,-4.98201,-4.66305,-17.4442,-16.3178,-11.4662,-21.5478,-20.3309,-16.0715,-33.759,-41.3381,-40.1184,-16.8467,-30.5715,-52.8067,-42.1008,-20.0188,-20.5584,-39.4725,-25.2516,-19.7725,-34.5122,-21.7298,-11.4132,-7.99451,-8.39645,-13.2169,-4.6181,-14.5039,-5.0544,-0,-0,-0,-0,-0,-6.41689,-0,-0,-0,-7.35188,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,3,2,5,7,5,8,3,11,14,10,13,9,12,7,11,10,11,7,8,8,7,3,2,3,3,3,1,0,1,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0
-529.301,0.975883,0.185183,5,31,0,533.163,-0.358273,-1.73041,-0.691663,-0.842791,4.37956,0.689289,-0.457004,5.19245,2.66453,5.38159e-05,6.71847e-05,8.40147e-05,0.000105283,0.000132291,0.000166804,0.000211266,0.000269156,0.000345596,0.000448431,0.000590184,0.000791445,0.00108593,0.00152634,0.00218912,0.00317616,0.00461188,0.00663488,0.00938394,0.0129787,0.0174964,0.0228686,0.0289416,0.0354686,0.0421175,0.0484891,0.0541458,0.0586484,0.0616072,0.0627592,0.0620513,0.0596545,0.0558908,0.0511489,0.0458265,0.0402909,0.0348506,0.0297378,0.0251011,0.0210123,0.0174821,0.0144806,0.0119563,0.00984907,0.00809933,0.00665178,0.00545742,0.00447389,0.00366518,0.00300098,0.00245593,0.00200894,0.00164252,0.00134217,0.00109586,0.000893681,0.000727453,0.000590481,0.000477326,0.00038361,0.000305844,-0,-0,-0,-0,-0,-0,-0,-8.22022,-0,-0,-0,-14.2833,-0,-6.48488,-0,-0,-10.7582,-5.01541,-4.66876,-17.3778,-16.183,-11.334,-21.2549,-20.0346,-15.8365,-33.2906,-40.825,-39.7067,-16.7219,-30.453,-52.8161,-42.2878,-20.1905,-20.8111,-40.0776,-25.693,-20.1401,-35.1534,-22.1091,-11.5879,-8.09316,-8.46989,-13.2795,-4.62038,-14.4479,-5.01287,-0,-0,-0,-0,-0,-6.21015,-0,-0,-0,-7.02016,-0,-0,-0,-0,-0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,2,1,3,7,4,3,8,8,6,10,17,15,13,13,15,10,12,8,13,6,4,3,1,1,0,0,3,0,5,1,2,1,1,0,0,0,0,0,0,0,0,0,0
