# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 21:25:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c270a77378.json
# init = /tmp/RtmpC8O1hA/init-b41c267e1f621_1.json
# random
#   seed = 1252011
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0120_rep012_manuscript_default/prior_sensitivity_obspair_FAST-202605292225-1-6febbe.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0120_rep012_manuscript_default/prior_sensitivity_obspair_FAST-profile-202605292225-1-7a80c6.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0470117
# Diagonal elements of inverse mass matrix:
# 0.0897899, 0.082644, 0.25752, 0.0661422, 0.0812771, 0.291056, 0.273772
-527.586,0.986025,0.0470117,5,47,0,537.35,-2.10502,-2.02034,-1.98239,-0.41659,3.3188,0.308161,-0.709507,4.91971,2.37952,4.48052e-05,6.23395e-05,8.67561e-05,0.000120774,0.000168203,0.000234386,0.000326834,0.000456116,0.000637065,0.000890343,0.0012442,0.00173602,0.00241305,0.00333178,0.00455596,0.00615339,0.00819138,0.0107309,0.0138195,0.0174841,0.0217247,0.0264368,0.0314717,0.0366395,0.0417155,0.0464492,0.0505763,0.0538362,0.0559989,0.0569042,0.0565004,0.054858,0.052147,0.0485942,0.0444449,0.0399387,0.0352946,0.0307026,0.0263167,0.0222515,0.0185818,0.0153447,0.0125461,0.0101682,0.00817769,0.00653232,0.00518685,0.00409672,0.00322046,0.00252092,0.00196581,0.00152764,0.00118339,0.000914051,0.000704124,0.000541057,0.000414781,0.000317272,0.00024217,0.000184462,0.000140217,-0,-0,-0,-0,-0,-0,-0,-7.69276,-0,-0,-0,-12.7123,-0,-5.70425,-0,-0,-9.60935,-4.53463,-4.28168,-16.1859,-15.3172,-10.899,-20.752,-19.8398,-15.8844,-33.7634,-41.7798,-40.9053,-17.2945,-31.5302,-54.5967,-43.5451,-20.6758,-21.1698,-40.4756,-25.7633,-20.0641,-34.8341,-21.8253,-11.416,-7.97115,-8.35398,-13.135,-4.58849,-14.419,-5.03099,-0,-0,-0,-0,-0,-6.48403,-0,-0,-0,-7.52199,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,4,3,4,2,6,10,8,7,8,9,16,11,13,10,9,10,14,8,8,9,7,4,3,5,0,1,0,0,1,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0
-528.543,0.992327,0.0470117,5,63,0,530.689,-1.98297,-2.14736,-1.04597,-0.269552,3.0157,-0.542839,-1.29038,5.07816,2.38305,3.58422e-05,5.22811e-05,7.61576e-05,0.000110747,0.000160693,0.000232513,0.000335258,0.000481307,0.000687313,0.000975205,0.00137315,0.00191627,0.00264689,0.00361395,0.00487134,0.00647498,0.0084786,0.0109283,0.0138564,0.0172754,0.0211724,0.0254738,0.030063,0.0347812,0.0394336,0.0438001,0.0476526,0.0507759,0.0529904,0.0541725,0.0542682,0.0532976,0.0513487,0.048564,0.0451218,0.0412171,0.0370437,0.0327809,0.0285834,0.0245755,0.0208494,0.017466,0.014458,0.0118341,0.00958453,0.0076862,0.0061072,0.00481103,0.00375981,0.00291661,0.00224706,0.00172029,0.00130932,0.000991169,0.000746589,0.000559775,0.000417919,0.000310779,0.000230255,0.000170008,0.000125117,-0,-0,-0,-0,-0,-0,-0,-7.639,-0,-0,-0,-12.5147,-0,-5.62295,-0,-0,-9.54042,-4.5164,-4.27901,-16.2339,-15.4202,-11.0103,-21.0268,-20.1521,-16.1657,-34.4093,-42.6135,-41.7247,-17.6259,-32.0714,-55.3625,-43.978,-20.7838,-21.1741,-40.2791,-25.5112,-19.7739,-34.1791,-21.3296,-11.118,-7.74086,-8.09499,-12.7095,-4.43677,-13.9428,-4.86833,-0,-0,-0,-0,-0,-6.36526,-0,-0,-0,-7.48798,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2,4,3,5,5,7,5,12,12,14,3,10,10,14,11,17,6,8,7,7,9,3,4,6,1,1,3,4,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
-532.056,0.998129,0.0470117,5,63,0,535.832,-1.41262,-3.8458,-0.0301478,-0.0282062,3.80868,-0.778979,-1.66739,5.01354,2.02824,1.13641e-05,1.8211e-05,2.90824e-05,4.62488e-05,7.31759e-05,0.00011508,0.000179685,0.000278203,0.000426554,0.000646752,0.000968339,0.00142962,0.00207832,0.00297126,0.00417249,0.00574949,0.00776729,0.0102805,0.0133243,0.0169046,0.0209895,0.0255032,0.0303232,0.0352835,0.0401821,0.0447937,0.0488866,0.0522427,0.0546767,0.056054,0.056303,0.0554211,0.053474,0.0505876,0.0469348,0.0427192,0.0381562,0.0334561,0.0288091,0.0243737,0.0202706,0.0165807,0.0133472,0.0105804,0.00826474,0.00636613,0.00483893,0.00363215,0.00269423,0.00197638,0.00143476,0.00103147,0.000734833,0.0005191,0.000363835,0.000253161,0.000174969,0.000120174,8.20635e-05,5.57397e-05,3.76725e-05,-0,-0,-0,-0,-0,-0,-0,-8.18716,-0,-0,-0,-13.1007,-0,-5.81877,-0,-0,-9.71567,-4.5775,-4.31816,-16.3207,-15.4549,-11.0069,-20.9751,-20.066,-16.0717,-34.1626,-42.2555,-41.326,-17.4379,-31.6958,-54.6631,-43.3919,-20.4999,-20.8883,-39.7669,-25.2249,-19.5964,-33.9752,-21.2824,-11.1428,-7.79717,-8.19903,-12.9494,-4.54875,-14.3873,-5.05676,-0,-0,-0,-0,-0,-6.87677,-0,-0,-0,-8.28148,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,3,2,1,2,2,9,10,10,6,13,10,8,12,10,19,8,10,4,11,7,9,5,8,1,5,3,3,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
-531.42,0.999755,0.0470117,6,127,0,535.411,-2.88983,-1.32119,-1.61738,-0.576424,3.63916,1.47027,0.570504,4.99456,2.55352,5.64108e-05,7.47694e-05,9.91286e-05,0.00013147,0.000174443,0.000231608,0.000307764,0.000409428,0.000545519,0.0007284,0.000975481,0.00131177,0.00177319,0.00240699,0.00326894,0.00442323,0.00594383,0.00791808,0.0104608,0.0137607,0.01875,0.024377,0.0304994,0.0369719,0.0436123,0.0501739,0.0562664,0.0611616,0.0636108,0.0630674,0.0605819,0.0570072,0.052761,0.0480728,0.0431132,0.0380504,0.0330714,0.0283611,0.0240554,0.0202221,0.0168752,0.0139955,0.0115459,0.00948117,0.00775407,0.00631863,0.00513215,0.00415616,0.00335671,0.00270434,0.00217378,0.00174361,0.00139581,0.00111529,0.000889565,0.00070831,0.000563044,0.000446829,0.000354004,0.000279964,0.000220963,-0,-0,-0,-0,-0,-0,-0,-7.80075,-0,-0,-0,-13.2728,-0,-6.02938,-0,-0,-10.2508,-4.83861,-4.56012,-17.1438,-15.9063,-11.1424,-20.9403,-19.7856,-15.6621,-32.9149,-40.2872,-39.1193,-16.5298,-30.3991,-53.2714,-42.9687,-20.5939,-21.2453,-40.871,-26.1508,-20.4545,-35.6274,-22.3644,-11.7029,-8.16382,-8.53804,-13.3843,-4.65845,-14.5786,-5.06425,-0,-0,-0,-0,-0,-6.35179,-0,-0,-0,-7.25263,-0,-0,-0,-0,-0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,3,2,6,3,8,7,3,9,10,10,14,16,11,10,12,9,8,7,15,5,2,4,3,2,2,1,3,1,2,1,4,1,0,0,1,0,0,0,0,0,0,0,0,0
-531.488,0.986525,0.0470117,6,63,0,535.447,-2.80774,-1.79508,-1.41973,-0.410917,3.51855,1.41411,0.333707,4.63409,2.19836,2.69204e-05,3.75155e-05,5.22877e-05,7.28905e-05,0.000101639,0.000141779,0.000197875,0.000276373,0.000386417,0.000541088,0.000759298,0.00106879,0.00151052,0.00214238,0.00303905,0.004293,0.00601685,0.00834402,0.011424,0.0154165,0.0205787,0.0266645,0.0334157,0.0405373,0.0477007,0.0545097,0.0604406,0.0647737,0.0666888,0.0660297,0.0633812,0.0593211,0.0542877,0.0486263,0.0426399,0.0366265,0.0308759,0.0256191,0.0209856,0.0170113,0.0136708,0.0109062,0.00864626,0.00681719,0.00534918,0.00417931,0.00325273,0.00252276,0.00195042,0.00150356,0.00115599,0.000886574,0.000678397,0.000517994,0.000394724,0.000300216,0.000227919,0.000172726,0.000130669,9.8676e-05,7.43768e-05,-0,-0,-0,-0,-0,-0,-0,-8.19376,-0,-0,-0,-13.6825,-0,-6.14584,-0,-0,-10.2264,-4.78621,-4.47204,-16.6893,-15.534,-10.8733,-20.3924,-19.2332,-15.214,-32.0031,-39.2853,-38.316,-16.2463,-29.8942,-52.4132,-42.3719,-20.3942,-21.1651,-41.0145,-26.4559,-20.8667,-36.6442,-23.1835,-12.2216,-8.58499,-9.03684,-14.2519,-4.98831,-15.6924,-5.47761,-0,-0,-0,-0,-0,-7.02815,-0,-0,-0,-8.11101,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,1,2,5,7,6,12,16,10,7,19,8,17,14,6,13,9,10,5,8,7,5,3,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-530.898,0.996808,0.0470117,6,63,0,535.307,-3.96253,-2.43096,-0.872365,-0.277097,3.65149,0.410573,0.0295658,5.14673,2.06118,1.07565e-05,1.57167e-05,2.29666e-05,3.35656e-05,4.90663e-05,7.17468e-05,0.000104955,0.00015362,0.000225019,0.000329899,0.000484116,0.000710882,0.00104359,0.00152898,0.00223015,0.00322873,0.00462505,0.00653432,0.00907705,0.0123624,0.0164663,0.0213933,0.0270642,0.0333063,0.0398563,0.0463695,0.0524364,0.05761,0.0614579,0.0636474,0.064025,0.0626341,0.0596709,0.055429,0.0502556,0.0445187,0.0385753,0.0327418,0.027269,0.0223277,0.0180093,0.0143372,0.011285,0.00879571,0.00679732,0.00521398,0.00397336,0.00301042,0.00226908,0.00170238,0.00127185,0.000946587,0.000702053,0.000519026,0.000382582,0.000281234,0.000206204,0.000150827,0.000110069,8.01475e-05,5.82343e-05,-0,-0,-0,-0,-0,-0,-0,-8.78103,-0,-0,-0,-14.498,-0,-6.48315,-0,-0,-10.7525,-5.03069,-4.70201,-17.5724,-16.4257,-11.534,-21.6573,-20.412,-16.1124,-33.7823,-41.2742,-39.9568,-16.7364,-30.2984,-52.2211,-41.5567,-19.7324,-20.2486,-38.8782,-24.8948,-19.5309,-34.191,-21.612,-11.4058,-8.03373,-8.4898,-13.4529,-4.73349,-14.9737,-5.25641,-0,-0,-0,-0,-0,-6.96265,-0,-0,-0,-8.17632,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,4,3,6,5,7,7,6,7,8,12,17,9,8,12,11,10,9,10,10,9,7,5,5,1,1,2,1,1,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0
