# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 21:36:37 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c24caf6247.json
# init = /tmp/RtmpC8O1hA/init-b41c238c43aac_1.json
# random
#   seed = 1352002
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0121_rep013_accurate_weak/prior_sensitivity_obspair_FAST-202605292236-1-79e4c8.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0121_rep013_accurate_weak/prior_sensitivity_obspair_FAST-profile-202605292236-1-9fb636.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0558549
# Diagonal elements of inverse mass matrix:
# 0.134969, 0.0730804, 0.134084, 0.090696, 0.183138, 0.125186, 0.177698
-527.846,0.992669,0.0558549,6,63,0,531.869,-1.91402,-2.7196,-0.84934,0.409729,3.8893,-0.612301,-1.19165,4.93323,1.91305,1.44722e-06,2.92089e-06,5.81789e-06,1.14066e-05,2.19538e-05,4.13667e-05,7.61208e-05,0.000136502,0.000238143,0.00040374,0.000664743,0.00106268,0.0016497,0.00248791,0.00364699,0.00519991,0.00721664,0.00975619,0.0128577,0.0165315,0.0207515,0.0254418,0.0304793,0.0356956,0.0408839,0.0458101,0.0502287,0.0539009,0.0566155,0.0582086,0.0585813,0.057711,0.0556548,0.0525432,0.0485653,0.0439484,0.0389364,0.033769,0.0286649,0.0238093,0.0193459,0.015373,0.0119438,0.00907125,0.00673414,0.00488639,0.00346606,0.00240399,0.00163094,0.00108286,0.000704066,0.00044862,0.000280372,0.000172021,0.000103715,6.15129e-05,3.59255e-05,2.06826e-05,1.17495e-05,6.59301e-06,3.65775e-06,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-12.8143,-5.99631,-11.2277,-10.5182,-0,-0,-8.70763,-4.10249,-15.5006,-14.6854,-31.4164,-23.3291,-19.1821,-27.7493,-32.9029,-43.8091,-40.2006,-28.4372,-25.5361,-31.3754,-17.3315,-32.4073,-36.2982,-21.8732,-32.4583,-33.8821,-17.7604,-26.1637,-3.94527,-12.5254,-17.7102,-0,-5.00057,-10.6426,-0,-6.03063,-0,-0,-0,-0,-8.17939,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,3,5,4,5,2,8,8,5,10,3,5,9,15,15,11,15,13,8,6,10,9,4,6,5,3,3,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
-529.212,0.991307,0.0558549,4,31,0,534.619,-1.34329,-2.42315,-1.49771,0.317832,3.13405,-0.725086,-0.840307,4.69939,2.17569,8.89982e-06,1.63792e-05,2.96614e-05,5.27354e-05,9.1853e-05,0.000156435,0.000260095,0.000421677,0.000666133,0.00102505,0.00153664,0.00224496,0.00319838,0.00444711,0.00603994,0.00802044,0.0104227,0.0132674,0.0165576,0.0202766,0.024386,0.0287694,0.0332828,0.0377598,0.0420195,0.045876,0.0491498,0.0516807,0.0533396,0.0540402,0.0537472,0.0524811,0.0503168,0.0473767,0.0438187,0.039821,0.0355661,0.031227,0.0269565,0.0228805,0.0190956,0.0156686,0.0126385,0.0100197,0.00780612,0.00597549,0.00449389,0.00332016,0.00240987,0.00171859,0.00120441,0.000829695,0.00056204,0.000374551,0.000245684,0.000158716,0.000101046,6.34402e-05,3.93072e-05,2.40523e-05,1.45458e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-11.4902,-5.4155,-10.2187,-9.65152,-0,-0,-8.20182,-3.89829,-14.855,-14.1938,-30.6244,-22.9356,-19.0177,-27.7363,-33.1417,-44.4401,-41.0351,-29.1803,-26.3112,-32.4203,-17.9365,-33.5459,-37.5323,-22.5635,-33.3636,-34.6647,-18.0677,-26.4423,-3.9583,-12.4683,-17.484,-0,-4.85285,-10.2402,-0,-5.70774,-0,-0,-0,-0,-7.48394,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,1,5,4,2,5,9,7,14,14,16,12,10,12,4,8,11,13,12,3,6,3,4,6,3,4,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-530.096,0.986884,0.0558549,6,63,0,531.272,-2.61175,-1.66801,-0.675941,0.161821,3.80475,-0.760167,-1.77676,5.48348,2.1099,3.3755e-06,5.85728e-06,1.00838e-05,1.72021e-05,2.90413e-05,4.84604e-05,7.98355e-05,0.000129718,0.000207697,0.000327472,0.000508143,0.000775627,0.00116408,0.00171705,0.00248809,0.00354024,0.00494416,0.00677437,0.00910352,0.0119946,0.0154918,0.0195981,0.0242705,0.0294107,0.0348597,0.0403993,0.0457607,0.0506434,0.0547424,0.057781,0.0595451,0.0599117,0.0588654,0.0564993,0.053,0.0486207,0.0436489,0.0383742,0.0330619,0.0279347,0.0231622,0.0188592,0.0150886,0.0118693,0.00918558,0.00699758,0.00525039,0.00388218,0.00283029,0.00203557,0.001445,0.00101298,0.000701637,0.000480426,0.000325367,0.000218063,0.000144704,9.51263e-05,6.19822e-05,4.005e-05,2.56757e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-13.5117,-6.36715,-11.9925,-11.2871,-0,-0,-9.39819,-4.4233,-16.6698,-15.7293,-33.4664,-24.6848,-20.1385,-28.8805,-33.9276,-44.7442,-40.6716,-28.511,-25.3892,-30.9637,-16.995,-31.6088,-35.2496,-21.1659,-31.3158,-32.6037,-17.0469,-25.0452,-3.76523,-11.9123,-16.7753,-0,-4.69012,-9.92438,-0,-5.55136,-0,-0,-0,-0,-7.26209,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,4,3,1,1,4,4,6,11,8,11,10,10,13,13,15,10,16,8,8,5,6,6,3,7,0,5,1,1,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0
-531.063,0.980975,0.0558549,6,63,0,534.025,-2.49521,-2.57514,-2.68408,0.858548,3.60331,-0.103259,-0.670813,4.93967,1.92179,1.84432e-07,5.56068e-07,1.61765e-06,4.48582e-06,1.17119e-05,2.8495e-05,6.42162e-05,0.000133927,0.000259415,0.000469684,0.000800936,0.00129618,0.00200449,0.00297975,0.00427867,0.00595767,0.00806842,0.0106521,0.013733,0.0173125,0.021365,0.0257896,0.0304563,0.0352116,0.0398874,0.044308,0.0482978,0.0516862,0.0543126,0.0560327,0.0567274,0.0563168,0.0547785,0.0521678,0.048628,0.0443794,0.0396807,0.0347822,0.0298921,0.0251701,0.0207356,0.0166782,0.0130636,0.00993487,0.0073119,0.00519,0.0035405,0.00231356,0.00144394,0.000858748,0.000485956,0.000261539,0.00013395,6.539e-05,3.05027e-05,1.36399e-05,5.86839e-06,2.4386e-06,9.82556e-07,3.85285e-07,1.4754e-07,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-12.4247,-5.81592,-10.9082,-10.2462,-0,-0,-8.5759,-4.05633,-15.384,-14.6311,-31.4232,-23.4247,-19.3302,-28.0493,-33.3341,-44.4385,-40.782,-28.8182,-25.8255,-31.6444,-17.4267,-32.4862,-36.2827,-21.8049,-32.2689,-33.5865,-17.5508,-25.7747,-3.8759,-12.281,-17.3517,-0,-4.91825,-10.522,-0,-6.06897,-0,-0,-0,-0,-8.91805,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1,1,3,2,11,9,10,6,11,7,12,7,10,14,13,9,16,8,8,13,7,2,4,4,1,2,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-528.797,0.996579,0.0558549,5,63,0,534.394,-2.40261,-2.17209,-2.51365,-0.225637,4.26262,0.967956,-1.50637,5.01543,2.13691,1.63971e-05,2.4446e-05,3.64522e-05,5.43692e-05,8.11242e-05,0.000121115,0.00018097,0.000270719,0.000405543,0.000608068,0.00091023,0.00135303,0.00198485,0.00286016,0.00403849,0.00558286,0.00755708,0.0100207,0.0130207,0.0165804,0.020687,0.0252383,0.0300893,0.0350673,0.0399863,0.0446553,0.0488806,0.0524647,0.0552053,0.0568985,0.0573616,0.0565048,0.0544136,0.0513068,0.0474373,0.0430439,0.0383407,0.033518,0.0287458,0.0241762,0.0199411,0.0161445,0.0128507,0.0100783,0.00780457,0.00597925,0.00453911,0.0034188,0.00255741,0.00190154,0.00140632,0.0010351,0.000758582,0.000553759,0.000402797,0.000292029,0.000211082,0.000152145,0.000109376,7.84355e-05,5.6115e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-12.4444,-5.85688,-11.0238,-10.3761,-0,-0,-8.68243,-4.09954,-15.513,-14.7176,-31.5323,-23.4534,-19.3153,-27.979,-33.2021,-44.2142,-40.5537,-28.6649,-25.7254,-31.6077,-17.4668,-32.6692,-36.5802,-22.0187,-32.6124,-33.9567,-17.7463,-26.0567,-3.91497,-12.3785,-17.4174,-0,-4.85305,-10.2389,-0,-5.67846,-0,-0,-0,-0,-7.18406,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,3,1,7,4,8,2,8,4,9,9,9,8,14,9,12,19,13,8,13,7,4,6,2,5,5,1,2,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
-528.411,0.99666,0.0558549,6,127,0,532.272,-2.99529,-1.27846,-2.22016,0.145577,3.0481,-0.268463,-1.31739,5.05229,2.11479,3.48529e-06,6.14934e-06,1.08023e-05,1.88629e-05,3.2678e-05,5.60322e-05,9.48487e-05,0.000158084,0.000258781,0.000415216,0.000652027,0.00100122,0.00150293,0.00220581,0.00316689,0.00445092,0.00612894,0.00827618,0.0109694,0.0142839,0.0182899,0.0229154,0.0280521,0.0335517,0.0392227,0.0448305,0.0501009,0.0547304,0.0584055,0.0608327,0.0617813,0.0611292,0.0589007,0.0552772,0.0505685,0.0451549,0.0394198,0.033697,0.0282437,0.0232353,0.0187749,0.0149073,0.0116337,0.008925,0.00673171,0.00499288,0.00364255,0.00261493,0.00184819,0.00128689,0.000883438,0.000598431,0.000400351,0.000264762,0.000173242,0.000112258,7.20978e-05,4.59312e-05,2.90466e-05,1.82463e-05,1.13922e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-13.0007,-6.11666,-11.51,-10.8293,-0,-0,-9.02529,-4.24862,-16.0056,-15.1038,-32.1632,-23.7627,-19.431,-27.9438,-32.9309,-43.58,-39.7648,-27.9963,-25.0574,-30.7424,-16.9914,-31.8494,-35.8131,-21.6836,-32.3349,-33.9035,-17.8344,-26.3346,-3.97523,-12.6177,-17.8154,-0,-5.00093,-10.5995,-0,-5.94652,-0,-0,-0,-0,-7.82317,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,2,3,2,4,5,3,7,7,11,10,10,13,17,13,8,15,14,18,7,5,3,5,2,5,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
