# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 21:36:37 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c24caf6247.json
# init = /tmp/RtmpC8O1hA/init-b41c238c43aac_3.json
# random
#   seed = 1352002
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0121_rep013_accurate_weak/prior_sensitivity_obspair_FAST-202605292236-3-79e4c8.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0121_rep013_accurate_weak/prior_sensitivity_obspair_FAST-profile-202605292236-3-9fb636.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0427465
# Diagonal elements of inverse mass matrix:
# 0.121969, 0.0827464, 0.113622, 0.0731983, 0.258981, 0.111159, 0.180006
-532.224,1,0.0427465,6,127,0,534.073,-0.466719,-4.05747,-0.860015,0.380004,5.08254,-0.0902891,-1.64786,4.6821,1.88025,1.41502e-06,2.90496e-06,5.92598e-06,1.19759e-05,2.38795e-05,4.67431e-05,8.93151e-05,0.000165661,0.000296894,0.000512598,0.000851676,0.00136244,0.00210187,0.00313383,0.00452597,0.00634505,0.00865029,0.0114853,0.014869,0.0187868,0.0231847,0.0279625,0.0329779,0.0380522,0.0429796,0.0475394,0.0515104,0.0546854,0.0568875,0.0579847,0.0579037,0.0566392,0.0542581,0.0508949,0.0467392,0.0420162,0.0369647,0.0318159,0.0267776,0.0220224,0.0176824,0.0138465,0.0105624,0.00783993,0.00565659,0.00396438,0.00269797,0.00178327,0.00114558,0.000716125,0.000436337,0.000259643,0.000151211,8.63775e-05,4.85034e-05,2.68281e-05,1.46445e-05,7.90242e-06,4.22181e-06,2.23592e-06,1.17522e-06,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-12.3299,-5.7655,-10.7958,-10.1202,-0,-0,-8.41696,-3.9746,-15.0571,-14.3076,-30.7072,-22.8816,-18.8822,-27.4158,-32.6257,-43.5924,-40.1335,-28.4758,-25.6408,-31.5816,-17.484,-32.7579,-36.7581,-22.1879,-32.9779,-34.4779,-18.1009,-26.7099,-4.03519,-12.8392,-18.2018,-0,-5.17493,-11.0608,-0,-6.32931,-0,-0,-0,-0,-8.79684,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,3,1,0,5,5,3,5,8,13,13,9,8,13,10,8,16,6,11,8,13,11,7,2,1,3,2,3,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-529.728,0.995749,0.0427465,6,63,0,534.204,-0.889427,-3.28921,-0.852513,0.268047,4.98239,-0.0312632,-0.633333,4.77124,1.83562,1.57546e-06,3.01428e-06,5.75087e-06,1.09244e-05,2.06175e-05,3.85441e-05,7.11089e-05,0.000128894,0.000228512,0.000394617,0.000661723,0.00107545,0.00169278,0.00258105,0.00381508,0.00547238,0.00762597,0.0103352,0.0136352,0.0175267,0.021967,0.0268608,0.0320637,0.0373876,0.042611,0.047493,0.0517898,0.0552721,0.0577429,0.0590542,0.0591219,0.0579358,0.055564,0.052148,0.047888,0.0430209,0.0377978,0.0324632,0.0272389,0.022312,0.0178271,0.0138824,0.0105286,0.00777302,0.00558516,0.00390667,0.00266191,0.00176881,0.00114795,0.000728935,0.000453773,0.000277496,0.000167036,9.91577e-05,5.81517e-05,3.37441e-05,1.94013e-05,1.10658e-05,6.26758e-06,3.52829e-06,1.9756e-06,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-12.7628,-5.95956,-11.1376,-10.4161,-0,-0,-8.5902,-4.04403,-15.2729,-14.4683,-30.9603,-23.0049,-18.9339,-27.4246,-32.5662,-43.4323,-39.9246,-28.293,-25.4534,-31.3326,-17.3413,-32.4904,-36.4667,-22.0225,-32.755,-34.2765,-18.0155,-26.6184,-4.02703,-12.8314,-18.2146,-0,-5.18764,-11.0901,-0,-6.33745,-0,-0,-0,-0,-8.6973,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,2,1,1,4,7,7,7,3,9,7,5,9,12,14,10,18,16,10,9,12,6,8,4,1,4,1,1,2,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
-532.018,0.990452,0.0427465,6,63,0,538.194,-0.702883,-2.80651,-0.93611,0.370609,5.49663,0.551701,-0.0398347,4.91051,1.74853,3.89152e-07,8.02974e-07,1.65677e-06,3.41765e-06,7.04472e-06,1.44894e-05,2.96352e-05,5.98622e-05,0.000118167,0.000225369,0.00041194,0.000719358,0.00120094,0.00192202,0.00295923,0.00439811,0.00632805,0.00883299,0.0119771,0.0157869,0.0202346,0.0252066,0.0305388,0.0360284,0.0414527,0.0465832,0.0511944,0.0550701,0.0580101,0.0598392,0.0604211,0.0596777,0.0576163,0.0543555,0.0501214,0.0451952,0.0398565,0.0343568,0.0289134,0.0237095,0.0188958,0.0145904,0.0108781,0.00780578,0.00537812,0.00355518,0.00225771,0.00138188,0.000818972,0.000472373,0.000266458,0.000147615,8.05896e-05,4.34762e-05,2.32254e-05,1.23062e-05,6.47569e-06,3.38758e-06,1.76313e-06,9.1359e-07,4.71545e-07,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-13.4493,-6.25438,-11.6457,-10.8532,-0,-0,-8.84952,-4.14857,-15.6014,-14.7226,-31.3988,-23.2641,-19.0992,-27.5986,-32.6934,-43.4872,-39.8599,-28.1609,-25.2578,-31.0068,-17.1237,-32.0343,-35.9197,-21.6774,-32.2247,-33.7095,-17.7173,-26.1932,-3.96882,-12.6822,-18.084,-0,-5.22542,-11.2787,-0,-6.58431,-0,-0,-0,-0,-9.42614,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,3,4,7,1,5,5,4,10,10,15,13,15,12,9,9,10,15,11,8,6,3,5,3,5,3,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-530.729,0.999942,0.0427465,7,127,0,533.805,-3.95502,-0.921696,-1.60603,-0.122546,2.49688,-0.425184,-1.25581,4.96547,2.25156,7.84958e-06,1.21655e-05,1.88279e-05,2.90858e-05,4.48275e-05,6.88849e-05,0.000105465,0.000160748,0.000243706,0.000367174,0.000549252,0.000815037,0.00119871,0.00174588,0.00251608,0.00358507,0.00504665,0.0070134,0.00961607,0.0130009,0.0173247,0.0225338,0.0285073,0.0350434,0.041851,0.0485518,0.0546996,0.0598207,0.0634762,0.0653347,0.0652373,0.0632311,0.0595584,0.0546036,0.0488182,0.042648,0.0364788,0.0306073,0.025235,0.020476,0.0163737,0.0129191,0.0100687,0.00775865,0.00591622,0.00446775,0.00334373,0.00248174,0.0018278,0.00133658,0.000970917,0.000700974,0.000503211,0.000359344,0.000255358,0.000180644,0.000127253,8.92923e-05,6.24262e-05,4.34927e-05,3.02014e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-13.453,-6.3505,-11.9701,-11.262,-0,-0,-9.28864,-4.34274,-16.2225,-15.1709,-32.0184,-23.4582,-19.0418,-27.2261,-31.9649,-42.2461,-38.5993,-27.2823,-24.5675,-30.3705,-16.9248,-31.9842,-36.2358,-22.0834,-33.1102,-34.8652,-18.3976,-27.2195,-4.11208,-13.0471,-18.3933,-0,-5.13006,-10.8217,-0,-5.9988,-0,-0,-0,-0,-7.5945,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,7,7,4,7,4,7,16,13,10,18,5,9,7,16,13,11,5,7,10,6,2,0,1,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-529.111,0.998928,0.0427465,7,127,0,532.22,-2.88341,-2.63396,-2.02784,-0.199048,3.74325,0.774077,-2.06718,4.80028,2.03494,1.24496e-05,1.87573e-05,2.82628e-05,4.25897e-05,6.41894e-05,9.67656e-05,0.000145922,0.000220147,0.000332298,0.000501747,0.000757119,0.00113877,0.00169962,0.00250435,0.00362787,0.00515294,0.00716592,0.00974901,0.012968,0.016856,0.0213966,0.0264842,0.0319508,0.0375799,0.043125,0.0483235,0.0529067,0.0566053,0.059161,0.0603559,0.060075,0.0583632,0.0554007,0.0514342,0.0467306,0.0415563,0.036169,0.0308107,0.0256979,0.0210064,0.0168568,0.0133063,0.0103546,0.00795921,0.00605372,0.00456262,0.0034116,0.00253322,0.00186942,0.00137199,0.00100195,0.000728446,0.000527457,0.00038051,0.000273569,0.000196067,0.000140114,9.9857e-05,7.0986e-05,5.0341e-05,3.56181e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-12.7547,-5.98972,-11.2382,-10.5364,-0,-0,-8.69053,-4.08305,-15.3781,-14.5248,-30.992,-22.969,-18.8619,-27.2685,-32.3315,-43.0748,-39.5849,-28.075,-25.3094,-31.2518,-17.359,-32.642,-36.7603,-22.2649,-33.1955,-34.7989,-18.3067,-27.0405,-4.083,-12.9586,-18.2813,-0,-5.10708,-10.7797,-0,-5.97826,-0,-0,-0,-0,-7.54744,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,6,3,7,8,10,6,5,20,13,9,12,14,13,13,8,10,11,4,5,2,4,2,1,2,2,3,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
-527.322,0.997316,0.0427465,6,63,0,532.693,-3.07869,-2.28609,-1.41337,-0.346212,3.29129,0.281197,-1.02295,4.99907,2.24618,2.49378e-05,3.55306e-05,5.06295e-05,7.21579e-05,0.000102866,0.00014669,0.000209274,0.00029871,0.000426604,0.00060954,0.00087099,0.00124355,0.00177105,0.00250999,0.00352942,0.00490904,0.00673471,0.00909109,0.012051,0.0156623,0.0199348,0.0248044,0.0301429,0.0357579,0.0413997,0.0467743,0.051561,0.0554393,0.0581258,0.0594233,0.0592591,0.0576932,0.0548931,0.0510968,0.0465789,0.0416232,0.0365001,0.0314472,0.0266549,0.0222594,0.0183418,0.0149349,0.0120338,0.00960685,0.00760715,0.00598052,0.00467183,0.00362884,0.00280439,0.00215733,0.0016527,0.00126133,0.000959312,0.000727295,0.000549775,0.00041445,0.000311637,0.000233764,0.000174948,0.00013064,9.73424e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-12.6724,-5.98748,-11.2932,-10.6334,-0,-0,-8.83722,-4.1565,-15.6611,-14.7869,-31.5162,-23.3169,-19.1069,-27.5618,-32.6149,-43.387,-39.832,-28.2307,-25.4325,-31.3788,-17.4142,-32.7144,-36.7993,-22.2537,-33.1044,-34.5945,-18.1239,-26.6349,-3.99857,-12.6122,-17.6802,-0,-4.87867,-10.2385,-0,-5.61884,-0,-0,-0,-0,-6.94929,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,5,4,6,8,8,7,10,11,7,18,10,16,12,11,16,7,7,5,7,2,4,0,2,5,2,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0
