# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 21:48:20 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c23fbee57d.json
# init = /tmp/RtmpC8O1hA/init-b41c250eebd89_4.json
# random
#   seed = 1352003
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0122_rep013_accurate_moderate/prior_sensitivity_obspair_FAST-202605292248-4-9fc051.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0122_rep013_accurate_moderate/prior_sensitivity_obspair_FAST-profile-202605292248-4-407efd.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.125472
# Diagonal elements of inverse mass matrix:
# 0.0872157, 0.066399, 0.0293002, 0.0176322, 0.0531783, 0.0323965, 0.0345151
-530.354,0.995656,0.125472,5,31,0,532.317,-2.26011,-2.31093,-0.912214,-0.209785,3.91895,0.198463,-0.3811,4.93187,1.99119,8.91459e-06,1.33755e-05,2.0072e-05,3.01281e-05,4.52363e-05,6.79495e-05,0.000102122,0.00015358,0.000231118,0.000347966,0.000523814,0.000787422,0.00117961,0.00175615,0.00258993,0.00377128,0.00540536,0.00760505,0.0104785,0.0141118,0.0185479,0.0237509,0.0296003,0.0358864,0.0423165,0.0485339,0.0541439,0.0587506,0.0620011,0.0636379,0.0635464,0.0617742,0.0585127,0.054053,0.0487397,0.0429322,0.0369722,0.0311584,0.0257274,0.0208429,0.0165947,0.0130076,0.0100559,0.00768056,0.00580499,0.00434768,0.00323064,0.00238421,0.00174904,0.00127635,0.00092707,0.000670579,0.000483243,0.000347068,0.000248502,0.000177428,0.000126354,8.97643e-05,6.36259e-05,4.50014e-05,3.17624e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-13.4851,-6.34463,-11.9122,-11.1607,-0,-0,-9.11685,-4.26075,-15.9496,-14.9605,-31.6797,-23.2918,-18.9755,-27.2294,-32.0772,-42.5168,-38.9284,-27.5455,-24.8039,-30.627,-17.0311,-32.0957,-36.2551,-22.0369,-32.9759,-34.6867,-18.301,-27.0952,-4.09867,-13.0267,-18.3984,-0,-5.14904,-10.8762,-0,-6.03889,-0,-0,-0,-0,-7.63499,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,2,4,1,2,7,7,10,9,15,6,17,10,7,15,13,9,6,18,11,2,7,3,5,5,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-529.28,0.997104,0.125472,5,31,0,533.803,-1.01419,-1.26365,-1.69282,-0.539982,3.78379,0.241374,-1.19705,4.7099,2.42216,4.81749e-05,6.46797e-05,8.69336e-05,0.000117013,0.000157802,0.000213347,0.000289387,0.000394168,0.000539645,0.00074321,0.00102994,0.00143513,0.0020065,0.00280547,0.00390714,0.00539869,0.00737621,0.00993981,0.0131871,0.0172051,0.0220625,0.0275824,0.0335366,0.0396483,0.0455996,0.051044,0.0556254,0.0590067,0.0609114,0.0611762,0.0597997,0.056955,0.0529492,0.0481498,0.0429184,0.0375694,0.0323534,0.0274534,0.0229897,0.0190278,0.0155887,0.0126595,0.0102044,0.00817402,0.00651348,0.00516765,0.00408492,0.00321907,0.00253008,0.00198402,0.00155272,0.00121303,0.000946147,0.000736899,0.000573139,0.00044518,0.00034533,0.000267503,0.0002069,0.000159743,0.000123069,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-12.4227,-5.87618,-11.0899,-10.4432,-0,-0,-8.65704,-4.06255,-15.2555,-14.3623,-30.5561,-22.594,-18.5271,-26.7756,-31.7803,-42.4516,-39.1767,-27.94,-25.3508,-31.5204,-17.6305,-33.3678,-37.7815,-22.9709,-34.3104,-35.9527,-18.8635,-27.733,-4.16121,-13.108,-18.3398,-0,-5.03388,-10.5307,-0,-5.73866,-0,-0,-0,-0,-6.96311,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,5,5,5,9,11,5,12,18,12,10,8,18,6,6,8,7,8,3,4,7,4,5,2,1,1,2,3,2,2,0,0,1,0,0,2,0,0,0,0,0,0,0
-532.4,0.992537,0.125472,3,7,0,532.877,-1.4656,-0.848318,-1.88179,-0.746646,3.78329,0.215675,-1.37517,5.48075,2.8961,4.11197e-05,5.25204e-05,6.72245e-05,8.62793e-05,0.000111121,0.000143753,0.000187027,0.000245082,0.000324045,0.000433103,0.000586088,0.000803587,0.00111552,0.00156396,0.00220596,0.00311623,0.00438938,0.00614145,0.00851021,0.0116541,0.0157493,0.0206759,0.0262749,0.0323396,0.0386085,0.0447627,0.0504304,0.0552072,0.0586996,0.0605951,0.060743,0.0592036,0.0562289,0.0521847,0.0474634,0.0424216,0.0373498,0.0324637,0.0279089,0.0237716,0.0200906,0.01687,0.01409,0.0117164,0.00970745,0.0080189,0.00660759,0.00543331,0.00445978,0.00365509,0.00299158,0.0024456,0.00199709,0.00162918,0.00132773,0.00108097,0.000879088,0.000713987,0.000578955,0.000468456,0.00037793,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-13.5969,-6.46053,-12.2332,-11.5423,-0,-0,-9.53298,-4.4521,-16.6038,-15.5151,-32.7523,-24.0202,-19.5257,-27.9574,-32.8588,-43.4499,-39.6945,-28.0354,-25.2099,-31.0945,-17.2699,-32.4826,-36.5736,-22.1207,-32.8743,-34.2763,-17.894,-26.1749,-3.9075,-12.2467,-17.0492,-0,-4.63486,-9.65191,-0,-5.21521,-0,-0,-0,-0,-6.21606,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,2,1,2,4,7,9,10,12,13,17,20,17,16,5,14,2,6,8,4,1,0,8,3,4,1,4,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0
-532.132,1,0.125472,5,31,0,535.576,-1.51936,-0.865362,-1.874,-0.749795,3.61086,0.201927,-1.38454,5.45144,2.91166,4.63737e-05,5.91458e-05,7.55805e-05,9.68186e-05,0.000124413,0.000160513,0.000208144,0.000271651,0.000357391,0.000474798,0.000637959,0.000867752,0.00119449,0.00166082,0.00232459,0.00326151,0.00456715,0.0063582,0.00877233,0.0119665,0.0161134,0.0210945,0.026747,0.0328554,0.0391449,0.0452796,0.0508709,0.0555043,0.0587906,0.0604429,0.0603527,0.0586227,0.0555291,0.0514402,0.0467364,0.0417566,0.0367737,0.0319888,0.0275365,0.0234953,0.0198992,0.0167499,0.0140273,0.0116976,0.00972068,0.00805428,0.00665714,0.00549086,0.00452076,0.0037162,0.0030506,0.00250108,0.0020482,0.00167553,0.00136923,0.00111773,0.000911378,0.000742142,0.000603352,0.000489487,0.000395982,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-13.4601,-6.40045,-12.1284,-11.4511,-0,-0,-9.47231,-4.42564,-16.5124,-15.435,-32.592,-23.9095,-19.4429,-27.8541,-32.7631,-43.3694,-39.6728,-28.0606,-25.2679,-31.203,-17.3451,-32.6407,-36.7588,-22.2313,-33.0297,-34.4237,-17.9612,-26.2567,-3.91708,-12.2681,-17.067,-0,-4.6335,-9.6431,-0,-5.20467,-0,-0,-0,-0,-6.19079,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,2,2,1,3,3,2,1,6,6,8,11,11,15,18,13,10,9,8,14,10,9,5,6,6,3,1,1,2,3,2,2,1,0,2,0,1,0,0,0,0,0,0,0,0,0
-529.533,0.967213,0.125472,4,15,0,537.447,-1.50406,-2.16758,-1.71595,-0.205949,3.75707,0.355652,-1.32848,4.54928,2.04458,1.69813e-05,2.5519e-05,3.83557e-05,5.76633e-05,8.67177e-05,0.000130464,0.000196366,0.000295664,0.000445146,0.000669427,0.00100337,0.00149383,0.00219991,0.00319139,0.00454552,0.00634221,0.00865735,0.0115541,0.0150728,0.0192202,0.0239617,0.029166,0.0346497,0.0401861,0.0455178,0.0503716,0.0544734,0.0575652,0.0594273,0.0599092,0.0589664,0.0566827,0.0532544,0.0489444,0.0440363,0.0388056,0.0335041,0.0283503,0.0235221,0.0191503,0.0153156,0.0120493,0.0093407,0.00714715,0.00540699,0.00405061,0.00300896,0.00221893,0.00162602,0.00118496,0.000859357,0.000620539,0.000446366,0.000319968,0.000228642,0.000162915,0.000115776,8.20761e-05,5.80529e-05,4.09726e-05,2.88578e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-12.2387,-5.7473,-10.7872,-10.1211,-0,-0,-8.38973,-3.95179,-14.9252,-14.139,-30.2622,-22.4996,-18.5379,-26.895,-32.0105,-42.8226,-39.522,-28.1493,-25.4771,-31.5731,-17.596,-33.1878,-37.4729,-22.7443,-33.9609,-35.6312,-18.7491,-27.6881,-4.17888,-13.2562,-18.6935,-0,-5.22006,-11.0178,-0,-6.11073,-0,-0,-0,-0,-7.71437,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,2,3,1,3,0,9,10,13,9,8,8,10,10,11,9,17,4,6,12,8,12,5,7,2,0,5,3,0,4,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-528.018,0.999357,0.125472,4,23,0,531.683,-2.30353,-2.1148,-0.94307,-0.358764,3.6001,0.135532,-0.647145,5.01169,2.19641,2.11157e-05,2.99607e-05,4.25209e-05,6.0366e-05,8.57383e-05,0.000121846,0.000173295,0.000246709,0.000351641,0.000501866,0.000717173,0.00102568,0.00146653,0.00209252,0.00297199,0.00418897,0.00584055,0.00803047,0.010858,0.0144027,0.0187063,0.0237356,0.0293784,0.0354358,0.0416258,0.0475981,0.0529615,0.0573242,0.0603467,0.0617982,0.0615973,0.0598186,0.0566653,0.0524267,0.0474348,0.042026,0.0365102,0.0311484,0.0261381,0.0216096,0.0176309,0.0142182,0.0113502,0.00898089,0.00705173,0.00549998,0.00426461,0.0032897,0.00252608,0.00193183,0.00147197,0.00111787,0.000846399,0.00063909,0.000481332,0.000361662,0.000271143,0.000202853,0.000151457,0.00011286,8.39334e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-13.0497,-6.16939,-11.637,-10.9506,-0,-0,-9.0457,-4.24034,-15.9156,-14.9631,-31.7475,-23.3802,-19.0742,-27.4047,-32.3201,-42.8855,-39.3071,-27.8388,-25.0842,-30.9808,-17.2236,-32.4317,-36.5808,-22.1863,-33.1016,-34.6899,-18.2218,-26.8423,-4.0381,-12.7597,-17.9141,-0,-4.95448,-10.406,-0,-5.71696,-0,-0,-0,-0,-7.07452,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,3,3,7,6,7,6,9,9,8,8,24,9,14,8,8,9,13,7,6,10,2,7,6,1,1,1,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
