# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 21:54:17 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c26e085021.json
# init = /tmp/RtmpC8O1hA/init-b41c242ce224a_4.json
# random
#   seed = 1352004
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0123_rep013_accurate_strong/prior_sensitivity_obspair_FAST-202605292254-4-72b72f.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0123_rep013_accurate_strong/prior_sensitivity_obspair_FAST-profile-202605292254-4-2ac423.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.138269
# Diagonal elements of inverse mass matrix:
# 0.0648883, 0.0620988, 0.0063372, 0.0055075, 0.0118706, 0.00559113, 0.00798234
-529.034,0.979199,0.138269,4,15,0,535.204,-2.01336,-2.28055,-1.4207,-0.42323,3.36765,-0.0778873,-1.11243,5.12681,2.43281,5.25549e-05,7.29472e-05,0.000101262,0.000140583,0.000195189,0.000271016,0.000376267,0.000522225,0.000724267,0.00100305,0.00138574,0.00190706,0.0026097,0.00354386,0.00476549,0.00633308,0.00830302,0.0107238,0.0136293,0.0170323,0.0209185,0.0252125,0.0297972,0.034516,0.0391776,0.0435658,0.0474535,0.0506214,0.052881,0.0540982,0.0542124,0.0532435,0.051285,0.0484869,0.0450333,0.0411228,0.0369517,0.0327002,0.0285238,0.0245471,0.020861,0.0175243,0.0145659,0.0119908,0.00978532,0.00792312,0.00637028,0.00508954,0.00404331,0.00319583,0.00251441,0.0019701,0.00153781,0.00119626,0.000927649,0.000717266,0.000553103,0.000425437,0.000326457,0.000249933,0.000190921,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-11.897,-5.64254,-10.6927,-10.1239,-0,-0,-8.59106,-4.07264,-15.4685,-14.7217,-31.6201,-23.5643,-19.4379,-28.2013,-33.528,-44.7507,-41.1559,-29.1695,-26.2336,-32.2617,-17.8221,-33.2911,-37.2042,-22.3383,-32.9814,-34.2037,-17.7851,-25.9501,-3.86987,-12.1325,-16.9163,-0,-4.62687,-9.67594,-0,-5.28057,-0,-0,-0,-0,-6.4774,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,2,5,3,4,7,4,10,15,12,8,12,11,10,6,10,13,3,7,5,10,8,7,5,3,3,2,3,2,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0
-528.597,0.999242,0.138269,4,31,0,530.295,-2.11822,-1.69968,-1.23944,-0.264659,3.84814,0.0648292,-1.0896,5.08701,2.16169,1.26383e-05,1.85646e-05,2.72783e-05,4.00994e-05,5.89802e-05,8.68145e-05,0.000127899,0.000188618,0.000278433,0.00041128,0.000607389,0.000895449,0.00131486,0.0019176,0.00276921,0.00394833,0.00554399,0.00765045,0.0103589,0.0137465,0.0178636,0.0226836,0.0281154,0.0339948,0.0400839,0.0460774,0.0516189,0.0563282,0.0598425,0.0618693,0.0622428,0.06096,0.0581774,0.0541708,0.0492787,0.0438528,0.0382212,0.0326656,0.027408,0.0226055,0.0183523,0.0146865,0.0116019,0.00906015,0.00700362,0.00536573,0.0040788,0.00307933,0.00231079,0.00172486,0.00128144,0.000948012,0.000698696,0.000513191,0.000375769,0.000274363,0.000199796,0.000145139,0.00010519,7.60684e-05,5.48901e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-13.2681,-6.25668,-11.7784,-11.0689,-0,-0,-9.13982,-4.28697,-16.1,-15.1444,-32.143,-23.6708,-19.3007,-27.6969,-32.6025,-43.1484,-39.4246,-27.8273,-24.9904,-30.7729,-17.0655,-32.0717,-36.1232,-21.8884,-32.6437,-34.2143,-17.9846,-26.5269,-3.998,-12.6625,-17.8263,-0,-4.96133,-10.4554,-0,-5.78304,-0,-0,-0,-0,-7.2663,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,3,6,7,5,5,5,12,6,15,8,10,20,8,14,10,8,7,11,16,4,3,2,3,2,1,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
-528.444,0.996876,0.138269,5,31,0,529.632,-2.00223,-2.6169,-1.29069,-0.439146,3.39836,0.00584103,-1.11518,5.06185,2.39693,5.61803e-05,7.75739e-05,0.000107125,0.000147953,0.000204367,0.000282327,0.000390051,0.000538837,0.000744116,0.00102671,0.00141421,0.00194218,0.00265483,0.00360458,0.00485024,0.00645343,0.00847329,0.0109596,0.0139449,0.0174366,0.0214102,0.0257852,0.0304375,0.0352017,0.0398786,0.0442464,0.0480756,0.0511494,0.0532858,0.0543612,0.0543271,0.0532139,0.0511222,0.0482051,0.0446485,0.0406529,0.0364162,0.0321215,0.0279255,0.0239524,0.020291,0.0169957,0.0140904,0.0115746,0.00943003,0.00762658,0.00612777,0.00489484,0.00388961,0.00307638,0.00242294,0.00190103,0.00148638,0.0011585,0.000900326,0.000697806,0.000539486,0.000416103,0.000320221,0.000245901,0.000188433,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-11.8627,-5.62555,-10.6575,-10.0863,-0,-0,-8.54528,-4.04918,-15.3755,-14.6318,-31.4287,-23.4266,-19.3315,-28.0618,-33.3848,-44.5951,-41.0492,-29.121,-26.2146,-32.2678,-17.8412,-33.3552,-37.3072,-22.4188,-33.1274,-34.3823,-17.8911,-26.1218,-3.89758,-12.2244,-17.0491,-0,-4.66386,-9.75223,-0,-5.31957,-0,-0,-0,-0,-6.51141,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,6,4,5,8,9,9,9,7,12,9,11,11,10,9,12,7,6,6,3,10,10,2,3,6,2,4,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0
-528.757,0.995532,0.138269,4,31,0,530.907,-1.912,-2.55341,-1.23491,-0.460516,3.4916,0.0498718,-0.889911,5.04683,2.39585,5.88079e-05,8.06627e-05,0.000110658,0.000151838,0.000208396,0.000286106,0.000392913,0.000539738,0.000741516,0.00101849,0.00139767,0.00191419,0.00261221,0.00354477,0.00477214,0.00635842,0.00836618,0.0108493,0.0138444,0.0173626,0.0213812,0.0258195,0.03055,0.0354015,0.0401666,0.0446137,0.0485039,0.0516115,0.0537488,0.0547905,0.054691,0.053488,0.0512915,0.0482648,0.0446031,0.0405146,0.0362034,0.0318558,0.0276296,0.0236474,0.0199948,0.0167215,0.013847,0.0113663,0.00925766,0.00748829,0.00602013,0.0048136,0.00383029,0.00303468,0.00239499,0.00188351,0.00147653,0.00115412,0.000899689,0.000699603,0.000542749,0.000420138,0.000324541,0.000250186,0.000192478,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-11.8951,-5.64228,-10.6899,-10.1159,-0,-0,-8.55974,-4.05344,-15.381,-14.6265,-31.3955,-23.387,-19.2883,-27.9874,-33.2872,-44.4602,-40.9281,-29.0424,-26.1545,-32.2113,-17.8214,-33.3416,-37.3194,-22.4427,-33.186,-34.4654,-17.9443,-26.2115,-3.91228,-12.2732,-17.1187,-0,-4.6823,-9.78883,-0,-5.33631,-0,-0,-0,-0,-6.51806,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,4,4,5,1,1,6,7,7,7,11,12,12,11,15,11,14,9,3,8,5,3,13,3,3,5,4,4,0,2,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0
-533.674,0.989184,0.138269,4,15,0,535.614,-2.85066,-1.65733,-1.26413,-0.396376,3.12414,0.275456,-0.660526,4.89803,2.28766,2.3815e-05,3.3359e-05,4.67396e-05,6.55099e-05,9.18624e-05,0.0001289,0.000181032,0.000254551,0.000358486,0.000505845,0.000715419,0.00101424,0.00144066,0.00204756,0.00290494,0.00410095,0.00574036,0.00793943,0.0108165,0.0144779,0.0190004,0.024353,0.0304158,0.0369667,0.0436782,0.0501263,0.0558202,0.0602603,0.0630323,0.0639056,0.062884,0.0601761,0.0561224,0.0511205,0.0455691,0.039829,0.0341985,0.0289012,0.0240838,0.0198243,0.0161446,0.0130265,0.0104264,0.00828703,0.0065463,0.00514331,0.00402161,0.00313106,0.00242828,0.00187664,0.00144568,0.00111043,0.000850618,0.000649964,0.000495484,0.000376891,0.000286087,0.000216725,0.000163859,0.000123645,9.31132e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-13.0853,-6.19111,-11.6827,-10.9931,-0,-0,-9.05337,-4.23513,-15.8532,-14.8604,-31.4351,-23.0842,-18.7854,-26.9389,-31.7418,-42.1362,-38.6975,-27.5035,-24.8982,-30.9153,-17.2813,-32.7093,-37.0623,-22.5621,-33.7557,-35.4387,-18.6311,-27.4459,-4.12617,-13.0223,-18.2536,-0,-5.02885,-10.5401,-0,-5.76639,-0,-0,-0,-0,-7.06955,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,5,1,0,3,2,3,9,11,7,16,12,13,7,9,9,13,7,12,5,8,8,10,7,1,2,2,5,2,0,1,2,0,2,0,0,0,0,0,0,0,1,0,0,0
-534.379,0.971407,0.138269,5,31,0,544.507,-1.24212,-1.12098,-1.27847,-0.351154,3.87701,-0.121468,-1.4454,4.81925,2.26225,1.30676e-05,1.86275e-05,2.65786e-05,3.79731e-05,5.43473e-05,7.79615e-05,0.000112171,0.000162,0.000235034,0.000342771,0.000502601,0.000740523,0.00109454,0.00161837,0.00238487,0.00348814,0.0050433,0.00718315,0.0100509,0.0137891,0.0185249,0.0241872,0.030616,0.0375532,0.0446442,0.0514526,0.0574918,0.0622753,0.0653824,0.0665313,0.0656371,0.0628347,0.0584493,0.052927,0.04675,0.0403649,0.0341378,0.0283357,0.0231267,0.0185935,0.014751,0.0115666,0.00897783,0.00690767,0.00527511,0.00400269,0.00302071,0.00226911,0.00169779,0.00126602,0.000941298,0.000698077,0.000516538,0.000381443,0.00028117,0.00020691,0.000152022,0.000111521,8.16786e-05,5.97171e-05,4.35712e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-13.6349,-6.42634,-12.0772,-11.3168,-0,-0,-9.20018,-4.28388,-15.9546,-14.8877,-31.3761,-22.974,-18.6542,-26.7038,-31.4172,-41.6429,-38.185,-27.1008,-24.5125,-30.4397,-17.0376,-32.3273,-36.7553,-22.4686,-33.7735,-35.6363,-18.8338,-27.8946,-4.21644,-13.3789,-18.852,-0,-5.24476,-11.0416,-0,-6.08837,-0,-0,-0,-0,-7.56836,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,4,1,2,6,10,11,14,9,12,7,18,14,12,15,13,5,9,6,3,5,1,4,3,2,0,4,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
