# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 21:58:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c26c5fc9cc.json
# init = /tmp/RtmpC8O1hA/init-b41c251dd9795_1.json
# random
#   seed = 1352005
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0124_rep013_mildly_wrong_weak/prior_sensitivity_obspair_FAST-202605292258-1-72fcf3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0124_rep013_mildly_wrong_weak/prior_sensitivity_obspair_FAST-profile-202605292258-1-450781.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0613755
# Diagonal elements of inverse mass matrix:
# 0.103887, 0.0883673, 0.092024, 0.0683783, 0.163477, 0.177577, 0.150142
-528.125,0.997946,0.0613755,6,63,0,532.926,-2.4654,-1.54324,-1.09158,-0.296866,2.75015,-0.321447,-0.409294,4.827,2.30456,2.29085e-05,3.31983e-05,4.80982e-05,6.96615e-05,0.000100843,0.000145883,0.000210838,0.000304311,0.000438426,0.000630083,0.000902515,0.00128709,0.00182519,0.00256998,0.00358748,0.00495662,0.00676763,0.0091184,0.0121085,0.0158313,0.0203642,0.0256414,0.0315127,0.0377352,0.0439766,0.0498361,0.0548852,0.0587261,0.0610555,0.0617164,0.0607192,0.0582286,0.0545212,0.0499323,0.0448064,0.0394598,0.0341575,0.0291033,0.024439,0.0202503,0.0165756,0.0134167,0.0107494,0.00853246,0.00671544,0.00524467,0.00406731,0.00313413,0.00240103,0.00182968,0.00138755,0.00104761,0.000787748,0.000590145,0.000440594,0.000327898,0.000243307,0.00018004,0.000132875,9.78187e-05,7.18342e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-12.6121,-5.96386,-11.2606,-10.6141,-0,-0,-8.82769,-4.14577,-15.5759,-14.6542,-31.1163,-22.9401,-18.7446,-26.9911,-31.9276,-42.5231,-39.1436,-27.8521,-25.2135,-31.2772,-17.455,-32.968,-37.2648,-22.6273,-33.7677,-35.369,-18.5579,-27.2971,-4.09983,-12.9338,-18.1316,-0,-5.00335,-10.5011,-0,-5.7654,-0,-0,-0,-0,-7.14633,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,6,6,5,5,4,13,15,11,17,13,12,11,6,15,6,7,6,9,7,4,4,2,0,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0
-530.662,0.905766,0.0613755,3,15,0,534.591,-2.45072,-1.50768,-1.12218,-0.225093,2.58073,-0.290425,-0.13668,4.54671,2.18886,1.63806e-05,2.43993e-05,3.63316e-05,5.4074e-05,8.0428e-05,0.000119515,0.000177367,0.000262748,0.000388265,0.000571815,0.000838383,0.0012221,0.0017684,0.00253595,0.00359796,0.00504236,0.00697064,0.00949519,0.0127359,0.0168177,0.0218737,0.0277932,0.0343641,0.0412632,0.0480631,0.0542647,0.0593565,0.0628945,0.0645831,0.0643297,0.0622519,0.0586373,0.0538743,0.0483814,0.0425506,0.0367133,0.0311249,0.0259638,0.0213379,0.017297,0.0138452,0.0109542,0.0085751,0.00664769,0.00510793,0.00389318,0.00294556,0.00221371,0.0016536,0.00122837,0.000907898,0.000667945,0.000489343,0.000357114,0.000259691,0.000188227,0.000136014,9.80061e-05,7.04303e-05,5.04843e-05,3.60972e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-12.6754,-5.97719,-11.2548,-10.5798,-0,-0,-8.72666,-4.08532,-15.2899,-14.3319,-30.3367,-22.3145,-18.2114,-26.2249,-31.0661,-41.4944,-38.3572,-27.4373,-24.9891,-31.2002,-17.5266,-33.315,-37.8847,-23.1323,-34.6975,-36.5105,-19.2363,-28.4006,-4.27982,-13.5421,-19.0356,-0,-5.27696,-11.0971,-0,-6.11308,-0,-0,-0,-0,-7.62245,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,1,1,1,5,3,5,8,5,10,10,18,9,8,8,9,12,4,14,9,6,7,10,4,9,1,2,4,3,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-532.039,0.994002,0.0613755,6,127,0,534.689,-2.2307,-2.08905,-2.05304,0.249075,5.84096,1.28609,-0.301993,5.41128,1.87609,1.08622e-06,2.06372e-06,3.92225e-06,7.45942e-06,1.42036e-05,2.71009e-05,5.18276e-05,9.8785e-05,0.000184149,0.000329111,0.000559598,0.000906767,0.0014078,0.00210678,0.00305553,0.00431412,0.00595045,0.00803745,0.0106451,0.0138236,0.0175773,0.0217983,0.026328,0.0309981,0.0356575,0.0401727,0.0444193,0.0482733,0.0516033,0.0542661,0.0561021,0.0569338,0.0565699,0.054854,0.0518536,0.0479478,0.0435266,0.0388649,0.0341462,0.0294954,0.0250035,0.0207423,0.016775,0.0131623,0.00996596,0.00724691,0.00505177,0.00338617,0.00219726,0.0013903,0.000862775,0.000527281,0.000318278,0.000190156,0.000112626,6.62103e-05,3.86714e-05,2.24581e-05,1.29763e-05,7.4638e-06,4.27554e-06,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-13.1315,-6.16259,-11.5816,-10.8917,-0,-0,-9.0853,-4.28138,-16.1646,-15.3037,-32.7341,-24.3168,-20.0028,-28.9311,-34.2549,-45.4632,-41.4984,-29.1386,-25.9252,-31.5245,-17.2337,-31.9339,-35.512,-21.2635,-31.3438,-32.4766,-16.8855,-24.6646,-3.68874,-11.6267,-16.3515,-0,-4.60858,-9.85436,-0,-5.68805,-0,-0,-0,-0,-8.05258,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,5,3,4,4,4,10,5,7,9,10,11,8,19,9,11,13,7,6,12,11,5,2,2,5,3,1,3,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0
-530.795,0.983101,0.0613755,6,63,0,538.177,-2.49681,-3.03256,-0.687464,-0.671117,2.96366,0.692994,-0.683195,5.04894,2.62837,0.000116186,0.00015009,0.000193915,0.00025058,0.00032388,0.000418747,0.000541612,0.00070088,0.000907579,0.00117623,0.00152608,0.00198274,0.0025805,0.00336517,0.00439705,0.00575284,0.00752467,0.00981453,0.0127216,0.0163208,0.0206356,0.0256056,0.0310734,0.0367857,0.0424113,0.047571,0.0518812,0.055014,0.0567571,0.0570395,0.055925,0.0535884,0.0502843,0.0463076,0.0419515,0.0374733,0.0330744,0.0288971,0.0250304,0.0215214,0.0183866,0.0156211,0.0132067,0.011117,0.00932162,0.00778883,0.00648744,0.00538787,0.0044628,0.00368754,0.00304007,0.00250102,0.00205351,0.00168295,0.00137684,0.00112449,0.000916867,0.000746342,0.000606508,0.000492009,0.000398388,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-11.9195,-5.69428,-10.8536,-10.3161,-0,-0,-8.72891,-4.11531,-15.5229,-14.6598,-31.2426,-23.1185,-18.962,-27.4098,-32.5468,-43.5025,-40.1657,-28.6401,-25.9537,-32.1906,-17.9404,-33.7969,-38.0549,-22.9889,-34.0899,-35.4401,-18.4383,-26.871,-3.99614,-12.4774,-17.3081,-0,-4.67542,-9.71013,-0,-5.22361,-0,-0,-0,-0,-6.1882,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,4,1,1,4,9,7,10,9,16,7,10,13,9,7,11,7,13,9,10,7,7,6,1,4,0,2,2,1,2,1,2,0,4,0,0,0,0,0,1,0,0,0,0,0
-529.212,0.998002,0.0613755,5,63,0,532.487,-2.83297,-1.90294,-1.17858,-0.362072,4.16825,0.404128,-0.816534,5.52151,2.23433,1.48106e-05,2.09969e-05,2.97786e-05,4.22556e-05,6.00053e-05,8.52999e-05,0.000121431,0.000173203,0.000247668,0.000355229,0.000511162,0.000737549,0.0010654,0.00153674,0.00220633,0.00314265,0.00442741,0.00615244,0.00841297,0.0112965,0.0148682,0.019139,0.0240607,0.029517,0.0353215,0.0412239,0.0469201,0.0520674,0.0563083,0.0593103,0.0608264,0.0607556,0.0591606,0.0562322,0.0522381,0.0474805,0.0422669,0.0368878,0.0315983,0.0266036,0.02205,0.0180227,0.0145528,0.0116281,0.009208,0.00723557,0.00564803,0.00438352,0.00338502,0.00260236,0.00199274,0.0015205,0.00115643,0.000876936,0.00066319,0.000500282,0.000376503,0.000282719,0.000211844,0.000158407,0.000118207,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-13.6888,-6.47809,-12.2328,-11.5254,-0,-0,-9.55596,-4.48326,-16.8341,-15.8241,-33.5446,-24.6595,-20.0596,-28.6986,-33.6524,-44.3283,-40.2768,-28.2497,-25.1976,-30.8099,-16.965,-31.6609,-35.4233,-21.3321,-31.6375,-32.9988,-17.2733,-25.387,-3.81444,-12.0484,-16.9199,-0,-4.68768,-9.85749,-0,-5.4299,-0,-0,-0,-0,-6.76242,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,8,2,6,7,9,9,15,14,10,15,12,13,8,14,7,9,7,3,4,6,2,7,2,0,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0
-528.058,0.998678,0.0613755,6,63,0,531.91,-1.43736,-2.71666,-0.983903,0.201235,5.05175,0.00721413,-0.394128,5.08165,1.8719,1.71386e-06,3.14862e-06,5.77325e-06,1.05538e-05,1.92042e-05,3.4707e-05,6.21168e-05,0.000109711,0.000190494,0.00032398,0.000538057,0.000870662,0.0013709,0.00209918,0.00312576,0.00452729,0.00638092,0.00875589,0.0117033,0.0152451,0.0193648,0.0239905,0.0290011,0.0342302,0.0394746,0.0445072,0.0490915,0.0529966,0.0560133,0.0579691,0.0587438,0.0582836,0.0566116,0.0538301,0.0501098,0.0456678,0.0407425,0.0355723,0.0303804,0.0253638,0.0206852,0.016467,0.0127881,0.00968413,0.00715032,0.00514893,0.00361853,0.00248451,0.00166905,0.0010989,0.000710403,0.000451797,0.000283191,0.000175258,0.000107258,6.50075e-05,3.90677e-05,2.33059e-05,1.38137e-05,8.14131e-06,4.77431e-06,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-13.1846,-6.16621,-11.5362,-10.7953,-0,-0,-8.89577,-4.1835,-15.7772,-14.9204,-31.8638,-23.6225,-19.3926,-28.0089,-33.1548,-44.0629,-40.3503,-28.4785,-25.5111,-31.2668,-17.2292,-32.1411,-35.9225,-21.6045,-32.0048,-33.3619,-17.4698,-25.721,-3.87834,-12.3192,-17.4369,-0,-4.9406,-10.5379,-0,-5.99768,-0,-0,-0,-0,-8.16939,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,2,2,1,1,1,4,6,9,7,12,12,14,10,7,11,8,12,11,7,9,10,10,3,7,5,2,5,0,3,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0
