# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 22:14:34 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c257b43e54.json
# init = /tmp/RtmpC8O1hA/init-b41c276e885b_4.json
# random
#   seed = 1352007
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0126_rep013_mildly_wrong_strong/prior_sensitivity_obspair_FAST-202605292314-4-4c06bb.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0126_rep013_mildly_wrong_strong/prior_sensitivity_obspair_FAST-profile-202605292314-4-8dec9b.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.136899
# Diagonal elements of inverse mass matrix:
# 0.0243971, 0.0378031, 0.00580206, 0.00560592, 0.0106876, 0.00637055, 0.0118474
-530.413,0.995321,0.136899,5,31,0,533.892,-1.556,-2.26168,-0.773759,-0.497623,4.21064,0.284713,-1.02642,5.02167,2.19182,3.39463e-05,4.60816e-05,6.25917e-05,8.50844e-05,0.000115784,0.000157789,0.000215449,0.00029494,0.000405122,0.000558844,0.000774846,0.00108033,0.00151401,0.00212918,0.00299576,0.00420064,0.00584466,0.00803533,0.010874,0.0144383,0.0187611,0.0238017,0.0294373,0.0354582,0.041577,0.0474492,0.0527023,0.0569731,0.0599496,0.0614144,0.0612797,0.0595983,0.056547,0.0523921,0.047452,0.0420607,0.036536,0.0311514,0.0261184,0.0215773,0.0176007,0.0142041,0.0113615,0.00902153,0.00712067,0.00559265,0.00437457,0.00341005,0.00265043,0.00205484,0.00158958,0.00122726,0.000945865,0.000727823,0.00055921,0.000429054,0.000328739,0.00025153,0.000192178,0.000146604,0.000111645,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-12.986,-6.15202,-11.6211,-10.945,-0,-0,-9.04275,-4.23787,-15.9039,-14.952,-31.7294,-23.3758,-19.0812,-27.4329,-32.3741,-42.9777,-39.3995,-27.9011,-25.1308,-31.0214,-17.2361,-32.439,-36.5764,-22.1805,-33.0946,-34.689,-18.2256,-26.8528,-4.03981,-12.7627,-17.9101,-0,-4.94475,-10.3726,-0,-5.68103,-0,-0,-0,-0,-6.96341,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,2,2,4,3,4,10,8,12,9,7,13,10,12,13,14,13,6,8,11,9,2,4,2,4,2,1,1,1,0,0,2,1,3,1,0,1,0,0,0,0,0,0,0,0
-528.98,0.993667,0.136899,5,31,0,533.28,-1.63765,-2.02006,-1.07106,-0.510848,4.35567,0.241283,-0.915899,5.2913,2.34445,3.94568e-05,5.3369e-05,7.22376e-05,9.78697e-05,0.000132764,0.000180402,0.000245672,0.000335499,0.000459772,0.000632653,0.000874303,0.0012129,0.00168658,0.00234494,0.00324941,0.00447211,0.0060926,0.00819181,0.0108431,0.0141011,0.0179887,0.0224668,0.0274379,0.0327439,0.0381704,0.0434576,0.0483176,0.0524564,0.0556011,0.0575339,0.0581261,0.0573623,0.0553397,0.0522428,0.0483101,0.0438028,0.0389812,0.0340849,0.029319,0.0248431,0.0207678,0.017155,0.014025,0.0113652,0.0091415,0.0073069,0.0058098,0.00459893,0.00362667,0.00285067,0.00223438,0.00174698,0.00136287,0.00106109,0.000824612,0.000639741,0.000495509,0.000383186,0.000295854,0.000228053,0.000175486,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-12.7701,-6.05549,-11.4586,-10.8198,-0,-0,-9.04845,-4.26151,-16.072,-15.1829,-32.3625,-23.9333,-19.5942,-28.2237,-33.3295,-44.2166,-40.4537,-28.5538,-25.6063,-31.442,-17.3656,-32.4704,-36.3614,-21.8964,-32.4468,-33.789,-17.6476,-25.8662,-3.87435,-12.1964,-17.0677,-0,-4.69493,-9.83787,-0,-5.38193,-0,-0,-0,-0,-6.59816,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,4,0,1,6,6,7,4,11,6,16,17,12,20,13,13,11,7,5,2,5,6,4,4,3,2,2,0,1,2,1,1,0,0,1,0,1,0,1,0,0,0,0,0
-529.421,0.996299,0.136899,5,31,0,532.628,-1.8557,-2.92977,-0.947077,-0.507317,3.72562,0.350677,-0.774646,4.97847,2.30242,6.15472e-05,8.32113e-05,0.000112521,0.000152193,0.000205919,0.000278731,0.000377504,0.000511648,0.000694081,0.000942538,0.00128127,0.00174305,0.0023711,0.00322031,0.00435699,0.00585658,0.00779845,0.0102573,0.0132913,0.0169276,0.0211485,0.025874,0.0309623,0.0362146,0.041387,0.0462077,0.0503986,0.0537001,0.0559001,0.0568635,0.0565514,0.0550216,0.0524119,0.0489194,0.0447774,0.0402337,0.0355285,0.0308753,0.0264458,0.0223622,0.0186974,0.0154816,0.0127117,0.0103622,0.00839456,0.00676386,0.00542426,0.00433192,0.00344681,0.00273352,0.0021614,0.00170442,0.00134076,0.0010523,0.00082416,0.000644212,0.000502613,0.000391434,0.000304313,0.00023617,0.000182962,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-12.0888,-5.73828,-10.8719,-10.2804,-0,-0,-8.64129,-4.07881,-15.4247,-14.6181,-31.2749,-23.2281,-19.1087,-27.6715,-32.8657,-43.8651,-40.3787,-28.671,-25.8534,-31.9003,-17.6917,-33.1934,-37.2726,-22.4914,-33.3742,-34.778,-18.1633,-26.6027,-3.97937,-12.5043,-17.4609,-0,-4.78017,-9.99232,-0,-5.44174,-0,-0,-0,-0,-6.61452,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,3,2,4,4,4,7,7,10,11,10,13,14,9,12,10,11,11,8,9,5,7,5,4,2,3,3,1,2,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0
-532.113,0.992509,0.136899,5,31,0,534.393,-1.06008,-1.09877,-1.29527,-0.513052,4.21541,0.204194,-1.04285,4.8898,2.35013,1.72419e-05,2.33684e-05,3.17241e-05,4.31637e-05,5.89054e-05,8.07139e-05,0.000111197,0.000154293,0.000216083,0.000306118,0.000439492,0.000639822,0.000943046,0.00140164,0.00208856,0.00310006,0.00455638,0.00659935,0.00938601,0.0130779,0.0178263,0.0235462,0.0300675,0.0371273,0.0443708,0.0513621,0.0576086,0.062602,0.065881,0.0671143,0.0661875,0.0632488,0.0586765,0.0529776,0.0466756,0.0402315,0.034006,0.0282504,0.0231151,0.0186665,0.0149066,0.0117936,0.00925964,0.00722545,0.00561046,0.00433946,0.00334602,0.00257364,0.00197563,0.0015141,0.00115882,0.00088589,0.000676559,0.000516224,0.000393548,0.000299765,0.000228114,0.000173393,0.000131605,9.96866e-05,7.5293e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-13.9328,-6.57011,-12.3426,-11.5527,-0,-0,-9.33707,-4.33683,-16.1083,-14.9952,-31.5388,-23.0538,-18.691,-26.7197,-31.3949,-41.5644,-38.0787,-27.0136,-24.4374,-30.3675,-17.0143,-32.3167,-36.7744,-22.4917,-33.8122,-35.6665,-18.8363,-27.8672,-4.20595,-13.3206,-18.7284,-0,-5.18312,-10.88,-0,-5.96243,-0,-0,-0,-0,-7.29849,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,4,8,2,6,8,10,6,8,9,11,16,7,9,11,10,18,5,5,10,9,9,4,0,2,2,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
-530.06,0.990154,0.136899,4,15,0,535.634,-1.01041,-2.08575,-1.28915,-0.44484,4.24657,0.262235,-0.889471,4.77058,2.25397,4.97408e-05,6.86404e-05,9.47766e-05,0.000130968,0.000181168,0.000250955,0.000348233,0.000484245,0.000674979,0.000942953,0.00131917,0.00184471,0.00257123,0.00356003,0.00487929,0.00659969,0.00878821,0.0115004,0.0147717,0.0186085,0.0229812,0.0277759,0.0328319,0.0379479,0.0428933,0.047422,0.0512891,0.054268,0.0561712,0.0568727,0.0563312,0.0546021,0.0518297,0.0482187,0.0440029,0.0394186,0.0346884,0.0300091,0.025543,0.0214134,0.0177018,0.0144495,0.0116633,0.00932295,0.00738994,0.00581595,0.00454944,0.00354033,0.00274284,0.00211688,0.00162833,0.00124886,0.000955326,0.000729071,0.000555211,0.000421975,0.000320116,0.00024241,0.000183243,0.000138271,0.00010414,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-11.9267,-5.63799,-10.6455,-10.0415,-0,-0,-8.43008,-3.98414,-15.0923,-14.3343,-30.7472,-22.9008,-18.8942,-27.438,-32.673,-43.7073,-40.3109,-28.6694,-25.8886,-31.9845,-17.7588,-33.3521,-37.482,-22.6346,-33.6135,-35.0626,-18.337,-26.9062,-4.03409,-12.7113,-17.8052,-0,-4.90764,-10.2943,-0,-5.64354,-0,-0,-0,-0,-6.95346,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,6,2,6,8,6,9,9,8,12,9,10,9,9,6,9,10,9,7,10,7,8,2,6,4,4,2,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
-529.627,0.99969,0.136899,5,31,0,531.009,-1.80287,-2.03101,-0.893877,-0.67436,3.80341,0.205374,-0.840428,5.33592,2.59871,7.76324e-05,0.000100381,0.000129882,0.000168194,0.000218048,0.000283079,0.000368175,0.000479971,0.000627564,0.000823567,0.00108559,0.00143823,0.00191554,0.00256342,0.00344151,0.0046234,0.0061943,0.00824533,0.0108636,0.0141187,0.0180467,0.0226155,0.027723,0.0331909,0.0387685,0.0441479,0.0489891,0.0529579,0.0557705,0.0572399,0.057304,0.0560258,0.05357,0.0501694,0.0460916,0.0416084,0.0369709,0.0323913,0.028032,0.0240037,0.0203699,0.0171553,0.014356,0.0119491,0.00990087,0.0081722,0.00672315,0.00551526,0.00451308,0.00368484,0.00300264,0.00244236,0.00198336,0.00160817,0.00130206,0.00105274,0.000849966,0.000685266,0.00055164,0.000443335,0.000355635,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-12.5155,-5.96641,-11.3437,-10.7532,-0,-0,-9.04467,-4.26025,-16.0592,-15.1565,-32.2694,-23.8384,-19.5009,-28.0819,-33.1777,-44.0739,-40.4111,-28.605,-25.7345,-31.7014,-17.5606,-32.9158,-36.9255,-22.2562,-32.9762,-34.2987,-17.872,-26.1068,-3.8937,-12.1964,-16.9744,-0,-4.61513,-9.61403,-0,-5.20024,-0,-0,-0,-0,-6.22296,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,2,1,3,1,0,7,4,5,5,5,9,6,11,12,10,14,8,15,13,13,9,4,7,5,5,6,5,2,2,3,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
-530.714,0.996062,0.136899,4,15,0,532.673,-1.76138,-1.62033,-0.850595,-0.561533,3.94328,0.163616,-1.07785,5.18594,2.38127,2.57698e-05,3.43712e-05,4.5887e-05,6.13382e-05,8.21298e-05,0.000110215,0.000148344,0.000200449,0.000272257,0.000372259,0.000513254,0.000714696,0.00100602,0.00143078,0.00205109,0.00295114,0.00423848,0.00604126,0.00849961,0.0117501,0.0159037,0.0209884,0.0269372,0.0335655,0.040563,0.0475044,0.0538841,0.0591749,0.0629084,0.0647632,0.0646277,0.0626111,0.0589999,0.0541896,0.048615,0.0426939,0.0367859,0.0311688,0.0260304,0.0214748,0.017537,0.014202,0.0114232,0.0091375,0.00727649,0.00577333,0.00456687,0.00360342,0.00283714,0.0022297,0.0017495,0.00137076,0.00107262,0.000838323,0.00065447,0.000510376,0.000397561,0.000309312,0.000240325,0.000186428,0.00014434,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-13.8035,-6.54953,-12.3788,-11.6511,-0,-0,-9.53547,-4.44389,-16.5648,-15.4551,-32.5282,-23.7598,-19.2294,-27.4224,-32.1301,-42.4089,-38.7251,-27.3702,-24.652,-30.4789,-16.9813,-32.0679,-36.2859,-22.0759,-33.0264,-34.6834,-18.2424,-26.8861,-4.04344,-12.7631,-17.8885,-0,-4.92311,-10.309,-0,-5.62587,-0,-0,-0,-0,-6.83765,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,1,3,4,1,3,3,9,5,6,8,7,9,12,11,12,12,11,13,14,9,7,5,7,4,3,4,4,4,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-531.06,0.99982,0.136899,5,31,0,532.87,-1.51418,-3.09558,-1.05574,-0.362371,3.90249,0.39748,-0.664449,4.67215,2.0825,3.46401e-05,4.90757e-05,6.95366e-05,9.85469e-05,0.000139697,0.000198099,0.000281044,0.000398944,0.000566647,0.000805241,0.00114428,0.00162409,0.00229749,0.00323005,0.00449837,0.00618597,0.00837618,0.0111416,0.0145306,0.0185524,0.0231643,0.0282543,0.0336483,0.0391201,0.0444062,0.0492257,0.0533009,0.0563797,0.0582615,0.0588236,0.0580428,0.0559978,0.0528515,0.0488245,0.0441704,0.0391533,0.0340282,0.0290225,0.0243207,0.0200543,0.016299,0.0130799,0.0103819,0.00816316,0.00636701,0.00493185,0.00379748,0.00290894,0.00221825,0.00168481,0.00127512,0.000961993,0.00072368,0.000542987,0.000406438,0.000303559,0.000226255,0.000168311,0.000124975,9.26295e-05,6.8533e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-12.1519,-5.73526,-10.8081,-10.1709,-0,-0,-8.463,-3.98716,-15.0606,-14.266,-30.5261,-22.6878,-18.6863,-27.102,-32.2498,-43.1347,-39.7994,-28.3321,-25.6192,-31.7069,-17.6416,-33.2147,-37.4364,-22.6819,-33.8057,-35.3968,-18.5821,-27.3652,-4.11665,-13.01,-18.2708,-0,-5.05663,-10.6241,-0,-5.83997,-0,-0,-0,-0,-7.23116,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,2,1,4,3,7,3,4,4,5,9,16,12,10,8,12,19,15,7,14,8,4,4,6,2,6,1,1,1,3,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
-532.745,0.991785,0.136899,5,31,0,538.002,-1.13917,-1.25503,-1.37041,-0.576885,4.30925,0.436208,-1.10404,4.99588,2.40467,2.7977e-05,3.72164e-05,4.95817e-05,6.61889e-05,8.85978e-05,0.000119025,0.000160686,0.000218348,0.000299262,0.000414664,0.000582046,0.000828136,0.00119214,0.00172863,0.00250945,0.00362438,0.00517965,0.00729399,0.0100913,0.0136901,0.0181901,0.0235168,0.0295233,0.0359844,0.0425997,0.0490025,0.0547782,0.0594916,0.0627312,0.0641759,0.0636814,0.0613428,0.0574724,0.0525009,0.0468755,0.0409974,0.0351936,0.0297094,0.0247101,0.0202886,0.0164772,0.0132616,0.0105963,0.00841799,0.00665738,0.0052464,0.00412294,0.00323282,0.00253028,0.00197742,0.00154338,0.00120327,0.000937177,0.000729256,0.000566961,0.000440384,0.000341728,0.000264866,0.000204996,0.000158362,0.00012203,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-13.464,-6.36043,-11.9754,-11.2401,-0,-0,-9.19216,-4.29108,-16.0275,-15.0002,-31.7032,-23.2727,-18.9355,-27.143,-31.9491,-42.3288,-38.7645,-27.4613,-24.7848,-30.704,-17.1387,-32.4162,-36.7231,-22.3597,-33.4689,-35.1629,-18.5027,-27.2839,-4.10578,-12.9686,-18.189,-0,-5.01203,-10.5004,-0,-5.7344,-0,-0,-0,-0,-6.97264,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,3,2,6,7,6,8,6,9,13,9,9,15,17,10,10,10,12,6,8,2,4,4,1,5,5,0,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
-529.674,0.992642,0.136899,5,31,0,537.193,-1.44584,-2.75168,-1.06415,-0.432839,3.83693,0.151712,-1.01827,4.79879,2.22112,5.36097e-05,7.41906e-05,0.000102693,0.000142183,0.000196924,0.000272855,0.000378245,0.000524611,0.000727925,0.00101016,0.00140103,0.00193967,0.00267558,0.00366834,0.00498544,0.00669789,0.00887358,0.0115683,0.0148152,0.0186146,0.022925,0.0276454,0.0326242,0.0376653,0.0425395,0.0470004,0.0508028,0.0537239,0.0555862,0.0562794,0.0557758,0.0541326,0.0514796,0.0479997,0.0439076,0.0394299,0.0347875,0.0301797,0.0257727,0.0216909,0.0180153,0.014786,0.0120086,0.00966338,0.00771389,0.00611476,0.00481772,0.00377569,0.00294529,0.00228812,0.00177111,0.00136648,0.0010512,0.00080653,0.000617309,0.000471428,0.000359272,0.000273261,0.00020745,0.0001572,0.000118903,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-11.8472,-5.60802,-10.6025,-10.0119,-0,-0,-8.4242,-3.98381,-15.1021,-14.3532,-30.8043,-22.9531,-18.9439,-27.5184,-32.7778,-43.8584,-40.4575,-28.7743,-25.9777,-32.0795,-17.7994,-33.4022,-37.508,-22.6326,-33.585,-35.0058,-18.2922,-26.816,-4.01653,-12.6422,-17.6885,-0,-4.86473,-10.1941,-0,-5.57917,-0,-0,-0,-0,-6.85782,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,3,1,1,4,6,9,9,5,10,11,7,15,10,9,16,12,12,6,4,14,5,6,3,2,6,4,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
-529.279,0.998007,0.136899,4,31,0,532.316,-1.27257,-2.82824,-0.936649,-0.465287,3.97375,0.260136,-0.88104,4.72849,2.18314,5.8341e-05,7.99176e-05,0.000109502,0.00015009,0.000205815,0.000282399,0.000387773,0.000532965,0.000733302,0.00101002,0.00139222,0.00191885,0.00264021,0.00361805,0.0049238,0.00663422,0.00882437,0.0115577,0.0148739,0.0187764,0.0232217,0.0281026,0.0332555,0.0384678,0.0434915,0.0480617,0.0519179,0.0548268,0.0566071,0.0571518,0.0564439,0.0545564,0.0516383,0.0478924,0.0435524,0.0388621,0.0340553,0.0293391,0.0248806,0.0207994,0.0171667,0.0140104,0.0113237,0.00907592,0.0072224,0.00571221,0.00449397,0.0035194,0.0027452,0.0021338,0.00165343,0.00127764,0.00098479,0.000757338,0.000581201,0.000445161,0.000340338,0.00025974,0.000197886,0.000150501,0.000114259,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-11.8738,-5.62182,-10.6274,-10.031,-0,-0,-8.41629,-3.97515,-15.0507,-14.2876,-30.6318,-22.8055,-18.8111,-27.3174,-32.539,-43.5536,-40.2027,-28.6204,-25.8706,-31.9937,-17.7809,-33.4268,-37.6055,-22.7342,-33.7977,-35.2883,-18.4683,-27.1098,-4.06478,-12.8039,-17.9234,-0,-4.93057,-10.3303,-0,-5.64946,-0,-0,-0,-0,-6.92308,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,0,1,3,1,7,4,3,6,9,11,2,8,15,21,14,8,17,5,14,5,7,4,6,7,2,4,2,3,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-530.097,0.987856,0.136899,5,63,0,535.681,-2.77801,-2.13491,-1.14561,-0.473278,3.60287,0.261611,-0.786395,5.37133,2.42148,3.7334e-05,5.10165e-05,6.97325e-05,9.53502e-05,0.000130444,0.000178574,0.000244675,0.000335626,0.000461037,0.000634373,0.000874456,0.00120734,0.00166834,0.00230384,0.00317223,0.00434356,0.00589708,0.00791597,0.0104789,0.0136483,0.0174569,0.0218783,0.0268264,0.03215,0.0376353,0.0430144,0.0479814,0.0522166,0.0554231,0.0573728,0.0579479,0.0571559,0.0551141,0.0520187,0.0481137,0.043663,0.0389262,0.0341387,0.029496,0.0251449,0.0211818,0.0176575,0.0145856,0.0119524,0.00972651,0.00786695,0.00632873,0.005067,0.00403954,0.00320807,0.0025389,0.00200296,0.00157557,0.00123606,0.000967301,0.000755217,0.000588336,0.000457366,0.000354826,0.000274721,0.000212271,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-12.7919,-6.07318,-11.5066,-10.8781,-0,-0,-9.11679,-4.29414,-16.1921,-15.289,-32.5653,-24.0614,-19.6789,-28.316,-33.4064,-44.2853,-40.4986,-28.5819,-25.6339,-31.4817,-17.3901,-32.5177,-36.4103,-21.9188,-32.4609,-33.7732,-17.6175,-25.7817,-3.85461,-12.1098,-16.9109,-0,-4.6329,-9.69017,-0,-5.28501,-0,-0,-0,-0,-6.45314,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,2,0,1,4,0,2,9,4,12,8,7,12,8,14,12,11,6,10,15,10,6,8,4,8,4,4,9,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
