# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 22:18:34 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c22e673ad1.json
# init = /tmp/RtmpC8O1hA/init-b41c24213ce41_1.json
# random
#   seed = 1352008
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0127_rep013_badly_wrong_weak/prior_sensitivity_obspair_FAST-202605292318-1-9e93e6.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0127_rep013_badly_wrong_weak/prior_sensitivity_obspair_FAST-profile-202605292318-1-304e31.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.107795
# Diagonal elements of inverse mass matrix:
# 0.0912236, 0.0935326, 0.145474, 0.0331927, 0.0784808, 0.127852, 0.256012
-532.319,0.93925,0.107795,5,63,0,536.554,-2.09278,-3.09683,-1.48184,0.606825,5.42091,0.629632,-1.13403,5.22768,1.64349,7.8944e-08,1.9747e-07,4.93608e-07,1.23167e-06,3.0598e-06,7.52187e-06,1.80716e-05,4.16185e-05,9.00956e-05,0.000181532,0.000340896,0.000601154,0.00100465,0.00160462,0.00246645,0.00366789,0.00529667,0.00744334,0.0101867,0.0135722,0.0175898,0.0221581,0.0271372,0.0323529,0.0376189,0.0427484,0.0475538,0.0518427,0.0554164,0.0580747,0.0596299,0.0599291,0.058888,0.0565301,0.0530152,0.0486096,0.0436099,0.038289,0.0328777,0.0275644,0.0225019,0.0178158,0.0136112,0.00997429,0.00696619,0.00461106,0.00288273,0.00170211,0.000952653,0.000508663,0.000261087,0.000129782,6.2878e-05,2.98443e-05,1.39325e-05,6.4167e-06,2.92222e-06,1.31827e-06,5.89907e-07,2.62137e-07,1.15776e-07,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-13.8062,-6.43487,-12.0099,-11.2163,-0,-0,-9.17335,-4.29973,-16.1617,-15.2382,-32.4616,-24.0174,-19.6815,-28.3718,-33.5048,-44.3931,-40.5003,-28.4602,-25.3764,-30.9605,-16.9927,-31.6028,-35.2461,-21.1675,-31.3247,-32.6259,-17.0748,-25.1386,-3.79416,-12.083,-17.1874,-0,-4.96669,-10.7586,-0,-6.37588,-0,-0,-0,-0,-9.67431,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,5,5,7,5,8,10,7,7,9,12,16,20,13,12,14,4,5,14,1,4,4,4,2,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-529.753,0.980271,0.107795,5,63,0,534.948,-0.418221,-1.27548,-1.31062,-0.13334,5.18239,-0.444005,-1.08976,5.19803,2.47105,1.27965e-05,1.95654e-05,2.98275e-05,4.53248e-05,6.86354e-05,0.000103559,0.000155671,0.000233105,0.0003476,0.000515852,0.000761107,0.00111484,0.00161826,0.00232329,0.00329257,0.00459819,0.00631896,0.00853612,0.0113278,0.0147628,0.0188936,0.023562,0.0285876,0.0337738,0.0389139,0.0437962,0.0482106,0.0519546,0.0548428,0.0567182,0.0574658,0.0570273,0.0554147,0.0527163,0.0490944,0.0447695,0.0399949,0.0350276,0.0301006,0.0254046,0.0210786,0.0172099,0.0138396,0.0109714,0.00858164,0.00662856,0.0050602,0.00382093,0.00285606,0.0021149,0.00155256,0.00113066,0.000817358,0.000586853,0.000418703,0.000296989,0.000209511,0.000147048,0.000102712,7.14137e-05,4.94304e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-12.8528,-6.06477,-11.4322,-10.7642,-0,-0,-8.96099,-4.21564,-15.8757,-14.9925,-31.993,-23.7165,-19.4784,-28.1539,-33.3539,-44.3608,-40.646,-28.6966,-25.7091,-31.5065,-17.3575,-32.3711,-36.1681,-21.7436,-32.19,-33.5162,-17.516,-25.7098,-3.8595,-12.1868,-17.1209,-0,-4.75813,-10.0327,-0,-5.56726,-0,-0,-0,-0,-7.10943,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,8,6,3,7,6,7,8,14,8,14,18,9,10,11,9,5,14,3,8,5,2,4,1,2,2,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
-534.34,0.985645,0.107795,5,63,0,536.415,-4.18317,-2.63595,-0.11573,-0.623906,2.28313,0.576949,-0.0770145,4.87199,2.62691,7.71745e-05,0.000100928,0.00013201,0.000172693,0.000225963,0.000295751,0.000387239,0.000507282,0.000664975,0.000872444,0.00114595,0.00150747,0.00198697,0.00262576,0.00348129,0.00463369,0.00619326,0.00830565,0.011148,0.0149069,0.0197302,0.0256494,0.0325059,0.0399053,0.0472307,0.0537427,0.0587583,0.0618179,0.0627618,0.0617159,0.0590159,0.0551027,0.0504255,0.0453771,0.0402654,0.0353109,0.0306582,0.0263919,0.0225517,0.0191462,0.0161624,0.0135747,0.0113497,0.00945064,0.00784021,0.00648226,0.00534296,0.00439138,0.0035998,0.00294374,0.00240179,0.00195548,0.00158894,0.0012887,0.00104332,0.000843223,0.000680356,0.000548017,0.000440645,0.000353645,0.000283241,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-12.4423,-5.94238,-11.3207,-10.7488,-0,-0,-8.99298,-4.20593,-15.7024,-14.6529,-30.837,-22.5487,-18.3163,-26.3119,-31.1776,-41.7534,-38.7577,-27.8521,-25.4695,-31.8841,-17.9236,-34.0202,-38.5472,-23.405,-34.8485,-36.347,-18.9597,-27.6896,-4.12507,-12.8986,-17.9143,-0,-4.84849,-10.0774,-0,-5.42811,-0,-0,-0,-0,-6.44469,-0,-0,-0,-0,-0,-0,-0,-0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,1,2,4,4,2,10,7,7,8,8,10,9,11,11,10,11,10,11,9,7,7,11,3,4,3,4,1,3,1,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0
-536.717,0.983365,0.107795,5,31,0,538.33,-5.04619,-2.14677,0.150442,-0.619132,2.53702,0.0246954,-0.260889,5.36432,2.7151,6.33246e-05,8.29411e-05,0.000108656,0.00014238,0.000186635,0.000244752,0.000321147,0.000421695,0.000554241,0.000729317,0.000961138,0.00126901,0.0016793,0.00222813,0.00296496,0.00395687,0.00529266,0.00708485,0.00946597,0.0125749,0.0165302,0.0213862,0.0270859,0.0334202,0.0400144,0.0463632,0.0519171,0.0561918,0.0588604,0.0597983,0.0590763,0.0569164,0.0536309,0.0495616,0.0450333,0.0403244,0.0356542,0.0311821,0.0270136,0.0232097,0.0197977,0.01678,0.0141422,0.0118592,0.00989983,0.0082306,0.00681756,0.00562812,0.00463187,0.00380117,0.00311128,0.00254041,0.00206958,0.00168243,0.00136496,0.00110527,0.000893313,0.000720668,0.00058029,0.000466331,0.000373956,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-12.7788,-6.10659,-11.6418,-11.0646,-0,-0,-9.3201,-4.37605,-16.4103,-15.38,-32.4787,-23.7902,-19.3111,-27.6412,-32.5392,-43.1848,-39.6562,-28.1678,-25.4603,-31.5279,-17.5538,-33.0499,-37.2042,-22.4756,-33.3389,-34.6791,-18.0571,-26.3423,-3.92219,-12.2627,-17.0344,-0,-4.61524,-9.59979,-0,-5.17998,-0,-0,-0,-0,-6.18041,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2,2,0,2,3,1,6,8,7,9,12,9,12,11,9,12,9,7,11,14,7,6,8,3,5,0,5,0,2,0,5,0,0,0,1,3,1,3,0,1,0,0,0,0,0
-537.197,0.986875,0.107795,5,31,0,540.49,-5.52083,-2.28419,-0.201404,-0.221993,2.80659,-0.636029,-1.33556,5.20031,2.27686,1.87303e-05,2.78515e-05,4.13706e-05,6.13686e-05,9.08774e-05,0.000134285,0.000197889,0.000290641,0.000425102,0.000618631,0.000894777,0.00128477,0.00182889,0.00257743,0.00359059,0.00493697,0.00668981,0.00892076,0.0116911,0.0150411,0.0189783,0.0234608,0.02839,0.0336061,0.0388917,0.0439833,0.0485937,0.0524418,0.0552848,0.0569478,0.0573432,0.056478,0.0544475,0.0514189,0.0476083,0.0432554,0.0386001,0.0338631,0.0292317,0.0248526,0.0208293,0.0172248,0.0140665,0.0113538,0.00906516,0.0071651,0.00561051,0.00435531,0.00335393,0.00256372,0.00194633,0.0014683,0.00110123,0.000821481,0.000609744,0.000450493,0.000331408,0.000242831,0.000177265,0.00012895,9.34946e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-12.6081,-5.96096,-11.2589,-10.622,-0,-0,-8.89785,-4.19697,-15.8578,-15.0097,-32.0555,-23.7513,-19.4818,-28.1155,-33.2669,-44.2208,-40.5336,-28.6562,-25.7283,-31.6129,-17.4631,-32.6452,-36.537,-21.9844,-32.545,-33.8543,-17.6625,-25.8635,-3.87139,-12.1842,-17.0558,-0,-4.70332,-9.87707,-0,-5.43636,-0,-0,-0,-0,-6.81133,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,2,2,5,4,4,5,8,5,4,8,7,3,13,14,15,10,9,15,8,6,10,8,6,7,5,2,2,5,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
-531.273,0.990206,0.107795,5,31,0,540.914,-4.00791,-1.86489,-1.17331,-0.158663,3.25938,-0.372899,-0.57913,5.33952,2.24455,1.20588e-05,1.84254e-05,2.81246e-05,4.28704e-05,6.52263e-05,9.89954e-05,0.000149761,0.000225609,0.000338059,0.000503194,0.000742934,0.00108633,0.00157072,0.00224234,0.00315631,0.00437538,0.0059674,0.00800119,0.010541,0.0136397,0.0173314,0.0215927,0.0263539,0.0314925,0.0368301,0.0421351,0.0471334,0.0515275,0.0550269,0.0573844,0.0584326,0.0581109,0.0564724,0.0536711,0.0499333,0.045523,0.04071,0.0357455,0.0308447,0.0261787,0.0218716,0.0180022,0.0146093,0.0116987,0.00925135,0.00723062,0.0055898,0.00427765,0.00324288,0.00243719,0.00181709,0.00134485,0.000988655,0.000722314,0.000524735,0.000379216,0.00027274,0.000195294,0.000139268,9.89371e-05,7.0036e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-12.9124,-6.10023,-11.5167,-10.8635,-0,-0,-9.10497,-4.29477,-16.2209,-15.3416,-32.7252,-24.206,-19.8086,-28.5019,-33.6025,-44.4846,-40.5991,-28.5798,-25.5589,-31.2994,-17.244,-32.1737,-35.9648,-21.6268,-32.0128,-33.3133,-17.394,-25.4997,-3.82257,-12.0518,-16.9044,-0,-4.68299,-9.85886,-0,-5.45435,-0,-0,-0,-0,-6.91917,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,2,0,1,0,2,3,3,5,7,11,11,12,10,12,12,21,9,10,6,12,4,6,6,5,8,5,0,5,2,2,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
-528.788,0.99728,0.107795,5,63,0,533.755,-2.17362,-2.24631,-0.786517,-0.274332,3.22779,-0.423644,-0.0583151,4.97094,2.29865,2.60715e-05,3.80578e-05,5.55197e-05,8.09242e-05,0.000117819,0.000171273,0.000248482,0.000359552,0.000518513,0.000744533,0.00106331,0.00150847,0.00212285,0.00295914,0.00407963,0.00555452,0.00745844,0.00986492,0.012839,0.0164285,0.0206549,0.0254461,0.0306654,0.0361098,0.0415185,0.0465908,0.0510147,0.0545022,0.0568254,0.0578471,0.0575351,0.0559612,0.0532828,0.0497164,0.0455081,0.0409078,0.0361477,0.0314286,0.0269116,0.0227151,0.0189161,0.0155552,0.0126419,0.0101628,0.00808782,0.00637685,0.00498498,0.00386642,0.00297735,0.00227768,0.00173198,0.00130979,0.00098554,0.00073815,0.000550527,0.000408999,0.000302767,0.000223382,0.000164301,0.000120494,8.81217e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-12.31,-5.82286,-11.0035,-10.3863,-0,-0,-8.71053,-4.10874,-15.5192,-14.6848,-31.3616,-23.2483,-19.0897,-27.5972,-32.732,-43.6427,-40.1488,-28.4995,-25.6982,-31.7141,-17.5928,-33.0156,-37.0784,-22.375,-33.2014,-34.6004,-18.076,-26.4931,-3.96774,-12.4901,-17.4829,-0,-4.8174,-10.1102,-0,-5.55543,-0,-0,-0,-0,-6.92232,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,2,2,2,1,2,3,7,6,7,2,16,12,9,7,8,11,7,8,8,5,17,7,7,8,6,6,3,3,5,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
