# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 22:18:34 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c22e673ad1.json
# init = /tmp/RtmpC8O1hA/init-b41c24213ce41_4.json
# random
#   seed = 1352008
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0127_rep013_badly_wrong_weak/prior_sensitivity_obspair_FAST-202605292318-4-9e93e6.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0127_rep013_badly_wrong_weak/prior_sensitivity_obspair_FAST-profile-202605292318-4-304e31.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.087554
# Diagonal elements of inverse mass matrix:
# 0.104039, 0.09134, 0.152209, 0.042223, 0.121175, 0.15172, 0.161312
-529.067,0.986997,0.087554,5,63,0,531.827,-1.82007,-2.12054,-0.80719,-0.73824,3.78733,0.436932,-0.525484,5.33891,2.65626,9.1136e-05,0.000115998,0.000147734,0.000188301,0.000240251,0.000306933,0.000392782,0.000503733,0.000647839,0.000836184,0.00108427,0.00141405,0.00185666,0.00245571,0.00327031,0.00437692,0.00586866,0.00785048,0.0104286,0.0136941,0.0177011,0.0224263,0.0277617,0.0335076,0.0393793,0.0450264,0.0500652,0.0541219,0.05689,0.0581864,0.0579792,0.0563748,0.0535813,0.0498695,0.0455371,0.0408763,0.0361464,0.0315552,0.0272509,0.0233241,0.019817,0.0167363,0.0140648,0.0117712,0.00981778,0.00816451,0.00677247,0.00560535,0.0046303,0.00381815,0.00314347,0.00258424,0.00212163,0.0017396,0.0014246,0.0011652,0.000951813,0.000776446,0.000632432,0.000514247,0.000417318,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-12.5779,-6.00934,-11.4457,-10.8628,-0,-0,-9.1264,-4.29079,-16.1365,-15.1901,-32.2569,-23.7719,-19.4071,-27.9045,-32.9387,-43.7478,-40.1329,-28.441,-25.629,-31.6331,-17.5593,-32.9818,-37.0707,-22.3804,-33.2018,-34.5602,-18.0133,-26.3079,-3.92121,-12.2705,-17.0563,-0,-4.62356,-9.61592,-0,-5.18403,-0,-0,-0,-0,-6.15557,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,3,4,9,7,4,10,8,7,6,20,6,6,12,11,8,11,5,5,5,5,6,6,3,5,4,4,1,2,1,3,1,1,0,1,1,1,0,1,0,0,0,1
-529.647,0.96271,0.087554,4,31,0,536.257,-2.10093,-2.57677,-1.35829,-0.403314,2.99457,0.307119,-0.877669,4.59069,2.24741,4.20768e-05,5.87809e-05,8.21249e-05,0.000114756,0.000160383,0.000224208,0.000313537,0.000438635,0.000613934,0.000859686,0.00120413,0.00168609,0.00235748,0.00328478,0.00454823,0.00623801,0.00844689,0.0112594,0.0147381,0.0189077,0.0237418,0.0291188,0.0348437,0.0406548,0.0462387,0.0512526,0.0553546,0.0582441,0.0597095,0.0596685,0.0581772,0.0554065,0.0516039,0.0470581,0.0420674,0.0369142,0.0318426,0.0270442,0.0226516,0.0187403,0.0153378,0.0124351,0.00999898,0.0079823,0.00633206,0.00499489,0.00392047,0.00306345,0.00238417,0.00184875,0.00142883,0.00110093,0.000845915,0.00064829,0.000495641,0.000378082,0.000287793,0.00021862,0.000165748,0.00012542,9.4721e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-12.1003,-5.71846,-10.786,-10.1542,-0,-0,-8.43464,-3.96818,-14.9621,-14.1455,-30.2119,-22.4185,-18.4436,-26.7389,-31.8339,-42.6467,-39.4557,-28.1895,-25.5984,-31.8236,-17.7849,-33.6201,-38.0218,-23.0941,-34.4695,-36.1028,-18.9376,-27.8396,-4.17744,-13.1617,-18.4211,-0,-5.06213,-10.5987,-0,-5.78821,-0,-0,-0,-0,-7.07509,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,7,5,5,7,6,8,10,9,7,9,9,13,10,7,7,13,5,13,7,8,5,6,8,2,2,1,1,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0
-533.039,0.998821,0.087554,5,31,0,535.974,-3.07064,-0.461183,-0.730026,-0.563368,2.1964,-0.525151,-0.079644,5.27938,2.79571,5.14334e-05,6.83915e-05,9.09484e-05,0.000120957,0.000160888,0.000214035,0.000284791,0.000379024,0.000504573,0.000671918,0.00089508,0.00119282,0.00159022,0.00212079,0.0028292,0.0037749,0.00503726,0.00672335,0.00898112,0.0120255,0.0162196,0.0214967,0.0276921,0.0344967,0.0414586,0.04803,0.0536535,0.057863,0.0603633,0.0610663,0.0600775,0.0576463,0.0541023,0.0497966,0.0450578,0.0401653,0.0353388,0.0307376,0.0264673,0.0225884,0.0191266,0.0160824,0.0134384,0.0111663,0.00923169,0.00759756,0.00622689,0.00508431,0.00413712,0.00335577,0.00271407,0.00218918,0.00176139,0.0014139,0.00113247,0.000905165,0.000722035,0.000574819,0.000456696,0.000362064,0.000286324,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-12.8878,-6.15597,-11.7355,-11.1588,-0,-0,-9.42526,-4.42072,-16.4861,-15.3594,-32.2795,-23.5682,-19.0984,-27.3234,-32.1773,-42.7452,-39.3032,-27.958,-25.3091,-31.3877,-17.5013,-32.9979,-37.1977,-22.5033,-33.4278,-34.8227,-18.1592,-26.5322,-3.95667,-12.3901,-17.2386,-0,-4.68511,-9.75986,-0,-5.2816,-0,-0,-0,-0,-6.34165,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,2,5,4,5,7,5,3,9,9,9,12,9,8,12,7,6,16,12,10,8,3,8,4,3,6,5,4,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
-533.634,0.999334,0.087554,5,63,0,538.796,-1.2005,-5.18569,-1.52419,0.0227598,5.22186,0.82225,-0.632913,4.86796,1.90895,6.41967e-06,1.07072e-05,1.78584e-05,2.97864e-05,4.96792e-05,8.28388e-05,0.000138011,0.00022929,0.000378131,0.000614183,0.000974484,0.00150239,0.00224696,0.00326234,0.00460662,0.00633933,0.00851693,0.0111852,0.0143684,0.0180565,0.0221951,0.0266781,0.031364,0.0360923,0.0406954,0.0450035,0.0488463,0.0520536,0.0544613,0.0559213,0.0563187,0.0555919,0.0537565,0.0509204,0.0472693,0.0430272,0.0384199,0.0336538,0.028905,0.0243184,0.0200105,0.0160749,0.0125847,0.00959145,0.00711803,0.00515257,0.00364874,0.00253625,0.00173611,0.00117354,0.000785084,0.000520693,0.000342833,0.000224326,0.000145996,9.45725e-05,6.10085e-05,3.9212e-05,2.51198e-05,1.60442e-05,1.02198e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-12.1964,-5.72531,-10.7605,-10.122,-0,-0,-8.48544,-4.01425,-15.2315,-14.4957,-31.1589,-23.2517,-19.2098,-27.9091,-33.2098,-44.3322,-40.7437,-28.8381,-25.8906,-31.7869,-17.5397,-32.7524,-36.6227,-22.0215,-32.5918,-33.9163,-17.7187,-26.0157,-3.9115,-12.3915,-17.5011,-0,-4.94512,-10.5365,-0,-5.97707,-0,-0,-0,-0,-7.97827,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,2,3,2,3,3,4,7,7,7,5,6,10,10,7,13,12,7,7,11,15,12,10,5,5,8,3,4,2,1,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
-531.28,0.99573,0.087554,6,63,0,537.608,-1.35732,-1.42681,-0.427257,-0.140466,4.23532,-0.691364,0.642487,5.2589,2.33715,1.45679e-05,2.21935e-05,3.37021e-05,5.09821e-05,7.6773e-05,0.000115004,0.000171241,0.000253263,0.000371806,0.000541474,0.000781865,0.00111884,0.00158581,0.0022247,0.00308603,0.00422763,0.00571276,0.00761398,0.0100376,0.0131778,0.0176109,0.0226288,0.0280757,0.0337902,0.0395705,0.0451358,0.0501496,0.0542703,0.0572059,0.0587604,0.0588633,0.0575758,0.0550713,0.0515979,0.047435,0.042856,0.0381032,0.0333756,0.0288264,0.0245662,0.0206684,0.0171745,0.0141008,0.0114429,0.00918141,0.00728646,0.00572149,0.0044468,0.00342214,0.00260877,0.00197081,0.0014761,0.00109659,0.000808397,0.000591638,0.000430064,0.000310632,0.000223037,0.000159257,0.000113128,7.99656e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-12.8933,-6.10813,-11.5617,-10.9322,-0,-0,-9.20282,-4.32922,-16.1569,-15.1541,-32.1557,-23.7131,-19.378,-27.8827,-32.9202,-43.7067,-40.0554,-28.3429,-25.4928,-31.4012,-17.3948,-32.607,-36.5808,-22.0494,-32.6746,-33.9993,-17.7323,-25.9447,-3.87915,-12.193,-17.0461,-0,-4.69057,-9.84348,-0,-5.41557,-0,-0,-0,-0,-6.81555,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,1,3,3,6,6,6,16,9,15,7,10,12,13,10,7,16,6,5,6,3,3,4,6,3,2,4,6,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
-532.848,0.960858,0.087554,4,31,0,535.374,-0.613027,-2.03289,-1.23575,-0.225501,3.98856,-0.415407,0.493137,4.77356,2.43349,4.5442e-05,6.73123e-05,9.94952e-05,0.000146651,0.000215363,0.000314779,0.000457351,0.000659604,0.000942809,0.0013334,0.00186293,0.00256748,0.00348654,0.00466177,0.00613634,0.00795535,0.010168,0.0128305,0.0160094,0.0197914,0.0244728,0.0291848,0.0338281,0.0382789,0.0423981,0.0460355,0.0490382,0.0512629,0.0525915,0.0529492,0.0523204,0.0507559,0.0483698,0.0453231,0.0417995,0.0379825,0.0340371,0.0301009,0.0262827,0.0226643,0.0193046,0.016243,0.0135018,0.0110892,0.00900088,0.00722232,0.00573123,0.00449991,0.00349768,0.00269298,0.00205509,0.00155541,0.00116828,0.000871375,0.000645753,0.00047574,0.000348604,0.000254187,0.000184505,0.000133366,9.60221e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-11.3177,-5.36836,-10.1871,-9.66782,-0,-0,-8.26916,-3.92251,-14.8408,-14.1364,-30.4782,-22.84,-18.9639,-27.7051,-33.1667,-44.5618,-41.2328,-29.3842,-26.5533,-32.788,-18.1733,-34.0333,-38.0984,-22.8944,-33.803,-35.032,-18.1942,-26.5088,-3.94741,-12.3603,-17.2197,-0,-4.71043,-9.86116,-0,-5.4037,-0,-0,-0,-0,-6.75222,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,2,1,4,1,4,6,4,13,8,3,8,8,17,9,13,7,9,10,7,11,7,9,7,4,4,5,4,5,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
