# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 22:35:53 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c24b0114dd.json
# init = /tmp/RtmpC8O1hA/init-b41c2c12a89f_1.json
# random
#   seed = 1352010
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0129_rep013_badly_wrong_strong/prior_sensitivity_obspair_FAST-202605292335-1-5f9806.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0129_rep013_badly_wrong_strong/prior_sensitivity_obspair_FAST-profile-202605292335-1-3859f1.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.123084
# Diagonal elements of inverse mass matrix:
# 0.0577564, 0.0301588, 0.00597591, 0.00406446, 0.00694859, 0.00779993, 0.00941718
-540.634,0.971156,0.123084,5,31,0,546.454,-0.21474,-2.5126,-0.939289,-0.252322,4.7604,0.462579,-0.641383,4.59644,2.03475,1.8579e-05,2.74322e-05,4.05266e-05,5.99195e-05,8.86943e-05,0.0001315,0.000195394,0.000291151,0.000435206,0.000652228,0.000977786,0.00145998,0.00215914,0.00314568,0.00449636,0.00628929,0.00859728,0.0114793,0.0149702,0.0190688,0.0237277,0.0288213,0.0341737,0.0395666,0.0447534,0.0494765,0.0534849,0.0565516,0.0584895,0.0591687,0.0585356,0.0566286,0.0535817,0.0496027,0.0449399,0.0398535,0.034596,0.0293978,0.0244566,0.0199275,0.015917,0.01248,0.0096229,0.00731236,0.00548807,0.00407649,0.00300218,0.00219541,0.00159603,0.00115456,0.000831682,0.000596921,0.00042706,0.000304671,0.000216803,0.000153918,0.000109038,7.70862e-05,5.43894e-05,3.82989e-05,2.69128e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-12.2761,-5.76173,-10.809,-10.1378,-0,-0,-8.40338,-3.9597,-14.9645,-14.1866,-30.3867,-22.6084,-18.6395,-27.0563,-32.2119,-43.089,-39.7447,-28.2736,-25.5431,-31.5837,-17.5593,-33.0408,-37.2291,-22.5578,-33.6402,-35.2684,-18.5543,-27.4096,-4.14037,-13.1509,-18.5744,-0,-5.20518,-11.005,-0,-6.12139,-0,-0,-0,-0,-7.75859,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,2,7,7,7,4,3,10,5,10,11,7,15,11,13,11,13,13,9,13,4,3,5,1,1,1,2,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
-537.958,0.999863,0.123084,5,31,0,544.701,-1.18114,-2.4546,-0.70628,-0.333189,4.81328,0.372624,-0.643884,5.04182,2.00584,1.3033e-05,1.86762e-05,2.67795e-05,3.84327e-05,5.52264e-05,7.94999e-05,0.000114728,0.000166133,0.000241664,0.000353512,0.000520323,0.000770059,0.00114316,0.00169542,0.00249971,0.00364572,0.0052364,0.00738022,0.0101785,0.0137082,0.0180022,0.023023,0.0286541,0.0346977,0.0408829,0.0468851,0.0523529,0.0569385,0.0603306,0.0622872,0.0626672,0.0614551,0.0587661,0.0548242,0.0499254,0.0444008,0.0385835,0.0327821,0.0272577,0.0222082,0.0177595,0.0139677,0.0108285,0.00829365,0.00628907,0.00473041,0.00353472,0.00262718,0.00194411,0.00143339,0.00105358,0.000772353,0.000564876,0.000412279,0.000300341,0.000218417,0.00015858,0.000114953,8.31955e-05,6.01107e-05,4.33523e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-13.5479,-6.37983,-11.9832,-11.2284,-0,-0,-9.17495,-4.28976,-16.069,-15.0851,-31.9721,-23.5276,-19.1823,-27.5405,-32.4472,-42.9868,-39.3108,-27.76,-24.9293,-30.6839,-17.0051,-31.9399,-35.9667,-21.8015,-32.5493,-34.1787,-18.0121,-26.6511,-4.03083,-12.813,-18.1023,-0,-5.06894,-10.7075,-0,-5.94184,-0,-0,-0,-0,-7.4789,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,4,3,5,2,4,10,7,9,11,8,18,8,12,15,8,10,10,7,13,7,3,4,4,6,2,3,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
-534.446,0.999896,0.123084,5,31,0,539.593,-0.912195,-1.46631,-0.893721,-0.956913,3.93172,0.917726,-0.573274,5.22567,2.88194,8.39879e-05,0.000102536,0.000125389,0.000153651,0.000188761,0.000232633,0.000287845,0.000357964,0.000448052,0.00056554,0.000721778,0.000934816,0.00123407,0.00166663,0.00230334,0.00324317,0.00461436,0.00657043,0.00927859,0.0128987,0.0175533,0.0231799,0.029596,0.0364981,0.0434772,0.0500465,0.055678,0.0598531,0.0621557,0.0624199,0.0607964,0.0576375,0.0533654,0.0484017,0.0431295,0.0378687,0.0328596,0.0282572,0.0241388,0.020522,0.0173867,0.0146929,0.0123927,0.0104371,0.00877984,0.00737878,0.0061965,0.00520026,0.00436176,0.00365668,0.00306421,0.00256665,0.00214894,0.0017983,0.00150386,0.0012564,0.0010481,0.000872386,0.000723732,0.000597563,0.000490123,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-13.3949,-6.39695,-12.1468,-11.4624,-0,-0,-9.36009,-4.35063,-16.17,-15.0579,-31.681,-23.1735,-18.8131,-26.9532,-31.7699,-42.2379,-38.8936,-27.7387,-25.202,-31.3894,-17.5836,-33.3104,-37.7226,-22.9154,-34.1551,-35.6641,-18.6197,-27.2038,-4.05205,-12.6612,-17.5626,-0,-4.7353,-9.81829,-0,-5.25905,-0,-0,-0,-0,-6.14278,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,2,2,1,3,15,5,7,4,7,12,11,14,17,25,7,5,7,8,5,8,4,3,5,1,0,1,2,0,3,0,1,1,3,1,2,1,0,0,0,1,0,2,0
-538.173,0.993937,0.123084,5,31,0,542.944,-0.575168,-1.49579,-1.05201,-0.99768,4.2346,0.893512,-1.01635,5.30592,2.97023,8.90067e-05,0.000108253,0.000131983,0.000161398,0.000198103,0.000244277,0.000302957,0.000378484,0.000477268,0.000609116,0.00078959,0.00104386,0.00141169,0.00195145,0.0027415,0.00387884,0.0054748,0.00764738,0.0105097,0.0141548,0.0186368,0.0238546,0.0296262,0.035693,0.0417355,0.0473939,0.0522935,0.0560716,0.0584171,0.0591381,0.0582429,0.0559339,0.0525149,0.0483185,0.043667,0.0388499,0.0341081,0.0296227,0.0255118,0.0218342,0.018602,0.0157966,0.0133826,0.0113177,0.00955868,0.00806479,0.00679882,0.00572778,0.0048228,0.00405885,0.00341442,0.00287106,0.00241299,0.00202671,0.00170071,0.00142518,0.00119185,0.000993745,0.000825087,0.0006811,0.00055789,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-13.1259,-6.23918,-11.7985,-11.1044,-0,-0,-9.1109,-4.2577,-15.9305,-14.9431,-31.6719,-23.3296,-19.0584,-27.4433,-32.4597,-43.2169,-39.7621,-28.2788,-25.5882,-31.7194,-17.6799,-33.3293,-37.574,-22.7363,-33.7822,-35.1921,-18.3431,-26.77,-3.98449,-12.4439,-17.2552,-0,-4.65031,-9.6405,-0,-5.16243,-0,-0,-0,-0,-6.02689,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,2,3,2,9,8,14,12,15,14,9,6,12,14,9,6,10,7,3,2,2,2,4,5,5,3,1,3,1,0,0,1,4,4,0,0,0,0,1,0,0,1,1
-536.776,0.99631,0.123084,4,15,0,539.678,-0.712113,-1.42409,-1.01537,-0.979322,4.24611,0.872845,-0.978964,5.33943,2.93054,6.46389e-05,7.88922e-05,9.65308e-05,0.00011848,0.000145982,0.000180735,0.000225124,0.000282588,0.000358267,0.000460141,0.000601118,0.000802617,0.00109963,0.00154576,0.00221653,0.00321018,0.00464537,0.00665478,0.00937378,0.0129238,0.017391,0.0227042,0.0286988,0.0351159,0.0416153,0.0477974,0.0532317,0.0574909,0.0602,0.0611196,0.0602446,0.0578002,0.0541343,0.0496281,0.0446478,0.0395176,0.034501,0.0297909,0.0255067,0.0217029,0.0183843,0.0155241,0.0130794,0.0110016,0.00924261,0.00775757,0.00650637,0.00545375,0.00456922,0.00382656,0.00320343,0.0026808,0.00224252,0.0018749,0.00156632,0.00130693,0.00108843,0.000903887,0.00074752,0.000614588,0.000501235,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-13.6256,-6.47224,-12.2236,-11.4829,-0,-0,-9.33968,-4.34868,-16.2072,-15.1408,-31.9581,-23.4437,-19.0757,-27.3671,-32.2641,-42.8419,-39.3412,-27.9492,-25.2841,-31.3584,-17.4977,-33.0352,-37.3074,-22.6171,-33.6677,-35.1355,-18.3441,-26.8122,-3.99626,-12.4961,-17.3469,-0,-4.68393,-9.71817,-0,-5.21145,-0,-0,-0,-0,-6.10015,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,2,0,3,3,3,9,9,10,12,12,11,11,10,6,16,10,7,11,10,8,4,3,6,5,2,1,4,0,1,1,1,0,3,0,0,0,1,0,0,0,0,0,0,0
-535.565,0.999944,0.123084,5,31,0,539.118,-1.04445,-1.58389,-0.993555,-0.929468,4.34673,0.790757,-1.00789,5.46608,2.84937,6.73251e-05,8.27673e-05,0.000101965,0.000125942,0.000156064,0.000194185,0.000242876,0.000305801,0.000388353,0.000498752,0.000649965,0.00086278,0.00116987,0.00161974,0.00227963,0.0032366,0.00459606,0.00647674,0.00900069,0.0122778,0.0163856,0.0212957,0.0268928,0.0329686,0.0392294,0.045315,0.0508254,0.0553541,0.0585318,0.0600921,0.0599515,0.0582328,0.0551996,0.0511797,0.0465152,0.0415312,0.0365123,0.0316852,0.0272095,0.0231775,0.019624,0.0165421,0.0138994,0.0116512,0.00974939,0.00814693,0.00680062,0.00567198,0.00472735,0.00393773,0.00327832,0.00272805,0.00226905,0.00188626,0.00156694,0.0013004,0.00107768,0.000891306,0.000735066,0.000603843,0.000493441,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-13.5017,-6.42549,-12.1675,-11.4665,-0,-0,-9.42091,-4.39996,-16.4454,-15.397,-32.5431,-23.8854,-19.43,-27.847,-32.7729,-43.4101,-39.7346,-28.1188,-25.328,-31.2764,-17.3808,-32.6965,-36.8157,-22.2692,-33.1011,-34.5191,-18.021,-26.352,-3.931,-12.3055,-17.1036,-0,-4.63055,-9.62023,-0,-5.17222,-0,-0,-0,-0,-6.08839,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,1,2,0,2,7,8,11,14,3,12,11,15,5,12,8,16,7,8,9,8,8,4,2,6,5,1,1,3,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0
