# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 22:51:22 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c2e55fbac.json
# init = /tmp/RtmpC8O1hA/init-b41c21454785c_4.json
# random
#   seed = 1452002
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0131_rep014_accurate_weak/prior_sensitivity_obspair_FAST-202605292351-4-360c7d.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0131_rep014_accurate_weak/prior_sensitivity_obspair_FAST-profile-202605292351-4-3c140e.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0653559
# Diagonal elements of inverse mass matrix:
# 0.104785, 0.0734286, 0.111283, 0.0358273, 0.176063, 0.239315, 0.306603
-547.531,0.999928,0.0653559,4,15,0,548.008,-3.49434,-2.54923,-1.08818,-0.423883,2.70139,-0.318956,0.0527955,5.19067,2.52104,5.34126e-05,7.40643e-05,0.000102683,0.000142322,0.000197189,0.000273056,0.000377808,0.000522145,0.000720447,0.000991794,0.00136107,0.00186001,0.00252793,0.00341186,0.00456569,0.00604807,0.00791887,0.0102344,0.0130416,0.016372,0.0202371,0.0245736,0.029268,0.0341549,0.0390205,0.0436155,0.0476763,0.0509543,0.0532475,0.0544277,0.0544539,0.0533721,0.0513008,0.0484097,0.0448967,0.0409668,0.0368158,0.0326176,0.028517,0.0246261,0.0210245,0.0177611,0.0148592,0.0123211,0.0101335,0.00827226,0.00670699,0.00540415,0.00432968,0.00345085,0.00273735,0.00216192,0.00170061,0.00133281,0.00104098,0.00081048,0.000629148,0.000487027,0.000376015,0.000289572,0.000222452,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.28717,-0,-5.6805,-5.38919,-0,-4.83851,-4.582,-8.67923,-24.6731,-7.80047,-44.473,-21.1876,-20.2611,-9.73101,-21.9264,-15.2166,-29.7683,-29.328,-52.3959,-46.5664,-35.1656,-29.7005,-27.2525,-37.2407,-12.78,-26.4146,-23.9603,-3.55726,-18.5197,-7.72414,-8.06149,-25.2548,-4.39644,-18.3676,-9.5897,-5.0046,-5.22059,-5.44226,-11.3383,-0,-0,-0,-0,-6.86759,-7.11788,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,2,1,4,1,4,10,7,14,12,5,8,15,9,10,18,5,11,9,4,5,10,9,3,1,2,4,3,2,0,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0
-545.723,0.990946,0.0653559,6,63,0,549.784,-1.61579,-2.11875,-1.43005,-0.720165,3.57244,0.532896,-2.04521,5.18649,2.7122,0.000145701,0.00018614,0.00023791,0.000304252,0.000389377,0.000498785,0.000639698,0.000821667,0.00105742,0.00136405,0.00176454,0.00228962,0.00297929,0.0038833,0.00505989,0.00657285,0.0084868,0.0108607,0.013739,0.0171424,0.021058,0.025403,0.0300452,0.0348078,0.0394776,0.0438176,0.0475814,0.0505334,0.0524792,0.0533029,0.0529907,0.0516217,0.04934,0.0463276,0.0427844,0.0389128,0.0349027,0.0309196,0.0270946,0.0235211,0.0202562,0.0173263,0.0147347,0.012469,0.0105069,0.00882065,0.00738096,0.0061584,0.00512505,0.00425513,0.00352536,0.00291504,0.00240602,0.00198251,0.00163091,0.00133957,0.00109858,0.000899558,0.000735416,0.000600219,0.000488995,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.07937,-0,-5.55107,-5.28641,-0,-4.76924,-4.52261,-8.57503,-24.3972,-7.72095,-44.0747,-21.0303,-20.1475,-9.69607,-21.894,-15.2266,-29.8512,-29.4734,-52.7717,-47.0022,-35.5658,-30.0902,-27.6482,-37.819,-12.9857,-26.8415,-24.3346,-3.60842,-18.7493,-7.79859,-8.11106,-25.3053,-4.38451,-18.2229,-9.46132,-4.90885,-5.08994,-5.27361,-10.9193,-0,-0,-0,-0,-6.41862,-6.61541,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,3,3,1,2,4,5,4,6,6,9,12,12,7,7,8,12,12,9,5,8,10,7,5,5,3,5,7,2,4,2,2,0,3,0,0,3,1,0,1,0,0,0,0,0,0,0
-547.304,0.994561,0.0653559,5,63,0,549.59,-0.675721,-1.52424,-1.22685,-0.379208,5.4447,-0.0287014,-0.873437,5.44313,2.44074,1.70808e-05,2.42004e-05,3.43635e-05,4.89355e-05,6.99445e-05,0.00010043,0.000144974,0.00021049,0.000307315,0.000450613,0.000661981,0.000971051,0.00141677,0.00204802,0.0029232,0.00410865,0.00567563,0.00769599,0.0102367,0.0133537,0.0170851,0.0213556,0.0260555,0.0310415,0.0361401,0.0411524,0.0458612,0.0500408,0.0534684,0.0559401,0.0572891,0.0574083,0.0562723,0.0539514,0.0506097,0.0464817,0.041836,0.0369389,0.0320274,0.0272948,0.0228854,0.0188952,0.0153769,0.0123466,0.00979157,0.00767861,0.0059614,0.00458738,0.00350291,0.00265711,0.00200414,0.00150439,0.00112465,0.000837856,0.000622334,0.000461045,0.000340755,0.000251295,0.000184919,0.000135764,9.94199e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.93713,-0,-6.19088,-5.83508,-0,-5.17157,-4.86706,-9.16355,-25.8958,-8.1391,-46.1573,-21.8852,-20.8346,-9.96106,-22.3333,-15.4107,-29.9492,-29.2866,-51.9025,-45.7543,-34.2908,-28.7755,-26.2771,-35.8034,-12.2748,-25.392,-23.0894,-3.44116,-18.0053,-7.55451,-7.9377,-25.0493,-4.39438,-18.5049,-9.73863,-5.12245,-5.38445,-5.65416,-11.861,-0,-0,-0,-0,-7.38203,-7.68201,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,2,2,2,7,3,3,5,7,14,7,11,6,7,10,14,10,12,7,20,9,7,5,6,3,2,4,2,0,3,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0
-554.668,0.950765,0.0653559,5,63,0,558.317,0.644369,-1.01695,-2.17198,-0.316333,4.19982,-0.434167,-2.51684,4.535,2.7487,6.08395e-05,8.6957e-05,0.000124058,0.0001766,0.000250738,0.000354904,0.000500518,0.000702852,0.000981998,0.00136389,0.00188131,0.00257469,0.00349281,0.00469294,0.00624083,0.00821001,0.0106808,0.0137388,0.017473,0.0219733,0.027328,0.0326572,0.0375668,0.0418827,0.0455235,0.0484445,0.0506137,0.0520045,0.0525962,0.0523785,0.0513586,0.049569,0.047074,0.043973,0.0403978,0.0365035,0.0324544,0.0284077,0.0245,0.0208376,0.0174937,0.0145097,0.0119001,0.00965816,0.00776255,0.00618256,0.0048826,0.00382562,0.00297544,0.00229837,0.00176405,0.00134593,0.00102125,0.000770917,0.00057916,0.000433146,0.000322566,0.000239233,0.000176711,0.000129984,9.51792e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.96202,-0,-5.3617,-5.07664,-0,-4.53931,-4.28753,-8.09419,-22.9076,-7.19968,-41.0603,-19.6898,-19.0373,-9.26858,-21.1914,-14.9177,-29.5643,-29.4511,-53.0867,-47.5028,-36.0527,-30.5603,-28.1176,-38.5078,-13.2414,-27.4234,-24.9277,-3.70908,-19.355,-8.09183,-8.46587,-26.5873,-4.63995,-19.4338,-10.172,-5.32208,-5.56604,-5.81736,-12.1511,-0,-0,-0,-0,-7.45393,-7.74444,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,2,3,4,3,5,5,8,9,7,10,7,14,12,8,9,11,10,12,6,7,3,4,6,3,4,7,4,2,2,1,0,0,0,4,0,0,1,1,0,1,0,0,0,0,0,0
-550.896,1,0.0653559,6,63,0,555.619,-3.5822,-3.17297,-0.991713,-0.717761,2.79376,0.890929,0.506563,5.1778,2.85556,0.000143389,0.000183073,0.000233766,0.000298539,0.000381329,0.000487195,0.000622643,0.000796065,0.00101832,0.00130351,0.00167007,0.00214224,0.00275217,0.00354263,0.00457,0.00590571,0.0076349,0.00985155,0.01265,0.0161139,0.0203126,0.0251603,0.0304927,0.0360629,0.0415488,0.0465646,0.0506983,0.0536157,0.0551563,0.0553175,0.0542026,0.0519931,0.0489276,0.0452719,0.0412834,0.037182,0.033137,0.0292677,0.0256509,0.0223304,0.0193252,0.0166373,0.0142565,0.0121653,0.0103415,0.00876088,0.00739848,0.00622989,0.00523189,0.00438291,0.00366326,0.00305519,0.00254291,0.00211249,0.00175171,0.00144997,0.00119811,0.000988271,0.000813726,0.000668763,0.00054854,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.1459,-0,-5.64288,-5.38824,-0,-4.87503,-4.62013,-8.74019,-24.7684,-7.79302,-44.1899,-20.9416,-19.9349,-9.54266,-21.4684,-14.9093,-29.2591,-28.9758,-52.104,-46.6404,-35.4797,-30.1741,-27.8556,-38.2475,-13.1677,-27.2568,-24.7189,-3.66318,-19.009,-7.89269,-8.19222,-25.5033,-4.40917,-18.2864,-9.47492,-4.90648,-5.0784,-5.25298,-10.8601,-0,-0,-0,-0,-6.34716,-6.53621,-0,-0,-0,-0,-0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,3,5,1,3,4,7,3,9,11,11,16,12,14,11,9,7,10,7,5,4,5,6,6,2,5,0,3,3,3,1,1,2,2,1,0,0,0,0,0,1,0,2,0,0
-549.784,0.995341,0.0653559,6,63,0,554.821,-2.86816,-1.89374,-1.25119,-0.170602,2.88972,-0.544871,0.659407,4.9417,2.3708,2.54367e-05,3.84742e-05,5.80543e-05,8.73293e-05,0.000130854,0.00019511,0.000289158,0.000425384,0.000620287,0.000895191,0.00127672,0.00179688,0.00249252,0.00340428,0.00457512,0.00604938,0.00787391,0.010104,0.0128177,0.0161418,0.020753,0.025823,0.0312324,0.0367712,0.0421772,0.0471552,0.0514028,0.0546457,0.0566752,0.0573798,0.0567621,0.0549332,0.0520877,0.0484669,0.0443226,0.0398883,0.0353645,0.0309124,0.0266554,0.0226832,0.0190556,0.0158077,0.012953,0.0104876,0.00839368,0.00664353,0.0052027,0.00403343,0.00309727,0.00235718,0.00177896,0.00133213,0.000990325,0.000731286,0.000536656,0.000391568,0.000284193,0.000205253,0.000147568,0.000105648,7.53391e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.3217,-0,-5.68272,-5.38712,-0,-4.8442,-4.59482,-8.71385,-24.7581,-7.75013,-43.8779,-20.7978,-19.8182,-9.49762,-21.3802,-14.8403,-29.0688,-28.7042,-51.4451,-45.9022,-34.8196,-29.5483,-27.2419,-37.3951,-12.8867,-26.7364,-24.3362,-3.62476,-18.9307,-7.92079,-8.29452,-26.0786,-4.55757,-19.1211,-10.0282,-5.25858,-5.51314,-5.77724,-12.1006,-0,-0,-0,-0,-7.53015,-7.84535,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,2,2,4,5,5,5,6,7,7,15,15,15,17,14,8,14,10,4,7,8,6,2,4,2,1,3,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
