# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 23:08:14 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c23c9b0975.json
# init = /tmp/RtmpC8O1hA/init-b41c25f9f0ff2_4.json
# random
#   seed = 1452004
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0133_rep014_accurate_strong/prior_sensitivity_obspair_FAST-202605300008-4-668618.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0133_rep014_accurate_strong/prior_sensitivity_obspair_FAST-profile-202605300008-4-530af3.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.179392
# Diagonal elements of inverse mass matrix:
# 0.0470979, 0.0475994, 0.00740621, 0.00635075, 0.00994609, 0.00679865, 0.00581906
-548.416,0.998788,0.179392,4,31,0,551.864,-2.81253,-1.95661,-1.30975,-0.554157,2.88823,0.196674,-0.917432,5.12466,2.59169,6.60397e-05,8.80856e-05,0.000117521,0.000156845,0.00020942,0.000279778,0.000374053,0.00050057,0.000670668,0.000899841,0.00120925,0.00162765,0.00219355,0.00295715,0.00398128,0.00534045,0.0071174,0.00939671,0.0122554,0.015751,0.0199095,0.0246704,0.0299058,0.0354145,0.040927,0.0461186,0.0506384,0.0541546,0.0564103,0.0572712,0.0567409,0.0549429,0.0520844,0.0484189,0.0442138,0.0397237,0.0351717,0.0307376,0.0265538,0.022707,0.0192446,0.0161826,0.0135142,0.0112172,0.00926036,0.00760814,0.00622373,0.0050714,0.00411782,0.00333276,0.00268939,0.00216431,0.00173735,0.00139133,0.00111177,0.000886518,0.000705486,0.000560326,0.000444174,0.000351412,0.000277462,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.42062,-0,-5.82353,-5.52615,-0,-4.94521,-4.6674,-8.80358,-24.9051,-7.83312,-44.4258,-21.0582,-20.0438,-9.5879,-21.5358,-14.9152,-29.1591,-28.751,-51.4792,-45.9082,-34.8175,-29.5489,-27.2508,-37.4246,-12.9032,-26.7801,-24.3759,-3.62858,-18.9254,-7.90105,-8.24763,-25.8241,-4.49031,-18.728,-9.75707,-5.07939,-5.28414,-5.49243,-11.4079,-0,-0,-0,-0,-6.8018,-7.02821,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1,3,1,2,2,6,3,11,8,7,3,15,12,15,8,14,12,8,6,6,13,8,4,8,3,5,5,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
-547.767,0.992902,0.179392,4,31,0,551.776,-1.88859,-2.32952,-1.39951,-0.652621,3.16313,0.277427,-1.10468,5.1084,2.68587,0.000127647,0.000165755,0.000215298,0.000279746,0.000363647,0.00047298,0.000615626,0.00080201,0.00104596,0.00136583,0.00178592,0.00233804,0.00306288,0.00401051,0.00523928,0.00681281,0.00879478,0.0112419,0.0141954,0.0176716,0.0216539,0.0260548,0.0307368,0.0355161,0.0401704,0.044453,0.0481116,0.0509162,0.0526915,0.053346,0.0528829,0.0513888,0.0490112,0.0459344,0.042359,0.0384841,0.0344926,0.0305402,0.0267487,0.0232048,0.0199624,0.0170479,0.0144661,0.0122068,0.0102497,0.00856883,0.00713584,0.00592181,0.00489889,0.00404109,0.0033248,0.0027289,0.00223483,0.00182641,0.00148971,0.00121281,0.00098561,0.000799553,0.000647473,0.000523376,0.000422274,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.05844,-0,-5.51884,-5.25157,-0,-4.7336,-4.4881,-8.50967,-24.2148,-7.66513,-43.7706,-20.8938,-20.0266,-9.64387,-21.7933,-15.1712,-29.7757,-29.433,-52.7572,-47.0348,-35.62,-30.1571,-27.7249,-37.9389,-13.03,-26.9361,-24.421,-3.62127,-18.817,-7.8278,-8.14345,-25.4157,-4.40576,-18.322,-9.51925,-4.94262,-5.12911,-5.31875,-11.0225,-0,-0,-0,-0,-6.50918,-6.71481,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2,5,1,1,2,3,6,4,12,5,9,8,5,6,12,8,16,8,6,9,11,6,9,4,6,6,1,1,5,4,6,2,0,2,0,1,1,1,0,1,0,0,0,0,1,0,0
-549.058,0.99118,0.179392,4,15,0,554.186,-2.45924,-3.26442,-1.12036,-0.388156,3.67089,0.35265,-0.96565,5.10009,2.22914,3.38045e-05,4.74628e-05,6.66446e-05,9.35884e-05,0.000131444,0.000184644,0.000259435,0.000364612,0.000512546,0.000720559,0.00101266,0.00142145,0.00198988,0.00277218,0.00383355,0.00524801,0.00709371,0.00944503,0.0123614,0.0158739,0.0199718,0.0245867,0.0295925,0.0348089,0.0400122,0.0449489,0.0493534,0.0529683,0.0555685,0.0569899,0.0571549,0.0560804,0.0538678,0.050684,0.0467406,0.0422742,0.0375271,0.0327277,0.0280739,0.0237192,0.0197678,0.0162756,0.0132577,0.0106986,0.00856294,0.00680447,0.00537295,0.00421885,0.00329613,0.00256371,0.00198599,0.00153283,0.00117912,0.000904259,0.00069151,0.000527429,0.000401296,0.000304622,0.00023073,0.000174393,0.00013154,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.55608,-0,-5.88812,-5.56396,-0,-4.94855,-4.66227,-8.78635,-24.8585,-7.82686,-44.4666,-21.1214,-20.1473,-9.65571,-21.7156,-15.0437,-29.3806,-28.9014,-51.5679,-45.7918,-34.5716,-29.2122,-26.8393,-36.7577,-12.6543,-26.2615,-23.9367,-3.57292,-18.7074,-7.8474,-8.23618,-25.9391,-4.53764,-19.0412,-9.98035,-5.22638,-5.46819,-5.71501,-11.9326,-0,-0,-0,-0,-7.27663,-7.5475,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,2,6,3,4,3,8,8,8,12,10,7,11,10,12,8,7,8,9,7,9,9,10,3,2,3,1,6,5,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0
-547.847,0.997598,0.179392,4,31,0,551.687,-2.78208,-2.65985,-1.17342,-0.471661,3.68287,0.158149,-0.779641,5.49255,2.45622,4.75941e-05,6.50523e-05,8.89294e-05,0.000121597,0.000166314,0.000227555,0.000311481,0.000426566,0.000584444,0.000801009,0.00109773,0.00150304,0.00205355,0.00279468,0.00378027,0.00507083,0.00673,0.00881885,0.0113882,0.0144694,0.018065,0.022132,0.0265825,0.0312833,0.0360602,0.0407062,0.0449945,0.0486937,0.0515897,0.0535102,0.0543491,0.0540792,0.0527508,0.0504779,0.0474207,0.043768,0.0397209,0.0354765,0.0312144,0.0270859,0.0232069,0.0196562,0.0164782,0.0136878,0.0112777,0.00922504,0.00749779,0.00605925,0.0048718,0.00389915,0.00310781,0.0024678,0.00195289,0.00154057,0.00121179,0.000950606,0.000743839,0.00058066,0.000452248,0.000351461,0.000272548,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.50027,-0,-5.88004,-5.57796,-0,-5.00118,-4.73086,-8.95035,-25.4143,-8.02755,-45.7288,-21.765,-20.788,-9.9677,-22.4096,-15.5061,-30.222,-29.6443,-52.7019,-46.5972,-35.0077,-29.4218,-26.876,-36.5844,-12.5154,-25.807,-23.3722,-3.46687,-18.0437,-7.52661,-7.85872,-24.6343,-4.29125,-17.9397,-9.37167,-4.89315,-5.10617,-5.32429,-11.094,-0,-0,-0,-0,-6.71566,-6.95841,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,0,1,2,3,7,7,2,8,11,6,10,11,5,8,10,11,10,12,8,10,8,7,6,7,5,4,4,3,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
-551.829,0.984731,0.179392,4,15,0,553.599,-2.39908,-2.00929,-1.15584,-0.303945,3.60291,-0.0274124,-0.579821,5.12635,2.23701,1.95843e-05,2.83348e-05,4.10007e-05,5.93384e-05,8.58941e-05,0.000124359,0.00018008,0.000260777,0.000377547,0.000546182,0.000788823,0.00113582,0.00162753,0.00231569,0.0032637,0.00454545,0.00624198,0.00843563,0.0112017,0.0145981,0.0186539,0.0233285,0.0285209,0.0340653,0.0397319,0.045236,0.0502561,0.0544613,0.0575504,0.0592958,0.0595826,0.0584265,0.0559641,0.0524207,0.0480711,0.043205,0.0380992,0.0329979,0.0281008,0.0235561,0.0194606,0.0158637,0.0127757,0.0101768,0.00802748,0.00627696,0.00487008,0.00375242,0.00287345,0.00218826,0.00165824,0.00125101,0.000939996,0.000703727,0.000525088,0.000390597,0.00028973,0.000214343,0.000158177,0.000116452,8.55373e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.7804,-0,-6.06805,-5.72489,-0,-5.07646,-4.77529,-8.98338,-25.3612,-7.9634,-45.097,-21.3427,-20.2769,-9.6768,-21.671,-14.9531,-29.1026,-28.5509,-50.8539,-45.1263,-34.0798,-28.8304,-26.5361,-36.4209,-12.5672,-26.1405,-23.8792,-3.57196,-18.7418,-7.87873,-8.28744,-26.1613,-4.58765,-19.2995,-10.1417,-5.32464,-5.58535,-5.85224,-12.2493,-0,-0,-0,-0,-7.55194,-7.84784,-0,-0,-0,-0,-0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,1,3,4,4,5,7,9,12,9,13,6,11,13,6,17,9,3,14,9,3,7,7,5,5,2,1,1,1,2,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0
-546.176,0.999766,0.179392,4,15,0,552.951,-1.48432,-2.03798,-1.33841,-0.69904,3.49244,0.0444871,-1.0746,5.22005,2.7453,0.000146046,0.000187622,0.000241165,0.000310198,0.00039933,0.000514615,0.000664029,0.000858126,0.00111088,0.00144077,0.00187198,0.00243565,0.00317069,0.00412378,0.00534807,0.00690027,0.00883628,0.0112053,0.0140433,0.0173657,0.0211623,0.0253497,0.0298022,0.0343529,0.0388017,0.0429262,0.0464998,0.0493134,0.0512012,0.0520638,0.0518816,0.0507123,0.0486758,0.0459327,0.0426633,0.0390503,0.0352649,0.0314573,0.0277507,0.024238,0.0209835,0.0180246,0.0153773,0.0130405,0.0110011,0.00923817,0.00772664,0.00643955,0.00535,0.00443234,0.0036628,0.00301994,0.00248469,0.00204034,0.0016724,0.00136843,0.00111782,0.000911572,0.000742116,0.00060309,0.000489186,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.01754,-0,-5.49098,-5.23102,-0,-4.72889,-4.49137,-8.53123,-24.3195,-7.71107,-44.0998,-21.079,-20.2264,-9.74788,-22.0379,-15.3415,-30.0956,-29.7199,-53.1951,-47.3407,-35.779,-30.2257,-27.7252,-37.853,-12.9716,-26.7589,-24.2139,-3.5845,-18.5992,-7.72804,-8.03203,-25.0492,-4.3397,-18.0391,-9.36882,-4.86308,-5.0453,-5.23066,-10.8377,-0,-0,-0,-0,-6.3935,-6.59409,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,3,0,1,1,5,1,4,3,5,10,10,8,9,8,15,7,10,9,7,10,10,7,7,6,10,6,3,3,2,1,4,2,1,3,2,1,1,0,1,0,0,0,0,0,0,0,0
