# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 23:28:31 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c250bfac15.json
# init = /tmp/RtmpC8O1hA/init-b41c24fd479fa_3.json
# random
#   seed = 1452007
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0136_rep014_mildly_wrong_strong/prior_sensitivity_obspair_FAST-202605300028-3-15963f.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0136_rep014_mildly_wrong_strong/prior_sensitivity_obspair_FAST-profile-202605300028-3-2971d5.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.140228
# Diagonal elements of inverse mass matrix:
# 0.0658207, 0.052792, 0.00508502, 0.00567289, 0.0070967, 0.00670491, 0.00859685
-548.164,0.980737,0.140228,5,31,0,549.474,-1.67912,-3.14992,-1.11668,-0.517024,3.97433,0.132903,-0.581996,5.17557,2.41688,8.11971e-05,0.000109463,0.000147595,0.000199055,0.000268529,0.000362366,0.000489162,0.000660534,0.000892094,0.00120461,0.00162518,0.00218823,0.00293574,0.00391658,0.00518445,0.00679428,0.00879709,0.0112334,0.0141257,0.0174711,0.0212354,0.0253409,0.0296725,0.0340822,0.0383971,0.0424292,0.045988,0.0488945,0.0509964,0.0521833,0.0524003,0.0516534,0.0500064,0.04757,0.0444887,0.0409273,0.0370581,0.033049,0.0290526,0.0251979,0.0215848,0.0182816,0.015327,0.0127337,0.0104945,0.00858803,0.00698424,0.00564885,0.00454669,0.00364387,0.00290915,0.00231459,0.00183585,0.00145202,0.00114548,0.000901501,0.00070791,0.000554724,0.000433813,0.000338595,0.000263768,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.12466,-0,-5.54254,-5.26209,-0,-4.73333,-4.48887,-8.51952,-24.2833,-7.70417,-44.104,-21.1052,-20.2739,-9.77932,-22.1194,-15.3969,-30.1809,-29.76,-53.1539,-47.1815,-35.5584,-29.9561,-27.41,-37.3502,-12.7838,-26.3621,-23.8684,-3.53865,-18.405,-7.67153,-8.00372,-25.0689,-4.36351,-18.2276,-9.51477,-4.9641,-5.1763,-5.39335,-11.2294,-0,-0,-0,-0,-6.77193,-7.01145,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,4,1,3,4,3,5,6,6,8,11,12,8,12,7,15,13,8,10,8,5,10,8,4,4,3,1,2,2,4,2,0,1,1,2,0,0,0,0,1,0,1,0,1,0,0
-548.257,0.996934,0.140228,5,31,0,551.336,-2.95864,-2.97617,-1.22379,-0.412994,3.75804,0.448827,-0.78597,5.32521,2.30371,3.37817e-05,4.70414e-05,6.55128e-05,9.12505e-05,0.000127125,0.000177152,0.000246953,0.000344412,0.000480587,0.000670952,0.000936991,0.001308,0.00182276,0.00253056,0.00349129,0.00477412,0.00645401,0.00860537,0.0112922,0.0145552,0.0183987,0.0227725,0.0275717,0.0326384,0.0377702,0.0427329,0.0472737,0.0511382,0.0540903,0.055942,0.0565842,0.0560028,0.0542715,0.0515316,0.0479718,0.0438104,0.0392784,0.0346018,0.0299845,0.0255936,0.0215499,0.0179266,0.0147545,0.012031,0.00973038,0.00781347,0.00623459,0.00494687,0.00390545,0.00306937,0.00240245,0.00187345,0.00145598,0.00112801,0.000871388,0.000671342,0.000515921,0.000395539,0.000302561,0.000230934,0.000175888,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.63925,-0,-5.97931,-5.65748,-0,-5.04305,-4.75537,-8.96729,-25.3789,-7.99095,-45.3864,-21.5458,-20.5336,-9.8287,-22.0695,-15.259,-29.7322,-29.171,-51.9019,-45.9524,-34.5882,-29.1376,-26.69,-36.4457,-12.5115,-25.8967,-23.547,-3.50707,-18.3271,-7.67477,-8.04293,-25.2972,-4.42027,-18.53,-9.70381,-5.07764,-5.309,-5.54538,-11.5726,-0,-0,-0,-0,-7.04542,-7.30623,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,3,2,6,3,6,4,5,12,10,13,11,7,11,11,10,15,12,8,3,6,5,5,5,3,4,3,3,2,2,3,0,1,0,1,0,0,0,0,0,0,0,0,0
-545.318,0.998951,0.140228,5,31,0,550.862,-1.44373,-1.85434,-0.913998,-0.689929,4.03523,0.107651,-0.869652,5.27652,2.58336,7.18025e-05,9.25923e-05,0.000119521,0.000154479,0.000199992,0.000259462,0.00033753,0.000440595,0.000577608,0.000761218,0.00100943,0.00134778,0.00181196,0.00245039,0.00332592,0.00451586,0.00610914,0.00820005,0.0108782,0.014215,0.0182485,0.0229387,0.0281736,0.0337644,0.0394496,0.0449117,0.0498039,0.053788,0.0565792,0.0579894,0.0579572,0.0565503,0.0539439,0.0503843,0.0461511,0.041525,0.0367625,0.0320782,0.0276359,0.0235467,0.0198736,0.0166401,0.0138399,0.0114472,0.00942451,0.00772952,0.00631905,0.00515198,0.00419077,0.00340211,0.00275707,0.00223088,0.00180259,0.00145465,0.00117242,0.000943801,0.000758807,0.000609243,0.000488409,0.000390842,0.000312102,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.6093,-0,-6.01151,-5.70601,-0,-5.09797,-4.80361,-9.04199,-25.5208,-8.00735,-45.2992,-21.4162,-20.3301,-9.69819,-21.7214,-14.9983,-29.227,-28.7211,-51.2549,-45.5688,-34.4715,-29.1981,-26.8927,-36.91,-12.7258,-26.4262,-24.0771,-3.58864,-18.7439,-7.83672,-8.19188,-25.6812,-4.47001,-18.6578,-9.72542,-5.06419,-5.26837,-5.47487,-11.3667,-0,-0,-0,-0,-6.74868,-6.9656,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,3,2,0,4,7,8,5,15,11,7,18,14,9,10,19,7,3,10,3,5,4,2,9,4,2,2,1,0,1,0,2,0,1,1,1,0,0,1,0,0,0,0,0
-546.974,0.972806,0.140228,4,15,0,547.466,-1.30027,-1.47203,-0.929246,-0.661391,3.96228,0.107247,-0.867177,5.09471,2.51846,4.12107e-05,5.35775e-05,6.97458e-05,9.09468e-05,0.000118853,0.000155767,0.000204904,0.000270836,0.000360193,0.000482761,0.000653216,0.000893691,0.00123732,0.0017325,0.00244717,0.00347167,0.00491881,0.00691928,0.00961148,0.0131253,0.0175614,0.0228945,0.0289983,0.0356326,0.0424452,0.0489937,0.0547871,0.0593483,0.0622897,0.0633858,0.0626154,0.0601533,0.0563185,0.0515038,0.0461122,0.0405101,0.0349983,0.0297997,0.0250593,0.020853,0.0172024,0.0140901,0.0114743,0.00930052,0.0075102,0.00604603,0.00485523,0.00389099,0.00311292,0.00248685,0.00198422,0.00158144,0.00125919,0.00100168,0.000796123,0.000632158,0.000501439,0.000397252,0.000314214,0.000248017,0.000195228,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.02015,-0,-6.35819,-6.01282,-0,-5.31469,-4.97344,-9.28959,-25.9993,-8.0841,-45.3223,-21.2431,-20.007,-9.47862,-21.1124,-14.5215,-28.2433,-27.7596,-49.6533,-44.3319,-33.7303,-28.7673,-26.6949,-36.9201,-12.8248,-26.8196,-24.5928,-3.68651,-19.3513,-8.12541,-8.52456,-26.8059,-4.67769,-19.566,-10.2167,-5.3277,-5.54909,-5.77219,-11.9935,-0,-0,-0,-0,-7.13576,-7.36637,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,3,3,4,2,6,6,7,10,12,9,11,13,12,11,14,12,13,7,5,7,3,5,4,4,3,2,2,0,0,1,2,1,0,0,0,2,0,0,0,0,0,0,0
-547.073,0.998557,0.140228,4,31,0,550.736,-1.79688,-2.40012,-1.32102,-0.69954,3.77946,0.355733,-0.845163,5.4215,2.7327,0.000137843,0.000176959,0.000227262,0.000292013,0.000375454,0.000483134,0.000622343,0.000802707,0.00103699,0.00134213,0.00174054,0.00226141,0.00294158,0.00382569,0.00496489,0.00641438,0.00822926,0.0104588,0.0131393,0.016286,0.019886,0.0238735,0.0281422,0.0325477,0.0369144,0.0410447,0.0447311,0.0477719,0.0499912,0.0512638,0.0515355,0.050828,0.0492264,0.0468607,0.0438889,0.0404818,0.0368111,0.0330371,0.0292994,0.0257102,0.0223505,0.0192722,0.0165009,0.0140421,0.0118866,0.0100158,0.00840544,0.00702893,0.00585925,0.00487035,0.00403796,0.00333999,0.00275672,0.00227076,0.00186694,0.00153218,0.00125528,0.00102666,0.000838246,0.000683217,0.00055585,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.09177,-0,-5.56602,-5.30536,-0,-4.80006,-4.56031,-8.6643,-24.7047,-7.83548,-44.8198,-21.4229,-20.5503,-9.89746,-22.3517,-15.5354,-30.4132,-29.9591,-53.4739,-47.4477,-35.7517,-30.1133,-27.5452,-37.5131,-12.8276,-26.4156,-23.8709,-3.53019,-18.3043,-7.60181,-7.89819,-24.6261,-4.2657,-17.7294,-9.20719,-4.77888,-4.95772,-5.13973,-10.6492,-0,-0,-0,-0,-6.28346,-6.48106,-0,-0,-0,-0,-0,0,0,0,0,0,1,0,0,2,1,0,2,0,0,0,0,1,1,1,8,5,4,7,5,11,9,11,9,9,8,6,14,8,11,7,5,8,11,6,7,5,5,2,0,1,3,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0
-546.113,0.998627,0.140228,5,31,0,549.085,-1.91012,-2.40355,-1.00776,-0.646002,3.92337,0.0970568,-0.978907,5.52654,2.6324,9.81011e-05,0.00012769,0.000166279,0.000216654,0.000282498,0.000368694,0.000481743,0.000630338,0.000826122,0.0010847,0.00142683,0.00187981,0.00247859,0.00326644,0.00429458,0.0056204,0.00730378,0.00940154,0.01196,0.015006,0.0185388,0.0225118,0.0268349,0.0313735,0.0359529,0.0403679,0.0443965,0.0478183,0.0504364,0.0521018,0.0527322,0.0523201,0.0509284,0.0486769,0.0457246,0.0422532,0.0384501,0.034494,0.030543,0.0267261,0.0231397,0.0198476,0.0168844,0.0142609,0.01197,0.00999263,0.00830249,0.00686962,0.00566328,0.00465364,0.00381292,0.00311593,0.0025403,0.0020665,0.00167766,0.0013594,0.00109952,0.000887744,0.000715508,0.00057567,0.000462319,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.27658,-0,-5.72406,-5.4504,-0,-4.91936,-4.66688,-8.85238,-25.1958,-7.97578,-45.5246,-21.7083,-20.7708,-9.97664,-22.468,-15.573,-30.4035,-29.8704,-53.182,-47.0805,-35.4045,-29.7733,-27.203,-37.0214,-12.6563,-26.0671,-23.5688,-3.48862,-18.1106,-7.53241,-7.83934,-24.4882,-4.25024,-17.7014,-9.21181,-4.7912,-4.98065,-5.17375,-10.7402,-0,-0,-0,-0,-6.39035,-6.60071,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,2,4,5,6,3,3,6,8,10,8,11,7,12,12,11,7,5,13,6,7,11,4,8,4,1,3,2,2,3,2,2,1,1,1,1,1,1,0,0,0,0,0,1,0
