# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-29 23:51:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c273019bc6.json
# init = /tmp/RtmpC8O1hA/init-b41c225450b00_3.json
# random
#   seed = 1452011
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0140_rep014_manuscript_default/prior_sensitivity_obspair_FAST-202605300051-3-39dee4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0140_rep014_manuscript_default/prior_sensitivity_obspair_FAST-profile-202605300051-3-68f954.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0442608
# Diagonal elements of inverse mass matrix:
# 0.125264, 0.117313, 0.113289, 0.0186976, 0.123411, 0.258682, 0.295512
-544.725,0.999972,0.0442608,6,127,0,545.171,-1.71209,-1.34842,-2.13725,-0.532117,3.26515,0.0479739,-0.82291,5.15758,2.63371,6.24176e-05,8.38943e-05,0.000112833,0.000151877,0.000204644,0.000276093,0.000373052,0.000504918,0.000684592,0.000929617,0.00126344,0.00171658,0.00232751,0.00314306,0.00421813,0.00561497,0.00740177,0.00965075,0.0124358,0.01583,0.019903,0.0245238,0.0295305,0.034729,0.0398935,0.0447718,0.0490943,0.0525921,0.0550249,0.0562175,0.0560964,0.0547098,0.0522174,0.0488534,0.0448811,0.0405555,0.0361004,0.0316985,0.0274888,0.0235693,0.0200017,0.0168169,0.0140215,0.0116038,0.00953944,0.00779627,0.00633845,0.00512943,0.00413396,0.00331945,0.00265663,0.00211983,0.00168692,0.00133909,0.00106053,0.000838118,0.000661,0.000520287,0.000408734,0.000320465,0.000250735,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.36742,-0,-5.76256,-5.46836,-0,-4.90604,-4.64072,-8.77435,-24.8751,-7.83377,-44.4973,-21.134,-20.1611,-9.66462,-21.7432,-15.0701,-29.4519,-28.9997,-51.8135,-46.0909,-34.8685,-29.5234,-27.1704,-37.2449,-12.8203,-26.5716,-24.1604,-3.59398,-18.7391,-7.82388,-8.17075,-25.603,-4.45642,-18.6093,-9.70822,-5.06112,-5.27276,-5.48852,-11.4159,-0,-0,-0,-0,-6.84899,-7.08435,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,4,5,7,5,7,7,9,5,7,10,11,14,10,4,17,6,12,7,9,3,7,5,3,3,2,1,6,3,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
-547.435,0.990253,0.0442608,6,63,0,548.69,-1.43176,-2.21731,-2.03776,-0.633717,2.82892,0.331279,-1.47675,4.70681,2.62724,0.000147811,0.000192873,0.000251733,0.000328658,0.000429259,0.000560938,0.00073348,0.000959848,0.00125725,0.00164846,0.00216346,0.00284087,0.00372879,0.00488382,0.00636798,0.0082437,0.0105676,0.0133838,0.0167169,0.0205661,0.024901,0.0295724,0.0343926,0.0391427,0.043583,0.0474663,0.0505572,0.0526579,0.0536391,0.0534668,0.0522054,0.049997,0.0470287,0.0435062,0.0396332,0.0355986,0.0315659,0.0276675,0.0240012,0.0206316,0.0175937,0.0148984,0.0125391,0.0104969,0.0087458,0.00725638,0.00599816,0.00494151,0.00405869,0.00332442,0.00271615,0.00221404,0.00180088,0.00146188,0.00118446,0.00095795,0.000773406,0.000623342,0.000501528,0.000402806,0.000322916,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.86364,-0,-5.32183,-5.05647,-0,-4.54996,-4.31371,-8.18267,-23.3047,-7.38569,-42.251,-20.2195,-19.4432,-9.39927,-21.3342,-14.9232,-29.4394,-29.2548,-52.7165,-47.2411,-35.9495,-30.57,-28.2137,-38.7371,-13.3418,-27.6454,-25.1125,-3.72965,-19.4047,-8.08043,-8.413,-26.2734,-4.55668,-18.9567,-9.85175,-5.1163,-5.31008,-5.5069,-11.4129,-0,-0,-0,-0,-6.73847,-6.95072,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,0,2,1,3,3,6,11,7,10,4,6,6,10,13,10,12,7,14,7,10,4,5,6,10,9,1,4,2,1,1,0,4,1,1,1,0,0,0,0,0,0,1,0,0,0,0
-548.542,0.998135,0.0442608,6,63,0,550.283,-3.25387,-0.904671,-2.7004,-0.537179,3.5256,0.914951,-1.11869,5.28934,2.60733,3.01107e-05,4.04108e-05,5.42718e-05,7.29553e-05,9.81944e-05,0.000132391,0.000178912,0.000242545,0.000330232,0.000452256,0.000624115,0.000869051,0.00122031,0.00172229,0.00243159,0.00341868,0.00477013,0.00659069,0.00900445,0.0121546,0.0162021,0.0210573,0.0266005,0.0326729,0.0390673,0.0455129,0.0516541,0.0570269,0.0610598,0.0631834,0.0631176,0.061053,0.0574562,0.0528315,0.0476205,0.0421793,0.0367829,0.031635,0.0268768,0.0225936,0.0188221,0.0155605,0.0127804,0.0104384,0.00848402,0.00686607,0.00553553,0.00444762,0.0035625,0.00284554,0.00226704,0.0018019,0.00142906,0.00113106,0.000893484,0.000704523,0.000554544,0.000435727,0.000341752,0.000267527,0.000208963,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.04811,-0,-6.3641,-6.01921,-0,-5.34538,-5.0221,-9.42007,-26.4603,-8.24523,-46.3261,-21.761,-20.5272,-9.72741,-21.6283,-14.8159,-28.6423,-27.959,-49.7109,-44.2041,-33.5522,-28.5673,-26.4658,-36.5339,-12.6633,-26.4218,-24.1744,-3.61649,-18.9504,-7.94544,-8.32604,-26.159,-4.56227,-19.0783,-9.96233,-5.19657,-5.41539,-5.63729,-11.724,-0,-0,-0,-0,-7.02038,-7.25799,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,0,0,0,0,0,5,5,1,3,7,7,18,13,9,9,16,13,10,13,12,10,4,9,7,5,1,5,1,4,1,2,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0
-546.747,0.998546,0.0442608,6,127,0,549.342,-1.34242,-2.4645,-1.73166,-0.611658,3.78089,1.0329,-1.21831,4.75777,2.45629,0.000119701,0.000157118,0.00020628,0.00027091,0.00035594,0.000467914,0.00061556,0.000810569,0.0010687,0.00141136,0.00186772,0.00247721,0.00329061,0.00436775,0.00577335,0.00757276,0.00982695,0.0125858,0.0158789,0.0197042,0.0240181,0.0286897,0.0335428,0.0383713,0.0429536,0.0470644,0.0504824,0.0529997,0.0544384,0.0546914,0.0537731,0.0518062,0.0489667,0.0454506,0.041461,0.0371999,0.0328605,0.0286168,0.0246105,0.0209396,0.017657,0.0147775,0.0122896,0.0101656,0.00836961,0.00686298,0.00560744,0.00456701,0.00370899,0.0030044,0.00242793,0.00195784,0.00157562,0.00126566,0.00101489,0.000812451,0.000649334,0.000518137,0.000412783,0.000328309,0.000260669,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.00062,-0,-5.43351,-5.1545,-0,-4.62263,-4.37519,-8.28553,-23.5615,-7.45789,-42.6146,-20.3696,-19.5627,-9.4429,-21.3937,-14.9306,-29.3747,-29.1068,-52.3089,-46.7677,-35.5229,-30.1662,-27.8202,-38.196,-13.1658,-27.3239,-24.8763,-3.70458,-19.3306,-8.07325,-8.42929,-26.394,-4.58875,-19.1326,-9.96323,-5.18366,-5.3889,-5.59699,-11.6154,-0,-0,-0,-0,-6.89297,-7.11546,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,4,3,3,2,7,6,11,13,10,9,10,10,12,9,7,8,8,7,9,3,7,3,3,7,7,3,3,2,0,4,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0
-549.261,0.994429,0.0442608,4,31,0,551.982,-1.58978,-2.28447,-1.40722,-0.940756,3.71509,1.34037,-0.972316,5.57706,3.13077,0.00030142,0.000367269,0.000447738,0.000546189,0.000666812,0.000814863,0.000996971,0.00122157,0.00149948,0.00184477,0.00227594,0.0028177,0.00350308,0.00437437,0.00548141,0.00687908,0.0086243,0.0107714,0.0133647,0.0164283,0.019953,0.0238625,0.0280335,0.0323065,0.0364983,0.0404098,0.0438339,0.0465641,0.0484168,0.0492899,0.0491948,0.04821,0.0464509,0.0440572,0.0411849,0.0379987,0.0346598,0.0313104,0.0280594,0.0249805,0.0221173,0.0194914,0.017109,0.0149662,0.0130524,0.0113531,0.00985173,0.00853069,0.00737255,0.00636043,0.00547834,0.00471144,0.00404609,0.00346991,0.00297173,0.0025416,0.00217065,0.00185108,0.00157602,0.00133949,0.00113626,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.87183,-0,-5.43199,-5.20639,-0,-4.75317,-4.53086,-8.63028,-24.6525,-7.82875,-44.8253,-21.4461,-20.5949,-9.93147,-22.4608,-15.6367,-30.6692,-30.2791,-54.1806,-48.1915,-36.3863,-30.6936,-28.1004,-38.2762,-13.0808,-26.8974,-24.2466,-3.57343,-18.4483,-7.62279,-7.87556,-24.4089,-4.20196,-17.3551,-8.95652,-4.62011,-4.76409,-4.90999,-10.1153,-0,-0,-0,-0,-5.81861,-5.97496,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,5,5,5,9,6,9,3,6,10,12,9,13,14,14,6,4,7,2,6,7,7,5,6,4,2,2,3,2,3,0,0,0,1,1,3,0,1,0,1,1,0,1
-545.098,0.998203,0.0442608,5,63,0,553.048,-2.03601,-1.74476,-0.716348,-0.744074,3.07244,0.254576,-0.735364,5.20234,2.7805,8.97808e-05,0.00011412,0.000145147,0.000184756,0.000235412,0.000300345,0.000383819,0.00049153,0.000631167,0.000813267,0.00105248,0.0013695,0.00179384,0.00236776,0.00315085,0.00422452,0.00569414,0.00768639,0.0103394,0.0137837,0.0181155,0.0233294,0.029303,0.0357754,0.0423485,0.0485212,0.0537608,0.0576049,0.0597575,0.0601354,0.0588538,0.0561733,0.0524357,0.048005,0.0432197,0.0383633,0.0336498,0.0292248,0.0251742,0.0215378,0.0183224,0.0155128,0.0130809,0.010992,0.0092089,0.00769464,0.00641431,0.00533581,0.00443023,0.00367199,0.00303869,0.0025109,0.00207193,0.00170745,0.0014053,0.00115515,0.00094829,0.000777374,0.000636259,0.000519816,0.000423778,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.59331,-0,-6.04581,-5.76008,-0,-5.16832,-4.8683,-9.14359,-25.7056,-8.02198,-45.0965,-21.1804,-19.983,-9.48546,-21.1803,-14.6161,-28.5415,-28.1746,-50.6008,-45.3232,-34.5518,-29.4817,-27.3281,-37.6975,-13.0426,-27.134,-24.7292,-3.68194,-19.1897,-7.99926,-8.33218,-26.0196,-4.51058,-18.7503,-9.73446,-5.04922,-5.23332,-5.4193,-11.214,-0,-0,-0,-0,-6.5675,-6.76352,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,4,6,1,4,10,4,11,10,7,12,9,13,17,16,7,10,7,12,7,2,1,4,2,2,1,3,4,1,0,0,0,1,2,2,1,0,0,0,1,0,0,1
