# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 00:04:29 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c26aef71b3.json
# init = /tmp/RtmpC8O1hA/init-b41c264140c10_3.json
# random
#   seed = 1552002
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0141_rep015_accurate_weak/prior_sensitivity_obspair_FAST-202605300104-3-3a9307.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0141_rep015_accurate_weak/prior_sensitivity_obspair_FAST-profile-202605300104-3-409320.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0713966
# Diagonal elements of inverse mass matrix:
# 0.137566, 0.114757, 0.150695, 0.0426034, 0.130277, 0.10728, 0.282927
-534.326,0.999814,0.0713966,5,31,0,536.111,-1.34225,-2.00917,-1.60066,-0.144879,5.20543,0.358605,-1.86099,5.25534,2.11991,1.28726e-05,1.98682e-05,3.06858e-05,4.7434e-05,7.33988e-05,0.000113689,0.000176165,0.000272641,0.000420141,0.000641903,0.000967851,0.00143456,0.00208476,0.00296634,0.00413068,0.00563017,0.00751457,0.00982632,0.0125948,0.0158301,0.0195181,0.0235906,0.0279469,0.0324583,0.0369735,0.0413264,0.0453439,0.0488523,0.0516852,0.0536908,0.054742,0.0547518,0.0536934,0.0516197,0.0486647,0.0450178,0.0408873,0.0364734,0.031957,0.0274956,0.0232222,0.0192451,0.0156456,0.0124772,0.00976482,0.00750591,0.00567409,0.00422524,0.00310494,0.00225574,0.0016229,0.00115799,0.000820477,0.000577868,0.000404905,0.000282445,0.00019625,0.000135886,9.37961e-05,6.45604e-05,4.4322e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.5469,-0,-0,-0,-5.17962,-0,-9.24538,-13.1234,-16.5834,-11.8092,-14.9876,-25.0421,-41.1336,-49.4633,-22.3038,-30.9348,-24.1516,-32.5884,-40.9432,-31.9564,-23.2396,-11.6979,-44.4578,-42.3192,-24.8056,-9.59081,-23.1782,-24.1035,-14.3749,-3.76265,-7.901,-8.31514,-17.5354,-4.62897,-9.78413,-5.17185,-10.9334,-5.77476,-0,-0,-0,-0,-0,-0,-0,-0,-8.90369,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,4,3,3,5,8,9,7,7,9,12,11,8,6,9,13,10,12,11,9,7,5,5,6,5,2,3,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
-532.205,1,0.0713966,5,31,0,535.638,-1.30868,-1.91686,-1.55568,-0.194682,4.35275,0.195286,-1.66103,4.83848,2.09962,1.61886e-05,2.44514e-05,3.6944e-05,5.58433e-05,8.44539e-05,0.000127789,0.000193428,0.000292714,0.000442312,0.000665931,0.000995851,0.00147378,0.00215073,0.00308581,0.00434387,0.00599179,0.00809346,0.0107034,0.0138593,0.0175749,0.0218333,0.0265388,0.0315526,0.0366967,0.0417617,0.0465174,0.0507246,0.0541494,0.0565798,0.0578455,0.0578439,0.0565647,0.0541029,0.0506448,0.0464324,0.0417244,0.0367682,0.0317847,0.026961,0.022446,0.0183482,0.0147355,0.0116368,0.00904676,0.00693311,0.0052454,0.00392371,0.00290608,0.00213395,0.00155537,0.00112639,0.000811191,0.000581351,0.000414853,0.000294918,0.000208948,0.000147588,0.000103959,7.3041e-05,5.11971e-05,3.58057e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.51993,-0,-0,-0,-5.11737,-0,-9.07439,-12.8364,-16.1651,-11.473,-14.5166,-24.1927,-39.6608,-47.6366,-21.4755,-29.8135,-23.3281,-31.5931,-39.8997,-31.3501,-22.979,-11.6675,-44.7438,-42.9766,-25.4134,-9.90937,-24.1414,-25.2935,-15.1866,-3.99822,-8.43499,-8.90716,-18.8214,-4.97145,-10.5008,-5.54072,-11.6819,-6.14978,-0,-0,-0,-0,-0,-0,-0,-0,-9.17151,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2,4,3,1,5,12,4,14,9,3,8,10,17,13,14,12,16,5,5,4,6,2,5,4,4,6,3,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
-531.711,0.999327,0.0713966,6,63,0,533.679,-1.59849,-2.70177,-0.683196,-0.585072,4.11599,0.699357,-1.13315,4.96961,2.19233,5.62342e-05,7.43894e-05,9.8446e-05,0.000130353,0.000172724,0.000229089,0.000304236,0.000404725,0.000539644,0.000721739,0.000969139,0.00130783,0.00177476,0.00242109,0.00331486,0.00454219,0.00620578,0.00841847,0.0112896,0.0149037,0.0192936,0.0244128,0.0301228,0.0361944,0.042322,0.0481469,0.0532874,0.057376,0.0601034,0.0612674,0.0608103,0.0588214,0.0555075,0.0511559,0.0460978,0.0406735,0.0352007,0.029946,0.0251042,0.0207912,0.0170512,0.0138753,0.0112208,0.00902867,0.00723503,0.00577787,0.00460079,0.00365432,0.00289618,0.00229086,0.00180888,0.00142604,0.00112258,0.000882498,0.000692861,0.000543289,0.000425467,0.000332761,0.000259889,0.000202659,0.000157753,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.63939,-0,-0,-0,-5.39435,-0,-9.55465,-13.4516,-16.8246,-11.8439,-14.8506,-24.5173,-39.8262,-47.4367,-21.2345,-29.3206,-22.865,-30.9286,-39.0951,-30.8,-22.666,-11.5649,-44.5931,-43.0779,-25.6174,-10.0401,-24.5585,-25.793,-15.4929,-4.07153,-8.5553,-8.97998,-18.8294,-4.92882,-10.3074,-5.38153,-11.2237,-5.84436,-0,-0,-0,-0,-0,-0,-0,-0,-8.00809,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,3,1,1,5,5,12,4,11,10,11,8,10,11,11,18,13,11,7,4,13,3,7,4,4,3,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
-532.38,0.995275,0.0713966,6,63,0,535.366,-2.15901,-3.12248,-0.930731,-0.436467,3.59089,0.564656,-2.02408,4.88814,2.17678,3.98343e-05,5.50438e-05,7.60676e-05,0.000105135,0.000145334,0.000200953,0.000277948,0.000384613,0.000532519,0.000737835,0.00102315,0.00141979,0.00197048,0.00273155,0.00377407,0.00518296,0.00705316,0.00948119,0.0125511,0.0163149,0.020772,0.0258469,0.0313859,0.0371616,0.0428889,0.0482454,0.0528968,0.0565274,0.0588786,0.0597915,0.0592328,0.0572886,0.0541407,0.0500379,0.045269,0.0401349,0.0349211,0.0298708,0.0251674,0.0209277,0.0172068,0.0140115,0.0113159,0.00907416,0.00723189,0.00573272,0.00452281,0.00355323,0.00278096,0.00216913,0.00168667,0.00130782,0.00101143,0.000780337,0.000600702,0.000461454,0.000353785,0.000270726,0.000206789,0.000157667,0.000119997,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.55725,-0,-0,-0,-5.26238,-0,-9.31689,-13.1338,-16.4627,-11.6224,-14.6223,-24.2298,-39.5097,-47.2371,-21.2202,-29.3941,-22.9842,-31.1551,-39.4365,-31.0891,-22.8772,-11.6647,-44.9246,-43.3319,-25.7241,-10.064,-24.5761,-25.7754,-15.4667,-4.06245,-8.53575,-8.9631,-18.8093,-4.92925,-10.3231,-5.39862,-11.2798,-5.88496,-0,-0,-0,-0,-0,-0,-0,-0,-8.2144,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,3,2,3,6,8,13,11,13,16,7,10,12,14,15,7,9,11,5,11,4,1,5,3,1,1,0,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0
-533.912,0.997779,0.0713966,6,63,0,537.569,-0.61033,-0.665775,-0.437595,-0.600143,3.71064,-0.68938,-0.295151,5.13298,2.71092,4.12343e-05,5.43047e-05,7.1549e-05,9.43255e-05,0.000124454,0.000164388,0.00021746,0.000288236,0.000383044,0.000510752,0.000683951,0.000920711,0.00124719,0.00170137,0.00233836,0.00323735,0.00451049,0.00631219,0.00884687,0.0123722,0.0171974,0.0231463,0.0299085,0.037058,0.0440957,0.0505056,0.0558169,0.0596609,0.0618136,0.0622156,0.060965,0.058287,0.054489,0.0499127,0.0448913,0.0397191,0.0346344,0.0298132,0.0253725,0.0213779,0.0178546,0.0147976,0.0121817,0.00996943,0.00811705,0.00657916,0.00531163,0.00427343,0.00342764,0.00274179,0.00218787,0.00174206,0.00138437,0.00109814,0.000869614,0.000687523,0.000542659,0.000427542,0.000336113,0.000263476,0.000205681,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.99036,-0,-0,-0,-5.733,-0,-10.1305,-14.1831,-17.5692,-12.189,-15.0637,-24.5673,-39.5432,-46.8209,-20.8997,-28.8568,-22.5526,-30.6199,-38.8801,-30.772,-22.739,-11.639,-44.9622,-43.4492,-25.8074,-10.0887,-24.5896,-25.7186,-15.3816,-4.0255,-8.42658,-8.81564,-18.4329,-4.81379,-10.0477,-5.23786,-10.9107,-5.67588,-0,-0,-0,-0,-0,-0,-0,-0,-7.75746,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,3,7,2,3,8,12,12,9,10,12,17,13,17,9,5,7,10,9,4,8,6,2,1,0,1,0,1,1,1,2,0,1,0,0,0,1,0,0,0,0,0
-533.258,0.989994,0.0713966,6,63,0,538.827,-3.35352,-2.15034,-1.86395,-0.439396,3.69806,1.20304,-1.13485,5.07649,2.34199,3.59077e-05,4.95798e-05,6.84685e-05,9.45742e-05,0.000130673,0.000180628,0.000249826,0.000345816,0.00047923,0.000665158,0.000925194,0.00129029,0.00180349,0.00252033,0.00350762,0.00484228,0.00660932,0.00889715,0.0117885,0.0153443,0.0195824,0.0244253,0.0297248,0.035278,0.0408456,0.046162,0.0509386,0.054865,0.0576201,0.0589401,0.0587563,0.0571874,0.0544364,0.0507391,0.0463461,0.0415142,0.0364988,0.0315407,0.0268421,0.0225448,0.018725,0.0154048,0.0125697,0.0101834,0.00819837,0.00656358,0.00522863,0.00414652,0.00327501,0.0025771,0.00202105,0.00158005,0.00123172,0.000957621,0.000742661,0.000574605,0.000443592,0.000341724,0.000262709,0.000201557,0.000154326,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.65289,-0,-0,-0,-5.33037,-0,-9.44405,-13.3219,-16.708,-11.7994,-14.8485,-24.6104,-40.1339,-47.9693,-21.5292,-29.7713,-23.223,-31.3927,-39.6373,-31.1779,-22.8914,-11.6429,-44.7159,-43.0026,-25.4538,-9.93142,-24.1953,-25.3245,-15.169,-3.9779,-8.34616,-8.75293,-18.348,-4.80382,-10.0524,-5.25361,-10.971,-5.72144,-0,-0,-0,-0,-0,-0,-0,-0,-7.98151,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2,0,3,4,1,8,4,7,6,7,11,12,10,10,12,17,13,11,11,5,7,5,3,5,5,4,5,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
