# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 00:16:25 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c243021681.json
# init = /tmp/RtmpC8O1hA/init-b41c21c98b8a2_3.json
# random
#   seed = 1552003
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0142_rep015_accurate_moderate/prior_sensitivity_obspair_FAST-202605300116-3-85aeb3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0142_rep015_accurate_moderate/prior_sensitivity_obspair_FAST-profile-202605300116-3-7d5841.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.15193
# Diagonal elements of inverse mass matrix:
# 0.155917, 0.0666125, 0.028543, 0.00953949, 0.0578073, 0.0310546, 0.0518414
-534.94,0.989809,0.15193,5,31,0,538.393,-1.61145,-2.90379,-1.67757,-0.568884,3.25463,0.507305,-0.792667,4.73475,2.47972,0.000110523,0.000146745,0.000194864,0.000258806,0.000343807,0.000456861,0.000607324,0.000807731,0.0010749,0.00143138,0.00190719,0.00254158,0.00338406,0.00449347,0.00593475,0.00777379,0.0100708,0.0128719,0.0162005,0.0200477,0.0243658,0.0290278,0.0338627,0.0386638,0.043202,0.0472394,0.0505447,0.0529137,0.0541962,0.0543262,0.0533337,0.0513297,0.0484786,0.0449747,0.0410241,0.0368309,0.0325834,0.028442,0.024531,0.0209352,0.0177024,0.0148492,0.0123695,0.0102415,0.00843459,0.00691391,0.00564376,0.00458976,0.00372004,0.00300593,0.00242214,0.00194674,0.00156097,0.00124889,0.000997159,0.000794618,0.000632039,0.000501817,0.000397718,0.000314652,0.000248482,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.97497,-0,-0,-0,-4.857,-0,-8.70541,-12.3681,-15.6386,-11.1437,-14.158,-23.6981,-39.0342,-47.128,-21.3677,-29.849,-23.5128,-32.0666,-40.7785,-32.2431,-23.7559,-12.1065,-46.5248,-44.7103,-26.4113,-10.2719,-24.9192,-25.9547,-15.4653,-4.03406,-8.41961,-8.78504,-18.3252,-4.77541,-9.94844,-5.1772,-10.7679,-5.59402,-0,-0,-0,-0,-0,-0,-0,-0,-7.59728,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,2,0,1,3,2,4,6,8,12,5,18,7,7,7,9,16,13,9,8,8,5,9,5,4,3,5,3,7,0,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
-535.255,0.983998,0.15193,4,31,0,538.312,-3.68044,-1.57534,-1.46153,-0.215674,3.62422,0.113457,-0.720693,5.25057,2.16081,9.04047e-06,1.35337e-05,2.02642e-05,3.03496e-05,4.54697e-05,6.81505e-05,0.00010219,0.000153291,0.000229976,0.00034485,0.000516238,0.000770086,0.00114193,0.00167858,0.00243929,0.00349578,0.00493096,0.00683542,0.00930171,0.012416,0.0162482,0.0207941,0.0259953,0.0317287,0.0378,0.0439419,0.0498178,0.0550375,0.05919,0.0619023,0.0629176,0.0621619,0.0597595,0.0559886,0.0512096,0.0457995,0.0401088,0.0344372,0.0290219,0.0240344,0.0195825,0.0157174,0.0124434,0.00972996,0.00752412,0.00576096,0.00437226,0.00329243,0.00246208,0.00182974,0.00135226,0.000994396,0.000727939,0.000530699,0.000385455,0.000279002,0.000201308,0.000144822,0.000103899,7.43437e-05,5.30618e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.16901,-0,-0,-0,-5.6562,-0,-9.97127,-14.0327,-17.5551,-12.3593,-15.4923,-25.5489,-41.4064,-49.1317,-21.8742,-29.9938,-23.1979,-31.097,-38.9508,-30.4252,-22.2241,-11.2697,-43.2391,-41.6056,-24.6679,-9.64848,-23.5803,-24.7779,-14.9131,-3.93312,-8.30597,-8.77314,-18.5302,-4.88964,-10.3133,-5.43248,-11.4323,-6.00675,-0,-0,-0,-0,-0,-0,-0,-0,-8.84,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,2,7,3,9,5,8,11,12,5,10,13,10,13,15,13,10,10,7,7,6,7,2,1,0,1,2,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
-534.021,0.939171,0.15193,4,15,0,541.468,-1.70231,-1.6156,-1.53848,-0.156791,3.5536,-0.0864633,-0.471848,4.7347,2.14724,1.23778e-05,1.89731e-05,2.90763e-05,4.4543e-05,6.81961e-05,0.000104308,0.000159296,0.000242688,0.000368399,0.000556296,0.000833935,0.00123824,0.0018168,0.00262847,0.00374296,0.00523904,0.00720143,0.00971603,0.0128641,0.0167155,0.0213227,0.0265689,0.0322813,0.0382303,0.0441347,0.0496728,0.0545017,0.0582852,0.0607324,0.0616424,0.060946,0.0587261,0.0552038,0.0506931,0.0455424,0.0400847,0.034607,0.0293368,0.0244398,0.0200243,0.0161483,0.012828,0.0100468,0.00776511,0.00592851,0.00447573,0.00334459,0.00247632,0.00181828,0.00132518,0.000959369,0.000690394,0.000494171,0.000352015,0.000249663,0.000176375,0.000124155,8.71094e-05,6.09331e-05,4.25028e-05,2.95683e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.69407,-0,-0,-0,-5.25162,-0,-9.26796,-13.0599,-16.3657,-11.544,-14.5121,-24.0329,-39.1695,-46.8076,-21.0161,-29.0952,-22.7393,-30.8141,-39.0097,-30.7754,-22.679,-11.5869,-44.7295,-43.2476,-25.7341,-10.0911,-24.7024,-25.9808,-15.6432,-4.12594,-8.71226,-9.201,-19.4325,-5.12798,-10.8182,-5.70041,-12.002,-6.30986,-0,-0,-0,-0,-0,-0,-0,-0,-9.34835,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,4,4,1,6,8,6,8,5,9,8,11,12,14,11,13,11,10,9,7,5,8,5,5,5,3,0,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-534.33,0.999003,0.15193,4,31,0,538.054,-3.12287,-2.51847,-1.54075,-0.0429264,3.12147,-0.273044,-1.28032,5.00346,2.1234,9.12258e-06,1.46828e-05,2.36e-05,3.78602e-05,6.05737e-05,9.65526e-05,0.00015312,0.000241187,0.000376576,0.000581494,0.000885949,0.0013288,0.0019581,0.00283032,0.00400835,0.00555784,0.00754214,0.0100159,0.0130179,0.0165639,0.0206405,0.0251738,0.0300465,0.0350996,0.0401362,0.0449315,0.0492448,0.0528368,0.0554909,0.0570365,0.0573722,0.0564817,0.0544365,0.0513849,0.0475296,0.0431018,0.0383377,0.0334598,0.0286638,0.0241104,0.0199202,0.0161733,0.0129106,0.0101397,0.00784075,0.0059746,0.00449027,0.00333166,0.00244282,0.00177165,0.0012721,0.000905104,0.00063866,0.000447262,0.000311082,0.000215021,0.000147783,0.000101047,6.87653e-05,4.65947e-05,3.14465e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.62348,-0,-0,-0,-5.19255,-0,-9.20716,-13.0243,-16.4021,-11.6415,-14.7278,-24.5351,-40.1948,-48.2321,-21.7183,-30.1095,-23.5244,-31.8069,-40.0969,-31.4401,-22.9907,-11.6429,-44.5262,-42.6496,-25.1535,-9.78396,-23.7819,-24.8648,-14.9004,-3.91602,-8.24879,-8.69941,-18.3652,-4.84842,-10.2405,-5.40584,-11.4086,-6.0146,-0,-0,-0,-0,-0,-0,-0,-0,-9.19993,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,1,2,4,6,6,3,5,11,8,9,17,11,11,12,7,16,8,9,12,12,6,2,4,2,4,1,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
-534.741,0.984132,0.15193,4,31,0,540.071,-4.12483,-2.65808,-1.27523,-0.447394,2.86773,0.264946,-0.716638,4.99831,2.40433,4.4729e-05,6.15905e-05,8.48157e-05,0.000116813,0.000160905,0.000221688,0.000305511,0.000421165,0.000580822,0.000801308,0.0011058,0.00152587,0.00210377,0.00289414,0.00396458,0.0053939,0.00726754,0.00966963,0.0126716,0.0163183,0.0206135,0.0254869,0.0307998,0.036345,0.0418543,0.0470154,0.0514962,0.0549834,0.05723,0.0580974,0.0575728,0.0557565,0.0528354,0.0490515,0.0446733,0.039968,0.0351787,0.0305075,0.0261064,0.0220765,0.0184731,0.0153144,0.0125915,0.0102771,0.0083336,0.00671829,0.00538772,0.00430024,0.00341752,0.00270536,0.00213393,0.00167764,0.0013149,0.00102768,0.00080108,0.0006229,0.000483219,0.000374022,0.000288877,0.000222643,0.000171234,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.48519,-0,-0,-0,-5.22249,-0,-9.27753,-13.1052,-16.4619,-11.6454,-14.6784,-24.3617,-39.7764,-47.6034,-21.401,-29.6625,-23.2058,-31.4674,-39.8389,-31.4018,-23.0941,-11.7623,-45.2233,-43.5173,-25.7574,-10.0419,-24.4285,-25.519,-15.253,-3.99144,-8.35792,-8.74947,-18.3113,-4.78746,-10.0058,-5.22363,-10.8982,-5.67884,-0,-0,-0,-0,-0,-0,-0,-0,-7.8912,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,2,1,1,5,4,1,5,5,4,11,12,10,16,15,13,8,11,9,9,13,9,3,5,5,3,4,2,1,0,0,2,2,0,1,0,0,0,0,1,0,0,0,0,0,0
-532.973,0.998738,0.15193,5,31,0,536.618,-1.59028,-2.1405,-1.56487,-0.476826,3.28884,0.359368,-0.635816,4.63092,2.34309,6.0145e-05,8.2091e-05,0.000112073,0.000153057,0.000209124,0.000285902,0.000391183,0.000535782,0.000734763,0.00100911,0.00138785,0.00191046,0.00262874,0.0036072,0.00492114,0.00665235,0.00888245,0.0116841,0.0151102,0.0191829,0.0238839,0.0290774,0.0345678,0.0401072,0.0454081,0.0501611,0.0540573,0.0568199,0.0582451,0.0582456,0.0568698,0.0542831,0.0507238,0.0464616,0.0417681,0.0368973,0.03207,0.0274639,0.0232075,0.0193802,0.0160176,0.0131202,0.010664,0.00860974,0.00691093,0.00551923,0.00438817,0.00347512,0.00274234,0.0021572,0.00169204,0.00132369,0.00103304,0.000804408,0.000625075,0.000484771,0.000375259,0.000289962,0.000223655,0.000172203,0.000132344,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.26041,-0,-0,-0,-5.01279,-0,-8.89906,-12.5772,-15.8149,-11.2036,-14.1512,-23.5538,-38.5944,-46.381,-20.9476,-29.1771,-22.943,-31.274,-39.8032,-31.5369,-23.3083,-11.9254,-46.037,-44.4587,-26.3969,-10.3195,-25.1642,-26.343,-15.774,-4.13407,-8.6672,-9.08176,-19.0194,-4.97465,-10.399,-5.42884,-11.3243,-5.89894,-0,-0,-0,-0,-0,-0,-0,-0,-8.14576,-0,-0,-0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,9,4,7,7,15,8,9,5,10,13,14,21,8,9,10,8,5,1,9,5,3,3,1,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
