# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 00:28:08 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c260a388d5.json
# init = /tmp/RtmpC8O1hA/init-b41c282a9b40_1.json
# random
#   seed = 1552005
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0144_rep015_mildly_wrong_weak/prior_sensitivity_obspair_FAST-202605300128-1-2fddba.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0144_rep015_mildly_wrong_weak/prior_sensitivity_obspair_FAST-profile-202605300128-1-6dad25.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0848528
# Diagonal elements of inverse mass matrix:
# 0.165806, 0.0819236, 0.193678, 0.0191016, 0.160117, 0.126126, 0.30967
-533.315,0.962928,0.0848528,5,63,0,538.09,-2.83529,-1.59529,-1.38301,-0.107911,2.99451,-0.470418,-1.43181,5.14011,2.26114,1.23921e-05,1.92904e-05,2.99667e-05,4.64276e-05,7.16853e-05,0.000110208,0.000168528,0.000256033,0.000385948,0.000576481,0.000852058,0.00124452,0.00179405,0.00254963,0.00356862,0.00491533,0.00665823,0.00886591,0.0116017,0.0149174,0.0188469,0.0233402,0.0282985,0.03357,0.0389502,0.0441879,0.0489994,0.0530913,0.0561906,0.0580793,0.0586257,0.0578057,0.0557052,0.0525045,0.0484489,0.0438133,0.03887,0.0338647,0.0290006,0.0244326,0.0202668,0.0165646,0.0133497,0.010616,0.00833596,0.00646774,0.00496191,0.00376652,0.00283085,0.00210796,0.00155615,0.0011396,0.000828358,0.000597984,0.000428936,0.00030587,0.00021693,0.000153079,0.00010752,7.51948e-05,5.2376e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.68901,-0,-0,-0,-5.3154,-0,-9.45108,-13.3698,-16.8209,-11.9142,-15.0303,-24.9546,-40.7295,-48.6821,-21.8351,-30.1595,-23.4859,-31.6691,-39.8432,-31.2024,-22.8053,-11.5507,-44.2029,-42.3815,-25.0226,-9.74259,-23.6977,-24.7831,-14.8473,-3.89877,-8.20098,-8.63253,-18.1816,-4.78718,-10.0819,-5.30596,-11.1632,-5.86718,-0,-0,-0,-0,-0,-0,-0,-0,-8.78455,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,0,5,4,4,3,8,7,11,13,8,11,9,10,14,8,7,13,8,7,10,2,3,7,2,6,2,4,1,3,2,0,1,0,0,1,0,0,0,0,0,0,0,0
-531.684,0.995777,0.0848528,6,63,0,535.214,-1.49766,-2.53594,-1.28271,-0.429892,3.94189,0.236485,-0.49261,4.89541,2.28695,5.02272e-05,6.95879e-05,9.64377e-05,0.000133695,0.000185435,0.000257354,0.00035743,0.000496841,0.000691198,0.000962107,0.0013389,0.00186015,0.0025744,0.00353953,0.00482055,0.00648557,0.00859977,0.0112176,0.0143737,0.0180736,0.022286,0.0269104,0.0318002,0.0367681,0.0415972,0.0460535,0.0499019,0.0529232,0.0549346,0.0558126,0.0555135,0.0540814,0.0516379,0.0483588,0.0444496,0.0401261,0.0355988,0.0310606,0.0266763,0.0225752,0.0188472,0.0155431,0.0126791,0.0102439,0.00820741,0.00652806,0.00515959,0.00405558,0.00317247,0.00247115,0.00191763,0.00148311,0.00114358,0.000879368,0.000674506,0.000516174,0.000394158,0.000300372,0.000228455,0.000173427,0.000131405,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.2871,-0,-0,-0,-5.03818,-0,-8.98054,-12.7271,-16.0532,-11.4114,-14.461,-24.138,-39.6375,-47.6958,-21.5457,-29.977,-23.5113,-31.9177,-40.4006,-31.8024,-23.3381,-11.854,-45.4366,-43.5876,-25.7258,-10.0063,-24.3027,-25.3679,-15.1636,-3.97139,-8.32828,-8.73561,-18.3243,-4.80272,-10.0633,-5.2669,-11.0153,-5.75324,-0,-0,-0,-0,-0,-0,-0,-0,-8.11049,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,3,4,6,8,6,8,5,11,12,7,13,12,14,11,12,6,10,6,7,5,7,4,7,3,0,1,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
-533.174,0.995827,0.0848528,6,63,0,534.795,-1.59119,-1.3983,-1.27775,0.05606,3.75427,-0.628503,-1.10624,5.12919,2.25102,9.17267e-06,1.51108e-05,2.4715e-05,4.00844e-05,6.43841e-05,0.000102292,0.000160578,0.000248826,0.00038032,0.000573053,0.000850852,0.0012445,0.00179271,0.00254276,0.00355052,0.00487952,0.00659894,0.00878026,0.0114926,0.014797,0.0187396,0.0232603,0.0282496,0.0335467,0.0389417,0.0441841,0.0489971,0.0530989,0.056229,0.0581766,0.0588078,0.0580845,0.0560716,0.0529287,0.0488879,0.0442226,0.0392134,0.0341197,0.0291596,0.0244995,0.0202533,0.0164859,0.0132217,0.0104537,0.00815224,0.0062735,0.00476599,0.00357588,0.00265077,0.00194219,0.00140708,0.0010084,0.000715193,0.000502205,0.000349308,0.000240775,0.00016455,0.000111553,7.50525e-05,5.01368e-05,3.32698e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.68902,-0,-0,-0,-5.32271,-0,-9.4705,-13.3982,-16.8533,-11.9313,-15.044,-24.9667,-40.7378,-48.6854,-21.8357,-30.1599,-23.4848,-31.6615,-39.8198,-31.1683,-22.7668,-11.5245,-44.0822,-42.2551,-24.9482,-9.71621,-23.6452,-24.7448,-14.8364,-3.89944,-8.2105,-8.65179,-18.2432,-4.80946,-10.1428,-5.34625,-11.2671,-5.9329,-0,-0,-0,-0,-0,-0,-0,-0,-9.10101,-0,-0,-0,0,0,0,0,0,1,0,0,0,0,1,2,1,1,2,1,1,1,5,3,4,6,5,7,7,7,8,10,16,14,10,17,12,6,6,9,6,7,5,2,4,1,2,1,1,4,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0
-533.709,0.997927,0.0848528,5,63,0,534.509,-1.73783,-2.26957,-1.04322,0.143119,3.55091,-0.585394,-0.327207,4.82628,2.09275,6.24809e-06,1.08646e-05,1.87674e-05,3.21557e-05,5.45544e-05,9.14785e-05,0.000151322,0.000246473,0.000394617,0.000620112,0.000955258,0.0014412,0.00212815,0.00307459,0.00434517,0.00600704,0.00812476,0.0107538,0.0139332,0.0176786,0.0219757,0.0267306,0.0318014,0.0370006,0.0421036,0.0468616,0.05102,0.0543395,0.0566198,0.0577209,0.0575804,0.056221,0.0537474,0.0503318,0.0461924,0.0415681,0.0366953,0.0317902,0.0270362,0.0225775,0.0185172,0.0149184,0.0118088,0.00918605,0.00702442,0.00528206,0.00390743,0.00284503,0.00204002,0.00144148,0.0010044,0.000690613,0.000468947,0.000314706,0.000208887,0.000137237,8.93108e-05,5.76131e-05,3.68651e-05,2.34133e-05,1.47681e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.54228,-0,-0,-0,-5.11482,-0,-9.065,-12.8204,-16.1416,-11.4535,-14.4878,-24.1377,-39.5619,-47.5143,-21.4239,-29.7554,-23.3,-31.5854,-39.9299,-31.4003,-23.0277,-11.6938,-44.8368,-43.0491,-25.4434,-9.91532,-24.1402,-25.2741,-15.1632,-3.98906,-8.41032,-8.87781,-18.7603,-4.95836,-10.4869,-5.54488,-11.7244,-6.19479,-0,-0,-0,-0,-0,-0,-0,-0,-9.76176,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,3,1,3,3,10,8,8,14,14,12,10,10,9,10,8,16,6,6,9,8,4,4,8,0,4,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
-534.358,0.99425,0.0848528,5,31,0,536.9,-1.9023,-1.6381,-0.853285,0.050234,3.3751,-0.655046,-2.09595,4.96809,2.11995,6.80014e-06,1.12872e-05,1.86438e-05,3.06135e-05,4.99147e-05,8.07136e-05,0.000129276,0.000204831,0.000320667,0.000495455,0.000754745,0.0011325,0.0016724,0.00242864,0.00346564,0.00485628,0.00667818,0.00900795,0.0119133,0.015444,0.0196216,0.0243976,0.0296637,0.0352469,0.0409118,0.046371,0.0513069,0.0554011,0.0583709,0.0600056,0.0601954,0.0589457,0.0563748,0.0526932,0.0481729,0.0431119,0.0378015,0.0325016,0.0274243,0.0227265,0.0185104,0.0148284,0.0116912,0.00907819,0.00694704,0.0052425,0.00390383,0.00287032,0.00208511,0.00149746,0.00106384,0.000748093,0.000521019,0.000359603,0.000246101,0.000167094,0.000112615,7.53776e-05,5.01306e-05,3.31416e-05,2.17888e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.78333,-0,-0,-0,-5.32748,-0,-9.4193,-13.2903,-16.6821,-11.7934,-14.8531,-24.6248,-40.1445,-47.9451,-21.4976,-29.6993,-23.1453,-31.2503,-39.3864,-30.9118,-22.6491,-11.5029,-44.149,-42.4614,-25.1517,-9.82622,-23.9853,-25.1743,-15.1369,-3.98942,-8.42243,-8.89784,-18.8075,-4.96944,-10.5019,-5.5458,-11.7067,-6.17294,-0,-0,-0,-0,-0,-0,-0,-0,-9.493,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,2,4,6,4,1,7,7,6,6,7,11,9,13,13,11,14,12,9,10,8,7,10,6,1,5,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
-535.889,0.904446,0.0848528,5,63,0,539.676,-1.7508,-3.96206,-1.95024,-0.373072,3.59977,0.702338,-0.199901,4.57188,2.22366,4.70171e-05,6.63495e-05,9.36355e-05,0.000132151,0.000186528,0.000263312,0.000371765,0.000524992,0.000741509,0.00104732,0.0014783,0.00208195,0.00291688,0.00404963,0.00555019,0.00748704,0.009921,0.0128971,0.0164347,0.0205163,0.0250802,0.0299811,0.0350329,0.0400214,0.0447193,0.0488987,0.0523411,0.0548485,0.0562584,0.056471,0.0554811,0.0533844,0.050347,0.0465705,0.0422699,0.0376613,0.0329522,0.0283318,0.0239608,0.0199599,0.0164039,0.013323,0.0107106,0.00853479,0.00674923,0.00530184,0.0041406,0.00321706,0.00248804,0.0019163,0.00147045,0.00112452,0.000857316,0.000651749,0.000494174,0.000373783,0.000282076,0.00021241,0.00015962,0.000119711,8.96054e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.17445,-0,-0,-0,-4.89458,-0,-8.7015,-12.3251,-15.5461,-11.057,-14.0288,-23.4603,-38.6201,-46.6102,-21.126,-29.4997,-23.2254,-31.6558,-40.2364,-31.8088,-23.4419,-11.9553,-46.0018,-44.2915,-26.233,-10.2381,-24.9464,-26.1193,-15.6561,-4.11024,-8.63653,-9.07304,-19.0544,-4.99833,-10.4794,-5.48691,-11.4786,-5.99626,-0,-0,-0,-0,-0,-0,-0,-0,-8.45699,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,4,3,12,3,12,7,8,14,12,8,6,11,13,13,7,10,8,8,5,3,3,4,4,3,5,2,2,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
