# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 00:42:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c23206460d.json
# init = /tmp/RtmpC8O1hA/init-b41c221dff8e3_2.json
# random
#   seed = 1552006
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0145_rep015_mildly_wrong_moderate/prior_sensitivity_obspair_FAST-202605300142-2-6c05b1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0145_rep015_mildly_wrong_moderate/prior_sensitivity_obspair_FAST-profile-202605300142-2-803126.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0995861
# Diagonal elements of inverse mass matrix:
# 0.0957285, 0.0719607, 0.0279458, 0.0168832, 0.0272663, 0.0352185, 0.0598563
-533.647,0.972584,0.0995861,4,15,0,536.614,-0.558621,-1.68102,-0.606498,-0.672182,3.74386,0.0032216,-1.0214,4.595,2.44087,5.55462e-05,7.20386e-05,9.35558e-05,0.000121715,0.000158712,0.000207565,0.000272489,0.000359469,0.000477169,0.000638373,0.000862265,0.0011779,0.00162912,0.0022806,0.00322346,0.00457762,0.00648734,0.00910762,0.0125813,0.0170103,0.0224251,0.0286929,0.0355466,0.0425945,0.0493546,0.05531,0.0599779,0.062981,0.0641064,0.0633368,0.0608417,0.0569345,0.0520107,0.0464855,0.0407421,0.0350975,0.0297863,0.0249588,0.0206918,0.0170039,0.0138733,0.0112536,0.00908626,0.00730895,0.00586168,0.00468961,0.00374451,0.00298501,0.00237633,0.00188958,0.00150102,0.0011913,0.00094471,0.000748552,0.000592611,0.000468677,0.000370172,0.000291841,0.000229504,0.000179851,0.000140276,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.74402,-0,-0,-0,-5.38658,-0,-9.39729,-13.1266,-16.2957,-11.3927,-14.2044,-23.3584,-37.8724,-45.1309,-20.2636,-28.1378,-22.1194,-30.2193,-38.63,-30.7943,-22.9268,-11.8252,-46.0292,-44.8069,-26.797,-10.5411,-25.8337,-27.1461,-16.2973,-4.27779,-8.97413,-9.40198,-19.6746,-5.13932,-10.7248,-5.58747,-11.6283,-6.0422,-0,-0,-0,-0,-0,-0,-0,-0,-8.1393,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,2,8,4,7,12,13,18,13,14,7,16,18,6,9,9,9,6,3,5,3,4,1,1,4,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-537.684,0.953548,0.0995861,5,31,0,538.825,-1.07157,-1.5078,-0.723701,-0.767596,3.87892,-0.469448,-0.456474,5.50374,2.92245,0.000116297,0.000147309,0.000186779,0.000237115,0.000301463,0.00038396,0.000490076,0.000627091,0.000804751,0.00103616,0.00133895,0.00173685,0.00226146,0.00295434,0.00386878,0.00507082,0.00663852,0.00865858,0.0112196,0.0144017,0.0182641,0.02273,0.0276518,0.0328149,0.0379532,0.0427729,0.0469835,0.0503304,0.0526245,0.0537625,0.0537335,0.0526127,0.0505427,0.0477102,0.0443208,0.0405779,0.0366665,0.0327436,0.0289336,0.0253277,0.0219872,0.018947,0.0162214,0.0138086,0.0116957,0.00986248,0.00828435,0.00693502,0.00578798,0.00481779,0.0040007,0.00331511,0.0027417,0.00226342,0.00186543,0.0015349,0.00126082,0.00103383,0.000846,0.000690654,0.000562212,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.35568,-0,-0,-0,-5.28425,-0,-9.49841,-13.4703,-16.9616,-12.0085,-15.1363,-25.1165,-41.0025,-49.071,-22.0629,-30.5796,-23.9132,-32.3903,-40.9245,-32.1609,-23.5584,-11.9397,-45.6391,-43.6282,-25.6363,-9.91768,-23.9333,-24.7993,-14.7034,-3.81729,-7.93222,-8.24285,-17.1299,-4.44853,-9.23804,-4.79339,-9.94234,-5.15197,-0,-0,-0,-0,-0,-0,-0,-0,-6.87448,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,2,0,3,3,2,7,10,13,12,9,10,13,10,8,7,13,8,6,11,7,6,6,6,3,3,4,2,4,1,0,2,1,0,0,1,1,1,0,0,0,1,0,0
-535.133,0.999025,0.0995861,3,15,0,540.453,-0.837266,-1.23499,-0.553414,-0.594013,3.8664,-0.388494,-0.395457,4.96039,2.53628,3.8294e-05,5.06369e-05,6.70232e-05,8.88227e-05,0.0001179,0.000156814,0.000209108,0.000279747,0.000375765,0.000507256,0.000688864,0.000942015,0.00129814,0.0018031,0.00252278,0.00354913,0.00500494,0.00704448,0.00984649,0.0135971,0.0184624,0.0243458,0.0310133,0.038101,0.0451448,0.0516295,0.057053,0.0609937,0.0631723,0.0634891,0.0620294,0.059034,0.0548466,0.049854,0.0444326,0.038911,0.0335489,0.0285317,0.0239755,0.0199377,0.016431,0.0134362,0.0109142,0.00881514,0.00708513,0.00567093,0.00452284,0.00359613,0.00285175,0.00225627,0.00178155,0.00140423,0.00110507,0.000868397,0.000681486,0.000534094,0.000417995,0.000326608,0.000254689,0.000198071,0.00015346,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.96749,-0,-0,-0,-5.64105,-0,-9.91102,-13.8619,-17.1916,-11.9761,-14.8616,-24.3134,-39.2102,-46.4682,-20.7456,-28.6378,-22.3759,-30.3808,-38.5964,-30.5816,-22.6371,-11.6129,-44.9799,-43.5929,-25.9718,-10.1843,-24.8972,-26.1151,-15.6606,-4.10859,-8.61961,-9.03538,-18.9251,-4.94976,-10.3448,-5.39862,-11.2558,-5.85982,-0,-0,-0,-0,-0,-0,-0,-0,-8.02675,-0,-0,-0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,2,0,1,2,4,2,5,0,11,6,5,13,17,19,7,11,11,9,7,8,8,14,5,6,7,1,2,4,3,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
-536.005,0.982937,0.0995861,6,63,0,541.378,-2.88292,-1.09932,-1.61492,-0.605572,2.75064,0.71533,-1.15631,4.91837,2.63763,4.46804e-05,5.87927e-05,7.74015e-05,0.000101968,0.000134451,0.000177488,0.000234665,0.000310899,0.000413028,0.00055072,0.00073791,0.000995147,0.0013533,0.00185892,0.00258034,0.00361247,0.00507894,0.00713109,0.00994234,0.0136959,0.0185651,0.0245079,0.0313651,0.0388348,0.0464551,0.053603,0.0595407,0.0635714,0.0652936,0.0647274,0.0622036,0.0581937,0.0531968,0.0476744,0.0420134,0.036507,0.0313532,0.0266665,0.0224968,0.0188493,0.0157008,0.013012,0.0107359,0.00882315,0.00722581,0.00589901,0.00480211,0.00389901,0.00315822,0.00255256,0.00205887,0.00165753,0.00133207,0.00106874,0.000856112,0.000684733,0.000546826,0.000436007,0.000347061,0.000275736,0.00021858,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.91262,-0,-0,-0,-5.62336,-0,-9.88658,-13.8329,-17.1626,-11.9594,-14.835,-24.2344,-38.9813,-46.039,-20.4831,-28.211,-22.0447,-30.0175,-38.326,-30.5508,-22.7518,-11.735,-45.6504,-44.3767,-26.482,-10.3873,-25.3704,-26.5607,-15.8851,-4.15404,-8.68376,-9.06833,-18.9215,-4.9301,-10.2659,-5.3387,-11.0941,-5.75775,-0,-0,-0,-0,-0,-0,-0,-0,-7.73785,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,3,3,4,1,6,12,14,12,14,10,14,16,9,10,7,12,12,10,2,3,3,3,0,3,1,1,3,3,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0
-536.57,0.997923,0.0995861,5,31,0,541.351,-2.09868,-1.88833,-1.87065,-0.517746,3.68167,0.849845,-1.5246,5.04174,2.44872,5.61136e-05,7.56565e-05,0.000102037,0.000137675,0.000185865,0.000251117,0.000339631,0.000459993,0.000624191,0.000849116,0.00115868,0.00158634,0.00217692,0.00298639,0.00408025,0.00553119,0.00741564,0.00980827,0.0127734,0.0163534,0.0205558,0.0252917,0.0304163,0.0357368,0.0410225,0.0460156,0.0504381,0.0540009,0.056425,0.0574984,0.0571594,0.0555134,0.0527646,0.0491547,0.0449333,0.0403445,0.0356179,0.0309585,0.0265341,0.0224651,0.0188219,0.01563,0.0128819,0.0105487,0.00858994,0.00696082,0.00561636,0.00451415,0.00361568,0.00288696,0.00229851,0.00182519,0.00144583,0.00114273,0.000901257,0.000709392,0.000557306,0.000437016,0.000342065,0.000267254,0.000208411,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.44632,-0,-0,-0,-5.19735,-0,-9.24906,-13.0812,-16.4533,-11.6538,-14.7091,-24.4494,-39.9789,-47.9045,-21.5514,-29.8701,-23.35,-31.6233,-39.984,-31.481,-23.129,-11.7677,-45.1917,-43.4361,-25.6824,-10.0047,-24.3258,-25.4053,-15.1832,-3.97273,-8.31712,-8.70386,-18.207,-4.75716,-9.93492,-5.18207,-10.8011,-5.62247,-0,-0,-0,-0,-0,-0,-0,-0,-7.73554,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,1,3,4,4,5,8,6,6,9,12,16,11,13,21,9,11,7,11,7,3,8,4,3,4,0,4,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-531.919,0.999368,0.0995861,5,31,0,538.496,-1.33198,-1.14023,-1.36371,-0.59765,3.42292,0.121948,-1.00901,4.84134,2.51731,4.22536e-05,5.58176e-05,7.38139e-05,9.77478e-05,0.000129678,0.000172448,0.000230035,0.000308078,0.000414696,0.000561738,0.000766661,0.00105521,0.00146489,0.00204895,0.0028801,0.00405302,0.00568465,0.00791121,0.0108813,0.0147451,0.0196395,0.0254546,0.0319853,0.0389234,0.0458628,0.0523199,0.0577772,0.0617524,0.0638864,0.064026,0.0622584,0.0588769,0.0542963,0.0489633,0.0432897,0.0376158,0.032196,0.0272005,0.0227259,0.0188094,0.0154455,0.0126001,0.0102228,0.00825644,0.00664311,0.00532803,0.00426175,0.00340097,0.00270859,0.00215336,0.00170924,0.00135479,0.00107244,0.000847898,0.00066959,0.000528169,0.00041612,0.000327415,0.00025723,0.000201717,0.000157812,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.85402,-0,-0,-0,-5.50829,-0,-9.67895,-13.5621,-16.8674,-11.7906,-14.6834,-24.0974,-38.9539,-46.2315,-20.6527,-28.5116,-22.277,-30.2571,-38.4785,-30.5411,-22.6584,-11.6532,-45.2503,-43.9578,-26.2427,-10.3077,-25.2316,-26.4898,-15.8936,-4.17044,-8.74811,-9.16627,-19.187,-5.01418,-10.4695,-5.45808,-11.3674,-5.91133,-0,-0,-0,-0,-0,-0,-0,-0,-8.02428,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1,5,2,5,12,5,11,13,10,18,16,11,8,15,7,11,4,5,8,5,7,1,2,1,1,3,1,3,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0
