# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 00:55:16 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c2279d6de8.json
# init = /tmp/RtmpC8O1hA/init-b41c27ebb0662_1.json
# random
#   seed = 1552008
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0147_rep015_badly_wrong_weak/prior_sensitivity_obspair_FAST-202605300155-1-51bf62.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0147_rep015_badly_wrong_weak/prior_sensitivity_obspair_FAST-profile-202605300155-1-141088.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.065785
# Diagonal elements of inverse mass matrix:
# 0.0957891, 0.105443, 0.181971, 0.0171289, 0.112236, 0.154875, 0.458695
-531.557,0.998861,0.065785,5,63,0,534.604,-2.19507,-2.00777,-0.838566,-0.510789,3.6276,0.60976,-0.901823,5.00663,2.27481,3.03049e-05,4.09506e-05,5.53566e-05,7.4868e-05,0.000101325,0.000137259,0.000186172,0.000252948,0.000344485,0.000470651,0.000645799,0.000891126,0.00123811,0.00173292,0.00244103,0.00345105,0.00487648,0.00685293,0.00952771,0.0130387,0.017483,0.0228662,0.0290792,0.0358837,0.0429202,0.0497322,0.0558055,0.0606236,0.0637508,0.0649306,0.0641378,0.0615503,0.0574874,0.052351,0.046574,0.0405707,0.0346935,0.0292037,0.0242628,0.0199433,0.0162509,0.0131485,0.0105763,0.00846565,0.00674804,0.00535957,0.00424338,0.00335025,0.00263848,0.0020732,0.00162566,0.0012723,0.000993996,0.000775285,0.000603754,0.000469471,0.00036452,0.000282616,0.000218783,0.000169096,0.000130465,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.02303,-0,-0,-0,-5.66908,-0,-9.96616,-13.9607,-17.3593,-12.1396,-15.1124,-24.7641,-39.9297,-47.2262,-21.0077,-28.8588,-22.4246,-30.2805,-38.2821,-30.2139,-22.3032,-11.4248,-44.2468,-42.934,-25.6377,-10.0836,-24.7342,-26.0317,-15.6595,-4.11961,-8.6629,-9.09829,-19.087,-4.9985,-10.4577,-5.4624,-11.3974,-5.93755,-0,-0,-0,-0,-0,-0,-0,-0,-8.17142,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,4,0,4,3,6,8,6,9,12,14,7,10,12,13,10,10,8,12,10,7,5,3,8,2,4,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
-531.984,0.997925,0.065785,5,47,0,533.329,-1.5409,-2.30596,-0.764898,-0.587883,3.62682,0.144402,-1.56458,4.88392,2.35605,7.50086e-05,9.9163e-05,0.000131154,0.000173567,0.000229872,0.000304744,0.000404519,0.000537837,0.000716552,0.000957013,0.00128182,0.00172207,0.00231989,0.00313074,0.00422443,0.00568384,0.00760013,0.0100637,0.0131509,0.0169072,0.0213303,0.0263438,0.0317949,0.0374548,0.0430313,0.0481911,0.0525925,0.0559264,0.0579587,0.0585656,0.0577473,0.0556199,0.0523898,0.0483215,0.0437043,0.0388214,0.0339243,0.0292152,0.0248393,0.0208859,0.0173957,0.0143723,0.0117937,0.00962183,0.00781146,0.00631513,0.00508697,0.00408477,0.00327096,0.00261287,0.00208261,0.00165668,0.00131547,0.0010428,0.000825347,0.000652264,0.000514724,0.000405589,0.000319108,0.000250661,0.000196548,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.36423,-0,-0,-0,-5.17013,-0,-9.19764,-12.9938,-16.3201,-11.5429,-14.5461,-24.1392,-39.4154,-47.1874,-21.2281,-29.4518,-23.0697,-31.3283,-39.7265,-31.3685,-23.1137,-11.7962,-45.4482,-43.8243,-25.9903,-10.1509,-24.7315,-25.8673,-15.4747,-4.05153,-8.4849,-8.88039,-18.5749,-4.85216,-10.1296,-5.28107,-11.001,-5.72267,-0,-0,-0,-0,-0,-0,-0,-0,-7.81017,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,5,2,4,6,4,5,5,5,15,10,13,15,8,10,11,10,15,7,8,9,4,1,5,6,0,5,2,2,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0
-532.027,0.997942,0.065785,5,31,0,533.493,-1.60862,-2.4745,-0.871486,-0.592488,3.28795,0.471404,-1.02423,4.65941,2.35108,8.60665e-05,0.000113569,0.000149898,0.000197917,0.000261437,0.000345549,0.000457083,0.000605245,0.00080252,0.00106596,0.00141899,0.00189392,0.00253506,0.00340183,0.00457065,0.00613389,0.00819461,0.0108559,0.0142043,0.018288,0.0230944,0.0285167,0.0343553,0.0403251,0.0460759,0.0512238,0.0553913,0.058259,0.0596198,0.0594146,0.0577297,0.0547663,0.0508026,0.0461566,0.0411494,0.0360714,0.0311577,0.0265763,0.0224286,0.01876,0.0155747,0.012849,0.0105439,0.00861269,0.00700732,0.00568138,0.00459216,0.00370157,0.00297632,0.0023878,0.00191173,0.00152768,0.00121865,0.000970542,0.000771748,0.000612756,0.000485804,0.000384586,0.000303991,0.000239897,0.000188985,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.26911,-0,-0,-0,-5.09393,-0,-9.04609,-12.7626,-16.006,-11.3045,-14.2291,-23.597,-38.5294,-46.162,-20.8009,-28.9333,-22.7428,-31.0175,-39.525,-31.3718,-23.2374,-11.9192,-46.1357,-44.6676,-26.578,-10.4061,-25.3941,-26.5819,-15.9041,-4.16211,-8.70898,-9.10442,-19.0181,-4.9608,-10.3411,-5.3834,-11.198,-5.81707,-0,-0,-0,-0,-0,-0,-0,-0,-7.86334,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,2,2,2,2,4,3,6,6,15,5,9,12,5,15,9,9,7,6,11,8,9,4,9,5,8,2,5,2,3,2,0,2,2,0,1,1,0,0,2,0,0,0,0,0,0,0
-533.371,0.975963,0.065785,4,31,0,535.736,-1.91386,-2.72786,-1.11776,-0.600433,3.43399,0.25317,-1.02012,5.11775,2.54049,0.000102401,0.000134806,0.000177502,0.000233782,0.000308013,0.00040599,0.000535431,0.000706624,0.00093331,0.00123382,0.00163252,0.0021613,0.00286102,0.00378198,0.00498306,0.00652885,0.00848448,0.0109082,0.0138416,0.0172993,0.0212592,0.0256424,0.0303195,0.0351143,0.0398126,0.0441764,0.0479619,0.0509433,0.0529395,0.0538404,0.0536202,0.0523347,0.0501056,0.0471015,0.0435189,0.0395638,0.0354339,0.0313048,0.027319,0.0235816,0.0201606,0.0170914,0.0143834,0.0120271,0.0100005,0.00827439,0.00681635,0.00559342,0.00457391,0.00372847,0.00303062,0.00245697,0.00198712,0.00160354,0.00129132,0.00103785,0.000832562,0.000666667,0.000532872,0.000425164,0.000338606,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.13704,-0,-0,-0,-5.03152,-0,-9.03649,-12.8402,-16.2284,-11.5529,-14.654,-24.4717,-40.1898,-48.3536,-21.837,-30.3735,-23.8163,-32.3247,-40.9042,-32.1841,-23.6008,-11.9745,-45.8318,-43.8838,-25.8387,-10.0203,-24.2479,-25.2012,-14.9892,-3.90403,-8.13836,-8.48336,-17.6824,-4.60512,-9.58918,-4.98843,-10.3723,-5.38739,-0,-0,-0,-0,-0,-0,-0,-0,-7.31322,-0,-0,-0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,2,2,3,7,4,2,4,10,6,16,11,9,15,9,10,5,12,10,7,6,9,7,6,2,3,2,3,5,0,0,2,0,3,2,0,1,1,0,0,0,0,0,0,0
-533.917,0.998773,0.065785,6,63,0,536.315,-3.06261,-2.26797,0.0396402,-0.65611,2.68639,0.100827,-0.685507,5.23218,2.69231,7.19949e-05,9.34091e-05,0.000121227,0.000157388,0.000204432,0.000265702,0.00034561,0.000450014,0.000586732,0.000766287,0.00100296,0.0013163,0.00173337,0.00229186,0.00304433,0.00406342,0.00544682,0.00731927,0.0098272,0.0131207,0.0173202,0.0224663,0.02847,0.0350766,0.0418637,0.0482874,0.0537764,0.0578441,0.06018,0.0606912,0.0594914,0.05685,0.053123,0.0486857,0.0438819,0.038995,0.0342374,0.0297545,0.0256344,0.0219207,0.0186249,0.0157365,0.0132312,0.0110767,0.00923749,0.00767712,0.00636049,0.00525476,0.00433004,0.00355958,0.00291979,0.00239012,0.0019528,0.00159264,0.0012967,0.00105401,0.000855351,0.000692999,0.0005605,0.0004525,0.000364573,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.63293,-0,-0,-0,-5.50573,-0,-9.83449,-13.8678,-17.3342,-12.1676,-15.183,-24.9123,-40.2026,-47.6001,-21.2141,-29.2292,-22.8,-30.9146,-39.2274,-31.0412,-22.9387,-11.7406,-45.3356,-43.7675,-25.9546,-10.1233,-24.6034,-25.6467,-15.2813,-3.98325,-8.30354,-8.65036,-18.0116,-4.68448,-9.73902,-5.05765,-10.4972,-5.44218,-0,-0,-0,-0,-0,-0,-0,-0,-7.27448,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,1,2,3,3,1,5,4,5,7,6,11,14,16,6,11,16,6,9,4,10,9,11,4,5,5,2,3,2,3,0,3,0,0,0,3,1,2,1,0,0,1,0,0,0,0,0
-533.666,0.999357,0.065785,6,127,0,536.818,-0.0143949,-0.840718,-1.79157,-0.710717,5.35038,0.854758,-0.996809,5.10415,2.75323,2.53313e-05,3.28652e-05,4.28272e-05,5.61342e-05,7.41482e-05,9.89706e-05,0.00013398,0.000184821,0.000261043,0.000378148,0.000559268,0.000836425,0.00125203,0.00186084,0.00273236,0.00395323,0.00562965,0.00788924,0.0108823,0.0147815,0.0197811,0.0252936,0.0309484,0.0365053,0.0417976,0.0466924,0.0510623,0.0547644,0.0576248,0.0594314,0.0599407,0.0589255,0.0562998,0.052272,0.0473016,0.0418826,0.0364114,0.0311641,0.0263139,0.021956,0.018129,0.0148327,0.0120411,0.00971156,0.00779252,0.00622832,0.0049639,0.00394802,0.00313538,0.00248727,0.00197147,0.00156155,0.0012361,0.000977853,0.000772974,0.000610394,0.000481279,0.000378582,0.000296685,0.000231106,0.000178271,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.08637,-0,-0,-0,-5.53322,-0,-9.68451,-13.5619,-16.8575,-11.7691,-14.7088,-24.328,-39.7236,-47.6238,-21.4492,-29.7471,-23.2377,-31.3918,-39.5211,-30.9584,-22.6518,-11.5083,-44.2694,-42.7169,-25.3831,-9.93862,-24.2794,-25.4636,-15.2749,-4.01024,-8.42184,-8.83887,-18.5378,-4.85459,-10.1573,-5.30556,-11.0691,-5.76501,-0,-0,-0,-0,-0,-0,-0,-0,-7.87908,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,3,0,3,0,6,6,4,6,12,3,12,10,5,8,15,13,22,14,8,14,5,7,3,2,3,4,1,1,1,0,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0
