# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 01:06:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c252f849dd.json
# init = /tmp/RtmpC8O1hA/init-b41c26585e15_1.json
# random
#   seed = 1552009
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0148_rep015_badly_wrong_moderate/prior_sensitivity_obspair_FAST-202605300206-1-346805.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0148_rep015_badly_wrong_moderate/prior_sensitivity_obspair_FAST-profile-202605300206-1-5dd05d.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.140613
# Diagonal elements of inverse mass matrix:
# 0.0853188, 0.0505126, 0.0270713, 0.0125471, 0.0336318, 0.0445353, 0.0529051
-533.044,0.979407,0.140613,4,15,0,538.165,-1.54764,-1.87741,-0.85242,-0.602748,3.79411,0.956002,-0.361386,4.80938,2.30549,4.39518e-05,5.78764e-05,7.62504e-05,0.000100524,0.000132641,0.000175225,0.000231843,0.000307403,0.000408759,0.000545673,0.000732415,0.000990462,0.00135281,0.00186956,0.00261349,0.00368446,0.0052116,0.00735038,0.0102704,0.0141294,0.0190345,0.0249456,0.0316823,0.0389255,0.0462414,0.0531163,0.0589954,0.0633334,0.0656863,0.0658625,0.0639912,0.0604084,0.0555379,0.0498292,0.0437205,0.0376054,0.0318007,0.0265229,0.0218836,0.017907,0.0145603,0.0117805,0.00949359,0.00762577,0.00610871,0.00488202,0.00389372,0.0030999,0.00246395,0.0019556,0.00155007,0.00122711,0.000970325,0.000766431,0.000604733,0.000476633,0.000375242,0.00029505,0.000231661,0.000181577,0.000142019,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.91734,-0,-0,-0,-5.60363,-0,-9.82601,-13.7355,-17.038,-11.8845,-14.7642,-24.164,-38.9533,-46.1082,-20.5469,-28.303,-22.0747,-29.9515,-38.0826,-30.2391,-22.453,-11.5628,-44.9873,-43.8191,-26.2449,-10.3448,-25.4082,-26.7541,-16.0902,-4.22946,-8.88262,-9.31428,-19.5049,-5.09804,-10.6444,-5.54839,-11.5528,-6.00599,-0,-0,-0,-0,-0,-0,-0,-0,-8.12837,-0,-0,-0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,2,3,4,9,7,5,9,10,12,10,18,15,14,6,10,12,9,6,10,3,4,0,1,0,4,2,1,2,1,0,0,2,0,0,1,0,0,0,1,0,0,0,0
-534.711,0.993348,0.140613,4,15,0,536.79,-2.36302,-2.47009,-1.15287,-0.369036,3.40687,0.259124,-0.360764,4.86324,2.21716,2.8646e-05,4.04911e-05,5.72426e-05,8.09406e-05,0.000114481,0.000161978,0.00022929,0.000324767,0.000460315,0.000652883,0.000926431,0.00131432,0.00186175,0.00262763,0.00368496,0.00511906,0.00702268,0.00948756,0.0125921,0.0163861,0.0208753,0.0259828,0.0315588,0.0373812,0.0431664,0.0485869,0.0532967,0.0569653,0.0593221,0.0602027,0.0595783,0.057551,0.0543227,0.0501582,0.0453514,0.0401976,0.0349697,0.0298986,0.0251609,0.0208739,0.0170991,0.0138515,0.0111118,0.00883837,0.00697798,0.00547336,0.00426856,0.00331204,0.00255819,0.00196787,0.00150819,0.00115201,0.000877258,0.00066615,0.000504526,0.000381189,0.000287347,0.00021614,0.000162242,0.000121539,9.08659e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.63444,-0,-0,-0,-5.27478,-0,-9.31555,-13.1241,-16.4453,-11.6076,-14.6013,-24.1913,-39.4391,-47.1404,-21.1708,-29.3188,-22.9225,-31.0725,-39.3405,-31.0251,-22.8407,-11.6513,-44.8886,-43.3064,-25.7116,-10.0598,-24.5696,-25.7773,-15.477,-4.06873,-8.55872,-8.9995,-18.9146,-4.965,-10.4157,-5.45648,-11.4204,-5.96845,-0,-0,-0,-0,-0,-0,-0,-0,-8.43958,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,1,2,7,8,7,9,8,12,8,8,16,12,16,10,6,9,6,11,6,7,6,3,5,2,1,1,2,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0
-535.63,0.99246,0.140613,5,31,0,539.079,-0.518869,-2.06438,-1.01614,-0.399035,5.40984,0.510741,-0.727762,5.26874,2.24604,1.9783e-05,2.77743e-05,3.90538e-05,5.50334e-05,7.77887e-05,0.000110423,0.000157667,0.000226856,0.000329416,0.000482801,0.000712464,0.00105333,0.00155037,0.00225818,0.00323943,0.00456206,0.00629536,0.00850445,0.0112433,0.0145461,0.0184184,0.0227975,0.0275773,0.0326089,0.0377069,0.0426592,0.0472393,0.0512195,0.0543843,0.0565444,0.0575515,0.0573201,0.0558516,0.0532498,0.0497044,0.0454515,0.0407387,0.0358038,0.0308629,0.0261016,0.0216687,0.017672,0.0141758,0.0112027,0.00873889,0.00674313,0.00515729,0.00391669,0.00295803,0.00222421,0.00166655,0.00124511,0.000928013,0.000690238,0.000512441,0.000379799,0.000281037,0.00020762,0.000153123,0.00011272,8.28006e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.8558,-0,-0,-0,-5.38998,-0,-9.53433,-13.464,-16.9217,-11.9832,-15.1244,-25.1353,-41.078,-49.1687,-22.0816,-30.5253,-23.7731,-32.0285,-40.2182,-31.4058,-22.8728,-11.5402,-43.9914,-42.0233,-24.7289,-9.60173,-23.3079,-24.3474,-14.583,-3.83188,-8.07154,-8.51244,-17.9664,-4.73997,-9.99846,-5.26734,-11.085,-5.82323,-0,-0,-0,-0,-0,-0,-0,-0,-8.4798,-0,-0,-0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,2,0,2,2,3,3,4,7,9,10,12,9,10,16,11,9,11,11,9,10,6,7,6,12,6,3,3,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-533.841,0.987043,0.140613,4,15,0,539.41,-1.03311,-2.85346,-0.897947,-0.527951,4.94288,0.614124,-0.626354,5.24631,2.24844,5.52694e-05,7.43493e-05,0.000100073,0.000134802,0.000181775,0.000245465,0.000332105,0.00045047,0.000613008,0.000837379,0.0011482,0.00157853,0.0021706,0.00297575,0.0040533,0.00546803,0.00728588,0.00956727,0.012358,0.0156784,0.0195124,0.0237944,0.0284115,0.033209,0.0379994,0.0425749,0.0467199,0.0502246,0.0528991,0.0545896,0.0551949,0.0546839,0.053104,0.0505714,0.0472508,0.0433345,0.0390262,0.034527,0.0300244,0.0256822,0.0216325,0.0179692,0.0147452,0.0119748,0.0096416,0.0077084,0.00612726,0.00484722,0.00381929,0.00299914,0.00234821,0.00183384,0.00142886,0.00111102,0.000862229,0.000667953,0.000516562,0.000398806,0.000307364,0.000236463,0.000181565,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.45126,-0,-0,-0,-5.20884,-0,-9.29881,-13.1804,-16.6219,-11.8101,-14.9532,-24.9267,-40.8592,-49.0528,-22.0954,-30.6358,-23.93,-32.3331,-40.7108,-31.8657,-23.2495,-11.742,-44.7655,-42.732,-25.1104,-9.73057,-23.5621,-24.5402,-14.6478,-3.83356,-8.03819,-8.43368,-17.6998,-4.64167,-9.73089,-5.09501,-10.6587,-5.56769,-0,-0,-0,-0,-0,-0,-0,-0,-7.82704,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,3,3,5,7,4,9,3,6,6,8,12,10,17,6,9,7,11,8,7,10,5,10,4,2,7,5,3,1,1,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0
-535.948,0.995623,0.140613,5,31,0,537.944,-2.26506,-1.39711,-0.80713,-0.787274,2.89355,0.479534,-0.189229,5.23135,2.92331,8.98282e-05,0.000113031,0.00014231,0.000179303,0.000226122,0.000285501,0.000361013,0.000457371,0.000580871,0.000740052,0.000946708,0.00121746,0.00157623,0.00205801,0.00271425,0.00361953,0.00487852,0.0066312,0.00905419,0.012356,0.0167666,0.0223342,0.0289583,0.036336,0.0439347,0.051026,0.0568216,0.0607004,0.0623933,0.0619897,0.0598168,0.0563093,0.0519174,0.0470481,0.0420337,0.0371205,0.0324736,0.0281906,0.0243183,0.020868,0.0178283,0.0151742,0.0128732,0.0108901,0.00918929,0.00773669,0.00650051,0.00545178,0.00456452,0.00381571,0.00318512,0.00265514,0.0022105,0.00183806,0.00152652,0.00126623,0.00104897,0.000867741,0.000716637,0.000590665,0.000485629,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.71099,-0,-0,-0,-5.62141,-0,-10.0319,-14.1136,-17.5745,-12.2651,-15.2065,-24.7933,-39.7793,-46.8758,-20.8279,-28.6784,-22.4144,-30.5173,-38.931,-30.9812,-23.0152,-11.8324,-45.8488,-44.37,-26.3487,-10.282,-24.9814,-26.0157,-15.4782,-4.02697,-8.37632,-8.70522,-18.0796,-4.68972,-9.72356,-5.03587,-10.4236,-5.38944,-0,-0,-0,-0,-0,-0,-0,-0,-7.04962,-0,-0,-0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,0,2,2,4,1,12,5,8,10,14,8,17,10,13,9,11,9,3,5,7,8,4,4,6,4,1,4,0,2,2,2,1,1,3,0,1,0,1,0,0,0,0,0,0
-534.941,0.987501,0.140613,5,31,0,539.2,-0.0433401,-1.6901,-0.973682,-0.842789,4.96314,0.56655,-1.04303,5.45559,2.80629,4.62216e-05,5.80231e-05,7.30658e-05,9.23767e-05,0.000117394,0.000150188,0.000193832,0.000253059,0.000335412,0.000453198,0.000626376,0.000885868,0.00127603,0.00185526,0.00269453,0.00387396,0.00547808,0.00758973,0.0102828,0.0136133,0.0176098,0.0221894,0.0272271,0.0325536,0.0379577,0.0431941,0.047995,0.0520865,0.0552084,0.0571391,0.0577309,0.0569493,0.0548916,0.05176,0.047814,0.0433304,0.0385762,0.033791,0.029173,0.0248708,0.0209806,0.0175492,0.0145828,0.012058,0.00993421,0.00816278,0.0066942,0.00548193,0.00448429,0.00366505,0.00299336,0.00244319,0.00199281,0.00162415,0.00132227,0.00107485,0.000871824,0.000704963,0.000567612,0.000454394,0.000360991,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.02894,-0,-0,-0,-5.55348,-0,-9.76192,-13.7319,-17.1868,-12.1179,-15.2326,-25.2248,-41.0984,-49.0692,-21.9944,-30.3666,-23.6388,-31.863,-40.0717,-31.3716,-22.9248,-11.6096,-44.4171,-42.5661,-25.1112,-9.76536,-23.7129,-24.7416,-14.7762,-3.86416,-8.08549,-8.45583,-17.6721,-4.61177,-9.61634,-5.00651,-10.4126,-5.40718,-0,-0,-0,-0,-0,-0,-0,-0,-7.25736,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,2,1,9,4,10,10,6,9,8,11,16,11,10,12,6,10,9,9,3,7,9,1,4,1,5,3,3,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1
