# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 01:28:54 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c27195d2c.json
# init = /tmp/RtmpC8O1hA/init-b41c2642908a_1.json
# random
#   seed = 1652002
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0151_rep016_accurate_weak/prior_sensitivity_obspair_FAST-202605300228-1-2f0c0b.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0151_rep016_accurate_weak/prior_sensitivity_obspair_FAST-profile-202605300228-1-1831f7.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0512433
# Diagonal elements of inverse mass matrix:
# 0.0814585, 0.0681151, 0.129871, 0.10086, 0.254809, 0.104546, 0.148544
-555.313,0.996393,0.0512433,6,63,0,556.423,-1.85709,-2.47366,-1.5385,0.479446,2.28209,-1.04565,-0.263585,4.94022,2.32075,1.25563e-05,2.29614e-05,4.0996e-05,7.13911e-05,0.000121166,0.000200337,0.000322645,0.00050622,0.000774065,0.00115426,0.00167976,0.00238774,0.00331841,0.00451328,0.00601304,0.00785497,0.0100703,0.0126813,0.015699,0.0191208,0.0229295,0.0270156,0.0312476,0.0354756,0.0395377,0.0432678,0.046505,0.0491036,0.0509432,0.0519378,0.0520429,0.0512601,0.0496365,0.0472614,0.0442582,0.0407734,0.036964,0.032986,0.0289832,0.0250801,0.0213773,0.0179495,0.0148468,0.0120967,0.0097073,0.007671,0.00596814,0.00457052,0.00344459,0.00255429,0.00186333,0.00133702,0.00094357,0.00065491,0.000447058,0.000300158,0.000198241,0.000128815,8.23713e-05,5.18488e-05,3.21365e-05,-0,-0,-0,-0,-0,-0,-8.03896,-0,-0,-0,-6.38911,-0,-5.70827,-0,-0,-14.5398,-9.19633,-8.73526,-12.4625,-27.6988,-18.8767,-32.5021,-20.7949,-20.0335,-12.922,-40.8245,-24.5456,-18.0829,-38.7016,-38.4502,-29.5569,-38.621,-15.0151,-15.2603,-31.1771,-41.5964,-16.489,-6.82334,-10.6231,-33.1711,-15.3817,-16.0808,-16.8399,-13.2445,-4.63488,-9.74062,-5.12132,-5.38813,-5.67095,-0,-6.28539,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,2,2,3,3,5,8,10,8,6,9,8,3,11,11,11,7,11,7,9,10,7,10,9,7,6,1,4,3,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
-556.396,0.976776,0.0512433,6,63,0,559.287,-2.07125,-2.67653,-1.61204,-0.627967,2.83082,0.730726,-2.6377,4.78318,2.61308,0.000125071,0.000163381,0.000213451,0.000278906,0.000364503,0.000476491,0.00062309,0.000815143,0.00106699,0.00139764,0.0018324,0.00240496,0.0031598,0.00415421,0.00545795,0.00714954,0.00930943,0.0120106,0.0153063,0.0192155,0.0237089,0.028662,0.0338841,0.039129,0.04411,0.0485191,0.0520519,0.0544503,0.0555601,0.0553619,0.0539495,0.0514936,0.0482125,0.0443493,0.040148,0.035832,0.0315853,0.0275444,0.0237991,0.0203991,0.0173636,0.0146901,0.0123615,0.0103525,0.0086329,0.0071712,0.00593619,0.00489821,0.00402993,0.00330665,0.00270645,0.00221008,0.00180085,0.00146443,0.00118857,0.000962897,0.000778684,0.000628607,0.00050656,0.000407475,0.000327158,-0,-0,-0,-0,-0,-0,-7.38082,-0,-0,-0,-6.30213,-0,-5.75725,-0,-0,-14.8221,-9.35345,-8.84393,-12.5385,-27.6643,-18.7095,-31.9697,-20.3088,-19.4453,-12.4843,-39.3354,-23.6441,-17.4628,-37.5738,-37.6202,-29.1971,-38.5619,-15.1607,-15.5783,-32.1518,-43.2759,-17.2753,-7.18391,-11.2143,-35.0304,-16.2135,-16.8823,-17.5727,-13.7116,-4.75218,-9.87536,-5.12669,-5.31889,-5.51401,-0,-5.91212,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,3,2,2,3,4,4,7,1,7,8,13,9,6,19,6,11,4,8,10,10,6,10,7,6,2,7,5,7,1,1,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1
-556.262,0.98236,0.0512433,7,127,0,561.459,-0.954984,-2.04902,-3.13933,-0.0436736,5.06453,0.569543,-0.884789,4.93218,2.2957,2.11926e-05,3.42326e-05,5.53131e-05,8.93875e-05,0.000144371,0.000232581,0.000372128,0.000587274,0.00090713,0.00136347,0.00198895,0.00281601,0.00387625,0.00519995,0.00681535,0.00874759,0.0110171,0.0136373,0.0166122,0.0199336,0.0235807,0.027407,0.0312721,0.0350443,0.0386031,0.0418405,0.0446605,0.0469774,0.0487143,0.0498018,0.0501783,0.0497934,0.0486172,0.0466593,0.0439943,0.0407708,0.0371787,0.0333998,0.0295818,0.0258357,0.022243,0.0188635,0.0157416,0.0129097,0.010391,0.00819907,0.00633769,0.00479886,0.00356225,0.0025963,0.0018617,0.0013163,0.000919627,0.000636056,0.000436204,0.000296996,0.000200968,0.000135263,9.06144e-05,6.04531e-05,4.01823e-05,-0,-0,-0,-0,-0,-0,-7.89627,-0,-0,-0,-6.22015,-0,-5.55289,-0,-0,-14.2169,-9.01661,-8.58989,-12.2929,-27.4075,-18.7366,-32.3726,-20.7902,-20.1069,-13.0177,-41.2606,-24.8693,-18.3485,-39.2832,-38.9962,-29.9217,-38.9983,-15.1189,-15.3244,-31.2369,-41.5972,-16.4601,-6.79841,-10.5618,-32.904,-15.2229,-15.8821,-16.6058,-13.0493,-4.56682,-9.60747,-5.06124,-5.33938,-5.63736,-0,-6.28626,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,4,3,4,9,3,6,2,10,4,9,11,7,11,10,7,8,8,9,8,7,13,8,8,6,4,1,4,3,4,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
-558.372,0.991245,0.0512433,5,31,0,559.421,-1.10748,-2.05456,-3.14056,0.315852,5.8627,0.818717,-0.756198,5.11076,2.20536,4.30542e-06,8.55042e-06,1.69779e-05,3.36622e-05,6.63519e-05,0.000128576,0.000240498,0.00042715,0.000715878,0.00113484,0.00171247,0.00247745,0.00345873,0.00468554,0.0061872,0.0079924,0.0101277,0.0126148,0.0154657,0.0186774,0.0222277,0.0259772,0.0297873,0.0335288,0.0370886,0.0403705,0.0432915,0.0457785,0.047764,0.0491839,0.049976,0.0500794,0.0494369,0.0480024,0.0457634,0.0427887,0.0392666,0.0354466,0.0315393,0.0276862,0.0239764,0.0204662,0.017193,0.0141832,0.0114569,0.00903045,0.00691745,0.00512759,0.00366386,0.00251756,0.00166369,0.00106037,0.000655019,0.000394333,0.000232543,0.000134894,7.72196e-05,4.37287e-05,2.45418e-05,1.36698e-05,7.56491e-06,-0,-0,-0,-0,-0,-0,-8.3328,-0,-0,-0,-6.36982,-0,-5.66686,-0,-0,-14.4878,-9.18496,-8.74577,-12.5074,-27.8631,-19.0321,-32.8548,-21.082,-20.3721,-13.1778,-41.7255,-25.1184,-18.5036,-39.5393,-39.1585,-29.9621,-38.9239,-15.0353,-15.1825,-30.8427,-40.9692,-16.1869,-6.67945,-10.3696,-32.2814,-14.9227,-15.5559,-16.253,-12.7671,-4.46917,-9.41431,-4.97371,-5.27312,-5.60924,-0,-6.39871,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,3,1,1,4,3,3,3,7,9,4,5,8,5,10,6,17,6,9,10,12,11,13,10,5,6,4,7,3,2,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
-555.313,0.998474,0.0512433,6,63,0,561.589,-0.990439,-1.45511,-2.49229,0.344077,4.61269,-0.194721,-0.83348,5.06489,2.32364,8.02516e-06,1.53806e-05,2.88841e-05,5.29045e-05,9.41168e-05,0.00016212,0.000269939,0.000434347,0.000676006,0.00101944,0.0014929,0.00212809,0.00295982,0.00402551,0.00536457,0.00701765,0.00902579,0.0114296,0.0142685,0.0175804,0.0214019,0.0255533,0.0298678,0.034189,0.0383683,0.0422644,0.0457429,0.0486771,0.0509491,0.0524538,0.0531036,0.0528376,0.0516319,0.0495128,0.046567,0.0429444,0.0388464,0.0344988,0.0301178,0.0258812,0.0219154,0.0182971,0.0150635,0.0122246,0.00977235,0.00768794,0.00594544,0.00451449,0.00336182,0.00245253,0.00175116,0.00122297,0.000835057,0.00055744,0.000363906,0.000232467,0.000145452,8.92437e-05,5.3768e-05,3.18563e-05,1.85887e-05,-0,-0,-0,-0,-0,-0,-8.21732,-0,-0,-0,-6.50704,-0,-5.82263,-0,-0,-14.878,-9.41534,-8.9431,-12.7491,-28.2868,-19.2214,-33.0029,-21.0658,-20.2551,-13.0421,-41.1295,-24.6777,-18.1353,-38.7001,-38.3217,-29.3551,-38.2269,-14.8181,-15.0276,-30.6686,-40.922,-16.2407,-6.73366,-10.5079,-32.8882,-15.2823,-16.0041,-16.7819,-13.2129,-4.6282,-9.7362,-5.12513,-5.40046,-5.69527,-0,-6.34748,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,2,1,2,4,1,11,6,9,10,15,7,7,10,8,11,8,14,9,6,7,7,6,9,6,2,4,4,3,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0
-558.334,0.98557,0.0512433,7,127,0,561.642,-0.98977,-3.47231,-3.36391,0.0748513,3.21406,0.0365396,-1.61966,4.51565,2.18728,1.63787e-05,2.79571e-05,4.75912e-05,8.06617e-05,0.000135782,0.000226232,0.000371438,0.000597999,0.000939664,0.00143603,0.00213024,0.00306629,0.00428625,0.00582774,0.00772134,0.00998806,0.0126368,0.0156618,0.0190414,0.0227367,0.0266929,0.030769,0.0348198,0.0387007,0.0422721,0.0454041,0.0479798,0.0498991,0.0510816,0.0514703,0.0510371,0.0497884,0.0477712,0.0450759,0.0418303,0.0381858,0.0342985,0.0303147,0.0263622,0.0225477,0.0189571,0.0156565,0.0126925,0.0100935,0.00786942,0.00601362,0.00450443,0.0033085,0.00238475,0.00168867,0.00117627,0.000807171,0.000546482,0.000365579,0.000241984,0.000158689,0.000103217,6.66551e-05,4.27726e-05,2.7294e-05,1.73305e-05,-0,-0,-0,-0,-0,-0,-7.89813,-0,-0,-0,-6.15152,-0,-5.45234,-0,-0,-13.8191,-8.74229,-8.31306,-11.8834,-26.4864,-18.1168,-31.3312,-20.1454,-19.5114,-12.6545,-40.198,-24.2958,-17.9865,-38.6663,-38.5677,-29.752,-38.9997,-15.2067,-15.497,-31.7413,-42.4488,-16.8633,-6.99225,-10.9075,-34.1291,-15.8623,-16.6275,-17.467,-13.7876,-4.84477,-10.2275,-5.40269,-5.71126,-6.03866,-0,-6.74541,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,3,3,9,2,6,8,6,14,5,12,10,12,12,11,16,4,10,12,3,3,6,6,3,4,4,3,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
