# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 01:40:32 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c2795f93ce.json
# init = /tmp/RtmpC8O1hA/init-b41c22e5ac1ad_1.json
# random
#   seed = 1652003
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0152_rep016_accurate_moderate/prior_sensitivity_obspair_FAST-202605300240-1-395566.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0152_rep016_accurate_moderate/prior_sensitivity_obspair_FAST-profile-202605300240-1-39bb18.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.163031
# Diagonal elements of inverse mass matrix:
# 0.06784, 0.0681286, 0.0256987, 0.0162123, 0.0552873, 0.0203878, 0.0349292
-553.482,0.993741,0.163031,5,31,0,556.729,-0.938099,-2.75882,-1.5968,-0.342625,3.63881,-0.1842,-0.825251,4.62527,2.33642,7.04254e-05,0.00010036,0.000142957,0.000203497,0.000289374,0.000410849,0.00058196,0.000821551,0.00115426,0.00161121,0.0022301,0.00305433,0.00413104,0.00550807,0.00722997,0.00933364,0.0118436,0.014768,0.0180946,0.0217892,0.025795,0.0299862,0.0342164,0.0383246,0.0421432,0.0455064,0.0482608,0.0502751,0.0514513,0.0517337,0.0511155,0.0496414,0.0474017,0.0445229,0.0411532,0.0374493,0.0335646,0.0296408,0.0258011,0.0221468,0.0187549,0.0156779,0.012945,0.0105648,0.00852884,0.0068161,0.005397,0.0042373,0.00330131,0.00255426,0.00196393,0.00150156,0.00114224,0.000864961,0.000652305,0.000490107,0.000366997,0.000273962,0.000203929,0.000151394,0.000112111,-0,-0,-0,-0,-0,-0,-7.44911,-0,-0,-0,-6.10571,-0,-5.48922,-0,-0,-14.0224,-8.87193,-8.43059,-12.0364,-26.7844,-18.2879,-31.5632,-20.2503,-19.57,-12.6667,-40.1687,-24.2491,-17.9415,-38.5725,-38.5014,-29.7367,-39.0381,-15.2455,-15.5588,-31.9045,-42.702,-16.9714,-7.03721,-10.972,-34.2906,-15.9052,-16.622,-17.3882,-13.6507,-4.7643,-9.97694,-5.22191,-5.46383,-5.71344,-0,-6.23281,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,6,1,1,2,2,2,4,3,4,7,8,5,11,12,9,13,8,11,10,9,10,12,10,10,5,4,5,4,1,2,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-558.261,0.989137,0.163031,4,15,0,560.263,-1.94953,-4.84199,-1.44595,-0.10725,3.30068,-0.396033,-0.781742,4.96755,2.234,2.22604e-05,3.46826e-05,5.39195e-05,8.35801e-05,0.000129048,0.000198218,0.000302424,0.000457508,0.000684906,0.00101257,0.0014754,0.00211504,0.00297859,0.00411632,0.00557832,0.00741011,0.00964765,0.0123122,0.0154053,0.0189051,0.0227641,0.0268927,0.031173,0.0354635,0.0396051,0.0434297,0.0467704,0.0494723,0.0514047,0.0524716,0.0526215,0.0518527,0.050213,0.0477952,0.0447266,0.0411575,0.0372487,0.0331604,0.0290426,0.0250281,0.0212265,0.0177214,0.0145688,0.0117989,0.00941827,0.00741427,0.00576003,0.00441935,0.00335121,0.00251363,0.00186637,0.00137289,0.00100124,0.000724464,0.000520433,0.00037141,0.000263469,0.000185875,0.000130476,9.11674e-05,6.34324e-05,-0,-0,-0,-0,-0,-0,-8.10368,-0,-0,-0,-6.51882,-0,-5.81631,-0,-0,-14.7147,-9.28208,-8.79433,-12.5191,-27.7783,-18.9128,-32.5431,-20.8092,-20.0355,-12.9152,-40.776,-24.5,-18.038,-38.5843,-38.3173,-29.4463,-38.4715,-14.9574,-15.2042,-31.0719,-41.4745,-16.4507,-6.8128,-10.617,-33.1898,-15.41,-16.1319,-16.9155,-13.3192,-4.6651,-9.8087,-5.15681,-5.42176,-5.69843,-0,-6.28376,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,3,3,2,6,5,11,3,7,9,14,7,10,6,12,12,14,8,6,6,8,6,5,4,8,2,4,4,4,2,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
-559.982,0.94291,0.163031,4,31,0,566.786,-1.67531,-4.35381,-1.95505,0.263235,3.62591,-0.387174,-0.838746,4.95704,2.15479,7.32649e-06,1.35923e-05,2.4936e-05,4.51e-05,8.01465e-05,0.000139463,0.000236871,0.000391644,0.000629212,0.000981326,0.00148557,0.00218414,0.00312195,0.00434399,0.00589221,0.00780175,0.0100971,0.0127883,0.0158676,0.0193073,0.0230588,0.0270305,0.0311104,0.0351709,0.0390734,0.042676,0.0458391,0.0484334,0.0503468,0.0514913,0.0518101,0.0512831,0.0499312,0.0478164,0.0450379,0.0417232,0.0380165,0.034067,0.0300183,0.0260015,0.0221303,0.0184982,0.0151765,0.0122142,0.00963763,0.00745222,0.00564502,0.00418826,0.00304366,0.00216693,0.00151204,0.00103471,0.000694954,0.000458538,0.000297529,0.000190064,0.00011967,7.43507e-05,4.56338e-05,2.76987e-05,1.66436e-05,-0,-0,-0,-0,-0,-0,-8.348,-0,-0,-0,-6.51196,-0,-5.7693,-0,-0,-14.5602,-9.19101,-8.71845,-12.4304,-27.6309,-18.8485,-32.4971,-20.8213,-20.0852,-12.9692,-41.0036,-24.6609,-18.1654,-38.8547,-38.5624,-29.6017,-38.6151,-14.9855,-15.2019,-31.0025,-41.2971,-16.3487,-6.75885,-10.5178,-32.8464,-15.2432,-15.9603,-16.752,-13.2155,-4.64208,-9.79849,-5.17698,-5.47547,-5.7947,-0,-6.49429,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3,1,4,3,2,2,6,8,5,12,8,11,5,10,11,17,12,10,6,13,9,4,7,5,5,3,1,3,3,2,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0
-562.821,0.969137,0.163031,5,31,0,569.602,-0.458495,-2.86615,-2.05229,-0.145153,4.26434,0.0731852,0.114548,4.50968,2.30717,3.65272e-05,5.6248e-05,8.65604e-05,0.000133056,0.000204119,0.000312085,0.000474566,0.000715654,0.00106647,0.00156458,0.00225223,0.00317377,0.0043728,0.00588951,0.00775815,0.0100045,0.0126435,0.0156772,0.0190929,0.0228637,0.0269506,0.0311151,0.0352045,0.0390808,0.0426134,0.0456799,0.0481682,0.0499807,0.0510381,0.0512851,0.0506978,0.049293,0.0471343,0.0443308,0.0410253,0.0373743,0.0335299,0.0296289,0.0257878,0.022103,0.018651,0.0154897,0.0126588,0.0101797,0.00805672,0.00627859,0.00482126,0.00365142,0.00273051,0.00201845,0.00147674,0.00107054,0.000769799,0.000549603,0.00038993,0.000275114,0.000193154,0.000135019,9.40116e-05,6.52275e-05,4.51101e-05,-0,-0,-0,-0,-0,-0,-7.65311,-0,-0,-0,-6.09583,-0,-5.43235,-0,-0,-13.8142,-8.74122,-8.3111,-11.8753,-26.4474,-18.0688,-31.2306,-20.0795,-19.4527,-12.6223,-40.1193,-24.2645,-17.9767,-38.6774,-38.6146,-29.8187,-39.1296,-15.2738,-15.5804,-31.9357,-42.728,-16.9766,-7.03801,-10.9736,-34.3084,-15.9274,-16.6703,-17.4776,-13.7621,-4.82125,-10.1412,-5.33472,-5.61264,-5.90327,-0,-6.51792,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,3,0,2,4,5,5,8,11,7,6,16,13,7,6,10,9,10,11,10,6,7,7,8,1,8,1,4,1,0,4,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0
-563.022,0.995529,0.163031,4,15,0,566.422,0.00973002,-2.23631,-1.88647,-0.163833,4.53596,0.0138793,0.12751,4.52265,2.36754,4.30236e-05,6.56979e-05,0.000100231,0.000152677,0.000231959,0.000350929,0.000527484,0.000785423,0.00115463,0.00167035,0.00237151,0.00329874,0.00449214,0.00598937,0.00782374,0.0100227,0.0126062,0.015587,0.0189715,0.0227652,0.0269866,0.0312125,0.0352956,0.039119,0.0425732,0.0455545,0.0479666,0.0497215,0.0507438,0.0509754,0.050385,0.0489797,0.0468159,0.0440023,0.0406889,0.0370444,0.0332314,0.0293907,0.0256352,0.0220518,0.0187048,0.0156399,0.0128871,0.0104621,0.00836748,0.00659393,0.00512199,0.00392418,0.00296781,0.0022178,0.00163933,0.00119989,0.000870564,0.000626719,0.000448073,0.000318401,0.000225038,0.000158289,0.000110862,7.73447e-05,5.37694e-05,-0,-0,-0,-0,-0,-0,-7.54739,-0,-0,-0,-6.04423,-0,-5.40543,-0,-0,-13.8087,-8.74713,-8.32263,-11.8944,-26.4777,-18.0621,-31.2024,-20.064,-19.4469,-12.6261,-40.155,-24.298,-18.0079,-38.7526,-38.6934,-29.8806,-39.2126,-15.3077,-15.6176,-32.018,-42.8433,-17.0213,-7.05415,-10.9914,-34.3292,-15.9159,-16.6317,-17.4061,-13.68,-4.7834,-10.0432,-5.27421,-5.5406,-5.81993,-0,-6.41346,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,3,0,1,7,9,7,1,4,6,9,8,9,10,8,17,11,13,12,10,7,9,2,8,6,2,4,2,2,2,1,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0
-561.856,0.998128,0.163031,3,7,0,563.806,-0.0617115,-2.14146,-1.8676,-0.182042,4.3484,-0.0411647,0.0631125,4.47297,2.36061,4.42566e-05,6.70526e-05,0.000101496,0.000153398,0.000231271,0.000347333,0.000518616,0.000767932,0.00112435,0.00162287,0.00230319,0.00320783,0.00437987,0.00586069,0.00768785,0.00989311,0.0125011,0.0155286,0.0189865,0.0228834,0.0272382,0.0316219,0.0358642,0.039833,0.0434066,0.0464707,0.0489191,0.0506569,0.0516052,0.0517084,0.0509443,0.0493357,0.0469586,0.0439401,0.0404438,0.0366457,0.0327117,0.0287834,0.024974,0.021369,0.0180304,0.015,0.0123022,0.00994645,0.00792847,0.00623268,0.00483435,0.0037023,0.00280176,0.00209709,0.00155401,0.0011412,0.000831287,0.000601178,0.000431982,0.000308638,0.000219394,0.000155248,0.000109409,7.6819e-05,5.37515e-05,-0,-0,-0,-0,-0,-0,-7.56435,-0,-0,-0,-6.07346,-0,-5.43074,-0,-0,-13.8478,-8.76388,-8.33014,-11.8921,-26.4414,-18.0157,-31.0851,-19.9681,-19.3384,-12.5486,-39.8961,-24.1407,-17.8961,-38.5337,-38.5078,-29.7702,-39.1184,-15.2924,-15.6246,-32.0784,-42.984,-17.1001,-7.09591,-11.0698,-34.6123,-16.0628,-16.7988,-17.5919,-13.8316,-4.8373,-10.1559,-5.33201,-5.5988,-5.87751,-0,-6.46692,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,3,1,2,5,5,2,4,8,10,8,10,11,13,11,10,8,15,11,7,7,9,8,5,6,3,2,2,3,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
