# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 01:46:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c21821d819.json
# init = /tmp/RtmpC8O1hA/init-b41c277d208aa_1.json
# random
#   seed = 1652004
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0153_rep016_accurate_strong/prior_sensitivity_obspair_FAST-202605300246-1-110cb5.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0153_rep016_accurate_strong/prior_sensitivity_obspair_FAST-profile-202605300246-1-29bb6d.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.175495
# Diagonal elements of inverse mass matrix:
# 0.0434488, 0.0669611, 0.00587691, 0.00590369, 0.01298, 0.00698272, 0.00787972
-556.886,0.995484,0.175495,4,15,0,558.6,-1.83873,-3.75521,-1.18645,-0.307686,3.60309,0.16848,-0.923494,4.75682,2.12747,3.06842e-05,4.43178e-05,6.40098e-05,9.24519e-05,0.000133529,0.000192839,0.000278437,0.000401851,0.000579451,0.000834155,0.00119732,0.00171043,0.00242599,0.00340699,0.00472448,0.00645286,0.00866279,0.0114116,0.0147321,0.0186218,0.0230333,0.0278611,0.0329484,0.0380948,0.0430682,0.0476204,0.0515054,0.0544989,0.0564199,0.0571532,0.0566648,0.0550055,0.0523005,0.0487307,0.044512,0.0398769,0.0350556,0.0302601,0.0256701,0.0214231,0.0176103,0.0142778,0.0114333,0.00905494,0.00710168,0.00552209,0.00426149,0.00326684,0.00248965,0.00188747,0.00142429,0.0010703,0.000801273,0.000597824,0.000444648,0.000329777,0.000243939,0.000180003,0.000132519,9.73479e-05,7.13619e-05,-0,-0,-0,-0,-0,-0,-8.18632,-0,-0,-0,-6.72767,-0,-6.02152,-0,-0,-15.1297,-9.49744,-8.94625,-12.6532,-27.884,-18.8541,-32.2247,-20.4769,-19.6061,-12.5799,-39.5784,-23.7285,-17.4575,-37.3741,-37.2063,-28.706,-37.7042,-14.7537,-15.1072,-31.12,-41.8854,-16.7541,-6.99585,-10.9873,-34.5896,-16.1571,-16.9962,-17.8849,-14.1133,-4.94742,-10.398,-5.45814,-5.72393,-5.99562,-0,-6.55408,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,6,7,4,8,9,10,10,8,12,10,7,14,9,11,11,11,6,14,7,3,6,2,2,3,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
-556.66,0.9876,0.175495,4,15,0,561.629,-1.33381,-2.8031,-1.27001,-0.540021,3.71373,-0.157345,-0.757088,5.07424,2.53948,0.000118572,0.000158756,0.000212573,0.000284648,0.00038116,0.000510343,0.000683105,0.000913792,0.00122102,0.00162849,0.00216563,0.0028677,0.00377513,0.00493188,0.00638263,0.00816896,0.0103247,0.0128712,0.0158121,0.01913,0.0227832,0.0266838,0.0307157,0.0347393,0.0385982,0.0421283,0.0451685,0.0475734,0.0492257,0.0500483,0.0500117,0.049137,0.0474908,0.0451764,0.042322,0.0390689,0.0355607,0.0319342,0.0283127,0.0248001,0.0214784,0.0184065,0.0156213,0.0131399,0.0109635,0.00908068,0.00747168,0.00611138,0.00497215,0.00402598,0.00324588,0.00260681,0.00208626,0.00166435,0.00132391,0.0010503,0.000831173,0.000656232,0.000516966,0.000406387,0.000318792,-0,-0,-0,-0,-0,-0,-7.28886,-0,-0,-0,-6.13504,-0,-5.57932,-0,-0,-14.4222,-9.14642,-8.70552,-12.4409,-27.6955,-18.9087,-32.6133,-20.8979,-20.1593,-13.0182,-41.1715,-24.7788,-18.2729,-39.1474,-38.932,-29.955,-39.1709,-15.2361,-15.4859,-31.6245,-42.1516,-16.6826,-6.88815,-10.6933,-33.2722,-15.3628,-15.9802,-16.6365,-12.9963,-4.51319,-9.40321,-4.89664,-5.0976,-5.3039,-0,-5.73037,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,2,1,0,3,0,2,0,1,1,5,4,7,6,7,14,3,6,8,23,5,10,10,8,2,9,9,13,6,5,3,6,4,1,0,4,1,0,3,3,0,3,0,0,0,0,0,0,1,0,0,0
-556.025,0.998468,0.175495,4,15,0,559.497,-1.42938,-2.22082,-1.16294,-0.458237,3.41064,0.0663018,-0.77001,4.66578,2.30465,5.73624e-05,7.87573e-05,0.000108161,0.000148594,0.000204233,0.000280865,0.000386515,0.000532327,0.000733757,0.00101213,0.00139656,0.00192595,0.00265069,0.00363314,0.00494618,0.00666918,0.00888123,0.0116517,0.015029,0.0190291,0.0236256,0.0287013,0.0340767,0.0395152,0.044737,0.0494389,0.0533218,0.0561241,0.0576569,0.0578334,0.0566807,0.0543294,0.0509855,0.0468988,0.0423323,0.0375384,0.0327413,0.0281242,0.0238233,0.0199272,0.0164816,0.0134965,0.0109557,0.00882517,0.00706149,0.00561725,0.00444548,0.00350226,0.00274813,0.00214871,0.00167467,0.00130146,0.00100877,0.000780038,0.000601837,0.000463391,0.0003561,0.000273141,0.000209127,0.000159825,0.00012192,-0,-0,-0,-0,-0,-0,-7.85834,-0,-0,-0,-6.57375,-0,-5.93293,-0,-0,-15.0308,-9.44763,-8.90461,-12.5933,-27.7325,-18.7271,-31.9573,-20.2749,-19.3864,-12.4278,-39.0912,-23.4513,-17.2811,-37.0922,-37.0525,-28.7032,-37.865,-14.8811,-15.2988,-31.6221,-42.6711,-17.0956,-7.14225,-11.2113,-35.241,-16.422,-17.2213,-18.0556,-14.1904,-4.9531,-10.3638,-5.41587,-5.65435,-5.89683,-0,-6.39214,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,2,3,1,3,7,7,11,3,10,12,7,12,14,5,12,8,15,7,10,9,5,6,5,3,3,3,7,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
-558.686,0.993147,0.175495,4,15,0,560.568,-1.17004,-3.01381,-1.21718,-0.631259,3.21448,0.041851,-0.645764,4.69252,2.55068,0.000170957,0.000223177,0.000291394,0.000380538,0.000497069,0.000649463,0.000848827,0.0011097,0.00145103,0.0018973,0.0024797,0.00323695,0.00421536,0.00546747,0.00704876,0.00901245,0.0114028,0.0142474,0.0175501,0.0212845,0.0253912,0.0297449,0.0341841,0.0385189,0.0425427,0.0460481,0.0488446,0.0507783,0.0517497,0.0517255,0.0507403,0.0488869,0.046302,0.0431488,0.0396013,0.03583,0.0319912,0.0282177,0.0246148,0.0212582,0.0181955,0.0154505,0.0130274,0.0109159,0.00909641,0.00754328,0.0062283,0.00512274,0.0041989,0.00343099,0.00279565,0.00227214,0.00184234,0.0014906,0.00120358,0.000969962,0.000780258,0.000626532,0.000502197,0.00040181,0.000320891,-0,-0,-0,-0,-0,-0,-7.07165,-0,-0,-0,-5.99962,-0,-5.46902,-0,-0,-14.1274,-8.9478,-8.50236,-12.1281,-26.9484,-18.3668,-31.6359,-20.256,-19.5396,-12.629,-40.0149,-24.1529,-17.8817,-38.4974,-38.5034,-29.8104,-39.2372,-15.3628,-15.7155,-32.2889,-43.2766,-17.2115,-7.13561,-11.1132,-34.6591,-16.0263,-16.6805,-17.3628,-13.5526,-4.69988,-9.7742,-5.07865,-5.27407,-5.47293,-0,-5.87969,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,2,4,1,1,4,10,11,7,9,5,8,16,5,7,9,11,12,6,9,11,7,8,3,7,3,3,2,4,3,4,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
-555.535,0.999726,0.175495,4,15,0,561.435,-2.3504,-2.38806,-1.56946,-0.380066,3.39191,0.133752,-1.09682,5.07284,2.34181,3.83088e-05,5.39454e-05,7.59745e-05,0.000107017,0.000150774,0.000212471,0.000299475,0.000422154,0.000595001,0.00083804,0.00117838,0.00165163,0.00230268,0.00318542,0.00436107,0.00589494,0.00785145,0.0102876,0.0132449,0.0167414,0.0207641,0.0252359,0.0300342,0.034993,0.0399091,0.0445522,0.0486783,0.0520473,0.0544476,0.0557241,0.0558043,0.0547107,0.0525504,0.0494931,0.0457442,0.0415231,0.0370461,0.032512,0.0280919,0.0239214,0.0200972,0.0166774,0.013686,0.0111193,0.0089537,0.00715287,0.00567407,0.00447283,0.00350621,0.00273472,0.00212337,0.00164198,0.00126502,0.000971296,0.000743455,0.000567423,0.000431912,0.000327939,0.000248403,0.000187729,0.000141561,-0,-0,-0,-0,-0,-0,-8.11348,-0,-0,-0,-6.74361,-0,-6.07368,-0,-0,-15.401,-9.69411,-9.15364,-12.9724,-28.6291,-19.3726,-33.1154,-21.0325,-20.1156,-12.8846,-40.4442,-24.1802,-17.7336,-37.8367,-37.5355,-28.859,-37.7741,-14.7299,-15.0296,-30.8469,-41.3596,-16.478,-6.85229,-10.7168,-33.5968,-15.6287,-16.3748,-17.1655,-13.4972,-4.71569,-9.88048,-5.17185,-5.40973,-5.65322,-0,-6.15475,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,1,4,3,2,4,5,8,10,8,14,12,19,8,10,4,8,17,8,13,10,5,8,0,2,1,3,0,0,0,1,3,1,2,0,1,0,0,0,0,0,0,0,0,0
-554.885,0.994448,0.175495,5,31,0,559.812,-0.889446,-2.69607,-1.32573,-0.414428,3.51835,-0.107779,-0.85373,4.47365,2.2949,7.97346e-05,0.00011097,0.00015444,0.000214927,0.000299057,0.000415986,0.000578279,0.000803019,0.00111308,0.00153841,0.002117,0.00289506,0.0039259,0.00526712,0.00697622,0.00910465,0.0116913,0.0147554,0.0182913,0.0222632,0.0266041,0.0311727,0.0357965,0.0402795,0.0444146,0.0479967,0.0508386,0.0527868,0.0537371,0.0536463,0.0525382,0.0504993,0.0476667,0.0442109,0.0403178,0.0361733,0.0319506,0.0278009,0.0238477,0.0201829,0.0168674,0.0139328,0.0113859,0.00921419,0.00739112,0.00588193,0.00464782,0.00364948,0.00284948,0.00221371,0.0017121,0.00131885,0.00101228,0.000774454,0.000590759,0.000449421,0.000341049,0.000258209,0.00019506,0.000147043,0.000110615,-0,-0,-0,-0,-0,-0,-7.45545,-0,-0,-0,-6.15775,-0,-5.54016,-0,-0,-14.0969,-8.89783,-8.43229,-12.004,-26.6337,-18.1335,-31.2139,-19.9794,-19.2715,-12.4567,-39.4761,-23.8328,-17.649,-38.0075,-38.0295,-29.4621,-38.8153,-15.2176,-15.5939,-32.1096,-43.1526,-17.2178,-7.16537,-11.2082,-35.1263,-16.3295,-17.094,-17.9015,-14.061,-4.90748,-10.2717,-5.37136,-5.61317,-5.86062,-0,-6.37004,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,2,2,1,4,5,8,6,7,11,9,9,8,12,12,13,15,10,7,7,10,6,12,4,3,4,1,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
