# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 02:04:19 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c2618be48b.json
# init = /tmp/RtmpC8O1hA/init-b41c228b6eb53_3.json
# random
#   seed = 1652006
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0155_rep016_mildly_wrong_moderate/prior_sensitivity_obspair_FAST-202605300304-3-33028d.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0155_rep016_mildly_wrong_moderate/prior_sensitivity_obspair_FAST-profile-202605300304-3-a1fa79.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.128257
# Diagonal elements of inverse mass matrix:
# 0.0757249, 0.0500988, 0.0373458, 0.0118237, 0.0631714, 0.0342703, 0.0406129
-554.589,0.994062,0.128257,5,31,0,558.23,-0.915175,-3.43988,-1.20405,-0.543518,4.43642,0.221514,-0.675055,4.97769,2.3952,0.000119676,0.000160104,0.000214235,0.000286741,0.000383903,0.000514161,0.000688832,0.000923002,0.00123654,0.00165506,0.00221043,0.00294055,0.00388802,0.00509785,0.00661426,0.00847673,0.0107152,0.0133449,0.0163614,0.0197361,0.023414,0.0273037,0.0312887,0.0352336,0.0389914,0.0424116,0.0453494,0.0476743,0.0492787,0.0500872,0.0500641,0.0492192,0.0476063,0.0453167,0.0424682,0.0391946,0.0356365,0.0319325,0.0282125,0.0245908,0.0211612,0.0179937,0.0151338,0.0126032,0.0104036,0.00852131,0.00693215,0.0056058,0.00450963,0.00361123,0.00288017,0.00228889,0.00181319,0.00143223,0.00112835,0.000886798,0.000695395,0.000544146,0.000424924,0.000331158,0.000257565,-0,-0,-0,-0,-0,-0,-7.28051,-0,-0,-0,-6.11457,-0,-5.54986,-0,-0,-14.3113,-9.07219,-8.63324,-12.3385,-27.4772,-18.7721,-32.4066,-20.787,-20.0745,-12.9777,-41.0843,-24.7469,-18.2602,-39.1334,-38.9219,-29.9445,-39.1491,-15.2239,-15.4704,-31.59,-42.1098,-16.6719,-6.88826,-10.704,-33.3484,-15.4223,-16.0709,-16.7633,-13.1214,-4.56561,-9.53037,-4.97159,-5.18395,-5.40154,-0,-5.84991,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,2,2,1,2,0,2,1,1,0,1,3,2,5,2,5,5,11,8,5,6,7,7,8,11,11,11,11,7,10,9,2,5,4,6,7,4,5,3,1,1,3,0,1,1,0,0,0,1,0,0,0,0,0,0
-554.887,0.999081,0.128257,5,31,0,556.196,-2.0635,-3.27552,-1.08394,-0.473981,3.40691,0.290585,-1.17945,4.92949,2.32503,6.02546e-05,8.22751e-05,0.000112352,0.000153441,0.000209586,0.000286326,0.000391249,0.000534756,0.00073108,0.000999641,0.00136671,0.00186725,0.00254654,0.00346081,0.00467634,0.00626628,0.00830478,0.0108581,0.0139733,0.0176651,0.0219045,0.0266018,0.0316108,0.0367338,0.0417337,0.0463501,0.0503194,0.0533994,0.0553971,0.0561958,0.0557703,0.0541844,0.0515747,0.0481315,0.0440776,0.0396476,0.0350678,0.0305383,0.02622,0.0222283,0.0186332,0.0154657,0.0127257,0.0103919,0.0084298,0.00679816,0.00545393,0.00435532,0.00346364,0.00274425,0.00216694,0.00170582,0.00133904,0.00104838,0.000818842,0.000638116,0.000496221,0.000385097,0.000298274,0.000230585,0.000177919,-0,-0,-0,-0,-0,-0,-7.84617,-0,-0,-0,-6.59535,-0,-5.97302,-0,-0,-15.2177,-9.58185,-9.04568,-12.8118,-28.2531,-19.1053,-32.641,-20.7255,-19.8243,-12.7058,-39.9299,-23.9149,-17.5797,-37.612,-37.4259,-28.8651,-37.8997,-14.8236,-15.1691,-31.218,-41.9604,-16.7524,-6.97755,-10.9237,-34.2575,-15.9312,-16.6765,-17.4565,-13.7002,-4.77598,-9.98221,-5.21142,-5.43636,-5.66544,-0,-6.13444,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3,2,1,0,5,2,3,9,6,10,6,10,15,12,18,9,11,10,7,11,13,5,4,3,7,3,3,1,4,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
-555.168,0.98086,0.128257,5,31,0,558.974,-0.94234,-2.45475,-1.6795,-0.312468,3.83969,-0.0183706,-1.17654,4.58684,2.25307,5.24098e-05,7.55679e-05,0.000108951,0.000157053,0.000226307,0.000325858,0.000468579,0.000672279,0.000960993,0.00136604,0.00192641,0.00268815,0.00370239,0.00502226,0.00669879,0.00877623,0.011287,0.0142466,0.0176497,0.0214667,0.025643,0.0300478,0.0345255,0.0389026,0.0429962,0.0466233,0.0496115,0.0518105,0.0531035,0.0534197,0.0527446,0.0511249,0.0486642,0.0455102,0.0418354,0.0378196,0.033636,0.0294416,0.0253713,0.0215338,0.0180098,0.0148513,0.012084,0.00970989,0.00771231,0.00606112,0.004718,0.00364104,0.00278844,0.00212098,0.00160356,0.00120588,0.000902521,0.000672614,0.000499373,0.000369488,0.000272541,0.000200463,0.000147063,0.000107625,7.85805e-05,-0,-0,-0,-0,-0,-0,-7.66581,-0,-0,-0,-6.2521,-0,-5.59878,-0,-0,-14.2071,-8.96822,-8.50248,-12.1111,-26.8888,-18.3174,-31.5447,-20.1963,-19.4802,-12.5866,-39.8535,-24.0283,-17.761,-38.1617,-38.0845,-29.4229,-38.6553,-15.1141,-15.4491,-31.7401,-42.5741,-16.9608,-7.05069,-11.0224,-34.5432,-16.0674,-16.8387,-17.6635,-13.9038,-4.86494,-10.2117,-5.35637,-5.61548,-5.88227,-0,-6.43553,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,2,5,4,6,7,9,6,7,12,8,11,9,5,8,7,13,3,11,9,9,9,6,5,1,4,3,4,3,4,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0
-555.625,0.966499,0.128257,4,15,0,560.722,-1.28008,-2.10785,-1.65197,-0.229689,3.53506,-0.303319,-0.932457,4.82246,2.32094,3.74637e-05,5.55842e-05,8.23705e-05,0.000121861,0.000179869,0.000264654,0.000387756,0.000564965,0.000817308,0.00117191,0.00166251,0.00232931,0.0032181,0.0043784,0.00586069,0.00771285,0.00997599,0.0126801,0.01584,0.0194514,0.023489,0.0278384,0.0323556,0.0368721,0.0412016,0.0451498,0.0485255,0.0511548,0.0528957,0.0536524,0.0533878,0.0521289,0.0499647,0.0470351,0.0435127,0.039584,0.035432,0.0312237,0.0271021,0.023182,0.019549,0.0162603,0.0133468,0.0108171,0.00866149,0.00685654,0.00536968,0.00416329,0.00319806,0.00243564,0.00184046,0.00138075,0.00102911,0.000762471,0.000561866,0.000412007,0.000300768,0.000218668,0.000158384,0.000114325,8.22577e-05,-0,-0,-0,-0,-0,-0,-7.85513,-0,-0,-0,-6.39943,-0,-5.73896,-0,-0,-14.5946,-9.21515,-8.73544,-12.4357,-27.5789,-18.7561,-32.2321,-20.5858,-19.8018,-12.7571,-40.271,-24.2053,-17.8374,-38.2126,-38.028,-29.3017,-38.4025,-14.9822,-15.2843,-31.347,-41.9813,-16.7007,-6.93316,-10.8244,-33.8794,-15.7393,-16.4761,-17.2659,-13.5799,-4.74887,-9.96511,-5.22699,-5.48145,-5.74521,-0,-6.29774,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,4,1,2,5,10,4,6,5,9,6,7,10,12,14,7,8,13,10,11,5,8,5,9,5,9,2,1,1,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
-556.117,0.998446,0.128257,5,31,0,556.567,-0.505343,-3.04794,-0.773148,-0.773562,3.99867,0.700026,-0.770108,4.7676,2.50888,0.000212815,0.000268471,0.000338828,0.000427855,0.000540647,0.000683773,0.000865755,0.00109773,0.00139438,0.00177523,0.00226644,0.00290292,0.00373013,0.00480414,0.00618928,0.00795359,0.0101624,0.0128692,0.0161048,0.0198638,0.0240938,0.0286794,0.0334521,0.0382008,0.0426886,0.0466715,0.0499187,0.0522333,0.0534754,0.0535838,0.0525853,0.050585,0.0477451,0.0442629,0.0403512,0.0362206,0.032063,0.0280384,0.0242653,0.0208185,0.017734,0.0150179,0.0126559,0.0106219,0.00888391,0.00740816,0.00616149,0.00511285,0.00423397,0.00349967,0.00288782,0.00237917,0.00195719,0.00160772,0.00131871,0.00108002,0.000883094,0.000720775,0.000587103,0.00047712,0.000386723,-0,-0,-0,-0,-0,-0,-7.05191,-0,-0,-0,-6.08955,-0,-5.59131,-0,-0,-14.5024,-9.17813,-8.70584,-12.3859,-27.432,-18.629,-31.9642,-20.3858,-19.5894,-12.6153,-39.8401,-23.9789,-17.7122,-38.0709,-38.0446,-29.4532,-38.7933,-15.2094,-15.588,-32.1013,-43.1357,-17.2003,-7.14836,-11.1561,-34.8472,-16.1291,-16.7941,-17.4785,-13.6345,-4.72351,-9.81035,-5.08944,-5.276,-5.46461,-0,-5.84725,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,1,0,0,0,1,2,0,1,0,0,2,1,0,1,2,3,4,4,5,1,5,6,15,7,6,10,11,6,9,4,13,9,6,6,8,10,4,3,7,2,5,5,1,3,3,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0
-556.159,0.999973,0.128257,5,31,0,558.175,-0.463575,-3.04897,-0.769511,-0.761586,4.0391,0.722934,-0.841339,4.75982,2.48831,0.000201564,0.000254985,0.000322704,0.000408635,0.00051781,0.000656742,0.000833903,0.0010604,0.00135093,0.0017251,0.0022093,0.00283883,0.00365969,0.00472852,0.00611013,0.00787297,0.0100828,0.0127939,0.0160378,0.0198103,0.0240594,0.0286704,0.0334746,0.0382603,0.0427896,0.0468166,0.050108,0.052464,0.0537403,0.0538713,0.0528809,0.0508733,0.0480116,0.0444951,0.0405394,0.036358,0.0321467,0.0280693,0.0242481,0.020761,0.0176452,0.0149069,0.012531,0.01049,0.00875067,0.00727767,0.00603672,0.00499577,0.00412577,0.00340093,0.00279864,0.00229937,0.00188634,0.00154524,0.00126396,0.00103231,0.000841737,0.000685106,0.000556486,0.000450965,0.000364486,-0,-0,-0,-0,-0,-0,-7.08939,-0,-0,-0,-6.11508,-0,-5.61038,-0,-0,-14.533,-9.19385,-8.71757,-12.3984,-27.4509,-18.6362,-31.967,-20.3818,-19.58,-12.6058,-39.7997,-23.9486,-17.6858,-38.0067,-37.975,-29.3971,-38.7194,-15.1816,-15.5619,-32.0548,-43.0864,-17.1872,-7.14616,-11.1582,-34.8721,-16.1492,-16.8237,-17.5182,-13.672,-4.73863,-9.84589,-5.10989,-5.29916,-5.4905,-0,-5.87862,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,3,2,6,6,4,5,6,6,5,5,15,12,12,8,11,12,12,9,8,11,5,5,4,0,7,3,2,3,2,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1
