# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 02:09:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c23dadc63e.json
# init = /tmp/RtmpC8O1hA/init-b41c24704ebe1_4.json
# random
#   seed = 1652007
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0156_rep016_mildly_wrong_strong/prior_sensitivity_obspair_FAST-202605300309-4-a33413.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0156_rep016_mildly_wrong_strong/prior_sensitivity_obspair_FAST-profile-202605300309-4-52efed.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.166299
# Diagonal elements of inverse mass matrix:
# 0.0498934, 0.052796, 0.00577045, 0.00356252, 0.00931769, 0.00900135, 0.00792019
-557.662,1,0.166299,4,15,0,561.84,-1.88108,-3.42701,-1.26955,-0.612888,3.9274,0.150302,-0.896275,5.49058,2.62781,0.00012806,0.00016798,0.000220373,0.00028915,0.000379462,0.000498082,0.00065391,0.000858608,0.00112737,0.00147973,0.00194039,0.00253963,0.00331322,0.00430145,0.0055472,0.00709298,0.00897688,0.0112276,0.0138591,0.0168653,0.0202159,0.0238474,0.0276683,0.0315623,0.0353936,0.0390144,0.0422728,0.0450228,0.0471353,0.0485101,0.0490869,0.0488516,0.0478354,0.0461087,0.0437715,0.0409448,0.037761,0.0343551,0.0308566,0.0273818,0.024028,0.0208702,0.01796,0.0153274,0.012984,0.0109264,0.00914117,0.00760786,0.00630242,0.00519934,0.00427335,0.00350046,0.00285858,0.00232787,0.0018908,0.0015321,0.00123866,0.000999292,0.000804532,0.000646444,0.000518404,-0,-0,-0,-0,-0,-0,-7.33254,-0,-0,-0,-6.24487,-0,-5.70983,-0,-0,-14.846,-9.42621,-8.97876,-12.8364,-28.5775,-19.5064,-33.6247,-21.5248,-20.7348,-13.3649,-42.1697,-25.3089,-18.6035,-39.7115,-39.3378,-30.1416,-39.2466,-15.1999,-15.3838,-31.2877,-41.5419,-16.3824,-6.74201,-10.4352,-32.3809,-14.9141,-15.4777,-16.0784,-12.5343,-4.34404,-9.03314,-4.69497,-4.87857,-5.06682,-0,-5.45536,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,3,1,6,2,9,11,3,7,14,6,10,6,12,4,12,12,12,7,4,9,10,10,3,2,2,1,2,1,1,2,2,1,2,0,2,0,1,0,0,0,0,1,0,0
-556.89,0.999647,0.166299,4,31,0,559.418,-0.448455,-3.23065,-0.991664,-0.433995,4.04795,0.220041,-0.796384,4.37597,2.16985,7.50913e-05,0.000103877,0.000143723,0.000198904,0.000275354,0.000381327,0.000528293,0.000732151,0.00101479,0.00140587,0.00194457,0.00268036,0.00367223,0.00498557,0.00668713,0.00883821,0.0114866,0.0146579,0.0183464,0.0225082,0.027057,0.0318478,0.0366975,0.0413963,0.0457216,0.0494544,0.0523959,0.0543834,0.0553052,0.055114,0.0538338,0.0515574,0.0484339,0.0446499,0.0404112,0.0359258,0.0313897,0.0269746,0.0228194,0.0190241,0.0156494,0.0127195,0.0102287,0.00814921,0.00644009,0.00505381,0.0039419,0.00305845,0.0023621,0.00181695,0.00139265,0.00106404,0.000810664,0.000616031,0.000467021,0.000353279,0.000266686,0.000200917,0.000151071,0.000113366,8.48968e-05,-0,-0,-0,-0,-0,-0,-7.54586,-0,-0,-0,-6.24271,-0,-5.60696,-0,-0,-14.186,-8.93314,-8.44555,-11.995,-26.5571,-18.049,-31.0211,-19.8303,-19.1074,-12.3407,-39.0872,-23.5914,-17.4702,-37.6336,-37.6786,-29.2185,-38.5458,-15.1378,-15.5445,-32.0865,-43.2419,-17.3064,-7.22572,-11.3404,-35.6585,-16.6293,-17.4585,-18.3302,-14.4295,-5.04521,-10.5752,-5.53609,-5.78985,-6.0482,-0,-6.57655,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,3,3,3,4,6,7,7,8,1,6,11,8,8,13,8,11,12,12,9,10,11,10,2,5,1,1,2,7,0,1,0,2,0,1,0,1,0,1,1,0,0,0,0,0,0,0
-557.286,0.986862,0.166299,3,15,0,562.702,-0.654412,-4.32589,-1.09748,-0.535385,3.80885,0.266355,-0.916868,4.40505,2.26484,0.000133042,0.000178317,0.000239011,0.000320382,0.000429485,0.000575775,0.000771913,0.00103479,0.00138679,0.00185716,0.00248327,0.00331098,0.00439356,0.00578865,0.00755333,0.00973783,0.0123783,0.0154889,0.0190546,0.0230253,0.0273136,0.031783,0.0362657,0.0405722,0.0445044,0.04787,0.0504964,0.0522448,0.0530234,0.0527982,0.0515976,0.049508,0.0466617,0.0432221,0.0393683,0.0352816,0.0311332,0.0270737,0.0232253,0.0196771,0.0164845,0.0136724,0.0112405,0.0091701,0.0074309,0.00598632,0.00479787,0.00382808,0.00304218,0.0024091,0.00190175,0.00149699,0.00117535,0.000920638,0.000719555,0.000561242,0.000436909,0.000339478,0.000263282,0.000203802,0.000157452,-0,-0,-0,-0,-0,-0,-7.16664,-0,-0,-0,-5.99818,-0,-5.42762,-0,-0,-13.8952,-8.78363,-8.33527,-11.8813,-26.3981,-18.0019,-31.0394,-19.9013,-19.228,-12.4487,-39.5105,-23.8868,-17.7109,-38.1813,-38.2366,-29.6428,-39.0731,-15.3242,-15.707,-32.3479,-43.4771,-17.3474,-7.21838,-11.2875,-35.3547,-16.4213,-17.1695,-17.9529,-14.0754,-4.90211,-10.2366,-5.33958,-5.56539,-5.79518,-0,-6.26498,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,1,0,0,0,1,1,0,1,2,3,3,4,3,3,7,3,7,10,4,11,9,12,10,10,10,11,10,6,8,7,7,7,6,5,0,3,3,2,2,1,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1
-554.601,0.998864,0.166299,5,31,0,558.929,-1.65851,-2.88865,-1.11891,-0.458567,3.81926,0.348087,-0.845019,4.87874,2.24713,5.4889e-05,7.53314e-05,0.000103406,0.000141976,0.000194997,0.000267931,0.000368346,0.000506735,0.000697653,0.000961221,0.00132495,0.00182566,0.00251081,0.00343872,0.00467704,0.00629913,0.0083779,0.010977,0.0141396,0.017876,0.0221528,0.0268754,0.0318948,0.0370142,0.0420015,0.0466048,0.0505705,0.0536639,0.0556924,0.0565313,0.0561439,0.0545844,0.0519834,0.048526,0.0444302,0.0399281,0.0352478,0.0305971,0.0261491,0.0220334,0.0183324,0.0150846,0.0122932,0.00993533,0.00797231,0.00635761,0.00504272,0.00398098,0.00312977,0.00245152,0.00191393,0.0014898,0.00115654,0.000895611,0.000691979,0.000533518,0.000410528,0.000315294,0.00024171,0.000184968,0.000141293,-0,-0,-0,-0,-0,-0,-7.90649,-0,-0,-0,-6.62638,-0,-5.98715,-0,-0,-15.202,-9.56432,-9.0239,-12.7763,-28.1701,-19.0489,-32.5489,-20.6719,-19.7787,-12.6802,-39.8587,-23.8751,-17.5501,-37.5429,-37.3485,-28.7984,-37.8041,-14.7842,-15.1283,-31.1384,-41.8688,-16.7268,-6.9737,-10.9318,-34.3367,-15.9964,-16.7763,-17.5948,-13.835,-4.83178,-10.1162,-5.28981,-5.52623,-5.7668,-0,-6.25859,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2,1,0,0,3,5,3,5,5,10,8,8,8,8,12,11,12,13,12,16,7,9,9,8,6,3,2,1,2,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0
-554.408,0.989859,0.166299,5,31,0,556.614,-1.6008,-3.00518,-1.09777,-0.509602,4.0375,0.199024,-0.729973,5.10941,2.36108,7.48128e-05,0.00010109,0.000136625,0.000184704,0.00024979,0.00033796,0.00045749,0.000619645,0.00083971,0.00113824,0.00154242,0.00208723,0.00281594,0.0037796,0.00503507,0.00664148,0.00865481,0.0111208,0.0140666,0.0174925,0.0213648,0.0256029,0.0300856,0.0346556,0.0391282,0.0433026,0.0469752,0.0499548,0.0520793,0.0532323,0.0533583,0.0524692,0.0506395,0.0479937,0.0446912,0.0409115,0.0368402,0.0326563,0.0285204,0.0245656,0.020892,0.017565,0.0146174,0.012055,0.00986354,0.00801489,0.00647359,0.00520121,0.00415961,0.00331303,0.00262919,0.00207973,0.00164029,0.00129026,0.00101246,0.000792685,0.00061931,0.000482893,0.000375804,0.000291918,0.000226335,-0,-0,-0,-0,-0,-0,-7.68976,-0,-0,-0,-6.4744,-0,-5.87246,-0,-0,-15.0433,-9.49928,-8.99788,-12.7918,-28.3219,-19.2301,-32.9855,-21.0223,-20.1738,-12.9636,-40.8141,-24.4651,-17.9798,-38.4148,-38.1302,-29.3072,-38.3179,-14.9151,-15.1834,-31.0798,-41.5525,-16.5058,-6.84343,-10.6714,-33.3577,-15.4735,-16.1674,-16.9022,-13.2548,-4.61891,-9.65291,-5.04002,-5.25886,-5.48233,-0,-5.94108,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,2,1,1,2,2,4,3,1,4,7,11,6,5,8,15,12,14,12,13,9,13,8,5,5,4,3,4,3,3,2,2,2,2,1,0,0,0,2,1,2,0,0,0,1,0,1,0
-555.33,0.997902,0.166299,5,31,0,556.66,-1.25469,-2.64981,-1.10947,-0.653135,3.61556,0.451989,-0.738747,4.76701,2.46317,0.000135837,0.000176388,0.000229114,0.00029772,0.000387067,0.000503565,0.00065569,0.000854715,0.00111571,0.00145887,0.00191135,0.00250921,0.00329916,0.00433901,0.00569583,0.00744163,0.0096464,0.0123687,0.0156442,0.0194734,0.0238118,0.0285425,0.0334941,0.0384498,0.0431621,0.0473716,0.0508276,0.053313,0.0546724,0.0548376,0.0538372,0.0517832,0.048847,0.0452358,0.0411726,0.0368771,0.0325492,0.0283552,0.0244192,0.0208221,0.0176053,0.0147789,0.0123308,0.0102348,0.0084572,0.00696125,0.00571047,0.0046704,0.00380955,0.00309991,0.00251696,0.00203957,0.00164969,0.00133205,0.00107382,0.000864293,0.000694576,0.000557318,0.000446468,0.000357061,0.000285037,-0,-0,-0,-0,-0,-0,-7.32982,-0,-0,-0,-6.25994,-0,-5.71409,-0,-0,-14.702,-9.28234,-8.78517,-12.473,-27.5709,-18.6879,-32.0073,-20.3783,-19.5504,-12.5712,-39.6465,-23.8345,-17.5894,-37.7832,-37.7439,-29.2179,-38.489,-15.0953,-15.4793,-31.8998,-42.9021,-17.125,-7.12589,-11.1372,-34.8457,-16.1582,-16.8582,-17.5826,-13.7459,-4.77274,-9.93479,-5.16545,-5.36651,-5.57024,-0,-5.9847,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,2,1,4,1,3,4,5,3,9,10,15,15,16,7,14,9,5,8,14,8,5,8,7,5,2,5,1,2,3,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
