# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 02:12:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c2258b07f5.json
# init = /tmp/RtmpC8O1hA/init-b41c237a78435_2.json
# random
#   seed = 1652008
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0157_rep016_badly_wrong_weak/prior_sensitivity_obspair_FAST-202605300312-2-5a7853.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0157_rep016_badly_wrong_weak/prior_sensitivity_obspair_FAST-profile-202605300312-2-4c4a1a.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0543045
# Diagonal elements of inverse mass matrix:
# 0.134377, 0.0485731, 0.226067, 0.0579942, 0.171631, 0.194502, 0.334094
-554.496,0.999846,0.0543045,5,63,0,556.691,-0.612296,-2.55007,-1.30447,-0.402408,4.83217,0.217416,0.14977,5.04606,2.39011,5.81935e-05,8.14111e-05,0.000113946,0.00015958,0.000223654,0.000313704,0.000440333,0.000618289,0.000867666,0.00121492,0.00169335,0.00234264,0.00320761,0.00433598,0.00577548,0.00757028,0.00975707,0.0123611,0.0153925,0.0188444,0.0226942,0.0267684,0.0309353,0.0350603,0.0390037,0.0426237,0.0457807,0.0483426,0.0501902,0.0512255,0.0513841,0.0506505,0.0490698,0.0467444,0.0438157,0.0404394,0.0367686,0.0329442,0.0290926,0.0253237,0.0217305,0.0183874,0.0153485,0.0126473,0.0102966,0.00829084,0.00661002,0.00522392,0.00409683,0.00319143,0.00247163,0.00190444,0.00146086,0.0011162,0.000849863,0.000645044,0.000488189,0.000368504,0.000277475,0.000208438,0.000156212,-0,-0,-0,-0,-0,-0,-7.72798,-0,-0,-0,-6.38105,-0,-5.74223,-0,-0,-14.6506,-9.25953,-8.78641,-12.5216,-27.8008,-18.9282,-32.5848,-20.8551,-20.1041,-12.9764,-41.0195,-24.6711,-18.1767,-38.8952,-38.6297,-29.6843,-38.7765,-15.0726,-15.3153,-31.2776,-41.7033,-16.5156,-6.82588,-10.6118,-33.0841,-15.3161,-15.9844,-16.7069,-13.1109,-4.57594,-9.58521,-5.01917,-5.25451,-5.49754,-0,-6.00288,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,2,0,0,0,5,3,6,4,8,11,10,9,9,8,10,10,8,12,12,7,8,12,3,6,7,4,5,3,2,2,4,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
-553.651,0.999735,0.0543045,5,63,0,556.672,-1.3744,-2.1928,-1.66899,-0.424005,4.00142,0.274962,-0.426337,4.89677,2.35431,5.28356e-05,7.33614e-05,0.000101898,0.000141605,0.000196908,0.00027403,0.000381722,0.000532283,0.000742871,0.00103704,0.00144614,0.0020101,0.00277717,0.00380239,0.00514505,0.00686504,0.00901812,0.0116501,0.0147907,0.0184473,0.0226002,0.027128,0.0318771,0.0366668,0.0412967,0.045556,0.0492336,0.0521299,0.0540719,0.0549339,0.0546613,0.0532884,0.0509339,0.0477759,0.0440192,0.0398706,0.0355243,0.0311543,0.0269087,0.0229065,0.019235,0.0159491,0.0130736,0.010607,0.00852812,0.00680254,0.00538879,0.00424328,0.00332381,0.00259164,0.00201257,0.00155726,0.00120107,0.000923649,0.000708423,0.000542023,0.000413769,0.000315189,0.000239607,0.000181789,0.000137651,-0,-0,-0,-0,-0,-0,-7.87082,-0,-0,-0,-6.53886,-0,-5.88632,-0,-0,-14.9439,-9.41704,-8.90488,-12.6413,-27.9499,-18.949,-32.4647,-20.6752,-19.8353,-12.7479,-40.1546,-24.0894,-17.7241,-37.9267,-37.7211,-29.066,-38.1165,-14.8861,-15.2062,-31.2313,-41.8875,-16.6877,-6.9376,-10.8459,-33.987,-15.8041,-16.5534,-17.3486,-13.6387,-4.76439,-9.98092,-5.22343,-5.46242,-5.70664,-0,-6.20834,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,3,0,1,2,6,4,3,7,7,10,8,11,13,13,17,12,6,10,10,10,7,9,7,4,2,4,1,5,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0
-554.324,0.998651,0.0543045,6,63,0,555.231,-0.329296,-2.92497,-1.20708,-0.438657,4.71236,0.530577,-0.219671,4.73354,2.26243,6.72354e-05,9.29232e-05,0.00012848,0.000177746,0.000246098,0.000341093,0.000473399,0.00065809,0.000916331,0.00127714,0.00177839,0.00246606,0.00339189,0.00461018,0.0061744,0.00813319,0.0105256,0.013375,0.0166826,0.0204203,0.024527,0.0288741,0.0333136,0.0376807,0.0418023,0.0455065,0.0486305,0.0510285,0.0525792,0.0531955,0.0528373,0.0515246,0.0493416,0.0464224,0.0429286,0.0390308,0.0348973,0.0306872,0.0265446,0.0225943,0.0189361,0.0156415,0.0127505,0.0102731,0.00819374,0.0064793,0.00508645,0.00396852,0.00308011,0.00237984,0.00183161,0.00140484,0.00107424,0.000819189,0.000623143,0.000472928,0.000358152,0.000270675,0.000204154,0.00015367,0.00011543,-0,-0,-0,-0,-0,-0,-7.65557,-0,-0,-0,-6.33205,-0,-5.68637,-0,-0,-14.4354,-9.10789,-8.62873,-12.2802,-27.2386,-18.5399,-31.9033,-20.4107,-19.6716,-12.6992,-40.1687,-24.188,-17.8522,-38.2907,-38.1392,-29.4054,-38.554,-15.0449,-15.3499,-31.4822,-42.1643,-16.7767,-6.96782,-10.8868,-34.1105,-15.8667,-16.6313,-17.4487,-13.7347,-4.80439,-10.0783,-5.28117,-5.52936,-5.78279,-0,-6.30256,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,1,1,6,3,9,5,5,11,5,8,9,12,10,10,6,10,11,13,7,6,6,5,5,5,4,6,2,4,2,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0
-559.211,0.992873,0.0543045,6,63,0,562.53,-2.6124,-3.42977,-0.464651,-0.520158,1.76736,-0.106374,-1.30077,4.41318,2.49673,9.21471e-05,0.000124043,0.00016698,0.000224779,0.00030258,0.000407297,0.00054822,0.000737816,0.000992776,0.00133537,0.00179511,0.0024108,0.0032326,0.004324,0.00576248,0.0076378,0.010046,0.0130779,0.0168015,0.0212416,0.0263598,0.0319968,0.0378855,0.0436645,0.0489183,0.0532425,0.0563118,0.0579314,0.0580557,0.0567763,0.0542899,0.0508575,0.0467643,0.0422862,0.0376671,0.0331053,0.0287501,0.0247032,0.0210254,0.0177443,0.0148624,0.0123644,0.0102238,0.00840747,0.00687952,0.00560388,0.00454603,0.003674,0.00295899,0.00237555,0.00190155,0.00151797,0.00120869,0.000960131,0.000760983,0.000601864,0.000475051,0.000374219,0.000294218,0.000230868,0.000180796,-0,-0,-0,-0,-0,-0,-7.50883,-0,-0,-0,-6.32269,-0,-5.73447,-0,-0,-14.6239,-9.20116,-8.67367,-12.2589,-26.9625,-18.1796,-30.9791,-19.6391,-18.7873,-12.0704,-38.1277,-23.0148,-17.091,-37.0026,-37.2923,-29.1342,-38.7234,-15.3132,-15.8165,-32.7897,-44.3048,-17.7456,-7.40165,-11.5861,-36.2852,-16.8357,-17.5717,-18.3321,-14.3359,-4.97921,-10.3686,-5.3935,-5.60647,-5.82291,-0,-6.26509,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,1,4,6,2,5,7,7,7,6,5,11,11,13,13,17,10,10,8,7,8,12,5,2,2,1,3,3,4,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-557.182,0.998691,0.0543045,6,63,0,561.701,-1.58195,-1.82721,-0.333204,-0.490128,2.24425,-0.588708,0.229946,4.71666,2.59104,8.5959e-05,0.000116621,0.000158164,0.000214404,0.000290467,0.000393207,0.000531756,0.000718209,0.000968466,0.00130325,0.00174926,0.0023404,0.00311894,0.00413643,0.00545395,0.00714124,0.00927434,0.0119318,0.0151903,0.0191217,0.0237964,0.0290307,0.0345666,0.0400805,0.0452137,0.0496174,0.0529999,0.0551642,0.0560258,0.0556101,0.054035,0.0514837,0.0481753,0.0443392,0.040194,0.0359334,0.0317181,0.0276731,0.0238878,0.02042,0.0173003,0.0145379,0.0121255,0.0100443,0.00826827,0.00676724,0.00550955,0.00446392,0.00360066,0.00289246,0.00231477,0.001846,0.0014674,0.00116295,0.000919071,0.000724425,0.00056958,0.000446766,0.000349625,0.000272982,0.000212651,-0,-0,-0,-0,-0,-0,-7.53933,-0,-0,-0,-6.34856,-0,-5.77026,-0,-0,-14.8256,-9.36101,-8.85709,-12.5613,-27.6985,-18.6911,-31.8546,-20.1892,-19.3012,-12.3854,-39.0444,-23.4997,-17.3846,-37.4653,-37.5621,-29.1812,-38.5644,-15.1645,-15.5794,-32.1404,-43.2392,-17.2543,-7.17459,-11.2032,-35.0212,-16.2281,-16.924,-17.6498,-13.8022,-4.79533,-9.99132,-5.20127,-5.41173,-5.62664,-0,-6.06844,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,3,2,6,6,7,3,11,9,13,6,12,17,13,10,9,6,8,8,8,9,5,6,2,1,4,3,2,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
-556.083,0.999981,0.0543045,6,63,0,559.103,-1.13715,-2.19541,-0.905566,-0.768695,2.96215,-0.045522,0.238785,4.84708,2.87292,0.000210738,0.000266103,0.000336137,0.000424798,0.000537149,0.000679689,0.000860784,0.00109124,0.00138507,0.00176046,0.00224101,0.00285729,0.00364852,0.00466424,0.00596539,0.00762391,0.0097197,0.0123347,0.0155462,0.0194269,0.0240628,0.0291215,0.0343401,0.0394292,0.0440836,0.0480085,0.0509549,0.052756,0.0533521,0.0527899,0.0512014,0.048772,0.0457092,0.0422195,0.0384922,0.0346893,0.0309418,0.0273488,0.0239794,0.0208769,0.018063,0.015543,0.0133103,0.0113499,0.00964176,0.00816321,0.00689063,0.00580071,0.00487123,0.00408157,0.00341291,0.0028484,0.00237305,0.00197371,0.00163893,0.00135878,0.0011247,0.000929387,0.000766593,0.000631023,0.000518186,-0,-0,-0,-0,-0,-0,-7.05767,-0,-0,-0,-6.10083,-0,-5.61343,-0,-0,-14.6294,-9.2672,-8.79069,-12.4918,-27.5877,-18.6354,-31.8265,-20.2287,-19.3995,-12.4867,-39.4729,-23.8145,-17.6525,-38.1009,-38.2387,-29.7199,-39.2678,-15.4273,-15.8244,-32.573,-43.6972,-17.3782,-7.19817,-11.1917,-34.822,-16.0556,-16.6566,-17.2769,-13.4356,-4.64165,-9.61624,-4.97759,-5.14977,-5.32441,-0,-5.68019,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,1,0,1,0,1,1,0,2,1,1,3,2,7,5,4,7,3,7,10,7,9,11,10,11,7,10,6,20,9,6,6,6,4,2,1,5,4,2,1,2,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0
