# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 02:24:46 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c21d74b420.json
# init = /tmp/RtmpC8O1hA/init-b41c2677cf7cf_1.json
# random
#   seed = 1652009
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0158_rep016_badly_wrong_moderate/prior_sensitivity_obspair_FAST-202605300324-1-57b7df.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0158_rep016_badly_wrong_moderate/prior_sensitivity_obspair_FAST-profile-202605300324-1-0b4aa8.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0954671
# Diagonal elements of inverse mass matrix:
# 0.0789547, 0.0622922, 0.0219587, 0.00844572, 0.0290075, 0.0278225, 0.0578705
-555.258,0.99775,0.0954671,5,63,0,561.222,-0.887675,-2.29804,-1.12924,-0.750812,3.71868,0.714395,-0.463147,4.71837,2.56691,0.000171561,0.000217644,0.000276248,0.000350866,0.000446018,0.000567592,0.000723317,0.000923431,0.00118166,0.00151662,0.00195394,0.00252895,0.0032896,0.00429765,0.00562683,0.00735784,0.009571,0.0123363,0.015701,0.0196755,0.0242214,0.029191,0.0343803,0.0395408,0.0443973,0.0486681,0.0520843,0.0544154,0.0555029,0.0553004,0.0538837,0.0514186,0.0481203,0.044225,0.0399708,0.0355816,0.0312514,0.0271323,0.0233287,0.0198984,0.0168616,0.0142116,0.0119248,0.00996844,0.00830645,0.00690246,0.00572193,0.00473315,0.00390774,0.00322068,0.00265021,0.00217759,0.00178678,0.00146417,0.00119823,0.000979278,0.000799203,0.000651234,0.000529741,0.000430059,0.000348332,-0,-0,-0,-0,-0,-0,-7.23166,-0,-0,-0,-6.23791,-0,-5.71699,-0,-0,-14.736,-9.29803,-8.79041,-12.4621,-27.4987,-18.6026,-31.805,-20.2216,-19.3825,-12.4583,-39.2955,-23.6391,-17.4667,-37.5872,-37.6347,-29.2093,-38.5808,-15.1703,-15.5923,-32.196,-43.367,-17.3285,-7.21406,-11.2742,-35.2541,-16.3309,-17.0148,-17.7165,-13.825,-4.79072,-9.95175,-5.16345,-5.35316,-5.5448,-0,-5.93312,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,3,3,0,2,4,13,5,11,7,8,6,8,11,16,10,7,8,9,9,8,9,6,7,4,5,2,5,2,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-555.857,0.98709,0.0954671,3,15,0,558.221,-0.677005,-2.21772,-1.07795,-0.718714,3.75342,0.712599,-0.459926,4.57088,2.47776,0.000147548,0.000188644,0.000241324,0.000308938,0.000395869,0.000507877,0.000652603,0.000840287,0.00108483,0.0014054,0.00182877,0.00239254,0.00314856,0.00416442,0.00552129,0.00730811,0.00961314,0.0125128,0.0160579,0.0202587,0.0250712,0.0303245,0.0357895,0.0411919,0.046232,0.0506067,0.0540309,0.0562647,0.0571502,0.0566535,0.0548756,0.0520139,0.0483151,0.0440429,0.0394567,0.0347945,0.0302578,0.0259993,0.022118,0.0186632,0.0156442,0.0130432,0.0108268,0.00895404,0.00738226,0.00607017,0.00497969,0.00407675,0.00333142,0.00271785,0.00221394,0.00180094,0.00146304,0.00118703,0.000961861,0.000778376,0.000628996,0.000507474,0.000408681,0.000328414,0.00026324,-0,-0,-0,-0,-0,-0,-7.33454,-0,-0,-0,-6.30411,-0,-5.76081,-0,-0,-14.7563,-9.28925,-8.76201,-12.3947,-27.2942,-18.4302,-31.4622,-19.9806,-19.1371,-12.2963,-38.7877,-23.3456,-17.2661,-37.2069,-37.3204,-29.0269,-38.4312,-15.1501,-15.613,-32.3255,-43.6578,-17.49,-7.29937,-11.4341,-35.8308,-16.6306,-17.358,-18.1029,-14.147,-4.90868,-10.2087,-5.30239,-5.50246,-5.70436,-0,-6.11298,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,5,3,5,5,13,9,12,10,9,11,6,13,11,8,13,7,7,9,4,5,4,6,8,1,1,2,4,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
-556.054,0.999606,0.0954671,4,31,0,557.181,-0.878531,-2.46317,-0.908478,-0.92244,4.16572,0.771762,-0.86312,5.26846,2.80978,0.000240918,0.000295048,0.000361656,0.000443783,0.000545291,0.000671132,0.000827728,0.00102351,0.00126971,0.00158156,0.00197998,0.00249382,0.00316199,0.00403427,0.00517022,0.00663624,0.00850056,0.0108257,0.0136585,0.0170172,0.0208801,0.0251626,0.0297268,0.034389,0.0389331,0.0431271,0.0467404,0.049562,0.0514215,0.0522159,0.0519295,0.0506306,0.0484491,0.0455543,0.0421376,0.0383968,0.0345205,0.0306745,0.0269898,0.0235571,0.0204284,0.0176238,0.0151414,0.0129648,0.0110702,0.00943051,0.00801766,0.00680472,0.00576649,0.00488002,0.00412469,0.00348221,0.0029365,0.00247349,0.00208098,0.00174843,0.00146679,0.00122833,0.00102649,0.000855693,0.000711245,-0,-0,-0,-0,-0,-0,-7.09683,-0,-0,-0,-6.22467,-0,-5.75655,-0,-0,-15.0456,-9.53525,-9.05166,-12.8802,-28.5147,-19.3448,-33.1416,-21.0942,-20.2201,-12.9836,-40.8668,-24.5052,-18.0272,-38.5801,-38.3808,-29.5787,-38.7816,-15.1362,-15.4443,-31.6681,-42.3772,-16.831,-6.96865,-10.8369,-33.7349,-15.5633,-16.154,-16.7613,-13.0366,-4.50349,-9.32761,-4.82611,-4.99014,-5.15569,-0,-5.49076,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,2,2,1,6,4,7,4,3,5,8,5,8,12,15,10,3,14,6,8,7,8,7,9,9,3,2,1,8,4,5,1,1,0,1,1,1,2,0,0,0,0,1,0,1,0
-558.028,0.982408,0.0954671,5,63,0,562.014,0.662168,-2.42392,-1.28347,-0.477967,4.89247,0.748792,-0.820943,4.57469,2.36268,8.15968e-05,0.000111506,0.000152505,0.000208816,0.000286369,0.000393563,0.000542436,0.000750402,0.0010426,0.0014541,0.00202963,0.00281946,0.0038742,0.00524164,0.00696506,0.00908143,0.0116186,0.0145908,0.0179934,0.0217954,0.0259358,0.0302547,0.0345985,0.0388075,0.0427202,0.0461802,0.0490415,0.051174,0.052469,0.0528464,0.0522668,0.05075,0.0483868,0.0453245,0.0417342,0.0377887,0.0336524,0.0294767,0.0253971,0.0215297,0.0179683,0.0147794,0.0119994,0.00963421,0.00766366,0.00605003,0.00474665,0.00370513,0.00287986,0.00223033,0.00172192,0.00132575,0.00101823,0.000780282,0.000596694,0.000455395,0.00034688,0.000263706,0.000200065,0.000151449,0.000114368,-0,-0,-0,-0,-0,-0,-7.51944,-0,-0,-0,-6.1999,-0,-5.55342,-0,-0,-14.1046,-8.9103,-8.45472,-12.0533,-26.7824,-18.2607,-31.4829,-20.1837,-19.4949,-12.6123,-39.9776,-24.1207,-17.8351,-38.3179,-38.2248,-29.5139,-38.751,-15.1426,-15.4695,-31.7643,-42.5847,-16.9584,-7.04831,-11.0194,-34.5449,-16.0766,-16.8581,-17.6916,-13.9273,-4.87127,-10.2154,-5.35032,-5.59804,-5.85001,-0,-6.36432,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,1,1,3,3,2,2,3,5,13,15,8,8,7,13,4,9,10,14,4,10,6,12,5,9,7,5,4,1,0,1,2,2,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0
-563.288,0.99198,0.0954671,5,31,0,566.435,-0.314833,-1.51192,-1.25962,-1.16498,4.40361,1.42701,-0.567694,5.66049,3.35609,0.000215099,0.000254511,0.000301815,0.000358871,0.000428092,0.000512669,0.000616906,0.000746742,0.000910613,0.00112091,0.00139654,0.00176689,0.00227465,0.00297457,0.0039314,0.00521776,0.00691121,0.0090901,0.0118277,0.0151839,0.0191944,0.0236765,0.0284415,0.0332905,0.0380174,0.0424093,0.0462485,0.0493135,0.0513841,0.0522663,0.0519011,0.0504445,0.048129,0.0451831,0.0418164,0.0382152,0.0345407,0.0309281,0.0274839,0.0242819,0.0213612,0.0187327,0.0163886,0.0143117,0.0124798,0.0108696,0.00945798,0.00822286,0.00714388,0.00620241,0.00538163,0.00466642,0.00404318,0.00349975,0.00302535,0.00261053,0.00224701,0.00192765,0.00164625,0.00139755,0.00117706,-0,-0,-0,-0,-0,-0,-7.39079,-0,-0,-0,-6.57376,-0,-6.08593,-0,-0,-15.7671,-9.94922,-9.40114,-13.3119,-29.3126,-19.7657,-33.6894,-21.3594,-20.4149,-13.0788,-41.085,-24.5898,-18.0573,-38.5895,-38.3683,-29.5842,-38.8295,-15.1694,-15.4852,-31.7447,-42.4388,-16.8281,-6.95218,-10.7825,-33.4622,-15.3847,-15.9099,-16.4447,-12.74,-4.38364,-9.04357,-4.6609,-4.80084,-4.9415,-0,-5.22476,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,6,3,5,3,2,6,5,2,11,12,9,14,14,7,9,15,10,9,5,5,5,4,2,8,4,4,2,1,2,1,1,2,1,0,1,1,0,1,0,1,2,0,2,0
-559.895,0.995242,0.0954671,5,31,0,568.599,-1.4819,-2.19198,-1.73608,-0.52464,3.59729,0.985356,-0.469804,4.57951,2.34992,7.11963e-05,9.57786e-05,0.000128881,0.000173481,0.000233621,0.000314802,0.000424544,0.000573189,0.000775063,0.00105021,0.00142691,0.00194505,0.00265911,0.00363771,0.00495992,0.00671055,0.00897466,0.0118298,0.015335,0.019516,0.0243508,0.0296749,0.0352654,0.0408579,0.0461647,0.0508893,0.054736,0.0574237,0.0587199,0.0585178,0.0569005,0.0540849,0.0503358,0.0459254,0.0411185,0.0361643,0.0312867,0.0266708,0.0224486,0.0186941,0.01543,0.0126419,0.010293,0.0083359,0.00671972,0.00539493,0.00431576,0.00344136,0.00273616,0.00216974,0.00171644,0.00135484,0.00106722,0.000839056,0.000658481,0.00051588,0.00040349,0.00031507,0.000245623,0.00019116,0.000148507,-0,-0,-0,-0,-0,-0,-7.76449,-0,-0,-0,-6.55225,-0,-5.92977,-0,-0,-15.0122,-9.4267,-8.87426,-12.5329,-27.5557,-18.576,-31.6571,-20.0691,-19.1859,-12.3022,-38.7153,-23.2419,-17.1438,-36.8547,-36.8995,-28.6645,-37.9236,-14.9452,-15.4037,-31.913,-43.1559,-17.3228,-7.24837,-11.3896,-35.8159,-16.6858,-17.483,-18.3052,-14.3615,-5.00271,-10.4446,-5.44548,-5.67189,-5.9012,-0,-6.3675,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,5,2,7,11,12,12,15,11,7,9,9,19,9,11,13,9,3,5,2,6,5,2,2,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0
