# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 02:31:15 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c212d3acd5.json
# init = /tmp/RtmpC8O1hA/init-b41c2263c3ae_1.json
# random
#   seed = 1652010
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0159_rep016_badly_wrong_strong/prior_sensitivity_obspair_FAST-202605300331-1-90fc82.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0159_rep016_badly_wrong_strong/prior_sensitivity_obspair_FAST-profile-202605300331-1-23d357.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.277372
# Diagonal elements of inverse mass matrix:
# 0.0790966, 0.035563, 0.00526236, 0.00262227, 0.00771716, 0.00818977, 0.0086337
-556.603,1,0.277372,4,15,0,560.092,-1.23564,-2.27918,-0.970756,-0.707242,4.26925,0.542178,-0.733085,5.1689,2.50317,0.00010143,0.000130116,0.000167037,0.000214636,0.000276135,0.000355817,0.000459436,0.000594815,0.000772748,0.00100832,0.00132281,0.00174597,0.0023183,0.0030924,0.00413284,0.00551406,0.00731584,0.00961561,0.0124775,0.0159388,0.0199962,0.0245774,0.029549,0.0347204,0.0398562,0.0446922,0.0489559,0.0523874,0.0547652,0.0559359,0.0558433,0.0545376,0.0521563,0.0488947,0.0449799,0.0406494,0.0361339,0.0316397,0.0273361,0.0233463,0.0197457,0.016567,0.0138095,0.0114501,0.00945272,0.00777594,0.00637751,0.00521731,0.00425884,0.00346979,0.00282212,0.00229182,0.00185853,0.00150515,0.0012174,0.000983386,0.0007933,0.00063904,0.00051396,0.000412617,0.000330568,-0,-0,-0,-0,-0,-0,-7.68551,-0,-0,-0,-6.628,-0,-6.06692,-0,-0,-15.6014,-9.83543,-9.28873,-13.1515,-28.973,-19.5611,-33.3533,-21.1302,-20.1626,-12.8899,-40.4034,-24.1347,-17.6945,-37.7611,-37.4861,-28.852,-37.8152,-14.7675,-15.0904,-31.0154,-41.636,-16.6026,-6.90669,-10.7986,-33.8159,-15.6993,-16.4014,-17.1296,-13.4093,-4.66145,-9.71344,-5.05498,-5.25577,-5.45876,-0,-5.87027,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,3,2,3,1,4,4,3,7,14,9,10,10,8,15,7,11,7,14,10,11,2,3,4,8,5,6,3,2,3,1,3,0,1,0,1,0,1,1,0,0,0,0,0,0,0
-560.54,0.953635,0.277372,3,7,0,562.278,-1.42177,-2.74067,-1.0567,-0.619109,3.80017,0.415805,-0.713701,4.92516,2.43116,0.000110561,0.000144855,0.000189843,0.0002489,0.000326494,0.00042856,0.000563013,0.000740459,0.000975164,0.00128638,0.00170001,0.00225049,0.0029823,0.00395033,0.00521854,0.00685629,0.00893244,0.0115067,0.0146187,0.0182762,0.0224447,0.0270271,0.0318733,0.0367872,0.0415396,0.0458843,0.0495769,0.0523961,0.0541685,0.0547937,0.05426,0.0526402,0.0500738,0.0467452,0.0428644,0.0386487,0.0343057,0.030018,0.0259318,0.0221512,0.0187386,0.0157203,0.013095,0.0108423,0.00893079,0.00732349,0.00598218,0.00486989,0.00395246,0.00319921,0.00258322,0.00208124,0.00167341,0.00134297,0.00107588,0.000860467,0.000687066,0.000547727,0.000435938,0.000346382,0.000274737,-0,-0,-0,-0,-0,-0,-7.48221,-0,-0,-0,-6.37712,-0,-5.81506,-0,-0,-14.9478,-9.43613,-8.92965,-12.6764,-28.0151,-18.9835,-32.4982,-20.6759,-19.8156,-12.7244,-40.0612,-24.0338,-17.6935,-37.9035,-37.7543,-29.1397,-38.2756,-14.9713,-15.3152,-31.4971,-42.2921,-16.8622,-7.01192,-10.9569,-34.2888,-15.9087,-16.6112,-17.3421,-13.5729,-4.71825,-9.83334,-5.11897,-5.32468,-5.53342,-0,-5.95872,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,3,2,2,3,5,8,8,6,7,12,5,12,10,7,13,14,8,10,5,12,9,7,2,1,5,3,2,4,0,4,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0
-558.665,0.990698,0.277372,4,15,0,565.117,-1.01131,-3.31421,-0.848883,-0.627137,4.37431,0.548085,-0.257023,5.03988,2.37648,0.000113016,0.000147764,0.000193257,0.000252863,0.000331035,0.000433685,0.000568701,0.000746661,0.000981824,0.00129347,0.00170752,0.00225815,0.00298868,0.00395125,0.00520501,0.00681275,0.00883563,0.0113256,0.0143158,0.0178097,0.0217716,0.0261138,0.0307036,0.0353694,0.039912,0.0441176,0.0477724,0.0506785,0.0526708,0.0536363,0.0535298,0.0523814,0.0502878,0.0473951,0.0438812,0.0399394,0.0357639,0.0315375,0.0274193,0.0235361,0.0199769,0.0167922,0.0139995,0.0115903,0.00953961,0.00781272,0.0063712,0.00517652,0.0041923,0.00338554,0.00272708,0.00219164,0.00175764,0.00140685,0.00112402,0.000896481,0.000713786,0.000567351,0.000450166,0.000356526,0.000281803,-0,-0,-0,-0,-0,-0,-7.47216,-0,-0,-0,-6.37271,-0,-5.81292,-0,-0,-14.9669,-9.45793,-8.96138,-12.7392,-28.1961,-19.1358,-32.8076,-20.9003,-20.0514,-12.8843,-40.5716,-24.3305,-17.8935,-38.268,-38.0319,-29.2752,-38.3396,-14.95,-15.2462,-31.2627,-41.8651,-16.6541,-6.91316,-10.7895,-33.743,-15.6527,-16.3474,-17.0749,-13.3728,-4.6523,-9.704,-5.05597,-5.26362,-5.47451,-0,-5.90452,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,1,2,5,8,7,4,11,11,11,7,10,10,9,10,15,11,11,8,5,3,7,3,4,3,4,3,3,1,1,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0
-559.834,0.977194,0.277372,4,15,0,567.092,0.730213,-2.01958,-0.989855,-1.0145,4.11393,0.693538,-0.559067,5.03036,3.05025,0.000297587,0.000359346,0.00043458,0.000526539,0.000639403,0.000778631,0.000951456,0.00116765,0.00144067,0.00178949,0.00224113,0.00283382,0.00361885,0.00465837,0.00601935,0.00776672,0.00995764,0.0126358,0.015825,0.0195218,0.0236882,0.0281292,0.0326733,0.0371335,0.0413076,0.0449881,0.0479742,0.0500886,0.0512005,0.0512555,0.0502942,0.0484367,0.0458488,0.0427152,0.0392234,0.0355517,0.0318585,0.0282737,0.0248926,0.0217757,0.0189526,0.0164298,0.0141978,0.012238,0.0105269,0.00903945,0.00775087,0.00663758,0.00567781,0.00485182,0.00414192,0.00353236,0.00300924,0.00256031,0.00217487,0.00184371,0.00155893,0.00131386,0.00110286,0.000921183,0.000764866,-0,-0,-0,-0,-0,-0,-6.95752,-0,-0,-0,-6.10078,-0,-5.6216,-0,-0,-14.5737,-9.21883,-8.74244,-12.4385,-27.5536,-18.7139,-32.1385,-20.5272,-19.7594,-12.7468,-40.3177,-24.2967,-17.9638,-38.6361,-38.6221,-29.8987,-39.3575,-15.412,-15.766,-32.3848,-43.378,-17.2322,-7.13164,-11.0795,-34.4426,-15.8632,-16.4346,-17.0187,-13.2096,-4.55382,-9.41231,-4.85995,-5.01501,-5.17119,-0,-5.4866,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,1,0,3,4,1,1,5,7,6,9,14,13,13,11,9,7,11,8,6,9,9,10,5,2,4,5,1,4,2,0,3,3,2,2,1,0,0,1,1,0,0,1,0,0,1
-559.663,0.973046,0.277372,4,15,0,564.744,0.358734,-2.41472,-0.950585,-0.975218,4.04987,0.706238,-0.734651,4.95687,2.94842,0.00035709,0.000433286,0.000526286,0.000640057,0.000779634,0.000951466,0.00116391,0.00142796,0.00175826,0.00217467,0.00270431,0.00338395,0.00426116,0.00539209,0.00683603,0.00864916,0.0108787,0.0135569,0.0166941,0.020271,0.0242326,0.0284391,0.0327285,0.0369184,0.040815,0.0442258,0.0469715,0.0489008,0.0499079,0.0499528,0.0490708,0.0473595,0.0449566,0.0420214,0.0387216,0.0352217,0.0316724,0.0282005,0.0249021,0.021841,0.0190515,0.0165449,0.0143165,0.0123516,0.01063,0.00912908,0.00782585,0.00669795,0.00572439,0.00488593,0.00416513,0.00354638,0.00301581,0.00256116,0.00217171,0.00183815,0.00155248,0.00130784,0.00109841,0.000919224,0.000766097,-0,-0,-0,-0,-0,-0,-6.75597,-0,-0,-0,-5.91291,-0,-5.45821,-0,-0,-14.2509,-9.0419,-8.60172,-12.2781,-27.2899,-18.6003,-32.0399,-20.517,-19.7943,-12.7948,-40.5398,-24.4657,-18.1078,-38.9685,-38.9568,-30.1449,-39.6498,-15.5103,-15.8479,-32.5136,-43.4992,-17.2615,-7.13683,-11.0784,-34.4157,-15.8424,-16.4067,-16.9854,-13.1819,-4.54408,-9.39258,-4.85032,-5.00595,-5.16302,-0,-5.48101,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,2,3,6,3,7,6,5,6,6,12,10,13,13,10,12,12,7,6,6,10,5,4,6,3,1,3,2,0,4,1,4,3,0,2,1,0,0,0,0,1,0,0,0,0
-559.896,0.995312,0.277372,4,23,0,563.029,0.278165,-3.7312,-0.863736,-0.556574,4.65679,0.665076,-0.512226,4.7763,2.31872,0.000110972,0.000147923,0.000197232,0.000263077,0.000351075,0.000468814,0.000626572,0.000838316,0.00112303,0.00150625,0.00202129,0.00270906,0.00361627,0.00479303,0.00629056,0.00815846,0.0104404,0.0131678,0.0163514,0.0199723,0.0239744,0.028255,0.032677,0.0370771,0.0412754,0.0450858,0.0483256,0.0508271,0.0524506,0.0530996,0.0527358,0.0513893,0.0491548,0.0461753,0.042623,0.0386815,0.0345316,0.0303411,0.0262576,0.0224027,0.0188666,0.0157063,0.0129452,0.0105793,0.00858401,0.00692306,0.00555488,0.0044375,0.00353135,0.00280083,0.00221482,0.00174675,0.00137424,0.00107874,0.000844993,0.000660551,0.000515337,0.000401234,0.000311738,0.000241663,0.000186884,-0,-0,-0,-0,-0,-0,-7.37525,-0,-0,-0,-6.20402,-0,-5.62231,-0,-0,-14.4261,-9.12415,-8.65997,-12.3403,-27.3939,-18.6538,-32.0984,-20.5265,-19.7685,-12.75,-40.2894,-24.2383,-17.8759,-38.3225,-38.1626,-29.4246,-38.5882,-15.0639,-15.3766,-31.5536,-42.2811,-16.8294,-6.9905,-10.9194,-34.1872,-15.8814,-16.6148,-17.3881,-13.6466,-4.75785,-9.9458,-5.19308,-5.41766,-5.64607,-0,-6.11258,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,2,2,5,3,3,4,11,6,11,14,15,19,6,15,9,10,13,7,6,4,5,9,2,2,2,3,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
