# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 02:46:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c27365f8bc.json
# init = /tmp/RtmpC8O1hA/init-b41c27a96f510_2.json
# random
#   seed = 1752002
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0161_rep017_accurate_weak/prior_sensitivity_obspair_FAST-202605300346-2-4919fc.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0161_rep017_accurate_weak/prior_sensitivity_obspair_FAST-profile-202605300346-2-9955b6.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0595603
# Diagonal elements of inverse mass matrix:
# 0.0968138, 0.0875051, 0.181381, 0.193644, 0.142482, 0.077547, 0.256071
-545.175,0.999443,0.0595603,6,63,0,548.074,-3.53533,-1.87954,-1.17695,-0.47067,4.15739,2.18007,0.0942036,5.433,2.31115,2.47122e-05,3.37899e-05,4.62122e-05,6.32198e-05,8.65214e-05,0.000118477,0.000162361,0.000222735,0.000306019,0.000421335,0.000581877,0.000807195,0.00112625,0.00157847,0.00221588,0.00310621,0.00433599,0.00601254,0.00826275,0.0112234,0.0150131,0.0196118,0.0248997,0.0307162,0.0368758,0.0431532,0.0492587,0.0548056,0.059257,0.0618722,0.062397,0.0611844,0.0585762,0.0548782,0.050365,0.0452896,0.0398999,0.0344611,0.0292518,0.0244885,0.0202757,0.0166362,0.0135466,0.0109593,0.0088163,0.00705732,0.0056245,0.00446498,0.00353194,0.00278488,0.00218938,0.00171656,0.00134249,0.00104749,0.000815538,0.000633639,0.000491343,0.000380279,0.000293771,0.000226518,0.000174325,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-24.4484,-0,-10.8816,-5.11391,-4.796,-22.4488,-8.39766,-23.5897,-18.4645,-27.8637,-9.9006,-40.859,-24.0853,-31.9436,-42.3881,-38.9576,-30.5166,-19.557,-42.5614,-23.2211,-23.9077,-15.4734,-22.5497,-23.5755,-28.2545,-22.2573,-11.695,-12.2885,-8.60324,-27.0814,-9.4623,-0,-0,-0,-5.64591,-5.88355,-6.12414,-0,-0,-0,-0,-0,-0,-0,-8.13271,-0,-0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1,0,2,3,1,6,1,7,5,9,8,18,13,15,9,16,4,13,13,5,9,10,5,3,7,2,3,1,4,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
-545.619,0.990171,0.0595603,6,63,0,549.658,-3.68945,-1.92104,-1.50436,-0.786247,2.17804,1.82519,-0.542883,4.96771,3.06762,0.000183576,0.000230736,0.000290075,0.000364777,0.000458879,0.000577513,0.000727227,0.000916403,0.00115583,0.00145948,0.00184557,0.00233812,0.00296917,0.00378209,0.00483678,0.00621734,0.00803691,0.0104283,0.0135317,0.0174738,0.0223303,0.0279778,0.034142,0.0404176,0.0462794,0.0510971,0.0543805,0.0560109,0.0560569,0.0547162,0.0522829,0.049086,0.045421,0.0415245,0.0375761,0.0337067,0.0300074,0.0265377,0.0233325,0.0204082,0.0177676,0.0154042,0.0133047,0.0114518,0.00982597,0.00840662,0.00717313,0.00610556,0.00518497,0.00439379,0.00371591,0.0031367,0.00264308,0.00222338,0.00186727,0.00156571,0.00131074,0.00109548,0.000913941,0.000761001,0.000632268,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-21.326,-0,-9.64742,-4.56323,-4.30272,-20.2353,-7.60362,-21.4581,-16.8861,-25.6679,-9.21917,-38.6624,-23.294,-31.7043,-43.2208,-40.6783,-32.4619,-21.0993,-46.3767,-25.4518,-26.2511,-16.9503,-24.5442,-25.4043,-30.0633,-23.3509,-12.0911,-12.5193,-8.63928,-26.8176,-9.24545,-0,-0,-0,-5.26199,-5.42756,-5.59513,-0,-0,-0,-0,-0,-0,-0,-6.99774,-0,-0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,3,2,4,5,6,5,8,4,4,11,11,13,16,13,10,6,9,12,9,4,5,2,7,3,4,1,1,0,2,4,1,0,2,1,1,2,2,0,1,0,0,0,1,0,0
-540.98,1,0.0595603,6,63,0,548.466,-2.98801,-1.99096,-1.90111,-0.124495,4.78506,0.674504,0.317406,5.3994,2.09843,8.52043e-06,1.32549e-05,2.06249e-05,3.21034e-05,4.9994e-05,7.79019e-05,0.00012146,0.000189383,0.000294754,0.000456118,0.000697928,0.00105066,0.00155119,0.00224335,0.00317849,0.00441515,0.00601747,0.00805136,0.0105792,0.0136607,0.0174032,0.0216513,0.0262658,0.0311008,0.0360092,0.0408436,0.0454506,0.0496575,0.0532575,0.0559987,0.0575909,0.0577679,0.0564323,0.0537721,0.0501619,0.0459704,0.0414742,0.0368626,0.0322656,0.0277814,0.0234945,0.019486,0.0158333,0.012602,0.00983318,0.00753504,0.00568286,0.00422788,0.0031092,0.00226415,0.00163498,0.00117211,0.000834987,0.000591524,0.000416981,0.000292641,0.000204557,0.000142468,9.88944e-05,6.84373e-05,4.72249e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-23.0054,-0,-10.2262,-4.82191,-4.54887,-21.4662,-8.1022,-22.9961,-18.1974,-27.7642,-9.97195,-41.5741,-24.729,-33.0287,-43.9892,-40.354,-31.3983,-19.9593,-43.1207,-23.384,-23.94,-15.3988,-22.2788,-23.1039,-27.47,-21.5003,-11.253,-11.8142,-8.29128,-26.2434,-9.24399,-0,-0,-0,-5.77339,-6.09056,-6.41613,-0,-0,-0,-0,-0,-0,-0,-9.22146,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,2,2,4,5,9,13,5,6,15,9,15,14,13,7,10,10,10,4,8,7,1,4,6,4,2,1,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0
-538.122,0.999673,0.0595603,6,127,0,543.519,-2.29398,-2.58604,-1.5982,-0.41657,4.37048,1.15592,-0.643652,5.261,2.26495,3.47076e-05,4.82839e-05,6.71838e-05,9.35066e-05,0.000130192,0.000181364,0.000252834,0.000352832,0.000493086,0.000690412,0.000968833,0.00136134,0.00191015,0.00266618,0.00368868,0.00504409,0.00680355,0.00903777,0.0118078,0.0151507,0.0190617,0.0234658,0.0282327,0.0331933,0.0381566,0.0429192,0.0472697,0.0509921,0.0538707,0.0557014,0.0563296,0.0557243,0.0539849,0.0512752,0.0477836,0.0437074,0.039246,0.0345966,0.0299508,0.0254862,0.0213513,0.0176472,0.0144207,0.0116723,0.00937198,0.00747331,0.00592381,0.00467105,0.00366619,0.00286559,0.00223148,0.00173181,0.00133988,0.00103371,0.000795415,0.00061056,0.000467595,0.000357332,0.000272506,0.000207402,0.000157541,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-22.4099,-0,-9.98062,-4.70634,-4.43899,-20.9486,-7.92015,-22.5133,-17.8364,-27.2433,-9.79817,-40.9297,-24.4151,-32.7369,-43.8175,-40.4285,-31.6419,-20.2114,-43.7858,-23.7644,-24.3286,-15.6512,-22.6653,-23.548,-28.0656,-22.0177,-11.5399,-12.1115,-8.47818,-26.7032,-9.34006,-0,-0,-0,-5.6086,-5.85498,-6.10509,-0,-0,-0,-0,-0,-0,-0,-8.20785,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,3,3,6,6,7,12,16,6,9,13,9,10,9,7,14,12,9,7,9,8,6,1,3,1,1,1,1,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0
-538.367,0.987372,0.0595603,6,63,0,539.361,-2.05567,-2.23592,-1.61027,-0.455322,4.4101,1.20639,-0.284957,5.19865,2.31833,3.91919e-05,5.38589e-05,7.40365e-05,0.000101814,0.000140093,0.000192912,0.000265933,0.00036715,0.000507971,0.00070487,0.000981692,0.00137167,0.00191762,0.00267137,0.00369346,0.00505222,0.00682165,0.00907679,0.0118853,0.0152939,0.0193109,0.0238486,0.0287642,0.0338765,0.0389836,0.0438712,0.0483159,0.0520861,0.0549444,0.0566588,0.0570534,0.0561199,0.0540192,0.0509695,0.0471938,0.0429068,0.0383126,0.0336047,0.028965,0.0245581,0.0205171,0.0169278,0.0138226,0.011191,0.00899604,0.00718797,0.00571341,0.00452069,0.00356258,0.00279745,0.00218954,0.0017087,0.00132988,0.00103248,0.000799753,0.000618155,0.000476824,0.000367095,0.000282088,0.000216366,0.000165649,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-22.4048,-0,-9.97531,-4.70204,-4.43245,-20.9015,-7.89418,-22.4162,-17.7431,-27.0803,-9.73384,-40.6445,-24.24,-32.5034,-43.5215,-40.1899,-31.5014,-20.1619,-43.7762,-23.8122,-24.4279,-15.7436,-22.8338,-23.7516,-28.3333,-22.2403,-11.6595,-12.2364,-8.5629,-26.9559,-9.42194,-0,-0,-0,-5.63727,-5.87905,-6.12407,-0,-0,-0,-0,-0,-0,-0,-8.17329,-0,-0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,2,1,2,4,7,4,4,5,5,12,8,6,14,9,7,15,14,7,8,8,8,7,9,4,5,5,6,0,0,0,1,2,0,1,2,1,0,1,0,0,0,0,0,1,0
-537.421,0.980832,0.0595603,6,63,0,541.463,-2.39073,-1.7053,-0.777907,-0.177965,2.96959,-0.567887,-1.34199,5.02335,2.25408,1.61365e-05,2.43988e-05,3.6837e-05,5.55119e-05,8.34572e-05,0.000125103,0.000186854,0.000277862,0.000411021,0.000604198,0.000881671,0.00127568,0.00182789,0.00259038,0.00362581,0.00500603,0.00680873,0.0091118,0.0119853,0.0154816,0.0196249,0.0243679,0.0296,0.0351419,0.0407475,0.0461175,0.0509248,0.0548497,0.0576199,0.0590482,0.0590571,0.0576854,0.0550765,0.0514528,0.0470821,0.0422454,0.037209,0.0322045,0.0274175,0.0229829,0.0189872,0.0154737,0.0124503,0.00989898,0.00778345,0.00605705,0.00466847,0.00356627,0.00270186,0.00203136,0.00151648,0.00112472,0.000829127,0.000607814,0.000443277,0.000321737,0.000232488,0.000167307,0.000119938,8.56726e-05,6.09894e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-22.4787,-0,-9.9791,-4.69819,-4.42407,-20.8405,-7.86191,-22.2869,-17.5999,-26.7869,-9.60109,-39.9953,-23.8192,-31.9348,-42.8083,-39.6116,-31.1218,-19.9693,-43.4855,-23.7367,-24.4469,-15.8213,-23.0384,-24.0495,-28.7726,-22.638,-11.892,-12.5058,-8.77202,-27.6919,-9.71151,-0,-0,-0,-5.91382,-6.19905,-6.49136,-0,-0,-0,-0,-0,-0,-0,-9.02853,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,3,2,3,6,6,5,7,8,11,7,14,12,12,17,12,8,12,11,6,6,5,2,1,5,2,2,1,3,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0
