# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 03:05:59 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c22bc999f6.json
# init = /tmp/RtmpC8O1hA/init-b41c232f30983_3.json
# random
#   seed = 1752004
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0163_rep017_accurate_strong/prior_sensitivity_obspair_FAST-202605300405-3-396719.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0163_rep017_accurate_strong/prior_sensitivity_obspair_FAST-profile-202605300405-3-5d3884.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.229587
# Diagonal elements of inverse mass matrix:
# 0.05607, 0.0418764, 0.00445114, 0.00521873, 0.0101442, 0.00522259, 0.00589634
-536.773,0.999949,0.229587,4,15,0,538.596,-2.23384,-1.85365,-1.33823,-0.537218,3.29434,0.0706741,-1.00601,5.24763,2.56678,6.03036e-05,8.08614e-05,0.000108468,0.000145572,0.000195491,0.00026274,0.000353481,0.00047615,0.000642317,0.000867841,0.00117433,0.00159083,0.00215548,0.00291665,0.00393307,0.00527233,0.00700753,0.00921174,0.0119504,0.0152724,0.0192005,0.0236803,0.0286023,0.0337977,0.0390413,0.044061,0.0485568,0.0522304,0.0548259,0.0561708,0.0562055,0.0549861,0.0526631,0.0494486,0.0455838,0.0413125,0.0368605,0.0324219,0.0281512,0.0241605,0.0205218,0.0172719,0.0144193,0.0119524,0.00984551,0.00806516,0.00657439,0.0053358,0.00431363,0.00347502,0.00279052,0.00223434,0.00178425,0.00142132,0.00112961,0.000895843,0.000708995,0.000560008,0.00044147,0.000347345,0.000272743,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-22.1533,-0,-9.92154,-4.68728,-4.42699,-20.9085,-7.90564,-22.4587,-17.7713,-27.0989,-9.7294,-40.5883,-24.2002,-32.473,-43.5539,-40.311,-31.6661,-20.3047,-44.1576,-24.0546,-24.7056,-15.9329,-23.1043,-24.0025,-28.5613,-22.3382,-11.6588,-12.176,-8.47837,-26.5609,-9.24148,-0,-0,-0,-5.44597,-5.66216,-5.88153,-0,-0,-0,-0,-0,-0,-0,-7.7254,-0,-0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,2,2,2,3,9,5,10,9,7,6,8,12,12,15,11,9,12,5,6,7,8,8,1,2,7,5,2,2,1,1,4,0,0,1,0,0,1,0,0,0,0,0,0,0
-538.562,0.951624,0.229587,3,15,0,542.192,-1.37937,-1.55903,-1.30921,-0.382813,3.68684,-0.216412,-1.04293,4.94202,2.36599,3.47856e-05,4.8964e-05,6.89395e-05,9.70944e-05,0.000136796,0.000192803,0.000271832,0.000383333,0.000540522,0.000761694,0.00107177,0.00150397,0.00210126,0.00291726,0.00401604,0.00547049,0.00735875,0.00975886,0.0127416,0.0163624,0.0206525,0.0255232,0.0308272,0.0363582,0.041858,0.0470297,0.0515605,0.055152,0.0575549,0.0586048,0.0582476,0.0565482,0.0536766,0.049877,0.0454289,0.0406122,0.0356805,0.0308454,0.0262691,0.0220643,0.018298,0.0149986,0.0121644,0.00977142,0.0077815,0.00614888,0.00482516,0.00376301,0.00291848,0.00225234,0.00173059,0.00132446,0.00101003,0.000767781,0.000581928,0.000439883,0.000331687,0.000249523,0.000187297,0.000140284,0.000104843,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-22.0698,-0,-9.82373,-4.62958,-4.36288,-20.5638,-7.75983,-22.009,-17.3968,-26.5147,-9.52042,-39.7407,-23.72,-31.8743,-42.8252,-39.7172,-31.2736,-20.1086,-43.8717,-23.9856,-24.7329,-16.0184,-23.332,-24.3514,-29.1149,-22.8828,-12.0029,-12.5994,-8.81848,-27.7698,-9.71201,-0,-0,-0,-5.83669,-6.09579,-6.35929,-0,-0,-0,-0,-0,-0,-0,-8.58282,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1,5,5,4,6,8,5,9,14,12,15,14,8,17,9,8,9,10,4,4,4,4,6,3,3,1,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
-538.501,0.993398,0.229587,4,31,0,543.297,-1.78824,-1.84741,-1.21476,-0.338325,3.54053,-0.232866,-1.09385,5.0598,2.33452,3.12181e-05,4.45915e-05,6.36913e-05,9.09642e-05,0.000129893,0.000185425,0.000264554,0.000377115,0.0005368,0.000762418,0.00107932,0.00152082,0.00212933,0.0029568,0.00406398,0.00551821,0.00738939,0.00974418,0.0126387,0.0161104,0.0201699,0.0247517,0.0297376,0.034955,0.0401813,0.0451546,0.0495923,0.0532177,0.0557908,0.0571412,0.0571926,0.055973,0.0536065,0.0502895,0.0462608,0.0417721,0.0370635,0.032347,0.0277961,0.0235411,0.0196697,0.0162304,0.013239,0.0106856,0.00854212,0.00676939,0.00532247,0.00415521,0.00322326,0.00248598,0.00190742,0.00145666,0.00110772,0.000839137,0.000633448,0.000476643,0.000357594,0.000267542,0.000199652,0.000148624,0.000110376,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-22.0224,-0,-9.81542,-4.63109,-4.37099,-20.6415,-7.80713,-22.1932,-17.5767,-26.8295,-9.64306,-40.2696,-24.0314,-32.267,-43.2922,-40.0712,-31.4746,-20.1802,-43.8913,-23.9197,-24.5877,-15.8776,-23.0659,-24.0186,-28.6629,-22.494,-11.786,-12.3626,-8.64918,-27.2332,-9.52549,-0,-0,-0,-5.73736,-5.99709,-6.26201,-0,-0,-0,-0,-0,-0,-0,-8.51893,-0,-0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,2,3,4,5,1,8,6,8,8,8,9,9,11,13,12,12,13,10,9,14,5,5,3,5,2,1,2,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
-542.099,0.96655,0.229587,4,15,0,544.856,-1.96203,-1.31879,-1.28204,-0.297152,3.52256,-0.320529,-0.776279,5.18846,2.36695,1.86319e-05,2.69976e-05,3.91103e-05,5.6639e-05,8.19866e-05,0.000118604,0.000171426,0.000247477,0.000356686,0.000512947,0.000735471,0.00105038,0.00149247,0.00210698,0.00295098,0.00409413,0.00561815,0.00761486,0.0101821,0.0134176,0.0174114,0.0221261,0.0274628,0.0332516,0.0392491,0.0451444,0.0505784,0.0551757,0.0585906,0.0605577,0.0609372,0.0597388,0.057116,0.0533326,0.0487136,0.043596,0.0382896,0.0330531,0.0280835,0.0235157,0.0194292,0.0158569,0.0127967,0.0102215,0.00808819,0.00634563,0.00493989,0.00381845,0.00293267,0.00223925,0.00170073,0.00128549,0.000967358,0.000725031,0.000541406,0.000402917,0.000298911,0.000221104,0.0001631,0.000119995,8.80536e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-23.3025,-0,-10.3635,-4.87765,-4.58713,-21.5559,-8.10126,-22.866,-17.9746,-27.2292,-9.71348,-40.2726,-23.8738,-31.8696,-42.5577,-39.2582,-30.777,-19.7244,-42.9401,-23.4497,-24.1744,-15.664,-22.838,-23.8675,-28.5806,-22.5005,-11.8229,-12.4325,-8.71713,-27.4996,-9.6347,-0,-0,-0,-5.83184,-6.10161,-6.3767,-0,-0,-0,-0,-0,-0,-0,-8.72115,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,1,2,1,5,8,5,8,8,12,12,12,12,8,15,12,4,11,6,7,7,5,6,7,6,4,2,2,2,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0
-544.007,0.964377,0.229587,4,15,0,550.059,-1.45413,-2.12654,-1.51467,-0.283461,3.27442,-0.343288,-1.25879,4.85929,2.34951,4.29528e-05,6.24602e-05,9.07482e-05,0.000131689,0.000190783,0.000275768,0.000397394,0.000570344,0.000814252,0.00115469,0.00162391,0.0022611,0.00311187,0.00422676,0.00565859,0.00745887,0.00967328,0.0123367,0.0154683,0.0190671,0.0231087,0.0274889,0.0320683,0.0366761,0.0411176,0.0451849,0.048671,0.0513871,0.0531807,0.0539525,0.0536691,0.0523665,0.050145,0.0471546,0.0435756,0.0395999,0.0354136,0.0311858,0.0270596,0.0231489,0.0195367,0.0162764,0.0133948,0.0108964,0.00876813,0.00698425,0.00551108,0.0043109,0.00334515,0.00257673,0.00197152,0.00149922,0.0011337,0.000852937,0.000638723,0.000476279,0.000353768,0.00026183,0.000193145,0.000142039,0.000104154,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-20.6983,-0,-9.27677,-4.39517,-4.16896,-19.7989,-7.53509,-21.5638,-17.1994,-26.445,-9.57396,-40.2609,-24.1814,-32.652,-44.0109,-40.8751,-32.1741,-20.6464,-44.8925,-24.4346,-25.0661,-16.1446,-23.3846,-24.2746,-28.8777,-22.5948,-11.8064,-12.3541,-8.62578,-27.1159,-9.47326,-0,-0,-0,-5.70024,-5.96124,-6.22895,-0,-0,-0,-0,-0,-0,-0,-8.55207,-0,-0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,3,7,2,5,5,8,10,11,12,7,7,14,11,7,11,3,4,4,7,8,8,10,2,4,9,4,2,2,1,1,1,1,1,2,0,0,1,0,0,1,0,0,0,0
-540.488,0.976116,0.229587,4,15,0,553.126,-1.81458,-2.25007,-1.39604,-0.597258,3.61615,0.356691,-0.852991,5.15122,2.55732,9.10682e-05,0.000120042,0.000158288,0.000208813,0.000275625,0.000364092,0.000481425,0.000637362,0.000845104,0.00112257,0.00149395,0.00199144,0.00265648,0.00354009,0.00470169,0.00620624,0.00811951,0.0105015,0.0133977,0.0168303,0.0207885,0.0251935,0.0299177,0.0347876,0.0395918,0.0440929,0.0480422,0.0512,0.0533628,0.0543964,0.0542607,0.0530118,0.050781,0.0477472,0.044114,0.0400915,0.0358812,0.0316632,0.0275863,0.0237619,0.0202638,0.0171305,0.0143729,0.0119807,0.00993044,0.00819059,0.00672645,0.00550298,0.00448676,0.00364705,0.00295631,0.00239036,0.00192829,0.0015522,0.00124696,0.000999851,0.000800251,0.000639363,0.000509924,0.000405969,0.000322614,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-21.4393,-0,-9.62697,-4.55624,-4.31267,-20.4229,-7.74671,-22.087,-17.5465,-26.868,-9.6874,-40.5789,-24.2854,-32.6922,-43.9596,-40.7604,-32.0535,-20.5607,-44.7035,-24.3347,-24.9678,-16.0829,-23.2928,-24.1682,-28.7235,-22.438,-11.6968,-12.2007,-8.48483,-26.5467,-9.2243,-0,-0,-0,-5.40662,-5.61384,-5.82381,-0,-0,-0,-0,-0,-0,-0,-7.58125,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,1,3,1,1,3,5,8,11,9,13,6,10,8,12,12,19,5,6,9,9,6,10,2,6,3,1,1,1,3,1,1,2,0,1,0,0,0,1,0,0,0,0,1
