# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 03:18:47 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c22267018b.json
# init = /tmp/RtmpC8O1hA/init-b41c2149271c2_1.json
# random
#   seed = 1752006
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0165_rep017_mildly_wrong_moderate/prior_sensitivity_obspair_FAST-202605300418-1-8fdcf6.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0165_rep017_mildly_wrong_moderate/prior_sensitivity_obspair_FAST-profile-202605300418-1-4d87ad.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.15952
# Diagonal elements of inverse mass matrix:
# 0.0740316, 0.0555254, 0.0295911, 0.00946836, 0.0463676, 0.029439, 0.0381279
-539.229,0.992556,0.15952,5,31,0,540.179,-0.52944,-1.10319,-1.09481,-0.930196,3.93258,0.272703,-0.759523,5.07563,2.92149,6.68925e-05,8.23579e-05,0.00010165,0.000125847,0.000156402,0.000195314,0.00024539,0.000310679,0.000397181,0.000514035,0.000675493,0.000904052,0.00123502,0.00172222,0.00244388,0.00350679,0.00504714,0.00722613,0.0102198,0.0142028,0.019328,0.0253686,0.0320214,0.0389153,0.0456249,0.0516924,0.0566624,0.0601339,0.0618302,0.0616677,0.0597809,0.0564793,0.0521622,0.0472363,0.042062,0.0369272,0.0320401,0.0275346,0.0234819,0.0199054,0.016795,0.0141199,0.0118383,0.00990472,0.00827359,0.00690246,0.0057529,0.00479103,0.00398744,0.00331684,0.00275774,0.00229187,0.00190385,0.00158068,0.00131143,0.00108688,0.000899251,0.000742037,0.000609775,0.000497937,0.000402806,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-24.0567,-0,-10.5779,-4.93005,-4.58343,-21.2716,-7.8924,-22.0455,-17.2068,-25.9709,-9.26191,-38.5118,-22.9651,-30.923,-41.7505,-39.0039,-30.9878,-20.1172,-44.301,-24.4207,-25.3489,-16.494,-24.0854,-25.1462,-30.0122,-23.5006,-12.26,-12.7805,-8.87282,-27.6885,-9.58937,-0,-0,-0,-5.52461,-5.70874,-5.89335,-0,-0,-0,-0,-0,-0,-0,-7.40242,-0,-0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,2,1,1,3,7,4,6,8,8,7,9,13,12,9,11,12,14,8,11,9,7,6,4,3,3,3,3,2,1,3,3,0,0,0,1,0,0,0,1,0,0,0,1,0,0
-539.971,0.941385,0.15952,3,15,0,544.142,-1.01924,-1.06154,-1.0451,-0.85089,4.3824,0.0686477,-0.820664,5.52149,2.86914,2.76436e-05,3.46218e-05,4.34876e-05,5.48245e-05,6.94396e-05,8.84737e-05,0.000113582,0.00014723,0.000193205,0.000257463,0.000349569,0.000484976,0.000688429,0.00099853,0.00147313,0.00219466,0.00327408,0.00485167,0.00709308,0.0101794,0.0142912,0.0193944,0.0253641,0.031975,0.0389012,0.0457299,0.0519892,0.0571959,0.0609195,0.0628584,0.062902,0.0611534,0.0578952,0.0535167,0.0484354,0.0430368,0.0376385,0.032477,0.0277093,0.023423,0.0196512,0.0163878,0.0136017,0.0112476,0.00927434,0.00763041,0.0062672,0.00514077,0.00421247,0.003449,0.00282206,0.00230782,0.00188636,0.0015411,0.00125832,0.00102662,0.000836593,0.000680479,0.000551875,0.000445533,0.000357181,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-26.0815,-0,-11.4434,-5.32843,-4.94864,-22.9369,-8.49623,-23.6566,-18.3721,-27.5424,-9.74019,-40.105,-23.6537,-31.474,-41.973,-38.7362,-30.428,-19.5606,-42.7368,-23.4221,-24.2202,-15.7285,-22.9581,-23.9906,-28.6879,-22.5242,-11.7889,-12.3337,-8.59512,-26.9256,-9.36101,-0,-0,-0,-5.46971,-5.66967,-5.87029,-0,-0,-0,-0,-0,-0,-0,-7.50219,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,4,3,3,6,5,4,9,14,6,10,9,19,13,9,18,14,10,7,5,5,3,1,3,2,4,2,2,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0
-539.716,0.889152,0.15952,4,23,0,549.182,-0.264295,-1.8706,-0.84143,-0.741327,4.01651,0.282356,-0.844775,4.71188,2.55118,9.72365e-05,0.000123986,0.000158303,0.00020246,0.000259496,0.000333527,0.000430216,0.000557491,0.000726665,0.000954166,0.00126413,0.00169196,0.00228827,0.003122,0.00428043,0.00586485,0.0079814,0.0107281,0.0141795,0.0183703,0.0232815,0.028758,0.034573,0.040438,0.0460214,0.050975,0.0549664,0.057715,0.0590314,0.0588495,0.0572395,0.0543892,0.0505649,0.0460685,0.0412015,0.0362367,0.0314002,0.0268605,0.0227268,0.0190553,0.0158589,0.0131202,0.0108029,0.00886109,0.00724626,0.00591113,0.00481227,0.00391111,0.00317418,0.00257292,0.00208328,0.00168513,0.00136178,0.0010994,0.000886639,0.000714151,0.00057431,0.000460909,0.000368914,0.000294262,0.000233682,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-21.8148,-0,-9.66128,-4.53489,-4.25596,-19.9851,-7.52019,-21.293,-16.8234,-25.6639,-9.23595,-38.6935,-23.2083,-31.3746,-42.4453,-39.6588,-31.4656,-20.3811,-44.7675,-24.621,-25.5143,-16.5884,-24.2266,-25.3197,-30.2737,-23.7625,-12.4321,-13.0008,-9.05589,-28.3565,-9.85454,-0,-0,-0,-5.75271,-5.96271,-6.17381,-0,-0,-0,-0,-0,-0,-0,-7.90495,-0,-0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,2,2,4,6,4,9,8,7,9,17,12,13,13,9,12,10,12,4,10,7,3,2,4,1,6,1,5,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-542.463,0.993906,0.15952,4,15,0,544.338,-0.660753,-0.985304,-0.978253,-0.777686,4.59986,-0.504413,-0.727556,5.67723,2.99413,3.64031e-05,4.63729e-05,5.92505e-05,7.59848e-05,9.78903e-05,0.000126817,0.000165408,0.000217503,0.000288757,0.000387585,0.00052658,0.000724561,0.00100938,0.0014215,0.00201807,0.00287694,0.00409939,0.00581047,0.00815524,0.0112904,0.0153709,0.0202533,0.025731,0.0315455,0.0374027,0.0429915,0.0480038,0.0521579,0.0552219,0.0570362,0.0575304,0.056731,0.0547554,0.0517934,0.0480807,0.043869,0.0393997,0.0348845,0.030494,0.0263543,0.0225485,0.0191227,0.0160931,0.0134536,0.0111826,0.00924952,0.00761869,0.0062532,0.00511709,0.00417682,0.00340203,0.00276591,0.00224519,0.00181993,0.00147322,0.00119087,0.000961012,0.000773791,0.000621055,0.000496105,0.000393473,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-24.8224,-0,-10.9938,-5.14809,-4.80909,-22.419,-8.35056,-23.3966,-18.3003,-27.6506,-9.85803,-40.9078,-24.2918,-32.4883,-43.4459,-40.097,-31.4099,-20.086,-43.5732,-23.6839,-24.279,-15.6327,-22.638,-23.49,-27.9218,-21.8167,-11.3763,-11.8706,-8.25873,-25.8511,-8.98679,-0,-0,-0,-5.27517,-5.47821,-5.68338,-0,-0,-0,-0,-0,-0,-0,-7.38409,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,2,4,6,6,6,7,6,11,18,7,13,4,9,16,13,7,4,7,8,4,5,5,6,2,4,6,3,3,1,1,0,0,1,0,0,0,0,0,0,0,1,0
-540.537,1,0.15952,5,31,0,544.138,-2.40802,-1.87054,-1.11274,-0.653018,3.8778,1.15052,-0.872545,5.49858,2.60005,5.27312e-05,6.85202e-05,8.90819e-05,0.000115891,0.000150898,0.000196703,0.000256797,0.000335915,0.000440572,0.000579884,0.000766905,0.00102076,0.00136971,0.00185424,0.0025295,0.00346746,0.00475826,0.00650924,0.00883885,0.0118618,0.0156632,0.0202489,0.0255359,0.0313508,0.0374414,0.0434905,0.049128,0.0539464,0.0575316,0.0595617,0.0599383,0.0587587,0.0562266,0.0526063,0.0481974,0.0433138,0.0382593,0.0332991,0.0286318,0.0243789,0.0205946,0.0172861,0.0144317,0.0119941,0.0099294,0.00819225,0.00673877,0.00552834,0.00452442,0.00369472,0.00301113,0.0024495,0.0019892,0.00161279,0.00130559,0.00105533,0.000851772,0.000686441,0.000552331,0.000443672,0.00035573,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-23.9189,-0,-10.6957,-5.03453,-4.7286,-22.1722,-8.31289,-23.3979,-18.3384,-27.7001,-9.85493,-40.7578,-24.1066,-32.1174,-42.8313,-39.4904,-30.9588,-19.8402,-43.1755,-23.5594,-24.2596,-15.6964,-22.8436,-23.8156,-28.4259,-22.2842,-11.6482,-12.1736,-8.47666,-26.5401,-9.22451,-0,-0,-0,-5.39827,-5.60085,-5.80544,-0,-0,-0,-0,-0,-0,-0,-7.50136,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,4,1,1,4,6,4,7,7,12,7,16,15,13,9,12,13,9,6,6,8,3,7,5,6,0,1,3,1,3,1,2,1,1,0,1,2,0,0,0,0,0,0,0
-538.538,0.968969,0.15952,5,31,0,544.457,-2.45705,-3.43435,-1.31996,-0.432678,3.82891,0.488164,-0.633103,5.22072,2.31555,4.45959e-05,6.16974e-05,8.53637e-05,0.000118121,0.000163473,0.000226282,0.0003133,0.000433912,0.000601139,0.000832967,0.00115395,0.00159678,0.00220345,0.00302537,0.00412246,0.00556073,0.00740785,0.00972609,0.0125626,0.0159377,0.0198343,0.0241829,0.0288653,0.0337205,0.0385537,0.0431483,0.0472786,0.0507234,0.0532829,0.0548025,0.0551975,0.0544669,0.0526859,0.0499873,0.0465435,0.0425511,0.0382171,0.0337454,0.0293219,0.0251022,0.0212017,0.0176932,0.0146098,0.0119523,0.0096994,0.00781548,0.00625827,0.0049837,0.00394921,0.00311565,0.00244825,0.00191686,0.00149586,0.00116378,0.000902891,0.000698664,0.000539315,0.000415354,0.000319185,0.000244765,0.000187311,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-21.9652,-0,-9.81043,-4.63294,-4.37703,-20.6953,-7.84068,-22.3327,-17.7256,-27.1172,-9.76711,-40.8605,-24.4136,-32.7951,-43.9821,-40.6563,-31.8652,-20.3711,-44.1511,-23.9679,-24.5389,-15.7853,-22.8513,-23.7224,-28.2354,-22.1088,-11.561,-12.1037,-8.45213,-26.561,-9.27138,-0,-0,-0,-5.53424,-5.77132,-6.01238,-0,-0,-0,-0,-0,-0,-0,-8.04974,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,4,1,3,3,3,3,10,9,12,15,8,9,9,14,9,9,6,5,8,9,6,7,6,2,6,0,3,6,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0
