# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 03:25:04 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c23a0287b1.json
# init = /tmp/RtmpC8O1hA/init-b41c259972955_2.json
# random
#   seed = 1752007
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0166_rep017_mildly_wrong_strong/prior_sensitivity_obspair_FAST-202605300425-2-4b9255.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0166_rep017_mildly_wrong_strong/prior_sensitivity_obspair_FAST-profile-202605300425-2-5c0a01.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.257578
# Diagonal elements of inverse mass matrix:
# 0.0266587, 0.0406329, 0.0086794, 0.00372233, 0.0090286, 0.00789134, 0.00687508
-540.968,0.907409,0.257578,4,15,0,546.29,-2.24728,-3.10526,-0.931469,-0.44551,3.53736,0.391928,-1.05416,4.97011,2.24305,4.325e-05,5.95919e-05,8.21169e-05,0.000113172,0.000156001,0.000215093,0.000296667,0.000409358,0.000565158,0.00078073,0.00107915,0.00149204,0.0020619,0.00284386,0.00390638,0.00532973,0.00720156,0.00960854,0.0126234,0.0162882,0.0205975,0.0254789,0.0307899,0.0363216,0.041811,0.04696,0.0514593,0.0550168,0.0573924,0.0584335,0.0580966,0.0564459,0.0536352,0.0498846,0.0454547,0.0406214,0.0356497,0.0307707,0.0261651,0.0219563,0.0182127,0.0149566,0.0121764,0.00983869,0.00789788,0.00630362,0.00500577,0.00395727,0.00311581,0.00244439,0.00191135,0.00149007,0.00115845,0.00089835,0.000695009,0.000536509,0.000413296,0.000317748,0.000243822,0.000186744,0.00014276,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-22.1806,-0,-9.86691,-4.6451,-4.37221,-20.5866,-7.76517,-22.0194,-17.4028,-26.5227,-9.52379,-39.76,-23.7357,-31.9013,-42.8676,-39.7581,-31.3021,-20.1213,-43.8832,-23.9843,-24.7283,-16.0173,-23.3381,-24.3684,-29.1466,-22.9122,-12.0169,-12.6078,-8.81651,-27.7286,-9.68232,-0,-0,-0,-5.77127,-6.01396,-6.25995,-0,-0,-0,-0,-0,-0,-0,-8.31907,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,3,6,2,3,6,7,8,7,9,15,15,12,15,7,11,9,12,8,7,9,2,4,3,2,4,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-542.75,0.983971,0.257578,3,7,0,543.874,-2.50424,-3.05787,-0.86007,-0.46141,3.36286,0.378062,-1.04848,4.99762,2.28863,4.44326e-05,6.09123e-05,8.35122e-05,0.000114512,0.000157048,0.000215435,0.000295625,0.000405831,0.000557417,0.000766107,0.00105364,0.0014499,0.00199533,0.00274327,0.00376126,0.00513045,0.00694197,0.00928902,0.0122539,0.0158903,0.0202042,0.0251318,0.0305334,0.0361943,0.0418374,0.0471436,0.0517788,0.0554287,0.0578396,0.0588574,0.0584467,0.0566863,0.0537487,0.0498747,0.0453446,0.040448,0.0354549,0.0305919,0.026029,0.0218766,0.0181913,0.0149873,0.0122487,0.0099405,0.00801776,0.00643187,0.0051348,0.0040816,0.00323181,0.00254993,0.00200545,0.00157259,0.00122981,0.000959331,0.000746589,0.000579748,0.000449254,0.000347439,0.000268178,0.000206606,0.000158866,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-22.332,-0,-9.94034,-4.67892,-4.40191,-20.7102,-7.80373,-22.1017,-17.4447,-26.5508,-9.52189,-39.7092,-23.6862,-31.8192,-42.7512,-39.6569,-31.236,-20.0916,-43.8515,-23.9859,-24.7477,-16.0387,-23.3765,-24.4091,-29.1883,-22.934,-12.0204,-12.6016,-8.80467,-27.6668,-9.65219,-0,-0,-0,-5.73471,-5.97169,-6.21189,-0,-0,-0,-0,-0,-0,-0,-8.22386,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,4,2,6,4,12,6,10,10,15,11,7,12,14,10,10,7,10,6,9,8,3,5,0,5,2,1,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0
-541.701,0.957062,0.257578,4,15,0,550.912,-1.43408,-1.09628,-1.21838,-0.601763,4.35698,0.336339,-0.747759,5.28883,2.48294,1.80714e-05,2.38809e-05,3.16071e-05,4.19201e-05,5.57527e-05,7.44259e-05,9.98501e-05,0.000134856,0.000183755,0.000253272,0.000354069,0.000503029,0.000726372,0.00106347,0.00157112,0.00232767,0.0034365,0.0050275,0.00725548,0.0102941,0.0143248,0.0193528,0.0253072,0.0320228,0.0392271,0.0465374,0.0534701,0.0594702,0.0639717,0.0664965,0.0667812,0.0648706,0.0611004,0.0559773,0.0500433,0.0437851,0.0375921,0.0317466,0.0264303,0.0217388,0.0176999,0.0142924,0.0114643,0.00914752,0.00726873,0.00575706,0.00454807,0.00358559,0.00282208,0.00221809,0.00174133,0.00136567,0.00107008,0.000837784,0.000655389,0.000512282,0.000400058,0.000312074,0.000243093,0.000188989,0.000146519,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-25.8239,-0,-11.3466,-5.29283,-4.926,-22.8809,-8.49153,-23.6695,-18.3833,-27.5305,-9.71516,-39.8775,-23.4291,-31.0451,-41.2397,-37.9485,-29.7697,-19.1475,-41.9286,-23.0625,-23.9589,-15.6423,-22.9667,-24.1498,-29.0659,-22.9719,-12.1026,-12.7441,-8.93703,-28.1656,-9.84835,-0,-0,-0,-5.87028,-6.11111,-6.35311,-0,-0,-0,-0,-0,-0,-0,-8.32207,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,4,4,6,3,3,10,10,10,17,25,11,12,18,12,13,5,4,5,4,8,4,1,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-541.949,1,0.257578,4,15,0,544.607,-0.647974,-2.87946,-1.05549,-0.543299,4.09302,0.0611279,-0.877824,4.67354,2.36276,0.000118994,0.000159256,0.000213205,0.000285537,0.000382582,0.000512878,0.000687927,0.000923174,0.00123919,0.00166292,0.00222878,0.002979,0.00396279,0.00523387,0.00684636,0.00884935,0.0112805,0.0141594,0.017481,0.0212108,0.0252822,0.0295778,0.0339492,0.0382247,0.04222,0.04575,0.0486425,0.0507509,0.0519677,0.052235,0.0515516,0.0499729,0.047603,0.0445821,0.0410717,0.0372415,0.0332569,0.029269,0.0254071,0.0217728,0.0184384,0.0154469,0.0128157,0.0105412,0.00860442,0.00697656,0.00562355,0.00450968,0.00360015,0.00286265,0.00226822,0.0017916,0.00141114,0.00110863,0.000868921,0.000679553,0.000530351,0.000413076,0.000321095,0.000249092,0.000192831,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-19.9362,-0,-8.96935,-4.25737,-4.04664,-19.2662,-7.35531,-21.1244,-16.9145,-26.1142,-9.49458,-40.0993,-24.1861,-32.7891,-44.357,-41.328,-32.6169,-20.9739,-45.6729,-24.8834,-25.5395,-16.4517,-23.8245,-24.7186,-29.3818,-22.9625,-11.98,-12.511,-8.71416,-27.3148,-9.51096,-0,-0,-0,-5.62678,-5.85601,-6.08876,-0,-0,-0,-0,-0,-0,-0,-8.04377,-0,-0,0,0,0,0,0,0,0,1,0,0,2,2,0,1,0,2,2,4,0,5,0,4,6,13,6,8,12,8,6,15,16,7,5,8,15,7,7,9,1,4,3,2,2,2,4,4,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0
-540.483,0.994333,0.257578,4,15,0,545.593,-2.74068,-1.7662,-1.17947,-0.433061,4.14974,0.336433,-0.98611,5.64283,2.35638,1.90273e-05,2.6351e-05,3.65128e-05,5.06298e-05,7.02745e-05,9.76736e-05,0.000136004,0.000189841,0.000265829,0.000373685,0.000527616,0.00074814,0.00106417,0.00151512,0.00215266,0.00304185,0.00426088,0.00589859,0.00804877,0.0108007,0.0142258,0.0183453,0.0231253,0.0284661,0.0341967,0.0400763,0.0458034,0.0510305,0.0553902,0.0585394,0.060222,0.0603281,0.0589102,0.0561532,0.0523229,0.0477226,0.0426602,0.0374237,0.0322623,0.0273735,0.0228965,0.0189123,0.0154517,0.0125065,0.0100418,0.00800757,0.00634787,0.00500651,0.00393097,0.00307434,0.00239595,0.00186135,0.0014419,0.00111404,0.000858647,0.000660312,0.000506709,0.000388048,0.000296589,0.000226242,0.000172237,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-24.5642,-0,-10.9166,-5.13304,-4.82224,-22.6407,-8.50539,-23.9903,-18.8341,-28.4723,-10.1269,-41.8206,-24.6672,-32.7287,-43.4003,-39.7328,-30.9069,-19.6557,-42.4761,-23.0374,-23.6026,-15.2118,-22.0814,-22.9982,-27.4709,-21.5891,-11.3303,-11.9038,-8.34007,-26.289,-9.20201,-0,-0,-0,-5.53887,-5.78466,-6.03398,-0,-0,-0,-0,-0,-0,-0,-8.12316,-0,-0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,3,2,3,3,1,6,6,6,6,6,11,12,17,19,14,10,9,11,3,6,9,8,6,1,5,1,1,3,0,1,1,2,2,2,0,0,0,1,0,0,0,0,0,0
-540.862,1,0.257578,4,15,0,542.451,-2.73296,-2.05772,-1.22219,-0.347455,4.09669,0.373074,-1.06128,5.43966,2.22096,1.68513e-05,2.4009e-05,3.4218e-05,4.87898e-05,6.96104e-05,9.94015e-05,0.000142108,0.000203475,0.0002919,0.000419652,0.000604507,0.000871681,0.0012558,0.00180257,0.00256985,0.00362768,0.00505651,0.00694273,0.00937063,0.0124107,0.0161054,0.0204421,0.0253501,0.0306961,0.0362862,0.0418748,0.047177,0.0518845,0.0556874,0.0583079,0.0595476,0.0593318,0.0577201,0.0548797,0.0510454,0.0464864,0.0414816,0.0362995,0.0311808,0.0263234,0.0218723,0.0179163,0.0144921,0.0115945,0.00918877,0.00722285,0.00563748,0.00437307,0.00337396,0.00259071,0.00198083,0.00150874,0.00114518,0.000866484,0.000653713,0.000491867,0.000369166,0.000276423,0.000206516,0.000153956,0.000114531,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-23.8556,-0,-10.5742,-4.97006,-4.67017,-21.946,-8.2572,-23.341,-18.3749,-27.869,-9.94895,-41.2499,-24.4308,-32.5461,-43.32,-39.7882,-31.0308,-19.7723,-42.7822,-23.2209,-23.8003,-15.343,-22.2775,-23.2117,-27.7436,-21.8238,-11.4676,-12.0661,-8.4683,-26.7433,-9.37955,-0,-0,-0,-5.69167,-5.95582,-6.22424,-0,-0,-0,-0,-0,-0,-0,-8.48513,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,1,1,3,5,6,4,10,11,9,12,9,12,18,11,8,13,7,6,12,4,7,3,4,5,2,4,2,2,0,1,1,0,1,0,1,0,0,0,0,0,0,0
