# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 03:29:03 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c26d6ad6ad.json
# init = /tmp/RtmpC8O1hA/init-b41c279461253_3.json
# random
#   seed = 1752008
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0167_rep017_badly_wrong_weak/prior_sensitivity_obspair_FAST-202605300429-3-4dd1fd.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0167_rep017_badly_wrong_weak/prior_sensitivity_obspair_FAST-profile-202605300429-3-4fb05d.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.102545
# Diagonal elements of inverse mass matrix:
# 0.107649, 0.0841049, 0.096901, 0.0192516, 0.0719971, 0.203904, 0.255936
-539.084,0.993131,0.102545,5,31,0,541.623,-1.89202,-3.35243,-0.161622,-0.657272,3.60482,0.116992,-0.0654259,5.03997,2.4454,9.89086e-05,0.000128277,0.000166409,0.000215947,0.000280351,0.000364165,0.00047337,0.000615882,0.000802224,0.00104647,0.00136752,0.00179094,0.00235122,0.00309472,0.00408255,0.00539251,0.00711818,0.00936275,0.0122257,0.0157823,0.0200583,0.0250032,0.0304746,0.0362347,0.041965,0.0472969,0.0518561,0.0553132,0.0574295,0.0580882,0.0573041,0.0552114,0.0520365,0.0480604,0.0435801,0.0388745,0.0341798,0.0296771,0.0254906,0.0216932,0.0183166,0.015362,0.0128101,0.0106295,0.00878237,0.00722925,0.00593132,0.00485231,0.00395931,0.00322312,0.00261828,0.00212282,0.00171805,0.00138815,0.00111983,0.000901997,0.000725446,0.000582554,0.000467051,0.000373791,0.000298574,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-22.0041,-0,-9.89021,-4.67102,-4.40421,-20.7443,-7.81822,-22.1325,-17.4543,-26.5419,-9.51276,-39.6671,-23.6743,-31.8422,-42.858,-39.8411,-31.4532,-20.2761,-44.3372,-24.2824,-25.0652,-16.2371,-23.6328,-24.6217,-29.3556,-22.9845,-11.9998,-12.5276,-8.71504,-27.2648,-9.47002,-0,-0,-0,-5.53169,-5.7374,-5.94524,-0,-0,-0,-0,-0,-0,-0,-7.66907,-0,-0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,1,1,6,2,0,3,3,8,6,12,2,13,15,10,12,20,7,9,4,6,7,10,4,4,4,8,4,3,0,2,2,4,0,0,0,0,1,0,0,0,1,0,0,1,0,0
-537.458,0.999121,0.102545,5,31,0,539.854,-2.16344,-1.53713,-1.88087,-0.534877,3.864,0.742353,-0.977671,5.25327,2.5148,4.6367e-05,6.22388e-05,8.35874e-05,0.000112338,0.000151121,0.000203554,0.000274656,0.000371462,0.000503964,0.000686512,0.000939793,0.00129304,0.00178562,0.00246742,0.00339855,0.00464843,0.00629399,0.00841617,0.0110938,0.0143952,0.0183673,0.022946,0.0280161,0.0334125,0.0389237,0.0442969,0.049242,0.0534369,0.0565459,0.0582727,0.05846,0.0571619,0.0545973,0.0510527,0.046821,0.0421758,0.0373616,0.0325881,0.0280262,0.0238019,0.0199951,0.0166417,0.0137423,0.0112729,0.00919488,0.00746337,0.00603213,0.00485704,0.00389775,0.00311848,0.00248818,0.0019803,0.00157244,0.00124591,0.000985206,0.000777568,0.000612569,0.000481722,0.000378151,0.000296308,0.000231733,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-22.7376,-0,-10.1363,-4.7776,-4.50136,-21.2043,-7.99437,-22.6477,-17.8749,-27.1906,-9.73846,-40.5189,-24.0881,-32.2218,-43.0905,-39.7967,-31.2335,-20.0331,-43.6166,-23.7992,-24.4914,-15.8295,-23.0098,-23.9667,-28.5969,-22.4279,-11.7368,-12.2875,-8.57455,-26.9121,-9.37822,-0,-0,-0,-5.54736,-5.77041,-5.9962,-0,-0,-0,-0,-0,-0,-0,-7.88022,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,1,2,2,6,5,6,8,12,9,5,13,12,11,15,14,7,16,4,7,9,8,3,2,2,3,2,5,1,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0
-538.228,0.992464,0.102545,6,63,0,540.034,-2.10923,-2.68127,-0.0667121,-0.500981,3.62203,-0.215649,-0.688016,5.1129,2.29113,4.12752e-05,5.59236e-05,7.57891e-05,0.000102744,0.000139342,0.000189077,0.000256736,0.0003489,0.000474642,0.000646508,0.000881881,0.00120484,0.00164858,0.00225842,0.00309488,0.00423618,0.00577841,0.00783142,0.0105082,0.0139071,0.0180866,0.0230372,0.0286575,0.0347406,0.0409778,0.0469825,0.0523336,0.0566305,0.0595513,0.060897,0.0606161,0.0588019,0.0556702,0.0515191,0.0466848,0.0414983,0.0362524,0.0311812,0.0264526,0.022171,0.0183868,0.0151086,0.0123158,0.00996962,0.00802165,0.00642024,0.00511477,0.00405813,0.00320816,0.00252805,0.00198637,0.0015567,0.00121708,0.000949491,0.000739254,0.00057449,0.000445656,0.000345118,0.000266806,0.000205905,0.000158617,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-23.112,-0,-10.3073,-4.84961,-4.55559,-21.3768,-8.02517,-22.6239,-17.7617,-26.8788,-9.58418,-39.7537,-23.6009,-31.5833,-42.3138,-39.18,-30.8351,-19.8351,-43.3247,-23.7264,-24.5147,-15.9105,-23.2208,-24.2756,-29.0592,-22.8538,-11.9884,-12.5775,-8.79375,-27.6493,-9.65122,-0,-0,-0,-5.74206,-5.98031,-6.22144,-0,-0,-0,-0,-0,-0,-0,-8.22899,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,6,1,4,6,15,4,9,7,10,14,10,7,13,7,11,12,11,5,6,1,4,6,5,3,3,1,2,0,1,1,4,1,1,1,0,1,0,1,0,0,1,0,0
-540.888,0.922574,0.102545,5,31,0,545.379,-2.79011,-3.18995,0.26042,-0.598042,2.78949,0.183933,-0.820945,4.88083,2.42516,7.00237e-05,9.22266e-05,0.000121488,0.000160064,0.000210944,0.00027809,0.000366773,0.000484017,0.00063922,0.000845013,0.00111846,0.00148274,0.00196952,0.00262222,0.00350029,0.00468423,0.0062801,0.00842039,0.0112563,0.0149356,0.0195629,0.0251468,0.0315498,0.0384602,0.0454033,0.0518012,0.0570696,0.060729,0.0624927,0.0623069,0.0603384,0.0569173,0.052458,0.0473829,0.0420657,0.0368014,0.0317991,0.0271905,0.0230443,0.0193831,0.0161981,0.0134606,0.0111309,0.00916466,0.00751684,0.00614414,0.00500658,0.00406817,0.00329719,0.00266603,0.00215101,0.00173198,0.00139197,0.00111674,0.000894428,0.00071523,0.000571041,0.000455209,0.000362293,0.000287854,0.000228293,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-22.6196,-0,-10.1407,-4.7771,-4.48683,-21.02,-7.86824,-22.0981,-17.2809,-26.0651,-9.27651,-38.4845,-22.9079,-30.8147,-41.5906,-38.8596,-30.8856,-20.0631,-44.2161,-24.3959,-25.3482,-16.5111,-24.1382,-25.2342,-30.1627,-23.6601,-12.3686,-12.924,-8.99607,-28.1544,-9.78122,-0,-0,-0,-5.71469,-5.92717,-6.14182,-0,-0,-0,-0,-0,-0,-0,-7.92306,-0,-0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,1,1,3,3,5,9,6,7,6,10,14,8,14,20,17,8,11,8,4,10,6,7,4,3,4,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-539.502,0.993564,0.102545,5,63,0,544.539,-1.83089,-0.971592,-2.27567,-0.610413,3.10921,0.342706,-1.05987,5.08174,2.69381,5.14565e-05,6.77038e-05,8.91609e-05,0.000117556,0.000155234,0.000205404,0.000272509,0.000362775,0.000485054,0.000652052,0.000882091,0.00120133,0.00164621,0.00226563,0.00312265,0.00429576,0.00587981,0.00798646,0.0107442,0.0142975,0.0188063,0.0241065,0.0299974,0.0362323,0.0425115,0.0484787,0.0537287,0.0578359,0.0604176,0.0612306,0.0602567,0.0577072,0.053942,0.0493649,0.044351,0.0392119,0.0341861,0.0294429,0.0250906,0.0211871,0.0177511,0.0147731,0.0122246,0.0100663,0.00825424,0.0067436,0.00549178,0.00445966,0.00361232,0.00291929,0.00235431,0.00189504,0.00152267,0.00122144,0.000978265,0.000782312,0.000624667,0.00049802,0.000396395,0.000314921,0.00024964,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-23.0763,-0,-10.2725,-4.83001,-4.53339,-21.2384,-7.94713,-22.3516,-17.5332,-26.5424,-9.47394,-39.3462,-23.3905,-31.3516,-42.0971,-39.1035,-30.9006,-19.9666,-43.7977,-24.0681,-24.925,-16.1939,-23.6316,-24.6771,-29.4821,-23.1262,-12.0939,-12.6448,-8.80861,-27.5913,-9.59406,-0,-0,-0,-5.6234,-5.83641,-6.05151,-0,-0,-0,-0,-0,-0,-0,-7.8331,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,2,1,10,6,3,2,10,10,13,15,14,12,14,4,4,16,11,9,5,8,2,4,1,4,3,6,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0
-537.621,0.998243,0.102545,5,47,0,544.864,-2.39244,-1.64157,-1.39246,-0.495989,4.11124,0.536173,-0.760292,5.49583,2.43323,2.91187e-05,3.95441e-05,5.37321e-05,7.3066e-05,9.94598e-05,0.000135579,0.00018517,0.000253556,0.000348393,0.000480804,0.000666985,0.000930179,0.0013027,0.00182763,0.00256011,0.00356786,0.00493043,0.00673628,0.00907683,0.0120369,0.0156821,0.0200061,0.0249461,0.0303759,0.0361049,0.0418815,0.0473996,0.0523101,0.0562436,0.0588597,0.0599278,0.0594014,0.0574161,0.0542234,0.0501225,0.0454181,0.0403976,0.0353166,0.0303883,0.0257761,0.0215896,0.0178869,0.0146824,0.0119578,0.00967463,0.00778346,0.00623181,0.0049686,0.00394688,0.00312502,0.00246703,0.00194242,0.00152565,0.00119562,0.000935025,0.000729796,0.000568545,0.000442119,0.000343188,0.000265909,0.00020564,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-23.8708,-0,-10.6247,-5.00025,-4.70203,-22.0989,-8.31047,-23.4703,-18.4552,-27.9528,-9.96398,-41.2478,-24.3931,-32.4562,-43.1709,-39.6564,-30.9608,-19.7641,-42.8614,-23.3171,-23.9463,-15.4592,-22.4629,-23.4038,-27.9496,-21.9499,-11.5066,-12.0711,-8.44222,-26.5582,-9.2765,-0,-0,-0,-5.53483,-5.76832,-6.00474,-0,-0,-0,-0,-0,-0,-0,-7.97723,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,2,0,2,3,4,2,4,5,8,12,13,7,14,9,11,14,8,9,11,8,5,10,6,3,3,4,3,0,3,2,1,1,1,0,3,1,0,0,0,1,0,0,0,1,0
