# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 03:38:05 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c259d95c0d.json
# init = /tmp/RtmpC8O1hA/init-b41c26efc7de3_2.json
# random
#   seed = 1752009
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0168_rep017_badly_wrong_moderate/prior_sensitivity_obspair_FAST-202605300438-2-64f97c.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0168_rep017_badly_wrong_moderate/prior_sensitivity_obspair_FAST-profile-202605300438-2-42e7ec.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.11658
# Diagonal elements of inverse mass matrix:
# 0.0784249, 0.0595172, 0.040926, 0.0194762, 0.0338404, 0.0398709, 0.0584546
-538.468,0.999756,0.11658,5,31,0,540.73,-1.67431,-1.87175,-0.873526,-0.57333,4.32723,0.136902,-0.306665,5.40268,2.4563,3.99774e-05,5.31136e-05,7.06189e-05,9.39859e-05,0.000125247,0.000167188,0.000223669,0.000300085,0.000404059,0.000546467,0.000742885,0.00101557,0.00139587,0.00192699,0.00266634,0.0036871,0.00507758,0.00693762,0.00937097,0.0124734,0.0163177,0.0208906,0.026108,0.031806,0.0377419,0.0436048,0.0490374,0.0536687,0.0571574,0.059243,0.0597927,0.0588241,0.0564912,0.053043,0.048776,0.0439948,0.0389828,0.0339844,0.0291934,0.0247495,0.0207397,0.0172049,0.0141495,0.0115514,0.00937201,0.00756411,0.00607807,0.00486573,0.00388278,0.00308985,0.00245294,0.00194318,0.00153642,0.0012127,0.000955658,0.00075195,0.000590786,0.000463469,0.000363017,0.000283847,0.000221508,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-23.7082,-0,-10.5658,-4.9708,-4.67014,-21.9208,-8.23101,-23.2107,-18.2276,-27.5848,-9.83095,-40.7236,-24.1214,-32.1742,-42.9292,-39.5655,-30.9856,-19.8324,-43.1051,-23.4932,-24.1641,-15.6184,-22.7124,-23.673,-28.2705,-22.1937,-11.6271,-12.1877,-8.51615,-26.7657,-9.34005,-0,-0,-0,-5.5512,-5.77963,-6.01047,-0,-0,-0,-0,-0,-0,-0,-7.92106,-0,-0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,2,1,2,3,7,4,9,14,9,10,13,14,15,5,15,9,13,7,5,9,6,2,2,7,1,4,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0
-537.98,0.997823,0.11658,5,31,0,539.808,-1.27518,-1.92023,-1.05641,-0.595893,4.35343,0.158261,-0.420333,5.23742,2.48823,6.10109e-05,8.05791e-05,0.000106512,0.000140946,0.000186778,0.000247972,0.000329994,0.000440459,0.000590048,0.000793802,0.0010728,0.00145614,0.00198288,0.00270346,0.00368003,0.00498507,0.00669772,0.00889769,0.0116565,0.0150272,0.0190335,0.0236045,0.0286136,0.0338795,0.0391726,0.0442277,0.0487615,0.0524957,0.0551848,0.0566489,0.0568045,0.0556805,0.0534094,0.0501968,0.0462854,0.0419244,0.0373484,0.0327629,0.0283359,0.0241935,0.0204197,0.0170601,0.0141276,0.0116105,0.0094803,0.00769851,0.00622258,0.00500976,0.00401972,0.00321596,0.00256639,0.00204344,0.0016238,0.001288,0.00101992,0.000806356,0.000636514,0.000501653,0.00039471,0.000310003,0.000242975,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-22.4193,-0,-10.012,-4.72196,-4.45189,-20.9895,-7.92311,-22.4779,-17.7694,-27.0796,-9.71933,-40.5393,-24.1665,-32.4173,-43.456,-40.1924,-31.5495,-20.2169,-43.9465,-23.9344,-24.5834,-15.8594,-23.0123,-23.9292,-28.509,-22.33,-11.6738,-12.213,-8.51925,-26.7351,-9.31708,-0,-0,-0,-5.51654,-5.73963,-5.96526,-0,-0,-0,-0,-0,-0,-0,-7.83736,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,1,6,2,4,7,7,3,8,9,12,14,9,14,13,10,12,7,11,4,4,7,4,8,1,8,0,1,2,0,1,4,0,1,0,0,0,1,0,0,0,0,0,0
-540.056,0.991236,0.11658,5,31,0,544.248,-1.39775,-1.36691,-1.15769,-0.778021,4.31732,0.691191,0.0938925,5.50214,2.80612,7.73072e-05,9.75777e-05,0.000123269,0.000155898,0.000197445,0.000250528,0.000318656,0.000406612,0.000521061,0.000671518,0.000871835,0.0011422,0.00151133,0.00201841,0.00271518,0.00366859,0.00496403,0.0067084,0.00903256,0.0121006,0.0161701,0.0210053,0.0264354,0.0322638,0.038255,0.0441306,0.0495604,0.0541556,0.0574871,0.0591763,0.0590705,0.0573431,0.054368,0.0505399,0.0461922,0.0415893,0.0369394,0.0324076,0.0281213,0.0241712,0.0206113,0.0174619,0.0147165,0.0123507,0.0103299,0.00861544,0.00716858,0.00595269,0.00493437,0.00408392,0.00337535,0.00278617,0.0022971,0.00189172,0.00155613,0.0012786,0.00104927,0.000859889,0.000703519,0.000574358,0.000467507,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-23.6356,-0,-10.6111,-5.00439,-4.70692,-22.0725,-8.24918,-23.1779,-18.1653,-27.4705,-9.79044,-40.5678,-24.0365,-32.0748,-42.8429,-39.5813,-31.1193,-20.0109,-43.6797,-23.8799,-24.5996,-15.8996,-23.0893,-24.0055,-28.5698,-22.3356,-11.6457,-12.1432,-8.43757,-26.3642,-9.14543,-0,-0,-0,-5.31153,-5.5007,-5.69126,-0,-0,-0,-0,-0,-0,-0,-7.25942,-0,-0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,4,0,2,3,2,6,3,9,9,8,11,6,14,12,9,10,14,10,8,7,5,8,5,7,3,6,1,1,0,1,1,2,1,1,2,0,2,2,0,0,1,0,0,0
-539.749,0.983393,0.11658,5,31,0,542.312,-1.41227,-2.6478,-0.621752,-0.664236,4.86327,0.624458,-1.12316,5.51807,2.33299,4.13133e-05,5.3613e-05,6.96434e-05,9.05841e-05,0.000118023,0.00015412,0.000201865,0.000265468,0.000351001,0.000467434,0.000628252,0.000853713,0.00117359,0.00163004,0.00228028,0.00319824,0.00447423,0.00621095,0.00851444,0.011479,0.0151668,0.0195845,0.0246661,0.0302654,0.0361586,0.042058,0.0476328,0.0525371,0.0564436,0.0590793,0.0602627,0.0599327,0.0581556,0.0551066,0.0510387,0.0462496,0.0410502,0.0357366,0.0305663,0.0257397,0.0213906,0.0175861,0.0143366,0.0116122,0.00935951,0.00751579,0.00601799,0.00480784,0.00383409,0.003053,0.00242796,0.00192877,0.00153069,0.00121364,0.000961382,0.000760818,0.000601446,0.000474855,0.000374328,0.000294516,0.000231166,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-24.3338,-0,-10.8188,-5.08144,-4.76599,-22.3362,-8.37729,-23.5981,-18.5116,-27.982,-9.95952,-41.1932,-24.3539,-32.4086,-43.1177,-39.6042,-30.8995,-19.7017,-42.6695,-23.1879,-23.8014,-15.3685,-22.3507,-23.3211,-27.9029,-21.9583,-11.5344,-12.1219,-8.48988,-26.7342,-9.34272,-0,-0,-0,-5.56382,-5.79163,-6.0207,-0,-0,-0,-0,-0,-0,-0,-7.89038,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,1,2,0,3,5,5,6,7,17,6,14,12,14,17,9,14,9,8,9,8,4,3,5,3,2,4,3,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0
-539.521,0.988773,0.11658,4,15,0,542.498,-1.37627,-2.48195,-0.87901,-0.769601,4.65392,0.71549,-1.21493,5.52367,2.54679,0.000102767,0.000129992,0.000164579,0.00020861,0.000264815,0.000336803,0.000429415,0.000549234,0.000705371,0.00091065,0.00118328,0.00154882,0.00204204,0.00270815,0.00360328,0.00479367,0.00635291,0.00835625,0.0108714,0.0139456,0.0175913,0.0217681,0.0263796,0.0312749,0.0362574,0.0410984,0.0455516,0.0493712,0.052331,0.0542476,0.0550069,0.0545857,0.053051,0.0505392,0.0472336,0.0433447,0.0390935,0.034695,0.0303432,0.0261972,0.0223719,0.0189349,0.0159119,0.0132963,0.0110613,0.0091694,0.00757925,0.00625,0.00514359,0.00422579,0.00346655,0.00283991,0.00232369,0.0018991,0.00155031,0.0012641,0.00102945,0.000837207,0.000679797,0.000550981,0.000445625,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-22.5036,-0,-10.1177,-4.78475,-4.52162,-21.3629,-8.0807,-22.9638,-18.1758,-27.7195,-9.95133,-41.4932,-24.7113,-33.0923,-44.2525,-40.7987,-31.9033,-20.3559,-44.0475,-23.88,-24.4212,-15.6929,-22.6926,-23.5281,-27.9615,-21.8526,-11.3998,-11.9002,-8.28138,-25.9216,-9.0086,-0,-0,-0,-5.27,-5.46655,-5.6646,-0,-0,-0,-0,-0,-0,-0,-7.29372,-0,-0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,3,0,2,2,2,5,5,4,7,11,13,9,9,22,11,8,3,8,6,11,9,6,4,4,8,1,5,2,4,3,2,2,2,1,0,1,0,0,0,0,0,0,0,0,1
-540.922,0.999061,0.11658,4,15,0,542.024,-1.17414,-2.22013,-0.719127,-0.741858,4.34761,0.90888,-1.46888,5.14286,2.4125,5.53378e-05,7.05158e-05,8.99624e-05,0.000114946,0.000147153,0.000188862,0.00024319,0.000314502,0.000409055,0.000536108,0.000709806,0.000952233,0.00129748,0.00179575,0.00251659,0.00355087,0.00500998,0.00702055,0.00971224,0.0131965,0.0175371,0.0227111,0.0285919,0.0349457,0.0414477,0.0477091,0.0533112,0.0578459,0.0609599,0.0624076,0.0621068,0.060153,0.0567773,0.052297,0.0470739,0.0414773,0.0358494,0.0304742,0.0255549,0.0212053,0.0174593,0.0142939,0.0116545,0.00947371,0.00768335,0.00622024,0.00502859,0.00406049,0.00327557,0.00264017,0.00212645,0.00171154,0.00137671,0.00110666,0.000888928,0.000713413,0.000571914,0.000457809,0.000365757,0.000291468,0.000231503,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-23.9394,-0,-10.5926,-4.95891,-4.63437,-21.639,-8.08688,-22.7094,-17.7732,-26.8317,-9.54997,-39.5542,-23.4529,-31.3497,-41.9631,-38.837,-30.5679,-19.676,-43.0293,-23.6065,-24.4483,-15.913,-23.299,-24.4361,-29.3354,-23.121,-12.1437,-12.7438,-8.90412,-27.9554,-9.7374,-0,-0,-0,-5.72126,-5.93691,-6.1533,-0,-0,-0,-0,-0,-0,-0,-7.91354,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,3,2,1,0,1,3,10,5,12,14,11,11,8,17,7,15,10,10,11,8,7,6,1,8,2,0,3,1,1,0,3,0,1,1,1,0,0,0,1,0,0,0,0,0,0
