# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 03:43:31 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c2377d6bf4.json
# init = /tmp/RtmpC8O1hA/init-b41c21febf668_1.json
# random
#   seed = 1752010
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0169_rep017_badly_wrong_strong/prior_sensitivity_obspair_FAST-202605300443-1-12c168.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0169_rep017_badly_wrong_strong/prior_sensitivity_obspair_FAST-profile-202605300443-1-766484.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.163354
# Diagonal elements of inverse mass matrix:
# 0.0562638, 0.0227495, 0.00732588, 0.00455168, 0.0087573, 0.00651734, 0.0127077
-539.249,0.989639,0.163354,5,31,0,543.436,-0.264614,-1.83677,-0.74146,-0.922462,4.48407,0.701314,-0.730077,5.37651,2.82953,6.58039e-05,8.10263e-05,9.9987e-05,0.00012372,0.00015361,0.000191548,0.00024018,0.000303321,0.000386661,0.000499035,0.000654651,0.000876752,0.00120242,0.00168701,0.00240622,0.00345491,0.00494228,0.00698352,0.00968805,0.0131442,0.0174006,0.0223979,0.0279992,0.0339866,0.0400701,0.0459063,0.0511252,0.0553624,0.0582968,0.0597013,0.0594995,0.0577856,0.054785,0.0507972,0.0461505,0.0411677,0.0361382,0.0312959,0.0268068,0.0227678,0.0192158,0.0161438,0.0135184,0.0112931,0.0094177,0.00784346,0.00652581,0.0054252,0.00450731,0.00374267,0.00310625,0.00257683,0.00213652,0.00177023,0.00146527,0.001211,0.00099854,0.000820586,0.000671163,0.000545448,0.000439579,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-24.1188,-0,-10.6199,-4.9642,-4.63686,-21.6589,-8.1025,-22.7927,-17.8779,-27.0543,-9.65138,-40.055,-23.7878,-31.8324,-42.6331,-39.4576,-31.0397,-19.9571,-43.5651,-23.8393,-24.6068,-15.9505,-23.2428,-24.2499,-28.9528,-22.6944,-11.8561,-12.3787,-8.6074,-26.9014,-9.33033,-0,-0,-0,-5.40206,-5.58796,-5.77434,-0,-0,-0,-0,-0,-0,-0,-7.3065,-0,-0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,3,0,3,9,5,6,6,6,16,10,15,16,10,13,7,13,6,11,11,5,3,6,1,1,4,1,2,2,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0
-539.218,0.988947,0.163354,4,15,0,542.376,-0.323297,-1.78552,-0.706477,-0.90772,4.43076,0.742184,-0.615457,5.33395,2.7847,5.83352e-05,7.19854e-05,8.9009e-05,0.000110337,0.000137211,0.000171322,0.000215024,0.000271696,0.000346355,0.00044677,0.000585487,0.000783333,0.00107448,0.00151187,0.0021709,0.00314986,0.00456621,0.00654838,0.00922303,0.0126978,0.0170399,0.0221964,0.028029,0.0343082,0.0407214,0.0468927,0.0524124,0.0568719,0.0599091,0.0612716,0.0608883,0.058888,0.0555427,0.0511974,0.0462185,0.0409565,0.0357161,0.0307342,0.0261697,0.022106,0.0185651,0.0155269,0.0129477,0.0107741,0.00895152,0.00742857,0.00615918,0.00510306,0.00422558,0.00349726,0.00289321,0.00239248,0.00197749,0.00163348,0.00134811,0.00111101,0.000913603,0.000748794,0.000610807,0.000494989,0.000397634,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-24.5305,-0,-10.7781,-5.02854,-4.68605,-21.8316,-8.1444,-22.8469,-17.8726,-26.979,-9.60301,-39.7786,-23.5889,-31.5365,-42.2239,-39.0941,-30.7859,-19.8248,-43.359,-23.7765,-24.595,-15.9762,-23.3251,-24.3767,-29.1452,-22.8714,-11.9594,-12.4955,-8.69367,-27.1836,-9.43186,-0,-0,-0,-5.4666,-5.65578,-5.84539,-0,-0,-0,-0,-0,-0,-0,-7.40073,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,2,4,5,9,10,6,10,11,10,9,8,10,8,14,14,11,12,10,2,5,2,3,2,2,1,1,2,4,1,2,2,0,1,1,1,0,0,0,0,0,0,0
-540.009,0.996858,0.163354,5,31,0,541.422,-0.418876,-2.47862,-0.739331,-0.765823,4.41914,0.497646,-0.428593,5.10232,2.57054,0.000127109,0.000160912,0.000203888,0.000258638,0.000328573,0.000418212,0.000533608,0.000683002,0.000877794,0.00113401,0.00147442,0.00193111,0.00254789,0.00338132,0.00449941,0.00597791,0.00789408,0.0103181,0.0133023,0.0168691,0.0209985,0.0255984,0.0305221,0.0355736,0.0405188,0.0451027,0.0490698,0.0521848,0.0542558,0.055159,0.0548592,0.0534154,0.0509643,0.0476956,0.0438283,0.0395903,0.0352004,0.0308523,0.0267023,0.0228621,0.0193987,0.0163392,0.0136808,0.0114003,0.00946338,0.00783082,0.006463,0.00532237,0.00437479,0.00358998,0.00294163,0.00240714,0.00196726,0.00160576,0.00130899,0.00106557,0.000866009,0.00070249,0.000568553,0.000458897,0.000369179,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-21.6152,-0,-9.68328,-4.57385,-4.31982,-20.4114,-7.72661,-21.9914,-17.4465,-26.6892,-9.61797,-40.2846,-24.1161,-32.4826,-43.7107,-40.5655,-31.9328,-20.5076,-44.6495,-24.3433,-25.0198,-16.1459,-23.4269,-24.3498,-28.984,-22.6696,-11.8276,-12.3426,-8.58353,-26.8447,-9.32065,-0,-0,-0,-5.4319,-5.62961,-5.82879,-0,-0,-0,-0,-0,-0,-0,-7.47242,-0,-0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,3,2,3,2,5,5,5,7,10,6,15,6,9,18,8,10,10,13,7,8,5,3,3,2,4,8,3,5,0,1,4,1,1,0,0,1,0,1,0,0,1,0,0,0,0
-540.679,0.99245,0.163354,4,15,0,544.056,-1.80963,-2.02297,-0.841604,-0.737643,4.33853,0.475838,-0.862226,5.61795,2.60065,5.78456e-05,7.37344e-05,9.40805e-05,0.000120194,0.000153808,0.000197242,0.000253641,0.000327346,0.000424463,0.000553773,0.000728139,0.000966578,0.00129696,0.00175904,0.0024073,0.00331295,0.00456402,0.00626225,0.008515,0.0114214,0.0150534,0.0194228,0.0244685,0.0300454,0.0359246,0.041806,0.0473399,0.0521574,0.0559099,0.0583192,0.0592283,0.058627,0.0566378,0.0534794,0.0494295,0.0447907,0.039861,0.0349069,0.0301437,0.0257248,0.0217417,0.0182322,0.0151947,0.012601,0.0104093,0.0085719,0.00704075,0.00577086,0.00472156,0.00385713,0.00314674,0.00256413,0.00208712,0.00169712,0.00137863,0.00111878,0.000906929,0.000734313,0.000593722,0.000479252,0.000386077,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-24.117,-0,-10.7791,-5.07322,-4.76593,-22.3613,-8.3923,-23.6478,-18.5518,-28.0404,-9.979,-41.2713,-24.4032,-32.4884,-43.2602,-39.7855,-31.0899,-19.8559,-43.0662,-23.4277,-24.0577,-15.5288,-22.5565,-23.4855,-28.0142,-21.9618,-11.4856,-12.0137,-8.37362,-26.2439,-9.1301,-0,-0,-0,-5.35562,-5.55783,-5.76139,-0,-0,-0,-0,-0,-0,-0,-7.4291,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,0,2,1,2,5,8,7,8,6,9,10,8,11,10,18,13,8,9,10,8,8,4,6,3,5,3,0,1,3,1,0,1,1,2,0,1,0,1,0,0,0,0,0,0
-540.408,0.959396,0.163354,4,31,0,548.055,-1.54975,-1.46558,-0.974052,-0.920936,4.25579,0.553472,-0.647032,5.80146,2.97435,6.18888e-05,7.60719e-05,9.36621e-05,0.000115561,0.000142954,0.000177422,0.000221123,0.000277062,0.000349547,0.000444945,0.000572948,0.000748615,0.000995336,0.00134856,0.0018598,0.00260027,0.00366322,0.00516341,0.00723222,0.0100066,0.0136116,0.0180783,0.0233579,0.0293039,0.035665,0.0420907,0.0481519,0.0533772,0.057315,0.0596248,0.0601688,0.0590351,0.0564762,0.0528267,0.0484414,0.0436555,0.0387596,0.0339839,0.0294926,0.0253866,0.0217135,0.0184811,0.015671,0.0132498,0.0111774,0.00941244,0.00791479,0.00664762,0.00557785,0.00467631,0.00391762,0.00327985,0.00274421,0.00229461,0.00191735,0.00160079,0.00133508,0.00111187,0.000924158,0.000766057,0.000632668,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-25.1492,-0,-11.2188,-5.26616,-4.92921,-23.0226,-8.59367,-24.0783,-18.7841,-28.2403,-10.0008,-41.1831,-24.2672,-32.2341,-42.8879,-39.4756,-30.9166,-19.8074,-43.109,-23.5259,-24.2192,-15.6571,-22.7526,-23.6731,-28.1889,-22.0412,-11.4895,-11.973,-8.31189,-25.9427,-8.98772,-0,-0,-0,-5.18895,-5.36525,-5.54227,-0,-0,-0,-0,-0,-0,-0,-6.98663,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,2,2,3,3,4,10,14,4,8,4,13,9,6,12,10,9,14,9,9,3,4,12,5,5,4,1,4,2,1,0,2,3,2,0,1,0,0,0,0,0,0,0,0
-541.151,0.996768,0.163354,4,15,0,545.405,-0.831189,-1.23577,-1.12878,-0.913205,4.1472,0.671679,-0.753534,5.23162,2.85779,6.24417e-05,7.70041e-05,9.51627e-05,0.000117913,0.000146585,0.000182989,0.000229649,0.000290176,0.000369909,0.000477019,0.000624448,0.000833089,0.00113626,0.0015847,0.00225074,0.003231,0.00464629,0.00663793,0.00935895,0.0129599,0.0175696,0.0230849,0.0293154,0.0359822,0.0427264,0.049125,0.0547142,0.0590265,0.0616548,0.0623572,0.0611576,0.0583326,0.0542913,0.0494637,0.0442409,0.0389482,0.0338354,0.0290755,0.0247709,0.0209644,0.0176553,0.0148142,0.0123967,0.0103527,0.00863247,0.00718955,0.0059822,0.00497382,0.00413283,0.00343221,0.00284903,0.00236391,0.00196053,0.00162517,0.00134628,0.00111419,0.00092081,0.000759365,0.000624225,0.000510732,0.000415053,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-24.386,-0,-10.7434,-5.01496,-4.67142,-21.7295,-8.08317,-22.6115,-17.6482,-26.5979,-9.45881,-39.174,-23.2451,-31.1275,-41.7931,-38.8483,-30.7373,-19.8912,-43.7009,-24.0521,-24.9448,-16.2276,-23.7037,-24.765,-29.5847,-23.1896,-12.1102,-12.6365,-8.78066,-27.4231,-9.50445,-0,-0,-0,-5.48879,-5.67455,-5.86078,-0,-0,-0,-0,-0,-0,-0,-7.379,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,2,1,6,9,7,10,12,10,9,18,13,8,12,4,7,10,14,5,7,2,5,6,0,2,1,1,3,0,0,1,1,0,0,1,1,0,0,0,2,0,0
