# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 03:43:31 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c2377d6bf4.json
# init = /tmp/RtmpC8O1hA/init-b41c21febf668_4.json
# random
#   seed = 1752010
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0169_rep017_badly_wrong_strong/prior_sensitivity_obspair_FAST-202605300443-4-12c168.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0169_rep017_badly_wrong_strong/prior_sensitivity_obspair_FAST-profile-202605300443-4-766484.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.159347
# Diagonal elements of inverse mass matrix:
# 0.0474345, 0.0428393, 0.00686575, 0.00467951, 0.00809662, 0.00578767, 0.0103208
-543.472,0.993967,0.159347,5,31,0,546.797,-2.61317,-2.78455,-0.778247,-0.648323,4.01601,0.917596,-0.46626,5.64866,2.53782,6.58796e-05,8.56444e-05,0.000111369,0.000144874,0.000188546,0.000245534,0.000320008,0.000417516,0.00054551,0.000714089,0.000937107,0.00123379,0.00163087,0.00216503,0.00288538,0.00385556,0.00515497,0.00687705,0.00912232,0.0119834,0.015522,0.0197407,0.0245681,0.0298561,0.0353885,0.0408948,0.0460657,0.0505744,0.0541075,0.0564142,0.0573579,0.0569289,0.0552223,0.0524132,0.0487332,0.0444475,0.039831,0.0351411,0.0305914,0.0263351,0.0224631,0.019015,0.0159943,0.0133814,0.0111438,0.00924314,0.00763967,0.00629456,0.0051717,0.00423833,0.00346534,0.00282729,0.00230217,0.00187112,0.00151812,0.00122966,0.000994398,0.000802851,0.000647147,0.000520766,0.000418328,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-23.3924,-0,-10.5356,-4.97957,-4.69703,-22.1212,-8.331,-23.5504,-18.5315,-28.0909,-10.0241,-41.5578,-24.6215,-32.8274,-43.7517,-40.2505,-31.4429,-20.0617,-43.4458,-23.5888,-24.1712,-15.5672,-22.5618,-23.4387,-27.8963,-21.8211,-11.3876,-11.8876,-8.27104,-25.8833,-8.99375,-0,-0,-0,-5.26455,-5.46359,-5.66494,-0,-0,-0,-0,-0,-0,-0,-7.34294,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,2,6,1,6,8,6,6,9,9,5,8,10,13,8,12,5,12,9,10,8,8,3,9,9,4,4,1,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
-541.593,0.998597,0.159347,5,31,0,545.906,-2.04492,-2.99308,-0.999265,-0.565313,4.11266,0.765332,-0.689369,5.30006,2.36615,6.67299e-05,8.87112e-05,0.000117958,0.000156892,0.000208756,0.000277904,0.000370205,0.000493606,0.000658925,0.000880971,0.00118008,0.00158401,0.00212971,0.00286464,0.00384709,0.00514548,0.00683553,0.00899422,0.0116893,0.0149646,0.0188234,0.023211,0.0280134,0.0330623,0.0381474,0.0430286,0.0474505,0.0511587,0.053921,0.0555575,0.0559746,0.0551801,0.053268,0.0503946,0.0467581,0.0425811,0.0380941,0.0335193,0.029053,0.0248498,0.0210141,0.0176003,0.0146223,0.0120656,0.00989827,0.00807979,0.00656678,0.00531671,0.00429002,0.00345106,0.00276855,0.00221548,0.00176883,0.00140923,0.00112053,0.000889308,0.000704548,0.000557215,0.000439946,0.000346769,0.000272853,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-22.2418,-0,-9.97124,-4.71117,-4.44908,-21.0103,-7.94531,-22.5788,-17.8754,-27.2749,-9.79889,-40.8966,-24.3845,-32.701,-43.8035,-40.4647,-31.7114,-20.2801,-43.9863,-23.903,-24.5021,-15.7817,-22.8739,-23.7694,-28.3091,-22.1694,-11.5877,-12.1195,-8.45042,-26.5044,-9.23079,-0,-0,-0,-5.45146,-5.66907,-5.88943,-0,-0,-0,-0,-0,-0,-0,-7.72886,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,4,2,5,2,12,8,7,7,6,9,4,7,17,7,11,12,10,7,7,8,6,5,6,9,2,2,6,3,0,2,0,2,1,0,0,0,0,0,1,0,0,0,0
-541.544,0.987303,0.159347,4,31,0,545.73,-2.36638,-2.64242,-0.980006,-0.537519,4.15352,0.749138,-0.651677,5.46135,2.36401,4.59232e-05,6.15501e-05,8.25166e-05,0.000110665,0.000148488,0.000199368,0.000267919,0.000360471,0.000485776,0.000656035,0.000888373,0.00120676,0.00164416,0.00224436,0.00306351,0.00417061,0.00564645,0.00757907,0.0100546,0.0131419,0.0168736,0.0212231,0.0260976,0.0313394,0.0367362,0.0420347,0.0469558,0.0512118,0.0545276,0.0566755,0.0575188,0.0570377,0.0553157,0.0525112,0.048834,0.0445253,0.0398396,0.0350256,0.0303049,0.0258538,0.021792,0.0181828,0.0150432,0.0123575,0.0100902,0.00819655,0.0066285,0.00533939,0.00428602,0.00342972,0.00273677,0.00217822,0.00172958,0.00137036,0.00108354,0.000855112,0.000673609,0.000529694,0.000415804,0.000325835,0.00025488,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-23.1528,-0,-10.3535,-4.88236,-4.59973,-21.6598,-8.16401,-23.116,-18.2296,-27.703,-9.91198,-41.2004,-24.4684,-32.6896,-43.6357,-40.1858,-31.4121,-20.0483,-43.4205,-23.5738,-24.1546,-15.5585,-22.5602,-23.4617,-27.9716,-21.9318,-11.4786,-12.0218,-8.39365,-26.361,-9.19237,-0,-0,-0,-5.4524,-5.67528,-5.90098,-0,-0,-0,-0,-0,-0,-0,-7.7853,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,2,0,1,2,3,7,7,11,5,11,11,13,9,10,11,7,14,12,11,7,7,3,6,6,6,4,2,0,0,3,0,1,0,0,1,0,0,0,1,0,0,0,0
-541.588,0.988716,0.159347,4,15,0,545.028,-1.58476,-1.98326,-0.822702,-0.568755,4.3348,0.764895,-0.720577,5.11301,2.23194,2.79047e-05,3.71174e-05,4.94075e-05,6.5831e-05,8.78289e-05,0.000117385,0.000157267,0.000211396,0.000285455,0.0003879,0.00053168,0.000736969,0.00103491,0.00147186,0.0021135,0.00304821,0.00438828,0.00626673,0.00882714,0.0122036,0.0164912,0.0216957,0.0277164,0.0343362,0.0412308,0.0479939,0.0541699,0.0592937,0.0629384,0.0647808,0.0646836,0.0627339,0.0591927,0.0544197,0.0488174,0.0427918,0.0367176,0.0309078,0.0255917,0.0209047,0.0168945,0.0135425,0.0107886,0.00855445,0.00675833,0.00532399,0.00418427,0.00328215,0.00257027,0.0020099,0.0015697,0.00122452,0.000954238,0.000742884,0.000577792,0.000448958,0.000348497,0.000270211,0.000209237,0.000161766,0.000124821,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-24.6376,-0,-10.8576,-5.0725,-4.72992,-22.0301,-8.20986,-22.9838,-17.9287,-26.9725,-9.56571,-39.4768,-23.325,-31.0778,-41.484,-38.3144,-30.1207,-19.382,-42.4043,-23.2882,-24.1573,-15.757,-23.1315,-24.3372,-29.3239,-23.2067,-12.2423,-12.9058,-9.05853,-28.5678,-9.99396,-0,-0,-0,-5.96374,-6.20967,-6.45687,-0,-0,-0,-0,-0,-0,-0,-8.47204,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,1,3,8,1,4,9,6,14,6,10,15,9,19,15,7,6,10,10,6,10,4,10,2,3,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-539.86,0.999362,0.159347,4,15,0,543.545,-1.46966,-2.65264,-0.810027,-0.854723,4.36275,0.597585,-0.521823,5.62156,2.76137,0.000168266,0.000208743,0.000259136,0.000321975,0.000400486,0.000498826,0.00062239,0.000778271,0.000975909,0.00122806,0.00155214,0.00197202,0.00251985,0.00323761,0.00417763,0.0054018,0.00697852,0.00897696,0.0114578,0.0144611,0.0179931,0.0220087,0.0264096,0.031047,0.0357293,0.0402359,0.0443327,0.047791,0.0504076,0.0520304,0.052581,0.0520643,0.0505589,0.0481987,0.0451554,0.0416216,0.0377944,0.0338598,0.0299782,0.0262749,0.0228358,0.01971,0.0169163,0.0144518,0.0122994,0.0104345,0.00882864,0.00745276,0.00627871,0.00528027,0.00443356,0.00371725,0.00311249,0.00260277,0.00217377,0.00181314,0.00151028,0.00125613,0.00104302,0.00086442,0.000714855,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-21.912,-0,-9.92984,-4.71309,-4.46908,-21.1815,-8.03553,-22.8979,-18.1701,-27.778,-9.99535,-41.769,-24.9283,-33.4501,-44.8142,-41.383,-32.3994,-20.6869,-44.7692,-24.2594,-24.7812,-15.8957,-22.9292,-23.6987,-28.0583,-21.8348,-11.3383,-11.7799,-8.15895,-25.4216,-8.79641,-0,-0,-0,-5.07059,-5.24378,-5.41855,-0,-0,-0,-0,-0,-0,-0,-6.86564,-0,-0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2,1,3,4,2,7,4,4,6,8,6,17,12,9,11,10,8,11,7,7,6,5,9,2,6,7,4,5,0,1,1,2,2,2,0,0,1,0,1,1,1,1,0,1,0
-540.143,0.997596,0.159347,4,15,0,542.956,-0.872787,-2.20372,-0.810804,-0.803146,4.14723,0.68206,-0.876208,5.03696,2.57175,0.000116444,0.000146249,0.000183868,0.000231461,0.000291848,0.000368756,0.000467172,0.000593884,0.000758314,0.000973836,0.00125984,0.00164474,0.00216963,0.00289126,0.00388308,0.00523351,0.00704088,0.00940422,0.0124093,0.0161106,0.0205115,0.0255289,0.0309986,0.0366812,0.0422794,0.0474638,0.0519017,0.0552888,0.0573852,0.0580556,0.0572978,0.0552347,0.052078,0.0480922,0.0435638,0.0387747,0.0339783,0.0293799,0.0251246,0.0212965,0.0179273,0.0150106,0.0125164,0.0104026,0.00862325,0.00713309,0.00589002,0.0048563,0.0039988,0.00328896,0.00270234,0.00221824,0.0018192,0.00149057,0.00122009,0.000997557,0.000814495,0.000663898,0.000539997,0.000438052,0.000354185,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-22.2045,-0,-9.91204,-4.6666,-4.38931,-20.6414,-7.77354,-22.0077,-17.3691,-26.4439,-9.49036,-39.6212,-23.6672,-31.847,-42.8695,-39.849,-31.4544,-20.2732,-44.3252,-24.2771,-25.0682,-16.2499,-23.6742,-24.6921,-29.4713,-23.0953,-12.0643,-12.597,-8.76144,-27.3942,-9.50659,-0,-0,-0,-5.52176,-5.71718,-5.91364,-0,-0,-0,-0,-0,-0,-0,-7.52395,-0,-0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,1,2,4,2,0,9,4,7,8,7,13,9,9,17,9,7,10,13,8,8,6,7,2,2,3,4,2,1,3,4,3,0,4,2,1,0,0,2,1,1,0,0,0,0,0,0
