# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 04:10:03 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c27c9962ab.json
# init = /tmp/RtmpC8O1hA/init-b41c270f7dc03_2.json
# random
#   seed = 1852003
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0172_rep018_accurate_moderate/prior_sensitivity_obspair_FAST-202605300510-2-2a1b60.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0172_rep018_accurate_moderate/prior_sensitivity_obspair_FAST-profile-202605300510-2-8a90ce.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0764105
# Diagonal elements of inverse mass matrix:
# 0.0979155, 0.0557687, 0.0389732, 0.0152056, 0.0415722, 0.0373789, 0.0439244
-540.81,0.998243,0.0764105,5,63,0,548.282,-1.87571,-0.716287,-1.6514,-0.712614,2.63557,0.32019,-0.810194,4.95783,2.82775,4.95864e-05,6.35834e-05,8.1611e-05,0.000104881,0.000135004,0.000174142,0.000225232,0.000292327,0.000381126,0.000499801,0.000660338,0.000880679,0.00118805,0.00162384,0.00224996,0.00315636,0.00446904,0.00635816,0.00904602,0.0128146,0.0180131,0.0244713,0.0319157,0.0399345,0.0479557,0.0552651,0.0610956,0.0648045,0.0660725,0.0649878,0.0619569,0.0575322,0.0522664,0.0466317,0.0409901,0.035594,0.0306005,0.0260927,0.0220992,0.0186127,0.0156031,0.0130286,0.0108422,0.00899641,0.00744571,0.00614832,0.00506669,0.00416768,0.00342246,0.00280619,0.00229763,0.00187875,0.00153433,0.00125157,0.00101975,0.000829902,0.000674578,0.000547575,0.000443753,0.000358852,0.00028935,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.32276,-0,-0,-0,-6.09684,-0,-10.8212,-5.05802,-9.41086,-26.143,-24.0999,-11.1308,-13.7786,-25.7641,-36.4497,-28.9561,-19.5672,-38.3093,-24.453,-32.8027,-44.501,-37.1203,-26.5626,-24.5238,-31.9442,-13.3423,-20.9204,-21.8766,-15.2488,-15.9356,-20.8014,-17.3624,-4.52431,-4.71093,-9.80023,-10.1832,-5.28507,-10.9608,-11.3548,-0,-0,-6.27715,-0,-0,-0,-0,-0,-0,-7.72024,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2,3,3,3,6,4,7,11,15,19,11,14,15,16,10,12,5,8,4,7,2,2,3,0,2,3,1,0,1,1,2,0,3,0,0,0,0,1,0,0,0,0,0
-538.887,0.998587,0.0764105,6,63,0,542.992,-2.65734,-2.5738,-0.897408,-0.445374,3.05145,0.0952621,-0.902828,4.97243,2.35521,4.35177e-05,5.99673e-05,8.26448e-05,0.000113916,0.000157052,0.000216579,0.000298766,0.000412303,0.000569232,0.000786214,0.00108619,0.00150044,0.0020708,0.00285167,0.00391086,0.0053284,0.00719218,0.00958987,0.0125969,0.0162613,0.020588,0.0255115,0.0308937,0.0365226,0.04212,0.0473612,0.0519052,0.055435,0.0577039,0.058572,0.0580226,0.0561537,0.0531546,0.049275,0.0447932,0.0399863,0.0351047,0.0303556,0.0258936,0.0218205,0.0181908,0.0150211,0.0122998,0.00999698,0.00807197,0.00647962,0.00517427,0.00411256,0.0032549,0.00256625,0.00201623,0.00157905,0.00123302,0.000960206,0.000745864,0.000577996,0.000446908,0.000344813,0.000265491,0.000204003,0.000156439,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.82508,-0,-0,-0,-5.544,-0,-9.86952,-4.64705,-8.74861,-24.7138,-23.2983,-11.0059,-13.9088,-26.4786,-38.0068,-30.4995,-20.7084,-40.4956,-25.6719,-34.05,-45.5508,-37.4356,-26.411,-24.0827,-31.057,-12.8769,-20.0965,-20.9686,-14.615,-15.2996,-20.0342,-16.7932,-4.39817,-4.60547,-9.63871,-10.0782,-5.26406,-10.9874,-11.4552,-0,-0,-6.45093,-0,-0,-0,-0,-0,-0,-8.23393,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,4,5,5,7,6,14,8,9,11,16,11,13,10,11,7,8,8,3,7,5,2,4,4,1,2,2,0,2,2,1,0,2,0,0,0,0,0,0,0,0,0,0
-539.518,0.991293,0.0764105,6,63,0,541.209,-1.47852,-1.25085,-1.7349,-0.75918,3.48667,0.119098,-1.21797,5.39252,2.91589,9.84776e-05,0.000125035,0.000158953,0.000202393,0.000258221,0.000330277,0.000423766,0.000545826,0.000706338,0.000919077,0.00120322,0.00158513,0.00210026,0.00279463,0.00372561,0.00496164,0.00658072,0.00866749,0.011309,0.0145891,0.0185822,0.0231866,0.0282526,0.0335811,0.0389254,0.0439992,0.0484937,0.0521054,0.0545764,0.0557406,0.0555581,0.0541197,0.0516184,0.0483034,0.0444372,0.0402653,0.0359986,0.0318058,0.0278122,0.0241026,0.0207265,0.0177056,0.0150396,0.0127137,0.0107035,0.00897963,0.00751076,0.0062658,0.00521531,0.00433221,0.00359219,0.00297374,0.0024581,0.00202904,0.00167263,0.001377,0.00113209,0.000929395,0.000761758,0.000623186,0.000508668,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.72276,-0,-0,-0,-5.59252,-0,-10.0472,-4.74818,-8.96431,-25.3649,-23.9133,-11.2925,-14.2663,-27.1503,-38.9533,-31.2358,-21.1842,-41.3628,-26.1734,-34.6445,-46.2452,-37.9152,-26.6749,-24.242,-31.1368,-12.8491,-19.9457,-20.6886,-14.3291,-14.9018,-19.3817,-16.1355,-4.19707,-4.36508,-9.07437,-9.42559,-4.89142,-10.1453,-10.5123,-0,-0,-5.81793,-0,-0,-0,-0,-0,-0,-7.17988,-0,-0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,1,0,1,3,2,6,4,7,4,8,8,12,12,11,12,12,8,12,5,12,10,6,9,2,4,4,6,3,5,0,2,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0
-539.737,0.998861,0.0764105,5,47,0,541.891,-2.59316,-2.72062,-0.763931,-0.476365,2.90257,0.11648,-0.852088,4.87932,2.3758,5.20643e-05,7.10445e-05,9.69544e-05,0.000132332,0.000180653,0.000246677,0.000336934,0.000460386,0.000629348,0.000860725,0.00117766,0.00161164,0.00220488,0.00301265,0.00410465,0.00556424,0.00748425,0.00995823,0.013067,0.0168612,0.0213429,0.0264378,0.0319901,0.0377619,0.0434446,0.0486835,0.0531165,0.0564227,0.0583715,0.0588558,0.0578988,0.0556388,0.0523008,0.0481615,0.0435145,0.0386386,0.0337745,0.029111,0.0247805,0.0208633,0.0173962,0.0143823,0.0118017,0.00962025,0.00779606,0.00628475,0.00504268,0.004029,0.00320678,0.00254347,0.00201093,0.00158524,0.00124628,0.000977344,0.000764643,0.000596913,0.000464999,0.000361508,0.000280497,0.000217217,0.000167882,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.74422,-0,-0,-0,-5.49564,-0,-9.78991,-4.60936,-8.67533,-24.4964,-23.0822,-10.8989,-13.7693,-26.2116,-37.6352,-30.2241,-20.5469,-40.2484,-25.5683,-33.992,-45.5849,-37.5554,-26.5567,-24.2656,-31.3466,-13.014,-20.3283,-21.2198,-14.7908,-15.479,-20.2575,-16.967,-4.43951,-4.64388,-9.70827,-10.1393,-5.28982,-11.0285,-11.485,-0,-0,-6.44702,-0,-0,-0,-0,-0,-0,-8.17895,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,4,3,3,3,6,4,10,4,10,8,10,8,8,13,13,6,11,12,13,9,7,8,3,3,1,1,0,3,0,3,2,2,1,1,1,2,0,0,1,0,0,0,0,0,0
-540.805,0.999409,0.0764105,6,63,0,543.161,-2.89132,-3.09707,-0.721895,-0.437237,2.86931,0.136592,-0.874336,4.84836,2.31553,4.35063e-05,6.00985e-05,8.30235e-05,0.000114702,0.000158485,0.000219009,0.000302696,0.000418437,0.000578545,0.000800039,0.00110635,0.00152948,0.0021125,0.00291189,0.00399905,0.00545949,0.00738853,0.00988227,0.0130234,0.016863,0.0214009,0.0265604,0.0321823,0.0380244,0.0437743,0.049075,0.0535628,0.0569151,0.0588975,0.0593973,0.0584318,0.0561348,0.0527306,0.0485,0.0437442,0.038752,0.033774,0.0290073,0.0245902,0.0206061,0.0170921,0.0140503,0.0114583,0.00927892,0.00746711,0.00597555,0.00475798,0.00377137,0.00297709,0.00234132,0.00183504,0.00143372,0.00111692,0.000867792,0.000672541,0.000519997,0.000401159,0.000308823,0.000237251,0.000181899,0.00013918,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.80669,-0,-0,-0,-5.5217,-0,-9.81565,-4.61701,-8.68201,-24.4958,-23.0659,-10.885,-13.7454,-26.1562,-37.5445,-30.1441,-20.4883,-40.1267,-25.4876,-33.8821,-45.4383,-37.44,-26.483,-24.2095,-31.294,-13.0023,-20.3284,-21.2412,-14.8216,-15.5287,-20.3457,-17.0604,-4.46904,-4.68001,-9.79449,-10.2402,-5.34793,-11.1606,-11.6336,-0,-0,-6.54748,-0,-0,-0,-0,-0,-0,-8.34639,-0,-0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,4,3,9,4,6,6,7,9,12,10,14,10,16,6,14,7,11,7,4,5,8,6,5,3,1,3,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-541.384,0.99713,0.0764105,6,63,0,546.017,-1.86642,-1.87671,-2.07138,-0.391475,3.68884,0.270263,-0.658394,5.04515,2.38714,4.10783e-05,5.76513e-05,8.09381e-05,0.000113682,0.000159766,0.000224696,0.000316282,0.000445583,0.000628129,0.000885339,0.00124585,0.00174632,0.00243131,0.00335238,0.00456622,0.00613216,0.00810866,0.0105489,0.0134959,0.016977,0.0209998,0.025462,0.0302275,0.0351288,0.0399719,0.0445426,0.048614,0.0519576,0.0543593,0.0556454,0.0557175,0.0545824,0.0523552,0.0492305,0.0454387,0.0412115,0.0367629,0.0322794,0.027917,0.0237987,0.0200142,0.0166203,0.0136433,0.0110833,0.00892033,0.00712071,0.00564318,0.00444387,0.00347988,0.00271151,0.00210349,0.00162537,0.00125145,0.000960435,0.000734914,0.000560817,0.00042688,0.000324159,0.000245602,0.000185679,0.000140077,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.68793,-0,-0,-0,-5.38907,-0,-9.62965,-4.55173,-8.61074,-24.4554,-23.1795,-11.0117,-13.996,-26.7899,-38.6349,-31.1131,-21.1669,-41.4026,-26.2093,-34.6651,-46.1994,-37.8046,-26.5473,-24.0899,-30.9139,-12.7561,-19.8196,-20.6,-14.3141,-14.9525,-19.5566,-16.3885,-4.29451,-4.50232,-9.43884,-9.8895,-5.17731,-10.8325,-11.3215,-0,-0,-6.42202,-0,-0,-0,-0,-0,-0,-8.3118,-0,-0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,4,3,1,1,2,1,2,5,10,7,12,12,9,11,5,9,12,9,10,13,7,6,8,8,3,6,4,4,1,4,2,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0
