# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 04:17:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c21dd7c665.json
# init = /tmp/RtmpC8O1hA/init-b41c25f830d58_4.json
# random
#   seed = 1852004
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0173_rep018_accurate_strong/prior_sensitivity_obspair_FAST-202605300517-4-793f25.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0173_rep018_accurate_strong/prior_sensitivity_obspair_FAST-profile-202605300517-4-6e1044.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.148508
# Diagonal elements of inverse mass matrix:
# 0.0592276, 0.0572797, 0.00604237, 0.00861402, 0.0114471, 0.00406366, 0.00728236
-540.592,0.98281,0.148508,4,15,0,543.068,-2.3073,-1.54567,-1.1344,-0.578136,3.33021,-0.112969,-1.04337,5.49253,2.68198,5.32234e-05,7.05906e-05,9.36796e-05,0.000124414,0.00016539,0.000220127,0.000293421,0.000391844,0.000524433,0.000703663,0.00094673,0.0012772,0.0017269,0.00233787,0.00316383,0.00427066,0.00573518,0.00764166,0.0100758,0.0131161,0.0168234,0.0211803,0.0261089,0.0314603,0.0370114,0.0424713,0.0475025,0.0517578,0.0549285,0.0567952,0.0572618,0.0563637,0.0542485,0.0511404,0.0473023,0.0430012,0.0384834,0.0339578,0.0295888,0.025494,0.0217487,0.0183918,0.0154337,0.0128639,0.0106584,0.00878482,0.00720713,0.0058885,0.0047935,0.00388929,0.00314627,0.00253832,0.00204278,0.00164024,0.00131421,0.00105088,0.000838694,0.000668092,0.00053119,0.000421522,0.000333807,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.9625,-0,-0,-0,-5.75597,-0,-10.3223,-4.87414,-9.19524,-26.0035,-24.5099,-11.564,-14.5819,-27.6722,-39.5584,-31.5893,-21.3288,-41.4565,-26.1155,-34.4196,-45.7619,-37.3871,-26.2276,-23.7854,-30.512,-12.5861,-19.5452,-20.2958,-14.0814,-14.6772,-19.141,-15.9834,-4.17121,-4.35333,-9.08282,-9.46946,-4.93268,-10.2695,-10.681,-0,-0,-5.97625,-0,-0,-0,-0,-0,-0,-7.54039,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,3,3,2,4,4,8,7,10,8,11,15,9,15,11,15,7,12,12,1,6,4,6,6,3,2,0,5,1,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0
-538.969,0.999842,0.148508,5,31,0,541.709,-1.97393,-1.84982,-1.16694,-0.348999,3.50054,-0.00996993,-1.10406,4.94932,2.25007,2.47158e-05,3.51931e-05,5.01245e-05,7.14151e-05,0.000101793,0.000145171,0.000207166,0.000295845,0.000422769,0.000604413,0.000863991,0.00123358,0.00175625,0.00248765,0.00349639,0.00486256,0.00667364,0.0090177,0.0119737,0.0155998,0.0199206,0.0248788,0.0303493,0.0361352,0.041971,0.0475362,0.0524784,0.056449,0.0591487,0.0603756,0.060061,0.0582776,0.0552178,0.0511531,0.0463918,0.0412417,0.0359839,0.030854,0.0260327,0.0216432,0.0177547,0.0143906,0.0115396,0.00916589,0.00721964,0.00564477,0.00438477,0.00338647,0.00260214,0.0019904,0.00151629,0.00115089,0.000870657,0.000656672,0.000493909,0.000370541,0.000277326,0.000207096,0.00015432,0.000114755,8.51583e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.05395,-0,-0,-0,-5.65602,-0,-10.0192,-4.70857,-8.85008,-24.963,-23.496,-11.0812,-13.9799,-26.5639,-38.0493,-30.4626,-20.6315,-40.2419,-25.4493,-33.686,-44.9983,-36.953,-26.0682,-23.7835,-30.7063,-12.7532,-19.9481,-20.8709,-14.5936,-15.3323,-20.1555,-16.9647,-4.46197,-4.69227,-9.8619,-10.3541,-5.42962,-11.3759,-11.9028,-0,-0,-6.76722,-0,-0,-0,-0,-0,-0,-8.77648,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,3,1,3,3,7,4,9,10,12,16,13,11,15,9,8,13,12,8,6,4,4,4,5,2,3,1,2,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0
-538.897,0.998012,0.148508,4,31,0,540.801,-2.3898,-1.67742,-1.38669,-0.561089,3.19945,0.10701,-1.04481,5.28852,2.61987,5.92361e-05,7.89006e-05,0.000105139,0.000140184,0.000187049,0.000249824,0.000334076,0.000447434,0.000600383,0.000807382,0.00108833,0.00147036,0.00198977,0.00269366,0.00364066,0.00490025,0.0065501,0.00867125,0.0113409,0.0146233,0.0185597,0.0231039,0.0281504,0.0335278,0.0389992,0.0442706,0.0490108,0.0528866,0.0556113,0.0569964,0.0569852,0.0556526,0.053176,0.0497953,0.0457747,0.041374,0.0368274,0.0323305,0.0280338,0.0240428,0.0204211,0.0171981,0.0143761,0.0119389,0.00985804,0.00809873,0.00662357,0.00539543,0.00437923,0.00354289,0.00285782,0.002299,0.00184485,0.00147701,0.00117996,0.000940727,0.000748534,0.000594472,0.000471226,0.000372811,0.000294357,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.82311,-0,-0,-0,-5.61559,-0,-10.0565,-4.74774,-8.95868,-25.3508,-23.9206,-11.3033,-14.2808,-27.163,-38.9306,-31.1743,-21.11,-41.1545,-26.0043,-34.3772,-45.8394,-37.5521,-26.4073,-23.9987,-30.8402,-12.7404,-19.8091,-20.5905,-14.2974,-14.9117,-19.4559,-16.2518,-4.24219,-4.42796,-9.23894,-9.6321,-5.01712,-10.4444,-10.8618,-0,-0,-6.07528,-0,-0,-0,-0,-0,-0,-7.66017,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,1,1,3,4,1,4,7,7,5,10,10,3,11,12,15,10,9,6,10,5,7,4,6,8,7,5,5,3,1,2,2,0,3,2,0,1,0,1,0,0,1,0,0,0,0
-541.597,0.983189,0.148508,5,31,0,544.176,-1.03563,-1.9192,-1.48091,-0.405909,3.51466,0.0639281,-0.866466,4.4742,2.2609,5.15086e-05,7.1946e-05,0.000100527,0.000140523,0.000196542,0.000275077,0.000385292,0.00054009,0.000757558,0.00106274,0.00148959,0.00208263,0.00289769,0.00400096,0.00546604,0.00736892,0.0097811,0.0127615,0.0163478,0.0205484,0.0253363,0.0305484,0.0359728,0.0413573,0.0464226,0.0508802,0.0544549,0.0569108,0.0580815,0.057897,0.0563987,0.0537329,0.0501228,0.0458304,0.0411229,0.0362482,0.03142,0.0268094,0.0225421,0.0186991,0.0153207,0.0124137,0.0099587,0.00791932,0.00624912,0.00489795,0.0038163,0.00295818,0.00228262,0.00175429,0.00134347,0.00102559,0.000780698,0.000592748,0.000448984,0.000339348,0.000255961,0.000192691,0.000144787,0.000108588,8.12832e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.50926,-0,-0,-0,-5.2092,-0,-9.25461,-4.36132,-8.22732,-23.3098,-22.0531,-10.4653,-13.3,-25.4841,-36.8396,-29.7828,-20.3727,-40.1278,-25.6132,-34.1891,-46.0049,-38.0085,-26.9395,-24.6625,-31.9119,-13.2695,-20.7619,-21.714,-15.1695,-15.9171,-20.8927,-17.5558,-4.60931,-4.83845,-10.1506,-10.6379,-5.56847,-11.6464,-12.1649,-0,-0,-6.88249,-0,-0,-0,-0,-0,-0,-8.84025,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,2,3,5,2,7,2,10,13,17,12,16,6,17,14,5,7,9,8,7,7,3,4,3,4,3,1,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-541.541,0.977082,0.148508,4,31,0,546.299,-2.32263,-3.1421,-1.27875,-0.277789,3.44795,0.251425,-1.13365,4.80592,2.11003,2.14185e-05,3.12839e-05,4.56952e-05,6.67489e-05,9.75091e-05,0.000142453,0.000208117,0.000304025,0.00044398,0.000647808,0.000943478,0.00136935,0.00197595,0.00282653,0.00399589,0.00556675,0.00762342,0.0102421,0.0134784,0.0173534,0.0218411,0.0268469,0.0322152,0.0377343,0.0431493,0.048179,0.0525355,0.055948,0.0581906,0.0591139,0.0586698,0.0569169,0.0540039,0.0501438,0.0455882,0.0406041,0.0354529,0.030371,0.0255536,0.0211438,0.0172299,0.0138488,0.0109959,0.00863688,0.00671985,0.00518486,0.00397121,0.00302195,0.00228637,0.00172096,0.00128939,0.00096203,0.000715068,0.00052967,0.000391099,0.000287938,0.000211414,0.000154835,0.000113128,8.24677e-05,5.9986e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.96594,-0,-0,-0,-5.52249,-0,-9.75306,-4.58125,-8.61333,-24.3238,-22.9438,-10.8528,-13.7413,-26.2175,-37.7171,-30.3283,-20.6239,-40.3666,-25.5963,-33.9395,-45.3733,-37.2601,-26.2683,-23.9429,-30.8811,-12.8155,-20.0373,-20.9656,-14.6679,-15.4256,-20.3055,-17.1182,-4.51024,-4.75171,-10.0054,-10.524,-5.52868,-11.6037,-12.1616,-0,-0,-6.94646,-0,-0,-0,-0,-0,-0,-9.08699,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,1,4,2,3,8,5,5,5,6,18,8,10,20,13,11,11,14,9,4,7,5,3,7,2,4,3,0,0,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
-541.264,0.996521,0.148508,5,31,0,544.135,-1.27536,-1.31393,-1.33232,-0.765444,3.32827,-0.156334,-0.937244,5.25137,2.89772,0.000113122,0.000143405,0.00018201,0.000231345,0.000294585,0.000375949,0.000481092,0.000617654,0.000796047,0.00103053,0.00134062,0.00175294,0.00230323,0.0030384,0.00401804,0.00531479,0.00701292,0.00920471,0.0119844,0.0154402,0.0196443,0.0244816,0.0297709,0.0352678,0.0406757,0.0456668,0.0499147,0.0531335,0.0551182,0.0557749,0.0551304,0.0533181,0.0505462,0.047061,0.0431125,0.0389301,0.0347078,0.030598,0.0267112,0.0231194,0.0198628,0.0169561,0.0143952,0.0121633,0.0102356,0.00858324,0.00717574,0.0059832,0.00497731,0.00413207,0.00342413,0.00283282,0.00234011,0.00193039,0.00159026,0.00130833,0.00107489,0.000881791,0.000722152,0.000590223,0.00048121,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.61462,-0,-0,-0,-5.51696,-0,-9.92,-4.68804,-8.84829,-25.0247,-23.5798,-11.1295,-14.0569,-26.7583,-38.4255,-30.8638,-20.9821,-41.0893,-26.0845,-34.6372,-46.3689,-38.1092,-26.8638,-24.4505,-31.4394,-12.984,-20.1647,-20.9209,-14.4907,-15.0683,-19.5945,-16.3085,-4.24086,-4.40933,-9.16376,-9.51589,-4.93705,-10.2376,-10.6057,-0,-0,-5.86648,-0,-0,-0,-0,-0,-0,-7.23328,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2,2,1,1,3,4,5,7,9,14,9,9,10,15,12,14,5,10,6,5,8,8,6,5,6,2,2,3,0,4,2,1,3,0,0,0,0,0,1,0,1,0,0,0,0
