# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 04:21:30 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c22886258f.json
# init = /tmp/RtmpC8O1hA/init-b41c27d3561cb_2.json
# random
#   seed = 1852005
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0174_rep018_mildly_wrong_weak/prior_sensitivity_obspair_FAST-202605300521-2-42ffd0.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0174_rep018_mildly_wrong_weak/prior_sensitivity_obspair_FAST-profile-202605300521-2-0ee19f.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.112943
# Diagonal elements of inverse mass matrix:
# 0.13982, 0.102669, 0.156229, 0.0239675, 0.0933702, 0.103418, 0.249194
-539.302,0.991049,0.112943,5,63,0,544.664,-2.71029,-1.82636,-0.675829,-0.799068,2.80461,0.885881,-1.39768,5.40649,2.97396,9.62034e-05,0.000120731,0.000151598,0.000190491,0.000239578,0.000301655,0.00038036,0.000480467,0.000608317,0.000772445,0.000984538,0.00126092,0.00162495,0.00211081,0.00276929,0.00367493,0.00493258,0.00668036,0.00908481,0.0123211,0.0165331,0.0217627,0.0279033,0.0346729,0.0416207,0.0481653,0.0536783,0.0576368,0.0597547,0.0599979,0.0585399,0.0557026,0.0518838,0.0474808,0.0428323,0.0381935,0.0337379,0.0295722,0.025754,0.0223066,0.0192304,0.0165112,0.014126,0.0120473,0.0102456,0.00869128,0.00735582,0.00621253,0.00523685,0.00440657,0.00370183,0.00310502,0.00260065,0.00217521,0.00181694,0.00151566,0.0012626,0.00105023,0.000872135,0.000722853,0.000597786,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.92334,-0,-0,-0,-5.88917,-0,-10.6238,-5.00858,-9.4023,-26.3786,-24.6143,-11.4827,-14.316,-26.8944,-38.1499,-30.3312,-20.4732,-39.9503,-25.3576,-33.7613,-45.4087,-37.5405,-26.6287,-24.3794,-31.5046,-13.0604,-20.3348,-21.1255,-14.6367,-15.2115,-19.7563,-16.4149,-4.25974,-4.41891,-9.16181,-9.49087,-4.91226,-10.1624,-10.5041,-0,-0,-5.77474,-0,-0,-0,-0,-0,-0,-7.04457,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,2,1,4,7,3,15,11,3,13,10,12,13,12,13,11,9,6,7,5,6,3,6,6,5,2,1,4,0,1,0,1,2,1,0,1,0,0,0,0,0,0,0,0
-543.757,0.926666,0.112943,4,15,0,546.365,-2.22796,-2.97862,-1.22584,-0.661085,2.2077,0.567676,-2.75062,4.59698,2.6857,0.000155138,0.000200879,0.000260124,0.000336874,0.000436321,0.000565212,0.000732324,0.000949089,0.00123042,0.00159581,0.00207078,0.0026888,0.00349364,0.00454208,0.00590596,0.00767154,0.0099338,0.0127843,0.0162936,0.0204905,0.0253426,0.0306993,0.0363163,0.0418662,0.0469647,0.0512174,0.0542894,0.0559743,0.0562224,0.055123,0.0528672,0.0497088,0.0459247,0.0417806,0.037506,0.0332824,0.0292414,0.0254698,0.0220182,0.0189087,0.0161437,0.0137115,0.0115915,0.00975824,0.00818366,0.00683939,0.00569782,0.00473296,0.00392092,0.00324011,0.00267131,0.0021976,0.00180422,0.00147842,0.00120923,0.000987322,0.000804748,0.000654809,0.000531877,0.00043124,0.000348975,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.17983,-0,-0,-0,-5.13179,-0,-9.22363,-4.35954,-8.23397,-23.3267,-22.0516,-10.4506,-13.262,-25.3862,-36.7003,-29.7168,-20.394,-40.3601,-25.906,-34.7783,-47.0396,-39.0205,-27.7268,-25.4026,-32.8325,-13.6109,-21.193,-22.0216,-15.2636,-15.8725,-20.6311,-17.1581,-4.45748,-4.62964,-9.61123,-9.97011,-5.16767,-10.7064,-11.0829,-0,-0,-6.12039,-0,-0,-0,-0,-0,-0,-7.5391,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,4,5,3,3,2,4,10,8,8,16,14,13,13,16,9,5,7,8,5,5,8,5,6,4,2,4,1,0,4,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
-541.819,0.999825,0.112943,5,31,0,547.117,-3.18956,-0.74,-0.711676,-0.302792,2.27323,-0.804614,-0.595615,5.20567,2.53256,3.00734e-05,4.31447e-05,6.17848e-05,8.82885e-05,0.000125844,0.000178853,0.000253339,0.000357488,0.000502313,0.000702495,0.000977413,0.00135236,0.00185998,0.00254181,0.00344988,0.00464813,0.00621321,0.00823427,0.010811,0.0140495,0.0180551,0.0227833,0.0281122,0.0338354,0.0396672,0.0452634,0.0502564,0.0543009,0.0571202,0.0585426,0.0585203,0.0571267,0.054536,0.0509902,0.0467636,0.0421302,0.0373391,0.0325985,0.0280695,0.0238652,0.0200556,0.0166743,0.0137267,0.0111974,0.00905723,0.00726885,0.0057912,0.00458271,0.00360352,0.00281685,0.00218979,0.00169353,0.00130341,0.000998612,0.000761832,0.000578868,0.000438184,0.000330505,0.000248437,0.000186134,0.000139008,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.9306,-0,-0,-0,-5.66942,-0,-10.1622,-4.79945,-9.05438,-25.591,-24.086,-11.3452,-14.2862,-27.09,-38.7268,-30.9526,-20.9343,-40.785,-25.7634,-34.056,-45.4141,-37.2123,-26.18,-23.809,-30.6265,-12.668,-19.7263,-20.5409,-14.2923,-14.9413,-19.5462,-16.3755,-4.28841,-4.49207,-9.40838,-9.84832,-5.15142,-10.7709,-11.2517,-0,-0,-6.38094,-0,-0,-0,-0,-0,-0,-8.30032,-0,-0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,4,7,8,6,6,5,5,13,12,8,11,12,7,13,6,7,4,3,9,6,6,9,3,6,2,2,2,2,2,3,1,1,1,1,0,1,0,0,0,0,0,0,0
-538.275,0.976514,0.112943,5,31,0,542.887,-1.82951,-2.5884,-0.363907,-0.863917,3.59489,0.511737,-1.39669,5.23703,2.66717,0.000131451,0.000162818,0.000201827,0.000250422,0.000311089,0.000387031,0.000482412,0.000602705,0.000755213,0.000949822,0.00120017,0.00152544,0.001953,0.00252229,0.00328948,0.00433238,0.00575348,0.00767829,0.0102451,0.0135824,0.0177751,0.0228233,0.0286111,0.0348922,0.0413009,0.047386,0.0526669,0.0567059,0.0591831,0.0599481,0.0590319,0.0566246,0.053033,0.0486248,0.0437717,0.038801,0.0339658,0.0294368,0.0253113,0.0216296,0.0183934,0.0155808,0.013157,0.0110818,0.00931399,0.00781411,0.00654564,0.00547574,0.00457529,0.00381887,0.00318445,0.00265308,0.00220851,0.00183694,0.0015266,0.00126753,0.00105132,0.000870867,0.000720231,0.000594445,0.000489385,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.72529,-0,-0,-0,-5.71703,-0,-10.3159,-4.86936,-9.16191,-25.7939,-24.1798,-11.3399,-14.2158,-26.8439,-38.2424,-30.4943,-20.6064,-40.1783,-25.4441,-33.7713,-45.2748,-37.327,-26.4316,-24.189,-31.2877,-12.9972,-20.2944,-21.1531,-14.706,-15.3348,-19.9788,-16.6469,-4.3308,-4.50245,-9.35248,-9.70365,-5.02896,-10.4149,-10.7742,-0,-0,-5.93204,-0,-0,-0,-0,-0,-0,-7.23594,-0,-0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,0,5,6,3,2,8,22,9,6,9,7,9,14,8,12,11,10,7,3,9,6,5,7,0,0,2,1,2,1,2,0,2,1,0,1,0,1,0,0,0,0,0
-537.884,0.972405,0.112943,4,31,0,542.716,-1.37515,-2.32292,-0.632644,-0.69619,3.38551,0.248446,-0.664176,4.76156,2.4847,0.000114667,0.000147374,0.000189501,0.000243823,0.000313968,0.000404711,0.000522372,0.000675389,0.000875125,0.00113705,0.00148241,0.00194061,0.00255232,0.00337298,0.00447575,0.00595208,0.0079078,0.010453,0.013685,0.0176658,0.022398,0.0277853,0.0336308,0.039641,0.0454465,0.0506402,0.0548292,0.0576934,0.0590375,0.0588178,0.0571363,0.0542096,0.0503277,0.0458111,0.0409714,0.0360807,0.0313529,0.026938,0.022926,0.0193576,0.0162373,0.0135455,0.011248,0.00930395,0.00767033,0.00630541,0.00517039,0.00423031,0.00345433,0.00281568,0.0022914,0.00186197,0.00151092,0.00122446,0.000991044,0.000801111,0.000646728,0.000521356,0.000419624,0.00033713,0.000270284,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.51409,-0,-0,-0,-5.40908,-0,-9.67981,-4.56087,-8.58291,-24.2167,-22.7927,-10.7497,-13.5692,-25.8231,-37.0946,-29.8301,-20.3247,-39.9366,-25.4662,-33.9997,-45.7971,-37.8937,-26.9028,-24.6658,-31.9488,-13.288,-20.7747,-21.6853,-15.1019,-15.7787,-20.6022,-17.2068,-4.48756,-4.67732,-9.74079,-10.1327,-5.26481,-10.931,-11.3363,-0,-0,-6.28612,-0,-0,-0,-0,-0,-0,-7.77615,-0,-0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,1,3,3,5,4,4,5,16,11,14,12,16,10,9,9,7,7,9,13,6,6,2,3,4,2,2,3,0,2,2,0,0,1,0,2,0,1,0,0,0,0,0,0,1
-538.293,0.995956,0.112943,5,31,0,538.79,-1.28424,-2.10604,-1.225,-0.672415,3.56372,0.579116,-1.51878,4.76405,2.47754,0.000119626,0.000154658,0.000200043,0.000258904,0.00033535,0.000434814,0.000564529,0.000734208,0.00095701,0.00125095,0.0016409,0.00216112,0.00285794,0.00379129,0.00503382,0.00666729,0.0087762,0.0114384,0.0147124,0.0186231,0.0231475,0.0281714,0.0335128,0.03893,0.0441374,0.0488259,0.0526874,0.0554467,0.0569038,0.056978,0.0557224,0.0532963,0.0499246,0.0458647,0.041382,0.0367284,0.0321232,0.0277386,0.0236934,0.020055,0.0168478,0.0140654,0.0116816,0.00965957,0.00795786,0.00653498,0.00535154,0.00437163,0.00356331,0.00289872,0.00235385,0.00190825,0.00154464,0.00124852,0.00100777,0.000812345,0.000653924,0.000525654,0.000421906,0.000338076,0.000270402,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.41251,-0,-0,-0,-5.29158,-0,-9.47142,-4.47078,-8.43812,-23.9001,-22.5952,-10.7083,-13.5833,-25.9679,-37.4454,-30.1949,-20.6036,-40.4927,-25.7975,-34.3811,-46.198,-38.1145,-26.9752,-24.6565,-31.8491,-13.2168,-20.6291,-21.5096,-14.9702,-15.6371,-20.4177,-17.0562,-4.44974,-4.63981,-9.66719,-10.0612,-5.23037,-10.8652,-11.2741,-0,-0,-6.26157,-0,-0,-0,-0,-0,-0,-7.77073,-0,-0,0,0,0,0,0,0,2,0,1,0,1,1,1,1,0,2,2,1,2,6,1,8,5,5,8,10,7,13,12,17,10,7,7,5,9,8,6,8,9,2,2,5,3,2,1,1,1,2,1,1,0,0,2,0,0,0,0,0,0,1,1
