# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 04:31:14 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c241aa7383.json
# init = /tmp/RtmpC8O1hA/init-b41c25c80114c_2.json
# random
#   seed = 1852006
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0175_rep018_mildly_wrong_moderate/prior_sensitivity_obspair_FAST-202605300531-2-0d08e7.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0175_rep018_mildly_wrong_moderate/prior_sensitivity_obspair_FAST-profile-202605300531-2-2cb352.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.10254
# Diagonal elements of inverse mass matrix:
# 0.119453, 0.0590918, 0.0276936, 0.0123621, 0.0438135, 0.0395673, 0.0378353
-539.898,0.999428,0.10254,5,31,0,545.311,-1.94754,-2.86808,-1.03899,-0.616683,3.67337,0.9451,-0.99128,5.05192,2.43585,9.22586e-05,0.000120911,0.000158491,0.000207802,0.000272541,0.000357598,0.000469461,0.000616764,0.000811064,0.00106792,0.00140843,0.00186133,0.00246546,0.00327179,0.00434388,0.00575694,0.00759468,0.00994266,0.0128761,0.0164419,0.0206372,0.0253852,0.0305366,0.0358797,0.0411573,0.0460836,0.0503619,0.0537075,0.0558825,0.0567476,0.056289,0.0545989,0.0518432,0.0482387,0.0440333,0.0394865,0.0348464,0.030325,0.0260793,0.0222068,0.0187534,0.0157271,0.0131111,0.0108745,0.00897943,0.0073856,0.00605356,0.00494631,0.00403022,0.00327541,0.00265574,0.00214868,0.00173496,0.00139829,0.00112497,0.00090356,0.000724543,0.000580063,0.000463645,0.00036998,0.000294728,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.56528,-0,-0,-0,-5.43899,-0,-9.76061,-4.61092,-8.70476,-24.6475,-23.284,-11.0208,-13.9553,-26.6207,-38.2842,-30.773,-20.9196,-40.9388,-25.9605,-34.4297,-46.0361,-37.8007,-26.6358,-24.2527,-31.2281,-12.9272,-20.1408,-20.9747,-14.5864,-15.2294,-19.8819,-16.6095,-4.3343,-4.52133,-9.42564,-9.81645,-5.10711,-10.6182,-11.0279,-0,-0,-6.1429,-0,-0,-0,-0,-0,-0,-7.67639,-0,-0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,3,0,3,4,7,2,6,7,17,4,15,10,17,11,17,15,6,1,7,6,10,5,1,2,4,4,0,5,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0
-541.3,0.996439,0.10254,5,31,0,543.554,-1.69848,-3.38521,-1.09408,-0.632526,3.91729,0.941985,-0.982028,5.06731,2.42293,0.000117233,0.000152969,0.000199624,0.000260556,0.000340165,0.000444233,0.000580368,0.000758615,0.000992279,0.00129905,0.00170249,0.00223387,0.0029337,0.00385212,0.00504791,0.00658637,0.00853527,0.0109578,0.013902,0.0173858,0.0213832,0.0258091,0.0305246,0.0353477,0.0400664,0.044451,0.0482665,0.0512883,0.0533246,0.0542481,0.0540249,0.0527118,0.0504316,0.0473515,0.043666,0.0395832,0.0353113,0.0310441,0.0269438,0.0231284,0.0196692,0.0165964,0.0139108,0.0115935,0.00961486,0.00793967,0.00653155,0.00535509,0.00437729,0.00356829,0.00290161,0.00235415,0.001906,0.00154018,0.0012423,0.0010003,0.000804102,0.000645334,0.000517076,0.000413626,0.00033031,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.37566,-0,-0,-0,-5.28878,-0,-9.5271,-4.5137,-8.55145,-24.3126,-23.0709,-10.9711,-13.9569,-26.7402,-38.6066,-31.1337,-21.2171,-41.5841,-26.3822,-34.9702,-46.693,-38.2579,-26.8842,-24.4013,-31.3118,-12.9174,-20.0613,-20.8341,-14.456,-15.0668,-19.6435,-16.3943,-4.27509,-4.45731,-9.28889,-9.67177,-5.03111,-10.4594,-10.8627,-0,-0,-6.05157,-0,-0,-0,-0,-0,-0,-7.56732,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,5,2,2,2,4,7,8,8,6,2,15,6,13,13,11,8,7,9,4,8,5,11,6,5,1,7,6,0,0,5,1,0,1,0,1,1,1,0,2,0,0,0,0,0,0
-540.459,0.998109,0.10254,5,31,0,544.401,-2.41041,-2.1822,-0.467958,-0.618355,3.12102,0.311173,-1.27503,5.07741,2.50287,5.64784e-05,7.40306e-05,9.7074e-05,0.000127353,0.000167183,0.000219657,0.000288921,0.000380582,0.000502279,0.000664546,0.000882075,0.00117563,0.00157487,0.00212229,0.00287814,0.00392549,0.00537338,0.00735513,0.0100182,0.0135025,0.0179068,0.023242,0.0293958,0.0361115,0.0429913,0.0495307,0.0551836,0.0594534,0.061986,0.0626286,0.0614378,0.0586471,0.0546108,0.0497384,0.0444316,0.0390367,0.0338186,0.0289561,0.0245518,0.0206489,0.0172488,0.0143262,0.0118408,0.00974548,0.00799154,0.00653211,0.00532387,0.00432791,0.00351005,0.00284068,0.00229445,0.0018499,0.00148897,0.00119655,0.000960115,0.000769271,0.00061547,0.000491691,0.000392194,0.000312303,0.000248221,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.03323,-0,-0,-0,-5.85061,-0,-10.4526,-4.91236,-9.2067,-25.8293,-24.1354,-11.2854,-14.1076,-26.5692,-37.7611,-30.0516,-20.2796,-39.5159,-25.0276,-33.2464,-44.6357,-36.8708,-26.1677,-24.0078,-31.138,-12.973,-20.3205,-21.2518,-14.8279,-15.5204,-20.3001,-16.9827,-4.4362,-4.63095,-9.65874,-10.0621,-5.23556,-10.8853,-11.3042,-0,-0,-6.29262,-0,-0,-0,-0,-0,-0,-7.84375,-0,-0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,2,1,3,9,10,5,12,14,10,10,13,7,17,11,10,6,10,7,9,3,8,3,3,3,3,0,2,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0
-538.256,0.999911,0.10254,5,47,0,541.652,-1.2483,-1.3936,-1.44351,-0.596126,3.83785,0.119408,-0.603103,5.01884,2.55896,5.94914e-05,7.85961e-05,0.000103934,0.000137609,0.000182487,0.000242497,0.000323084,0.000431857,0.000579533,0.000781255,0.00105833,0.00144028,0.00196698,0.00269042,0.00367567,0.00500069,0.00675455,0.00903394,0.0119377,0.0155601,0.0199826,0.0250759,0.0306557,0.036483,0.0422694,0.047688,0.0523939,0.0560543,0.0583912,0.0592304,0.0585425,0.056451,0.0532004,0.0490989,0.0444638,0.0395844,0.0347021,0.0300037,0.0256221,0.021641,0.0181025,0.0150156,0.0123648,0.0101188,0.0082369,0.00667468,0.00538785,0.00433468,0.00347736,0.0027826,0.00222172,0.0017704,0.00140824,0.00111832,0.000886726,0.000702055,0.000555033,0.00043814,0.000345305,0.000271642,0.00021323,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.85106,-0,-0,-0,-5.60602,-0,-9.99508,-4.70677,-8.8561,-24.9783,-23.4774,-11.0575,-13.9398,-26.4873,-37.9643,-30.4308,-20.6428,-40.3401,-25.5653,-33.9158,-45.408,-37.367,-26.4032,-24.1114,-31.1308,-12.9173,-20.1657,-21.0386,-14.6572,-15.3327,-20.0585,-16.7947,-4.3929,-4.59336,-9.59826,-10.0189,-5.22361,-10.8822,-11.323,-0,-0,-6.33655,-0,-0,-0,-0,-0,-0,-7.97108,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,3,4,7,9,6,8,5,9,18,12,10,7,8,16,5,6,10,10,10,9,4,4,1,2,4,1,1,0,1,1,2,0,0,0,0,0,0,0,2,0,0,0
-538.254,0.99972,0.10254,5,63,0,539.56,-1.46868,-2.01133,-0.684698,-0.794698,3.50968,0.426368,-0.622399,5.02544,2.65784,0.000111015,0.000139553,0.00017556,0.000221066,0.000278705,0.00035191,0.000445213,0.000564661,0.00071845,0.000917879,0.00117884,0.00152408,0.00198658,0.00261407,0.00347388,0.00465661,0.00627611,0.00846322,0.0113511,0.0150516,0.0196248,0.0250221,0.0310769,0.0374992,0.0438911,0.0497858,0.0547054,0.058237,0.0601109,0.060248,0.0587538,0.0558741,0.0519399,0.0473144,0.0423461,0.0373335,0.0325047,0.0280128,0.0239439,0.0203317,0.0171736,0.0144445,0.012107,0.0101187,0.00843665,0.00701977,0.0058305,0.0048352,0.00400427,0.00331203,0.00273637,0.0022584,0.00186207,0.00153383,0.00126223,0.00103765,0.000852051,0.00069869,0.000571976,0.000467271,0.000380752,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.74323,-0,-0,-0,-5.66248,-0,-10.142,-4.77203,-8.95688,-25.1776,-23.5858,-11.064,-13.8852,-26.2675,-37.5125,-30.0003,-20.3406,-39.8053,-25.3041,-33.7114,-45.3504,-37.5005,-26.619,-24.4075,-31.6188,-13.1515,-20.5582,-21.4506,-14.9282,-15.5823,-20.3219,-16.9498,-4.41397,-4.59337,-9.55034,-9.91805,-5.14465,-10.6637,-11.0408,-0,-0,-6.0931,-0,-0,-0,-0,-0,-0,-7.46641,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,2,1,7,5,2,2,13,11,10,12,14,12,11,9,12,7,14,9,4,5,4,3,1,3,3,4,5,1,2,0,1,0,1,0,2,1,1,0,0,1,0,0,0
-541.097,0.969901,0.10254,6,63,0,544.158,-1.00918,-1.31018,-1.9241,-0.667364,3.76514,0.121491,-1.04066,5.01519,2.70099,9.57261e-05,0.000124259,0.0001615,0.000210237,0.000274236,0.000358628,0.000470457,0.00061947,0.000819177,0.0010882,0.00145179,0.00194321,0.00260472,0.00348773,0.00465224,0.00616542,0.00809939,0.0105284,0.013525,0.0171564,0.0214805,0.0263128,0.0314457,0.036651,0.041684,0.0462906,0.0502176,0.0532292,0.0551296,0.0557928,0.0551903,0.0534049,0.0506168,0.0470662,0.0430109,0.0386926,0.0343177,0.0300507,0.0260128,0.0222863,0.0189192,0.0159313,0.0133208,0.0110702,0.00915154,0.00753141,0.00617424,0.00504493,0.00411045,0.00334078,0.00270934,0.00219302,0.00177201,0.00142955,0.00115155,0.000926263,0.000743972,0.00059665,0.000477706,0.000381742,0.000304357,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.53496,-0,-0,-0,-5.37041,-0,-9.63193,-4.55368,-8.60644,-24.3923,-23.0436,-10.9131,-13.838,-26.4505,-38.1317,-30.7282,-20.9397,-41.0641,-26.0826,-34.6333,-46.3515,-38.0881,-26.8513,-24.4496,-31.463,-13.0084,-20.2326,-21.0292,-14.5967,-15.2151,-19.8379,-16.5579,-4.31843,-4.5035,-9.38767,-9.77735,-5.08737,-10.5787,-10.9884,-0,-0,-6.12248,-0,-0,-0,-0,-0,-0,-7.64652,-0,-0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,2,0,3,4,5,5,8,5,5,11,10,11,13,10,12,18,12,6,8,8,7,3,6,2,5,2,5,2,2,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0
