# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 04:37:23 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c211f99523.json
# init = /tmp/RtmpC8O1hA/init-b41c26224209a_2.json
# random
#   seed = 1852007
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0176_rep018_mildly_wrong_strong/prior_sensitivity_obspair_FAST-202605300537-2-3d738c.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0176_rep018_mildly_wrong_strong/prior_sensitivity_obspair_FAST-profile-202605300537-2-641c80.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.215047
# Diagonal elements of inverse mass matrix:
# 0.0418532, 0.043212, 0.00508057, 0.00610618, 0.00796635, 0.00728458, 0.0122072
-540.721,0.988294,0.215047,4,15,0,541.511,-1.35481,-2.15842,-0.718546,-0.681113,3.7344,0.241987,-0.769721,4.92335,2.46038,8.6884e-05,0.000112156,0.000144876,0.000187302,0.000242422,0.000314216,0.000408031,0.00053113,0.000693498,0.000909036,0.00119732,0.0015861,0.00211445,0.0028363,0.00382315,0.00516439,0.00696386,0.00933084,0.0123653,0.0161378,0.0206678,0.0258846,0.0316246,0.0376316,0.0435707,0.0490578,0.0537012,0.0571526,0.0591595,0.0596059,0.0585241,0.0560764,0.0525186,0.0481586,0.0433167,0.0382918,0.0333359,0.0286398,0.0243301,0.0204754,0.0170977,0.014186,0.0117081,0.00962106,0.00787735,0.00642998,0.0052349,0.00425238,0.00344749,0.00279011,0.00225456,0.00181924,0.00146605,0.00117998,0.000948601,0.000761678,0.00061082,0.000489167,0.000391129,0.000312167,0.000248605,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.72767,-0,-0,-0,-5.56668,-0,-9.93404,-4.67443,-8.78573,-24.7595,-23.2751,-10.9623,-13.8153,-26.2393,-37.6004,-30.1476,-20.4702,-40.0684,-25.4477,-33.84,-45.4131,-37.4535,-26.5193,-24.266,-31.3922,-13.0501,-20.4067,-21.3177,-14.8642,-15.5541,-20.344,-17.022,-4.44747,-4.6438,-9.68753,-10.0936,-5.25241,-10.9206,-11.3402,-0,-0,-6.30934,-0,-0,-0,-0,-0,-0,-7.84647,-0,-0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,1,1,5,2,3,5,8,13,10,6,12,12,11,12,14,10,11,7,7,9,5,3,7,4,4,2,3,0,1,1,0,1,1,1,0,0,0,2,1,0,0,0,0,0
-538.193,0.970751,0.215047,4,15,0,545.181,-1.77039,-1.9793,-0.958568,-0.641916,3.8557,0.240421,-0.958365,5.2851,2.5376,6.71889e-05,8.76063e-05,0.000114304,0.000149268,0.000195148,0.000255506,0.000335171,0.000440759,0.00058143,0.000769999,0.00102452,0.00137038,0.00184282,0.00248931,0.00337123,0.00456379,0.00615347,0.00823211,0.0108869,0.014187,0.0181675,0.0227942,0.0279629,0.0334939,0.0391363,0.0445821,0.0494905,0.0535227,0.0563865,0.0578837,0.0579434,0.0566254,0.0540966,0.0505951,0.0463959,0.0417793,0.0370061,0.0322976,0.0278245,0.0237032,0.0200001,0.0167398,0.0139166,0.0115042,0.00946484,0.00775573,0.00633345,0.00515671,0.00418777,0.00339315,0.00274373,0.00221452,0.00178439,0.00143557,0.00115324,0.000925126,0.00074109,0.000592815,0.000473491,0.000377569,0.000300533,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.88353,-0,-0,-0,-5.69248,-0,-10.1815,-4.79971,-9.04038,-25.5326,-24.0487,-11.3437,-14.3075,-27.1711,-38.8885,-31.1042,-21.0418,-40.9871,-25.8797,-34.1918,-45.5726,-37.3269,-26.2529,-23.8712,-30.7055,-12.7014,-19.78,-20.5966,-14.3274,-14.9686,-19.5601,-16.3599,-4.27467,-4.46504,-9.32034,-9.71865,-5.06191,-10.5349,-10.9512,-0,-0,-6.11272,-0,-0,-0,-0,-0,-0,-7.65538,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,3,1,2,0,4,5,6,4,10,4,12,10,15,12,16,10,12,7,11,10,8,2,6,5,6,2,4,5,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
-538.46,0.99246,0.215047,4,15,0,539.743,-1.14368,-2.05289,-0.988851,-0.662073,3.84799,0.390498,-0.997718,4.82091,2.42523,9.1494e-05,0.000118689,0.000154076,0.000200195,0.000260426,0.0003393,0.000442951,0.000579769,0.000761386,0.00100413,0.00133108,0.00177485,0.00238052,0.00320795,0.00433211,0.00584061,0.00782768,0.0103844,0.013585,0.017471,0.022035,0.0271779,0.032724,0.0384267,0.0439834,0.049059,0.0533167,0.0564539,0.0582443,0.0585776,0.0574788,0.0550947,0.0516564,0.0474417,0.0427416,0.0378337,0.0329608,0.0283151,0.0240314,0.0201883,0.0168165,0.0139106,0.0114414,0.00936654,0.00763832,0.00620884,0.00503306,0.00407033,0.003285,0.00264639,0.00212847,0.00170939,0.00137096,0.00109812,0.000878495,0.000701921,0.000560112,0.000446328,0.0003551,0.000282008,0.000223485,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.62176,-0,-0,-0,-5.4417,-0,-9.70018,-4.56745,-8.59758,-24.2833,-22.8907,-10.8161,-13.6786,-26.072,-37.4873,-30.1473,-20.5205,-40.2406,-25.588,-34.0488,-45.7014,-37.6831,-26.6683,-24.386,-31.5258,-13.0982,-20.4746,-21.3862,-14.9136,-15.6106,-20.427,-17.1004,-4.47052,-4.67061,-9.74915,-10.1636,-5.29173,-11.0081,-11.4368,-0,-0,-6.37162,-0,-0,-0,-0,-0,-0,-7.94311,-0,-0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,2,2,4,5,4,4,4,3,12,10,8,9,12,12,12,6,12,11,10,2,9,10,8,4,5,5,0,0,1,1,2,4,1,1,1,0,0,0,0,0,0,0,0,0,0
-539.083,0.991151,0.215047,4,15,0,540.228,-1.72599,-1.55545,-1.05746,-0.716529,3.86586,0.304813,-1.05797,5.4042,2.6768,5.588e-05,7.16168e-05,9.18863e-05,0.00011806,0.000151967,0.000196074,0.000253759,0.000329717,0.000430601,0.00056602,0.000750077,0.00100362,0.00135722,0.00185455,0.00255545,0.00353777,0.00489698,0.00674252,0.00918972,0.0123469,0.0162985,0.0210414,0.0264936,0.0324798,0.0387282,0.0448803,0.0505159,0.0551978,0.0585371,0.0602691,0.0603095,0.0587575,0.0558517,0.0519099,0.0472762,0.0422808,0.0372118,0.0322985,0.0277043,0.0235297,0.0198221,0.016588,0.0138068,0.0114415,0.00944732,0.00777752,0.0063869,0.00523382,0.00428108,0.00349618,0.00285114,0.00232214,0.00188906,0.00153506,0.00124606,0.00101038,0.000818335,0.000661957,0.000534678,0.000431116,0.000346872,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.19534,-0,-0,-0,-5.96953,-0,-10.6383,-4.99932,-9.37934,-26.3661,-24.7001,-11.5838,-14.5234,-27.4171,-39.0142,-31.0376,-20.8983,-40.5556,-25.5429,-33.7072,-44.9323,-36.8464,-25.9655,-23.666,-30.5175,-12.6537,-19.7468,-20.5964,-14.3447,-14.998,-19.6048,-16.3963,-4.28259,-4.47051,-9.32405,-9.71303,-5.05351,-10.5052,-10.9071,-0,-0,-6.06527,-0,-0,-0,-0,-0,-0,-7.53385,-0,-0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,4,5,7,2,10,6,5,18,8,13,17,10,13,9,11,5,7,6,6,3,3,2,3,5,5,4,2,1,2,1,0,0,1,0,0,1,0,0,0,1,0,0
-539.8,0.890722,0.215047,3,7,0,543.037,-1.6569,-1.36874,-1.04562,-0.664488,3.83488,0.328724,-1.08568,5.2206,2.55434,3.39762e-05,4.41209e-05,5.73634e-05,7.46974e-05,9.74688e-05,0.000127525,0.00016744,0.000220874,0.000293149,0.000392192,0.000530078,0.000725461,0.00100708,0.00141815,0.00202102,0.00290097,0.00416783,0.00595393,0.00840676,0.0116751,0.0158885,0.0210664,0.0271309,0.0338846,0.0410006,0.0480309,0.0544388,0.0596601,0.063198,0.0647345,0.0642082,0.061808,0.0578964,0.0529164,0.0473166,0.0414998,0.0357926,0.0304327,0.0255691,0.0212745,0.0175629,0.0144084,0.0117618,0.00956332,0.007751,0.00626581,0.00505431,0.00406969,0.00327181,0.00262682,0.00210647,0.00168738,0.00135034,0.00107962,0.000862388,0.000688225,0.000548679,0.000436913,0.000347416,0.000275751,0.000218358,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.54249,-0,-0,-0,-6.20415,-0,-10.9607,-5.1237,-9.55744,-26.7018,-24.853,-11.5802,-14.4283,-27.0784,-38.33,-30.3591,-20.3747,-39.4673,-24.8533,-32.8495,-43.93,-36.1884,-25.6419,-23.5123,-30.5089,-12.7283,-19.9801,-20.9534,-14.6655,-15.401,-20.2098,-16.9598,-4.4429,-4.64982,-9.71987,-10.1453,-5.28751,-11.0084,-11.4448,-0,-0,-6.38458,-0,-0,-0,-0,-0,-0,-7.96499,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,1,1,2,3,7,13,10,13,14,11,12,11,14,8,11,12,8,10,6,0,4,6,5,2,2,0,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0
-540.364,0.998367,0.215047,4,31,0,545.063,-1.75602,-1.43116,-1.08182,-0.609227,3.89255,0.332743,-1.13699,5.23422,2.48672,3.06179e-05,4.03164e-05,5.31423e-05,7.01455e-05,9.27583e-05,0.000122959,0.000163517,0.000218385,0.000293314,0.000396855,0.00054197,0.000748459,0.00104631,0.00147966,0.00211067,0.00302243,0.00431971,0.00612637,0.00857794,0.0118084,0.0159311,0.0209623,0.0268297,0.0333536,0.0402376,0.0470759,0.0533781,0.0586189,0.0623161,0.0641312,0.0639531,0.0619119,0.0583196,0.0535843,0.0481366,0.0423778,0.0366467,0.0312016,0.0262157,0.0217841,0.0179378,0.0146624,0.0119141,0.00963479,0.00776137,0.00623237,0.00499135,0.00398852,0.00318105,0.00253279,0.00201365,0.00159877,0.00126782,0.00100423,0.000794571,0.000628003,0.000495795,0.000390943,0.000307835,0.000241992,0.000189846,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.5203,-0,-0,-0,-6.16075,-0,-10.8891,-5.09515,-9.51712,-26.6337,-24.8369,-11.5951,-14.473,-27.2047,-38.5554,-30.5599,-20.5125,-39.7138,-24.9798,-32.9619,-43.9937,-36.1665,-25.5763,-23.412,-30.3371,-12.6445,-19.8386,-20.8037,-14.5656,-15.3063,-20.1042,-16.8899,-4.43003,-4.64238,-9.71719,-10.156,-5.30005,-11.0487,-11.5011,-0,-0,-6.43852,-0,-0,-0,-0,-0,-0,-8.08595,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,0,1,3,3,6,4,9,13,11,14,16,15,11,11,12,9,13,8,7,6,5,4,2,3,0,0,2,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0
