# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 04:42:24 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c2c2b02b1.json
# init = /tmp/RtmpC8O1hA/init-b41c2417a60b1_3.json
# random
#   seed = 1852008
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0177_rep018_badly_wrong_weak/prior_sensitivity_obspair_FAST-202605300542-3-159296.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0177_rep018_badly_wrong_weak/prior_sensitivity_obspair_FAST-profile-202605300542-3-3f4e83.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0872006
# Diagonal elements of inverse mass matrix:
# 0.150718, 0.105261, 0.170638, 0.0087824, 0.0833371, 0.159106, 0.33873
-544.491,0.959896,0.0872006,5,31,0,549.693,-0.430346,-0.827371,-1.72715,-0.865603,5.44139,1.85633,0.0620762,5.62051,3.01605,9.00066e-05,0.000111817,0.000139142,0.000173514,0.000216969,0.000272283,0.00034334,0.000435791,0.000558307,0.000724532,0.000953162,0.00126741,0.00169607,0.00227484,0.00304788,0.00407057,0.00541566,0.00718638,0.00954342,0.0127666,0.0175527,0.0225452,0.0275153,0.03238,0.0370836,0.0415613,0.0457293,0.0494811,0.0526772,0.0551222,0.0565165,0.0563624,0.0541399,0.0505073,0.046236,0.0417548,0.0373052,0.0330267,0.0290001,0.0252704,0.0218595,0.0187752,0.0160182,0.0135866,0.0114717,0.00965298,0.00810129,0.0067849,0.00567275,0.00473612,0.00394922,0.00328941,0.002737,0.00227507,0.00188916,0.00156695,0.00129798,0.00107337,0.000885535,0.00072785,0.000594242,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.95573,-0,-0,-0,-5.79331,-0,-10.4369,-4.93557,-9.30381,-26.1656,-24.2553,-11.3767,-14.372,-27.4417,-39.535,-31.8059,-21.5951,-42.0863,-26.4922,-34.7784,-45.9716,-37.3874,-26.2456,-23.8851,-30.74,-12.7038,-19.7317,-20.4626,-14.1618,-14.7125,-19.1156,-15.9009,-4.13403,-4.29867,-8.93574,-9.28098,-4.81573,-9.98611,-10.3442,-0,-0,-5.71705,-0,-0,-0,-0,-0,-0,-7.02932,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,2,2,3,8,10,7,13,6,6,8,10,11,7,10,6,10,11,10,3,10,6,6,7,5,4,2,2,2,1,1,2,0,1,0,2,0,1,0,0,0,0,0,0
-542.017,0.999605,0.0872006,4,15,0,545.505,-0.138042,-0.790462,-1.91095,-0.706094,4.94551,1.53371,-0.517088,4.75588,2.6336,4.71967e-05,6.08558e-05,7.86379e-05,0.000101904,0.000132549,0.000173267,0.000228012,0.000302807,0.00040728,0.000557559,0.000779765,0.00110963,0.00159155,0.00228065,0.00324633,0.00457706,0.00638684,0.00882431,0.0120861,0.0164381,0.022254,0.0285359,0.0348058,0.0408025,0.0463601,0.0513452,0.0556209,0.0590204,0.0613243,0.0622364,0.0613744,0.05844,0.0538276,0.0483345,0.0425647,0.0369008,0.0315702,0.0266975,0.0223403,0.0185146,0.0152108,0.0124036,0.0100557,0.00811758,0.00653306,0.00524605,0.0042054,0.00336667,0.00269229,0.00215105,0.00171727,0.00137,0.00109223,0.000870177,0.00069274,0.000550972,0.000437673,0.00034705,0.000274433,0.000216046,0.000168806,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.15652,-0,-0,-0,-5.73023,-0,-10.107,-4.73024,-8.8314,-24.6489,-22.8314,-10.6698,-13.4319,-25.5921,-36.8558,-29.6918,-20.2244,-39.6182,-25.1242,-33.3218,-44.6522,-36.9168,-26.2977,-24.2369,-31.5673,-13.1981,-20.7332,-21.7391,-15.2054,-15.9568,-20.9288,-17.5591,-4.59962,-4.81372,-10.0618,-10.5006,-5.47139,-11.3877,-11.8347,-0,-0,-6.59294,-0,-0,-0,-0,-0,-0,-8.2008,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2,1,2,5,3,15,11,5,13,15,16,5,14,12,11,10,7,6,7,5,6,8,3,6,1,1,0,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-539.024,0.995215,0.0872006,5,63,0,544.062,-2.4901,-2.58397,-0.839822,-0.513348,3.04171,0.765515,-0.489806,4.70946,2.31479,4.99514e-05,6.74022e-05,9.09618e-05,0.000122779,0.000165765,0.000223876,0.000302494,0.000408971,0.000553386,0.000749638,0.00101703,0.0013826,0.00188443,0.00257609,0.00353126,0.0048469,0.00664296,0.00905629,0.0122253,0.016262,0.0212148,0.0270167,0.033471,0.0402531,0.0469354,0.0530252,0.0580155,0.0614653,0.0630979,0.0628512,0.0608531,0.0573742,0.0527804,0.0474825,0.0418813,0.0363178,0.0310443,0.0262196,0.0219232,0.018176,0.0149608,0.0122377,0.00995598,0.00806093,0.0064988,0.00521938,0.00417738,0.00333292,0.00265155,0.00210391,0.00166533,0.0013152,0.0010365,0.000815256,0.000640044,0.000501597,0.000392422,0.000306491,0.00023897,0.000185999,0.000144504,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.89086,-0,-0,-0,-5.6461,-0,-10.0284,-4.7043,-8.8085,-24.7135,-23.1183,-10.8339,-13.5883,-25.7006,-36.7078,-29.3699,-19.9293,-39.05,-24.8676,-33.2038,-44.7887,-37.1561,-26.4745,-24.3791,-31.7292,-13.2618,-20.834,-21.8475,-15.2808,-16.0306,-21.0116,-17.6129,-4.60958,-4.82073,-10.0723,-10.5108,-5.47807,-11.4078,-11.8652,-0,-0,-6.63377,-0,-0,-0,-0,-0,-0,-8.33917,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,2,4,2,4,6,6,6,8,10,9,8,7,17,17,9,6,11,12,12,5,12,6,5,3,0,3,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
-538.801,0.987522,0.0872006,4,31,0,541.373,-2.33703,-2.03051,-0.984781,-0.522708,3.24488,0.878042,-0.515788,4.78268,2.32734,4.16422e-05,5.60502e-05,7.54609e-05,0.000101626,0.000136922,0.000184583,0.000249031,0.00033634,0.000454922,0.000616541,0.000837865,0.00114288,0.00156656,0.00215989,0.00299498,0.00416863,0.00580328,0.00804337,0.0110429,0.0149404,0.0198212,0.025646,0.0322412,0.0392968,0.0463853,0.0529922,0.0585552,0.0625374,0.0645631,0.0645346,0.0625997,0.0590614,0.0543129,0.0487896,0.0429213,0.0370833,0.0315587,0.0265257,0.0220703,0.0182104,0.0149211,0.0121539,0.00984952,0.00794671,0.0063864,0.00511454,0.00408312,0.00325042,0.00258082,0.00204428,0.00161573,0.00127441,0.00100329,0.000788435,0.000618544,0.000484473,0.000378859,0.0002958,0.000230576,0.000179428,0.000139369,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.08465,-0,-0,-0,-5.81082,-0,-10.2987,-4.82291,-9.01193,-25.2221,-23.526,-10.9901,-13.738,-25.8929,-36.8493,-29.3761,-19.8645,-38.8079,-24.661,-32.8866,-44.3359,-36.7793,-26.2169,-24.1619,-31.4839,-13.1784,-20.7354,-21.7778,-15.2541,-16.023,-21.0249,-17.6404,-4.62033,-4.835,-10.1072,-10.5513,-5.50089,-11.4579,-11.9193,-0,-0,-6.66527,-0,-0,-0,-0,-0,-0,-8.37493,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,2,6,10,5,9,9,11,8,10,17,12,10,14,8,9,9,9,4,5,6,5,4,3,1,3,1,1,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0
-540.275,0.967531,0.0872006,6,63,0,546.113,-0.803531,-1.35864,-1.12138,-0.835386,4.03749,1.10194,0.576497,5.18471,2.8968,0.000128248,0.000159722,0.000199054,0.000248284,0.000310032,0.000387692,0.000485717,0.000610054,0.000768824,0.000973474,0.00124076,0.00159603,0.00207687,0.00273412,0.00363001,0.00483588,0.00643081,0.00850813,0.0112094,0.0148195,0.020305,0.025807,0.0313901,0.0370126,0.0425328,0.0477479,0.0523926,0.0560666,0.0581583,0.0581546,0.0563327,0.0533844,0.0497868,0.0457986,0.0415843,0.0372819,0.0330243,0.0289372,0.0251253,0.0216568,0.0185609,0.0158362,0.0134628,0.0114109,0.00964726,0.00813844,0.00685245,0.00575982,0.00483396,0.00405123,0.00339082,0.00283459,0.00236681,0.00197392,0.00164427,0.00136795,0.00113652,0.000942805,0.000780707,0.000644895,0.000530401,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.69203,-0,-0,-0,-5.61852,-0,-10.0933,-4.76673,-8.982,-25.2709,-23.3813,-10.9713,-13.8451,-26.372,-37.8898,-30.4182,-20.6429,-40.337,-25.6013,-34.1358,-46.0237,-38.0931,-27,-24.668,-31.8003,-13.157,-20.4631,-21.2558,-14.7355,-15.3297,-19.9335,-16.5818,-4.30783,-4.47319,-9.28216,-9.62231,-4.98315,-10.3137,-10.6642,-0,-0,-5.86586,-0,-0,-0,-0,-0,-0,-7.15531,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,3,1,1,2,4,6,6,5,5,5,15,7,12,8,11,12,16,11,8,10,14,6,4,2,2,3,3,0,2,0,2,2,5,0,0,1,1,0,0,0,0,0,0,0,0,0
-539.923,0.995804,0.0872006,5,63,0,542.945,-0.598394,-1.45556,-0.476203,-0.924067,3.5264,0.783967,0.287406,4.97901,2.83441,0.000117816,0.000144133,0.000176457,0.000216222,0.000265246,0.000325839,0.000400984,0.000494576,0.000611801,0.000759744,0.000948426,0.0011927,0.00151589,0.00195651,0.00257822,0.0034796,0.0048015,0.00673494,0.00952399,0.013447,0.0188589,0.0253521,0.0326533,0.0403934,0.0480753,0.0550548,0.06056,0.0638606,0.0646413,0.0631547,0.0599317,0.0555147,0.050382,0.0449437,0.0395352,0.0344012,0.0296907,0.0254717,0.0217555,0.0185195,0.0157242,0.0133233,0.0112702,0.00952007,0.00803216,0.00676981,0.00570066,0.00479647,0.00403272,0.00338829,0.00284503,0.00238743,0.0020022,0.00167806,0.00140533,0.00117575,0.000982295,0.000818963,0.00068063,0.000562806,0.000461543,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.96071,-0,-0,-0,-5.96066,-0,-10.6777,-5.00045,-9.30788,-25.854,-23.8246,-11.0247,-13.6872,-25.6727,-36.4198,-28.9943,-19.6288,-38.5147,-24.6501,-33.146,-45.0328,-37.5844,-26.8931,-24.8188,-32.3056,-13.4787,-21.1015,-22.0211,-15.3115,-15.9557,-20.7628,-17.273,-4.4856,-4.65435,-9.6486,-9.99057,-5.16717,-10.6798,-11.0266,-0,-0,-6.03754,-0,-0,-0,-0,-0,-0,-7.29249,-0,-0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,2,2,4,2,3,5,9,11,15,8,10,15,18,10,7,13,10,11,5,8,6,6,4,5,3,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
