# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 04:51:01 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c26acf2dba.json
# init = /tmp/RtmpC8O1hA/init-b41c22eb20b64_2.json
# random
#   seed = 1852009
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0178_rep018_badly_wrong_moderate/prior_sensitivity_obspair_FAST-202605300551-2-90f499.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0178_rep018_badly_wrong_moderate/prior_sensitivity_obspair_FAST-profile-202605300551-2-9bb129.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.119793
# Diagonal elements of inverse mass matrix:
# 0.0828438, 0.0601624, 0.0392615, 0.00803079, 0.032519, 0.0333486, 0.054926
-540.263,0.998401,0.119793,4,15,0,543.392,-1.53139,-2.01406,-1.29677,-0.466871,4.36092,0.311697,-0.4877,5.1861,2.34834,4.1519e-05,5.68955e-05,7.80115e-05,0.000107048,0.000147045,0.000202266,0.000278727,0.00038496,0.000533101,0.000740328,0.00103056,0.00143611,0.00199891,0.00277087,0.00381326,0.00519453,0.00698647,0.00925819,0.0120682,0.015455,0.0194283,0.023916,0.0287971,0.0339041,0.0390295,0.0439368,0.0483731,0.0520849,0.0548375,0.0564423,0.0567887,0.0558717,0.053795,0.0507435,0.0469446,0.0426362,0.0380476,0.0333867,0.0288321,0.0245273,0.020577,0.0170463,0.0139636,0.0113264,0.00910974,0.00727392,0.00577224,0.00455644,0.00358042,0.00280243,0.00218597,0.00169994,0.00131839,0.00101999,0.000787362,0.000606538,0.000466338,0.000357882,0.000274156,0.00020964,0.000160011,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.87765,-0,-0,-0,-5.56927,-0,-9.92756,-4.68225,-8.83436,-25.0189,-23.6461,-11.1996,-14.1899,-27.0738,-38.9213,-31.25,-21.2017,-41.3683,-26.1304,-34.4944,-45.8947,-37.5011,-26.3032,-23.8478,-30.5879,-12.6202,-19.6135,-20.3976,-14.1851,-14.8319,-19.4179,-16.2873,-4.2713,-4.48062,-9.39682,-9.84692,-5.15469,-10.7824,-11.2645,-0,-0,-6.37716,-0,-0,-0,-0,-0,-0,-8.20181,-0,-0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,1,0,3,3,2,6,6,4,6,7,6,14,14,12,12,8,8,15,11,8,6,12,9,4,7,3,3,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
-540.517,0.998949,0.119793,5,63,0,542.921,-0.31012,-1.68127,-0.62526,-1.0672,3.5786,1.0305,-0.791867,5.04652,3.01924,0.000107065,0.000128531,0.000154628,0.000186501,0.000225645,0.000274045,0.000334381,0.000410359,0.000507233,0.00063269,0.000798402,0.00102287,0.00133675,0.00179199,0.00247289,0.00350275,0.00504177,0.00727516,0.0103909,0.0145465,0.0198256,0.0261171,0.0331471,0.0404887,0.0476023,0.0538951,0.0587909,0.0618207,0.0627523,0.0616647,0.0588655,0.0547799,0.0498744,0.0445951,0.0393155,0.0343025,0.0297114,0.0256062,0.0219922,0.0188422,0.0161147,0.0137637,0.0117436,0.0100118,0.0085299,0.00726344,0.00618224,0.00525996,0.00447375,0.00380388,0.00323331,0.00274743,0.00233363,0.00198102,0.00168013,0.00142264,0.00120131,0.00100998,0.00084364,0.000698343,0.000571159,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.1329,-0,-0,-0,-6.00237,-0,-10.58,-4.92329,-9.13365,-25.3824,-23.5247,-10.9355,-13.6272,-25.6539,-36.5385,-29.2072,-19.8364,-38.9692,-24.917,-33.4325,-45.32,-37.7576,-26.9842,-24.881,-32.3614,-13.4901,-21.0974,-21.9895,-15.2683,-15.8866,-20.6401,-17.1429,-4.44445,-4.60399,-9.52836,-9.8498,-5.08608,-10.4953,-10.8191,-0,-0,-5.89709,-0,-0,-0,-0,-0,-0,-7.07778,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,2,4,7,7,7,10,11,16,10,12,18,15,14,8,7,5,2,3,3,5,4,1,3,2,2,1,2,2,3,0,2,0,2,2,0,1,0,1,1,0,0,0
-540.083,0.995539,0.119793,5,31,0,542.116,-0.579312,-1.31348,-0.973681,-1.08686,3.49291,0.884687,-0.831661,5.07025,3.12151,0.000129374,0.00015487,0.000185792,0.000223473,0.000269648,0.000326619,0.000397493,0.000486555,0.000599866,0.000746253,0.000939015,0.00119893,0.00155952,0.00207499,0.00282892,0.00393884,0.00555437,0.00784806,0.0109979,0.0151614,0.0204425,0.0266662,0.0335267,0.0406004,0.0473754,0.0532942,0.0578119,0.0604906,0.0611409,0.0598937,0.0570981,0.0531836,0.0485783,0.043664,0.0387487,0.034053,0.029712,0.0257898,0.0223015,0.0192322,0.0165514,0.0142221,0.0122057,0.0104651,0.00896566,0.00767608,0.00656841,0.00561796,0.00480306,0.00410483,0.00350685,0.00299488,0.00255657,0.00218121,0.00185944,0.00158307,0.00134495,0.00113891,0.000959719,0.000803054,0.000665424,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.97068,-0,-0,-0,-5.86786,-0,-10.3863,-4.84749,-9.02009,-25.134,-23.3408,-10.8731,-13.5816,-25.6318,-36.5958,-29.3193,-19.9539,-39.2737,-25.1512,-33.7822,-45.8077,-38.1421,-27.2212,-25.0499,-32.5066,-13.5193,-21.0972,-21.9467,-15.2124,-15.8047,-20.5064,-17.0118,-4.40585,-4.55971,-9.42871,-9.73929,-5.02548,-10.3636,-10.677,-0,-0,-5.81085,-0,-0,-0,-0,-0,-0,-6.94887,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,2,1,3,4,6,9,5,7,8,15,17,17,9,10,5,12,11,6,6,4,1,3,6,5,2,5,2,3,0,3,1,1,0,1,1,0,0,4,1,0,0,0,0,0
-539.395,0.992754,0.119793,5,31,0,543.44,0.0384399,-1.51648,-0.898732,-0.947103,4.42572,0.378476,-0.598798,5.29471,2.95911,8.58041e-05,0.000105306,0.000129561,0.000159896,0.000198099,0.000246628,0.000308949,0.000390079,0.000497495,0.000642646,0.000843374,0.00112744,0.00153674,0.00213094,0.00298883,0.00420619,0.00588979,0.00814833,0.0110808,0.014764,0.0192391,0.0243296,0.0298401,0.0355415,0.0411684,0.0464238,0.0509939,0.0545713,0.056892,0.0577847,0.0572166,0.0553048,0.0522807,0.0484346,0.0440672,0.039457,0.03484,0.0303997,0.0262645,0.0225107,0.0191715,0.0162477,0.0137182,0.0115495,0.00970252,0.00813738,0.00681592,0.00570323,0.00476823,0.00398376,0.0033263,0.00277571,0.00231477,0.00192884,0.00160545,0.00133406,0.0011058,0.000913269,0.000750342,0.000612037,0.000494337,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.0781,-0,-0,-0,-5.81287,-0,-10.2691,-4.80994,-9.00508,-25.2934,-23.7049,-11.1482,-14.0476,-26.6964,-38.281,-30.6994,-20.8323,-40.7155,-25.7994,-34.2124,-45.7746,-37.6336,-26.5601,-24.2203,-31.2204,-12.9302,-20.1419,-20.9599,-14.5581,-15.1751,-19.7716,-16.4792,-4.28903,-4.46112,-9.27074,-9.62257,-4.98849,-10.3334,-10.6916,-0,-0,-5.88685,-0,-0,-0,-0,-0,-0,-7.19498,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,4,1,2,5,5,3,7,5,11,8,7,14,17,9,11,12,8,9,4,5,8,8,7,4,5,4,3,0,1,2,1,1,0,1,3,0,0,0,1,0,0,0,0,0,0
-539.658,0.998804,0.119793,5,31,0,541.317,0.264213,-1.69961,-0.675261,-0.86607,4.08146,0.561855,-0.438829,4.91451,2.72049,8.25998e-05,0.000102636,0.000127748,0.000159341,0.000199283,0.000250088,0.000315224,0.000399582,0.000510272,0.00065799,0.000859373,0.00114095,0.00154496,0.00213572,0.00300356,0.00426315,0.00604573,0.00848624,0.011707,0.0157989,0.020801,0.0265374,0.0327897,0.0392689,0.0456161,0.0514219,0.0562574,0.0597223,0.0615131,0.0615016,0.0597752,0.0565971,0.0523277,0.047357,0.0420565,0.0367457,0.0316715,0.0270002,0.0228219,0.0191657,0.0160179,0.0133394,0.0110793,0.00918371,0.00760073,0.00628299,0.00518866,0.0042815,0.00353055,0.00290958,0.00239654,0.00197291,0.00162323,0.00133457,0.00109613,0.000898906,0.000735418,0.000599531,0.000486262,0.000391614,0.000312416,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.05931,-0,-0,-0,-5.80796,-0,-10.2168,-4.76931,-8.89514,-24.8869,-23.2365,-10.8876,-13.6706,-25.8986,-37.0499,-29.6769,-20.1447,-39.4527,-25.0965,-33.4643,-45.0746,-37.3334,-26.5521,-24.4003,-31.6874,-13.2149,-20.714,-21.6715,-15.1201,-15.8185,-20.6702,-17.2681,-4.50268,-4.69032,-9.75902,-10.1398,-5.26128,-10.9069,-11.2926,-0,-0,-6.22825,-0,-0,-0,-0,-0,-0,-7.62876,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,4,1,6,8,7,9,10,12,13,14,19,9,8,13,12,11,4,6,5,3,6,2,3,2,2,0,1,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0
-539.468,0.997845,0.119793,4,31,0,543.693,-0.159498,-2.05414,-0.790485,-0.905434,4.16894,1.06332,-0.661912,5.04593,2.75038,0.000132457,0.000163116,0.000201153,0.000248494,0.000307647,0.000381928,0.00047579,0.000595346,0.000749206,0.000949876,0.00121619,0.00157736,0.00207821,0.00278243,0.00377133,0.00513961,0.0069889,0.00941896,0.0125158,0.0163348,0.0208806,0.0260408,0.031626,0.0373781,0.0429907,0.0481333,0.0524761,0.0557154,0.057605,0.0580089,0.0569567,0.0546187,0.0512413,0.0471066,0.0425067,0.0377214,0.0329971,0.0285275,0.0244407,0.0207992,0.0176136,0.0148622,0.0125066,0.0105022,0.00880426,0.00737083,0.00616378,0.00514943,0.0042984,0.00358532,0.00298845,0.00248925,0.00207194,0.00172312,0.00143145,0.00118736,0.000982874,0.000811354,0.000667324,0.000546288,0.000444574,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.71203,-0,-0,-0,-5.58033,-0,-9.92687,-4.66503,-8.76153,-24.6867,-23.2136,-10.9443,-13.8151,-26.2934,-37.7613,-30.3378,-20.6318,-40.425,-25.6873,-34.1659,-45.8474,-37.7959,-26.7409,-24.4427,-31.5809,-13.1101,-20.468,-21.3413,-14.846,-15.4914,-20.1954,-16.8357,-4.3815,-4.55617,-9.46504,-9.82045,-5.08906,-10.5377,-10.899,-0,-0,-5.99577,-0,-0,-0,-0,-0,-0,-7.31224,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,1,2,0,5,6,2,7,9,10,4,11,11,14,15,10,9,12,7,6,10,11,4,2,6,3,2,2,2,2,0,2,0,0,0,1,2,0,0,0,1,0,0,0,1,1
