# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 05:00:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c24ed486dd.json
# init = /tmp/RtmpC8O1hA/init-b41c2366ce562_2.json
# random
#   seed = 1852011
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0180_rep018_manuscript_default/prior_sensitivity_obspair_FAST-202605300600-2-326311.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0180_rep018_manuscript_default/prior_sensitivity_obspair_FAST-profile-202605300600-2-499558.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0735026
# Diagonal elements of inverse mass matrix:
# 0.131511, 0.0833233, 0.22439, 0.0148403, 0.168457, 0.228873, 0.192232
-538.37,0.999464,0.0735026,6,63,0,541.346,-1.27953,-1.3593,-1.1312,-0.859435,3.88634,1.01029,-0.767045,5.20726,2.78678,7.11435e-05,8.8419e-05,0.000110042,0.000137191,0.000171412,0.000214765,0.000270031,0.000341058,0.000433296,0.000554724,0.000717453,0.000940561,0.00125457,0.00170668,0.00236502,0.00332166,0.00469375,0.0066213,0.00925926,0.0127615,0.0172561,0.0227034,0.0289554,0.035749,0.0427147,0.049394,0.0552645,0.05978,0.0624552,0.0630408,0.0616499,0.0586364,0.0544299,0.0494573,0.0441078,0.0387132,0.0335326,0.0287434,0.0244434,0.020664,0.0173924,0.0145901,0.0122079,0.0101939,0.00849828,0.00707511,0.00588361,0.00488803,0.00405751,0.0033656,0.00278982,0.00231112,0.00191342,0.00158318,0.00130906,0.0010815,0.000892542,0.000735531,0.000604935,0.000496161,0.00040542,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.2398,-0,-0,-0,-6.04697,-0,-10.723,-5.01746,-9.36426,-26.1679,-24.3575,-11.3557,-14.168,-26.6499,-37.8385,-30.0793,-20.2694,-39.4392,-24.9598,-33.1677,-44.5805,-36.8732,-26.1976,-24.0532,-31.2112,-13.0063,-20.3714,-21.2961,-14.8456,-15.5174,-20.2586,-16.9097,-4.40567,-4.58596,-9.53578,-9.90234,-5.13559,-10.6419,-11.0144,-0,-0,-6.07002,-0,-0,-0,-0,-0,-0,-7.41039,-0,-0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2,4,6,12,6,5,6,13,14,17,14,13,7,10,9,13,6,6,5,5,1,5,1,2,1,1,4,0,0,1,2,1,0,2,2,0,1,0,0,0,0,0
-541.066,0.996435,0.0735026,5,31,0,541.875,-0.472342,-1.2509,-0.969371,-1.06812,3.5018,1.27464,-2.13027,4.92137,3.02851,6.27944e-05,7.58239e-05,9.18589e-05,0.000111729,0.000136554,0.000167879,0.000207879,0.000259699,0.000328017,0.000420031,0.000547259,0.000728963,0.000998789,0.00141618,0.00207798,0.00312171,0.004721,0.00707439,0.0103859,0.0148353,0.0205373,0.0273374,0.0349077,0.0427613,0.0502969,0.0568585,0.0618025,0.0645891,0.0649733,0.0631569,0.0595986,0.0548294,0.0493713,0.0436881,0.0381464,0.0329919,0.0283517,0.0242614,0.0207028,0.0176318,0.0149955,0.0127404,0.0108161,0.009177,0.00778266,0.0065977,0.00559144,0.00473743,0.00401296,0.00339859,0.0028777,0.0024361,0.00206164,0.00174394,0.00147398,0.00124393,0.00104702,0.000877524,0.000730723,0.000602821,0.000490872,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.51059,-0,-0,-0,-6.17636,-0,-10.7115,-4.95127,-9.13462,-25.2645,-23.3131,-10.7985,-13.4202,-25.217,-35.8777,-28.6719,-19.4867,-38.3559,-24.604,-33.1456,-45.122,-37.7459,-27.0755,-25.0454,-32.6632,-13.646,-21.3784,-22.3132,-15.51,-16.1522,-21,-17.4519,-4.52672,-4.69105,-9.71171,-10.0421,-5.18652,-10.7045,-11.0365,-0,-0,-6.01736,-0,-0,-0,-0,-0,-0,-7.22148,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,3,3,8,4,9,9,12,14,12,13,11,9,12,11,11,7,8,6,5,4,7,2,3,1,3,2,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0
-539.571,0.997797,0.0735026,6,63,0,542.192,-2.30356,-1.1699,-1.41835,-0.292849,2.69649,-0.571709,-0.183459,5.14627,2.50683,3.13823e-05,4.53177e-05,6.5337e-05,9.4012e-05,0.000134937,0.000193087,0.000275277,0.000390721,0.000551701,0.000774332,0.0010794,0.00149326,0.00204873,0.00278601,0.00375368,0.00500971,0.00662296,0.00867534,0.0112661,0.0145212,0.0186168,0.0234218,0.0287638,0.0344181,0.0401095,0.045523,0.0503268,0.0542051,0.0568964,0.0582292,0.0581465,0.0567113,0.0540912,0.0505271,0.0462957,0.0416729,0.0369075,0.0322049,0.0277211,0.0235642,0.0197997,0.0164583,0.013544,0.0110415,0.00892227,0.00715035,0.00568594,0.00448853,0.00351909,0.00274136,0.00212271,0.00163445,0.0012519,0.000954188,0.000723953,0.000546924,0.000411534,0.000308499,0.000230442,0.000171556,0.000127303,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.83135,-0,-0,-0,-5.58502,-0,-10.0344,-4.74727,-8.97191,-25.3929,-23.9022,-11.2623,-14.1946,-26.9534,-38.5937,-30.8954,-20.9245,-40.8097,-25.7987,-34.1204,-45.5166,-37.3072,-26.2538,-23.882,-30.7271,-12.7116,-19.7961,-20.6138,-14.3422,-14.9921,-19.6104,-16.4277,-4.30181,-4.5061,-9.43841,-9.88119,-5.16976,-10.8125,-11.2991,-0,-0,-6.41645,-0,-0,-0,-0,-0,-0,-8.37551,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,4,2,3,5,9,4,9,12,14,17,12,9,13,15,11,7,2,11,5,6,1,4,4,5,3,2,0,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0
-539.641,0.985007,0.0735026,6,63,0,544.485,-2.01694,-1.67781,-1.24169,-0.820694,2.40849,0.278191,-0.357649,5.12081,3.07397,0.000189168,0.000236157,0.000294949,0.000368583,0.000460922,0.000576902,0.000722859,0.000906995,0.00114,0.00143595,0.00181355,0.00229786,0.00292263,0.00373318,0.00478934,0.00616734,0.00795936,0.0102694,0.0132051,0.0168665,0.0213329,0.0264833,0.0320962,0.0378476,0.0433307,0.048106,0.0517807,0.0540933,0.0549583,0.0544532,0.0527689,0.0501558,0.0468794,0.0431896,0.0393023,0.0353906,0.0315841,0.0279724,0.0246122,0.0215339,0.0187487,0.016254,0.0140382,0.0120838,0.0103703,0.00887566,0.00757774,0.00645506,0.00548734,0.00465576,0.00394316,0.00333405,0.00281458,0.00237246,0.00199685,0.00167826,0.0014084,0.00118008,0.00098708,0.000824064,0.000686449,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.31247,-0,-0,-0,-5.34136,-0,-9.66681,-4.57859,-8.65431,-24.4946,-23.085,-10.8937,-13.7561,-26.1935,-37.6667,-30.3435,-20.7252,-40.8386,-26.1106,-34.925,-47.0693,-38.9041,-27.5416,-25.1372,-32.3647,-13.3652,-20.7306,-21.4592,-14.8181,-15.3525,-19.8832,-16.4777,-4.26598,-4.41589,-9.13762,-9.44889,-4.88254,-10.0858,-10.4106,-0,-0,-5.70357,-0,-0,-0,-0,-0,-0,-6.92076,-0,-0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,4,2,11,7,9,8,9,5,8,17,9,11,6,15,11,8,9,5,3,5,9,3,4,2,1,2,4,1,0,0,1,2,1,1,0,0,2,0,0,0,0,0,0
-540.368,0.9881,0.0735026,4,31,0,542.148,-1.95097,-1.55148,-1.61935,-0.648592,2.26112,0.642808,-0.603415,4.44712,2.63513,0.000103201,0.000134163,0.000174465,0.000226961,0.000295402,0.000384732,0.000501506,0.000654455,0.000855305,0.00111994,0.00147016,0.00193617,0.00256045,0.00340283,0.00454628,0.00610032,0.00819873,0.0109904,0.0146241,0.019229,0.024892,0.0314019,0.0384145,0.0454527,0.0519306,0.0572173,0.0607664,0.0622837,0.0617974,0.0595794,0.0560233,0.0515552,0.0465758,0.041425,0.0363639,0.0315732,0.0271632,0.0231891,0.0196665,0.0165847,0.013917,0.0116278,0.00967778,0.00802702,0.00663713,0.0054724,0.00450041,0.00369228,0.00302264,0.00246942,0.00201364,0.00163908,0.00133196,0.00108068,0.000875466,0.000708171,0.000571992,0.00046129,0.0003714,0.000298481,0.000239374,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.52239,-0,-0,-0,-5.39345,-0,-9.60755,-4.51074,-8.45016,-23.708,-22.1593,-10.3827,-13.0373,-24.7287,-35.4942,-28.609,-19.605,-38.8648,-25.055,-33.8454,-46.1118,-38.5463,-27.6001,-25.471,-33.1418,-13.8218,-21.6353,-22.5844,-15.7153,-16.3971,-21.3732,-17.8174,-4.63792,-4.82494,-10.0302,-10.4161,-5.40359,-11.203,-11.6032,-0,-0,-6.41362,-0,-0,-0,-0,-0,-0,-7.89823,-0,-0,0,0,0,0,0,0,0,0,1,0,1,2,2,0,1,0,2,1,2,0,5,5,6,8,9,12,16,10,17,16,7,12,6,8,10,9,6,4,3,3,2,3,3,3,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0
-540.92,0.999594,0.0735026,6,63,0,543.543,-1.48022,-1.3584,-1.93078,-0.84131,2.40547,0.0526195,-1.81544,5.19653,3.12302,0.000205299,0.000255541,0.000318333,0.000396948,0.000495582,0.000619655,0.000776213,0.000974493,0.00122668,0.00154894,0.00196278,0.00249664,0.00318765,0.004083,0.00524055,0.00672784,0.00861944,0.0109927,0.0139222,0.0174738,0.0216979,0.026428,0.0314489,0.0365022,0.0412976,0.0455351,0.0489371,0.0512874,0.0524656,0.0524636,0.0513753,0.0493671,0.0466439,0.0434177,0.0398872,0.0362248,0.0325703,0.0290304,0.0256804,0.0225688,0.0197222,0.0171502,0.0148498,0.0128099,0.0110139,0.00944207,0.00807352,0.00688719,0.00586276,0.00498108,0.00422448,0.00357692,0.00302393,0.00255268,0.0021518,0.00181129,0.00152245,0.0012777,0.00107049,0.000895158,0.000746866,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.23339,-0,-0,-0,-5.25133,-0,-9.50747,-4.51052,-8.54853,-24.2823,-22.9832,-10.9,-13.8376,-26.4831,-38.2434,-30.8927,-21.1205,-41.5843,-26.5284,-35.3716,-47.4976,-39.1101,-27.5869,-25.0951,-32.217,-13.272,-20.5461,-21.2365,-14.6481,-15.1647,-19.63,-16.263,-4.20977,-4.35753,-9.01719,-9.32516,-4.81917,-9.95618,-10.2783,-0,-0,-5.63325,-0,-0,-0,-0,-0,-0,-6.83964,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,2,2,5,6,7,7,8,7,13,8,11,9,10,8,7,13,9,7,7,13,5,5,1,5,2,3,1,2,1,1,4,1,1,0,0,0,0,2,0,1,0,0,0,0
