# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 05:09:52 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c2284d5960.json
# init = /tmp/RtmpC8O1hA/init-b41c2673d5cb9_1.json
# random
#   seed = 1952002
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0181_rep019_accurate_weak/prior_sensitivity_obspair_FAST-202605300609-1-9fbac1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0181_rep019_accurate_weak/prior_sensitivity_obspair_FAST-profile-202605300609-1-28e0a2.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0475069
# Diagonal elements of inverse mass matrix:
# 0.121122, 0.0940853, 0.193927, 0.0681813, 0.201024, 0.121581, 0.18339
-532.542,0.996736,0.0475069,6,63,0,537.441,-1.34594,-1.59372,-1.42303,0.30247,4.92423,0.0278113,0.141633,4.97577,2.0012,1.32005e-06,2.57847e-06,5.01503e-06,9.6898e-06,1.85384e-05,3.49718e-05,6.4732e-05,0.000116981,0.000205531,0.000350083,0.000577374,0.000922164,0.00142802,0.00214787,0.0031442,0.0044887,0.00626104,0.0085468,0.0114367,0.0150365,0.0195272,0.0245751,0.0299769,0.0355359,0.0410488,0.046305,0.051086,0.0551639,0.0583025,0.0602686,0.0608568,0.0599356,0.057505,0.0537418,0.0489882,0.0436679,0.0381747,0.0328009,0.0277285,0.0230573,0.0188385,0.0150974,0.011845,0.00908038,0.00678992,0.0049459,0.00350675,0.00241975,0.00162573,0.00106465,0.000680653,0.000425644,0.000260913,0.000157116,9.31423e-05,5.4467e-05,3.14744e-05,1.80014e-05,1.0204e-05,5.73937e-06,3.20638e-06,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.55147,-0,-0,-5.40619,-5.07341,-19.0488,-13.4128,-16.7891,-15.7438,-22.2361,-28.0586,-23.3605,-15.965,-27.6526,-11.897,-26.077,-42.6317,-56.1789,-19.5946,-28.1449,-48.55,-17.5414,-18.097,-28.1803,-26.1247,-23.9211,-28.6824,-15.0791,-11.9156,-12.5797,-8.8717,-9.40328,-14.9769,-0,-11.3061,-0,-6.4218,-0,-0,-7.76191,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,4,4,5,3,8,9,4,7,7,11,15,10,9,18,14,8,12,7,8,6,8,2,4,4,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-533.17,0.997038,0.0475069,6,63,0,538.42,-2.55307,-1.74799,-2.7069,-0.235526,3.91253,0.608317,0.0791248,4.98515,2.22836,1.80582e-05,2.68206e-05,3.98442e-05,5.92117e-05,8.80353e-05,0.000130974,0.000195011,0.000290585,0.000433096,0.000644518,0.000954351,0.0013994,0.0020229,0.00287388,0.00400674,0.00548064,0.00735846,0.00970523,0.0125878,0.0160809,0.0203018,0.0250452,0.0301259,0.0353586,0.040554,0.0455159,0.0500352,0.0538822,0.0568001,0.0585152,0.0587878,0.0575209,0.0548564,0.0511277,0.0467117,0.0419296,0.0370252,0.0321779,0.0275217,0.0231595,0.0191711,0.0156139,0.0125207,0.00989711,0.00772327,0.00595924,0.00455331,0.00344972,0.00259445,0.00193871,0.00144052,0.00106498,0.000783798,0.000574517,0.000419566,0.000305375,0.000221575,0.000160311,0.000115676,8.32581e-05,5.97803e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.20322,-0,-0,-5.20653,-4.91191,-18.5404,-13.1251,-16.5205,-15.5882,-22.1224,-28.019,-23.3955,-16.0256,-27.8073,-11.9801,-26.2886,-43.0233,-56.7694,-19.8367,-28.5561,-49.3516,-17.8406,-18.3826,-28.5459,-26.3692,-24.0553,-28.7423,-15.0614,-11.8631,-12.4788,-8.76075,-9.23102,-14.5906,-0,-10.7838,-0,-5.95438,-0,-0,-6.8448,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,2,2,1,6,5,4,4,4,13,9,12,21,11,14,12,14,12,4,6,9,5,9,5,1,4,0,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-532.964,0.996375,0.0475069,6,63,0,537.181,-2.36629,-1.72242,-2.52484,-0.3223,4.04235,0.598743,0.084921,5.108,2.33631,2.72603e-05,3.91877e-05,5.63505e-05,8.10643e-05,0.000116685,0.000168091,0.000242389,0.00034992,0.00050558,0.00073021,0.00105144,0.00150355,0.0021268,0.00296693,0.00407487,0.00550629,0.00732084,0.00958122,0.0123539,0.0157173,0.019802,0.0243934,0.0293108,0.0343776,0.0394147,0.0442358,0.0486421,0.0524148,0.0553109,0.0570739,0.0574805,0.0564386,0.0540716,0.0506771,0.0465968,0.0421278,0.0375,0.0328859,0.0284161,0.0241924,0.0202939,0.0167791,0.0136838,0.0110195,0.00877433,0.00691777,0.00540733,0.00419527,0.00323383,0.00247858,0.00189019,0.00143503,0.0010851,0.000817516,0.000613879,0.000459566,0.000343077,0.000255446,0.00018973,0.000140589,0.000103938,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.15314,-0,-0,-5.20186,-4.91703,-18.5918,-13.1814,-16.612,-15.6879,-22.2807,-28.2384,-23.5924,-16.1681,-28.064,-12.0931,-26.5371,-43.4218,-57.2682,-19.9942,-28.746,-49.5966,-17.8937,-18.3973,-28.5034,-26.2673,-23.903,-28.4864,-14.8869,-11.6923,-12.2629,-8.58309,-9.01618,-14.2078,-0,-10.44,-0,-5.73409,-0,-0,-6.54657,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,3,4,4,4,11,7,7,7,15,14,12,9,12,12,13,11,10,3,5,1,7,4,6,1,3,3,1,2,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0
-530.132,0.999393,0.0475069,6,63,0,533.95,-1.53952,-1.61686,-1.64239,0.049619,3.9594,-0.143912,-1.01165,4.82402,2.06934,5.62687e-06,9.47897e-06,1.59376e-05,2.67226e-05,4.46282e-05,7.41187e-05,0.000122171,0.000199387,0.000321348,0.000510097,0.000795551,0.00121661,0.00182167,0.00266834,0.00382207,0.00535356,0.00733493,0.00983462,0.0129115,0.0166083,0.020946,0.0258298,0.0311189,0.0366277,0.0421295,0.0473651,0.0520552,0.0559181,0.0586925,0.0601666,0.0602102,0.0588034,0.0560511,0.0521719,0.0474619,0.0422443,0.0368258,0.0314675,0.026373,0.021688,0.0175049,0.0138699,0.0107913,0.00824709,0.00619389,0.00457436,0.00332457,0.00237996,0.00167985,0.00117032,0.000805641,0.000548599,0.000369912,0.000247228,0.000163926,0.000107921,7.05979e-05,4.59191e-05,2.9714e-05,1.91387e-05,1.22754e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.308,-0,-0,-5.22999,-4.91511,-18.4874,-13.0489,-16.3914,-15.4632,-21.9374,-27.7595,-23.1487,-15.835,-27.4488,-11.8218,-25.9548,-42.5317,-56.2127,-19.6694,-28.3356,-48.9854,-17.7193,-18.287,-28.4786,-26.4124,-24.2116,-29.0833,-15.324,-12.1358,-12.8341,-9.05804,-9.59579,-15.2526,-0,-11.4128,-0,-6.38905,-0,-0,-7.50814,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,2,3,3,5,4,9,9,12,12,18,16,12,13,13,5,10,9,6,7,6,3,3,4,2,1,3,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-530.443,0.991938,0.0475069,6,63,0,532.085,-1.03457,-1.67564,-1.70788,0.0474613,4.32606,-0.241744,-0.901542,4.83323,2.19527,1.09211e-05,1.82561e-05,3.03859e-05,5.02807e-05,8.25636e-05,0.000134244,0.000215626,0.000341333,0.000531339,0.000811859,0.00121593,0.00178348,0.00256088,0.0035996,0.00495435,0.00668023,0.00882943,0.0114474,0.0145688,0.018214,0.0223855,0.0269536,0.0317622,0.0366329,0.0413701,0.0457687,0.0496232,0.0527381,0.0549407,0.0560958,0.0561214,0.0550025,0.0528013,0.0496561,0.0457666,0.0413679,0.0366997,0.0319802,0.0273899,0.0230665,0.0191059,0.0155665,0.0124757,0.00983541,0.00762755,0.00581957,0.00436923,0.00322909,0.00235033,0.00168586,0.00119255,0.000832644,0.000574321,0.000391714,0.000264429,0.000176837,0.000117258,7.71565e-05,5.04194e-05,3.27428e-05,2.11443e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.96741,-0,-0,-5.0086,-4.72966,-17.88,-12.6866,-16.0223,-15.1974,-21.6818,-27.5958,-23.1477,-15.926,-27.7574,-12.0132,-26.4818,-43.5225,-57.6139,-20.1617,-29.0038,-50.0007,-18.0158,-18.5052,-28.6672,-26.4399,-24.0985,-28.7807,-15.0775,-11.8733,-12.4879,-8.76794,-9.24353,-14.628,-0,-10.8663,-0,-6.0532,-0,-0,-7.0909,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,5,2,5,9,9,8,9,7,13,11,10,14,16,9,14,3,8,8,8,4,6,3,2,3,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-530.923,0.992029,0.0475069,6,63,0,532.421,-2.41034,-3.03401,-1.46305,-0.247956,3.05501,0.0571492,-1.42147,4.70784,2.14853,2.18151e-05,3.22265e-05,4.76054e-05,7.03186e-05,0.000103855,0.000153346,0.000226317,0.000333735,0.000491432,0.0007219,0.00105635,0.00153661,0.00221637,0.00316088,0.00444467,0.00614694,0.0083444,0.0111019,0.0144616,0.0184319,0.0229785,0.0279946,0.0333173,0.0387334,0.04399,0.0488103,0.0529137,0.0560417,0.0579866,0.0586219,0.0579221,0.055964,0.05291,0.0489804,0.0444271,0.0395089,0.0344717,0.0295318,0.0248643,0.0205958,0.0168038,0.0135209,0.0107431,0.00843953,0.00656278,0.00505723,0.00386563,0.00293353,0.00221187,0.00165812,0.00123655,0.000917848,0.00067839,0.000499465,0.000366429,0.000267953,0.000195352,0.000142024,0.000102983,7.44885e-05,5.37508e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.11188,-0,-0,-5.0918,-4.78616,-18.0025,-12.7088,-15.9747,-15.0928,-21.4545,-27.2134,-22.7574,-15.619,-27.1783,-11.7564,-25.9349,-42.7132,-56.7329,-19.9406,-28.8305,-49.9658,-18.098,-18.6834,-29.0811,-26.9409,-24.656,-29.5546,-15.5307,-12.2585,-12.9105,-9.06699,-9.54966,-15.079,-0,-11.1113,-0,-6.11392,-0,-0,-6.99348,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2,3,3,3,5,5,8,5,13,11,11,14,9,10,11,8,7,11,7,9,11,2,4,6,2,3,1,4,1,1,3,0,1,1,1,1,0,0,0,0,0,0,0,0,0
-530.652,0.999903,0.0475069,6,127,0,531.994,-2.18829,-1.93238,-0.948385,-0.176664,3.77459,-0.101401,-1.68301,5.02397,2.05871,8.47592e-06,1.28883e-05,1.95977e-05,2.97992e-05,4.53084e-05,6.88797e-05,0.000104684,0.000159011,0.000241294,0.000365525,0.000552144,0.000830334,0.0012405,0.00183651,0.00268694,0.00387465,0.00549374,0.00764323,0.0104171,0.0138908,0.0181063,0.0230391,0.0285941,0.0345972,0.0407943,0.0468629,0.0524328,0.0571206,0.0605731,0.0625181,0.0628091,0.0614493,0.0585866,0.0544821,0.0494652,0.0438896,0.0380955,0.0323809,0.0269836,0.0220718,0.0177449,0.0140415,0.0109515,0.0084306,0.00641442,0.00482969,0.00360285,0.00266558,0.00195774,0.00142854,0.00103635,0.000747943,0.000537285,0.000384339,0.000273886,0.0001945,0.000137685,9.71816e-05,6.84064e-05,4.80283e-05,3.36388e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.69224,-0,-0,-5.5533,-5.20415,-19.4957,-13.6929,-17.1061,-16.046,-22.6234,-28.4364,-23.5479,-15.9961,-27.5448,-11.7929,-25.7633,-42.0586,-55.446,-19.3736,-27.8954,-48.2332,-17.4593,-18.0389,-28.1347,-26.1413,-24.0113,-28.9002,-15.2538,-12.095,-12.7972,-9.02856,-9.55177,-15.1476,-0,-11.2521,-0,-6.23596,-0,-0,-7.19818,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,2,2,0,2,4,7,6,8,4,6,11,12,14,6,8,16,17,10,12,7,8,7,6,2,5,6,2,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0
-532.772,0.996799,0.0475069,6,63,0,533.95,-1.67553,-2.68995,-1.17607,0.428055,3.25071,-0.639754,-1.96469,4.61318,1.96328,2.12618e-06,4.31276e-06,8.61843e-06,1.69199e-05,3.25382e-05,6.11188e-05,0.000111841,0.000198937,0.000343398,0.000574636,0.000931765,0.0014641,0.00223047,0.00329705,0.00473346,0.00660729,0.00897723,0.0118854,0.0153501,0.0193587,0.023864,0.0287553,0.0338783,0.0390401,0.0440185,0.0485751,0.0524718,0.05549,0.0574503,0.0582311,0.057783,0.0561356,0.0533955,0.049734,0.0453681,0.040537,0.0354801,0.0304186,0.0255421,0.0210011,0.0169034,0.0133144,0.0102601,0.00773324,0.00569997,0.00410821,0.00289548,0.00199595,0.00134608,0.00088854,0.000574394,0.000363888,0.000226095,0.000137898,8.26369e-05,4.8704e-05,2.82597e-05,1.61594e-05,9.11534e-06,5.07737e-06,2.79536e-06,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.10554,-0,-0,-5.01958,-4.71306,-17.7298,-12.5299,-15.7784,-14.9415,-21.2936,-27.0799,-22.7022,-15.6157,-27.2218,-11.7899,-26.024,-42.8525,-56.8667,-19.9574,-28.7999,-49.8105,-18.0064,-18.5577,-28.8499,-26.7103,-24.4489,-29.3394,-15.4527,-12.2407,-12.9567,-9.15898,-9.72446,-15.5019,-0,-11.6892,-0,-6.61056,-0,-0,-7.91866,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,2,8,10,9,11,12,4,12,6,8,11,13,12,11,14,6,10,7,6,4,5,2,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-531.84,0.999924,0.0475069,6,127,0,534.33,-2.95406,-1.86106,-1.17187,-0.474481,3.13418,0.111695,-0.212288,5.1449,2.45988,4.09542e-05,5.59373e-05,7.64198e-05,0.000104435,0.000142779,0.000195305,0.000267338,0.00036625,0.000502271,0.000689601,0.000947888,0.00130409,0.00179456,0.00246706,0.00338208,0.00461297,0.00624409,0.00836675,0.0110725,0.0144441,0.018546,0.0233462,0.0287425,0.0345516,0.0405046,0.0462543,0.0514012,0.0555419,0.0583391,0.0595907,0.0592644,0.0574843,0.054485,0.050559,0.046014,0.0411416,0.0361964,0.0313845,0.0268581,0.0227175,0.0190173,0.0157747,0.0129798,0.0106043,0.00860922,0.00695051,0.00558349,0.00446534,0.00355676,0.00282274,0.00223278,0.00176075,0.00138463,0.00108604,0.000849775,0.000663403,0.00051679,0.000401745,0.000311677,0.000241314,0.00018645,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.323,-0,-0,-5.37888,-5.07612,-19.134,-13.5099,-16.9499,-15.95,-22.5439,-28.395,-23.5571,-16.0317,-27.6624,-11.8724,-26.0156,-42.6222,-56.4051,-19.7802,-28.5624,-49.4671,-17.9077,-18.4729,-28.7166,-26.5504,-24.2301,-28.9375,-15.1385,-11.8872,-12.448,-8.68872,-9.09298,-14.2648,-0,-10.3759,-0,-5.6389,-0,-0,-6.34202,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1,4,3,4,7,4,6,9,7,7,6,16,11,10,15,13,8,5,7,9,8,5,5,6,5,3,2,0,0,1,3,3,0,0,0,0,1,0,0,0,0,1,0,0
