# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 05:40:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c248ea2fd.json
# init = /tmp/RtmpC8O1hA/init-b41c230a42ed9_1.json
# random
#   seed = 1952006
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0185_rep019_mildly_wrong_moderate/prior_sensitivity_obspair_FAST-202605300640-1-235ee8.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0185_rep019_mildly_wrong_moderate/prior_sensitivity_obspair_FAST-profile-202605300640-1-49516e.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.14157
# Diagonal elements of inverse mass matrix:
# 0.111709, 0.0650745, 0.0335886, 0.0112757, 0.0447357, 0.027986, 0.0419502
-533.626,0.994546,0.14157,5,31,0,537.637,-1.82849,-1.7241,-1.16859,-0.528902,4.56933,0.177066,-1.15261,5.64119,2.4481,2.92941e-05,3.94588e-05,5.3209e-05,7.18563e-05,9.72281e-05,0.000131897,0.000179527,0.000245399,0.000337193,0.000466119,0.000648407,0.000907103,0.00127392,0.00179086,0.00251122,0.0034996,0.00483033,0.00658388,0.00884073,0.0116728,0.015133,0.0192194,0.0238803,0.0290063,0.0344274,0.0399164,0.0451992,0.0499716,0.0539241,0.0567755,0.0583148,0.0584402,0.0571793,0.0546778,0.0511635,0.0469064,0.0421847,0.0372606,0.0323634,0.0276783,0.023341,0.0194379,0.0160101,0.0130621,0.0105712,0.00849725,0.00679144,0.00540228,0.00428013,0.00337964,0.00266091,0.0020898,0.00163767,0.00128086,0.00100001,0.000779465,0.000606609,0.000471366,0.000365712,0.000283284,0.000219053,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.66566,-0,-0,-5.65511,-5.33284,-20.0925,-14.1852,-17.802,-16.7635,-23.711,-29.8776,-24.7817,-16.8445,-28.9887,-12.3867,-26.9667,-43.8027,-57.373,-19.8933,-28.3975,-48.6466,-17.4378,-17.8364,-27.5364,-25.3256,-23.0287,-27.4458,-14.3484,-11.2726,-11.8216,-8.26907,-8.67608,-13.6489,-0,-9.98419,-0,-5.45377,-0,-0,-6.17069,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,2,3,2,2,5,4,4,10,17,11,16,13,8,12,8,8,6,7,8,6,8,3,7,2,6,6,1,1,2,1,0,2,0,2,0,1,0,1,0,0,0,0,0
-534.93,0.996848,0.14157,5,31,0,537.802,-1.05295,-3.08381,-0.907929,-0.161905,4.20254,0.12248,-1.37234,4.47368,1.90479,1.48553e-05,2.27314e-05,3.47838e-05,5.32264e-05,8.14417e-05,0.000124588,0.000190497,0.000290968,0.00044353,0.000673644,0.00101707,0.00152185,0.00224915,0.00327231,0.0046736,0.00653814,0.0089451,0.0119561,0.0156024,0.0198722,0.0247011,0.0299604,0.0354641,0.0409781,0.0462364,0.0509601,0.0548802,0.0577602,0.0594188,0.0597498,0.0587367,0.0564555,0.0530656,0.0487883,0.0438816,0.0386163,0.0332539,0.0280284,0.0231319,0.0187053,0.014834,0.011551,0.00884463,0.00667004,0.00496234,0.00364803,0.00265403,0.00191348,0.0013688,0.000972529,0.000686913,0.000482683,0.000337642,0.000235243,0.000163318,0.000113024,7.79946e-05,5.36816e-05,3.6859e-05,2.52517e-05,1.72629e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.0972,-0,-0,-5.0301,-4.71665,-17.706,-12.481,-15.6737,-14.8036,-21.0473,-26.7139,-22.363,-15.3699,-26.7904,-11.6104,-25.6631,-42.3472,-56.3518,-19.8428,-28.743,-49.9158,-18.1216,-18.7576,-29.2867,-27.2287,-25.0218,-30.1323,-15.9158,-12.6325,-13.3829,-9.45589,-10.0203,-15.9176,-0,-11.8634,-0,-6.59382,-0,-0,-7.63615,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,2,2,0,3,5,6,4,9,12,9,13,9,14,9,17,17,9,14,5,9,6,4,0,1,4,3,2,2,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
-533.971,1,0.14157,4,15,0,536.341,-1.55416,-3.11832,-0.801508,-0.164405,4.9001,0.00812377,-1.3812,5.20903,1.97236,1.1725e-05,1.79211e-05,2.73901e-05,4.18567e-05,6.39455e-05,9.76347e-05,0.000148913,0.000226693,0.000344016,0.000519501,0.000778928,0.00115669,0.00169682,0.00245318,0.00348834,0.00487069,0.00666941,0.00894717,0.011751,0.0151024,0.0189881,0.0233511,0.0280887,0.0330537,0.0380607,0.0428961,0.0473324,0.051144,0.0541248,0.0561061,0.0569727,0.0566757,0.0552384,0.0527536,0.0493723,0.0452878,0.0407173,0.0358839,0.0310009,0.0262583,0.0218118,0.0177764,0.0142238,0.0111839,0.00865088,0.00659124,0.00495348,0.00367706,0.00269981,0.00196324,0.00141557,0.00101314,0.000720424,0.000509371,0.000358349,0.00025099,0.000175106,0.000121736,8.43648e-05,5.82979e-05,4.01785e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.379,-0,-0,-5.32452,-5.01022,-18.8657,-13.3314,-16.7716,-15.8558,-22.5427,-28.5791,-23.8673,-16.3429,-28.3408,-12.2022,-26.758,-43.7469,-57.6102,-20.0563,-28.7041,-49.2336,-17.6527,-18.0502,-27.8524,-25.6088,-23.2923,-27.7899,-14.5591,-11.4759,-12.0897,-8.50568,-8.98656,-14.2503,-0,-10.6153,-0,-5.91457,-0,-0,-6.8947,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,2,4,3,7,8,9,7,8,11,5,11,11,12,12,9,9,8,6,6,8,5,7,10,3,2,4,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0
-536.868,0.964354,0.14157,5,31,0,542.628,-1.57692,-3.76218,-0.776326,-0.444197,2.91233,-0.178478,-1.02788,4.58055,2.31191,7.4595e-05,0.000102785,0.000141618,0.0001951,0.00026873,0.000370038,0.000509303,0.00070048,0.000962364,0.00131997,0.00180602,0.00246228,0.0033403,0.00450084,0.00601135,0.00794086,0.0103522,0.013292,0.0167797,0.0207976,0.0252828,0.030111,0.035105,0.0400432,0.0446742,0.0487385,0.051994,0.0542442,0.0553613,0.0552996,0.0540976,0.0518675,0.0487789,0.0450374,0.0408628,0.0364698,0.0320517,0.0277691,0.0237441,0.0200596,0.0167626,0.0138698,0.0113746,0.0092542,0.00747543,0.00600002,0.00478825,0.00380157,0.00300425,0.00236424,0.00185355,0.00144818,0.00112792,0.000875956,0.000678479,0.000524229,0.000404117,0.000310848,0.000238609,0.00018279,0.000139751,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.70169,-0,-0,-4.83573,-4.57056,-17.2824,-12.2628,-15.4917,-14.7105,-21.0172,-26.7953,-22.5246,-15.5418,-27.1916,-11.8265,-26.2283,-43.4081,-57.8998,-20.4188,-29.5906,-51.3478,-18.6016,-19.1852,-29.8014,-27.5232,-25.0868,-29.9234,-15.6362,-12.2658,-12.8341,-8.95274,-9.36536,-14.6884,-0,-10.6832,-0,-5.80773,-0,-0,-6.53745,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,1,0,0,0,1,2,1,0,0,0,3,6,2,1,2,6,4,5,12,10,6,12,8,17,12,12,10,5,12,11,7,7,6,2,3,4,2,0,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
-535.64,0.99192,0.14157,5,31,0,539.301,-1.5376,-1.75084,-1.83391,-0.0641101,5.14414,0.634503,-0.751182,5.15754,2.05742,6.63044e-06,1.06094e-05,1.6987e-05,2.72245e-05,4.36928e-05,7.02536e-05,0.00011319,0.000182559,0.000293766,0.000468766,0.000736561,0.00113328,0.00170213,0.00249322,0.00356293,0.00497255,0.00678558,0.00906331,0.0118582,0.0152056,0.019116,0.023503,0.0282436,0.0331857,0.0381567,0.042972,0.0474395,0.0513633,0.0545454,0.0567897,0.0579115,0.0577613,0.0562741,0.0535339,0.0497836,0.0453409,0.0405063,0.0355267,0.0305947,0.0258587,0.0214332,0.0174047,0.0138347,0.0107599,0.00819062,0.00610944,0.00447417,0.00322477,0.0022932,0.00161259,0.0011235,0.000776685,0.000533416,0.000364286,0.000247569,0.000167527,0.000112932,7.58689e-05,5.0812e-05,3.39344e-05,2.26036e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.37588,-0,-0,-5.30382,-4.99296,-18.8141,-13.3042,-16.7444,-15.8289,-22.5038,-28.5351,-23.8395,-16.3303,-28.3249,-12.1932,-26.7195,-43.6308,-57.368,-19.9419,-28.5144,-48.9179,-17.5646,-18.0004,-27.8419,-25.6504,-23.3623,-27.8954,-14.6204,-11.5284,-12.1531,-8.56116,-9.06385,-14.4143,-0,-10.8189,-0,-6.07781,-0,-0,-7.16048,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,5,2,5,1,5,8,8,15,3,12,16,9,11,7,10,17,17,11,7,5,6,4,4,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
-538.01,0.971989,0.14157,5,31,0,543.251,-1.24391,-4.39314,-1.00347,-0.274566,3.33355,-0.236078,-0.573016,4.46046,2.16215,4.22342e-05,6.16989e-05,9.00946e-05,0.000131474,0.000191676,0.000279058,0.000405467,0.000587463,0.000847767,0.00121676,0.00173372,0.00244737,0.00341509,0.00470032,0.00636798,0.00847797,0.0110771,0.0141907,0.0178143,0.0219076,0.0263912,0.0311316,0.0359564,0.040664,0.0450361,0.0488534,0.0519135,0.0540489,0.0551432,0.0551437,0.0540656,0.0519896,0.0490507,0.0454237,0.0413057,0.0368995,0.0323989,0.0279756,0.0237712,0.0198914,0.0164051,0.013347,0.0107225,0.00851407,0.00668866,0.00520375,0.004013,0.00307022,0.00233219,0.00176021,0.00132087,0.000986046,0.000732663,0.000542099,0.00039957,0.000293494,0.000214895,0.000156887,0.000114229,8.29597e-05,6.01064e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.67955,-0,-0,-4.77028,-4.50287,-17.0207,-12.0833,-15.2837,-14.5389,-20.8172,-26.6036,-22.4169,-15.5015,-27.1704,-11.8327,-26.2608,-43.4673,-57.9563,-20.4229,-29.5671,-51.2533,-18.5503,-19.1205,-29.696,-27.4371,-25.0349,-29.9142,-15.6699,-12.3305,-12.9494,-9.07083,-9.53207,-15.022,-0,-11.0364,-0,-6.06095,-0,-0,-6.92181,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,4,5,7,5,7,9,5,4,11,8,10,16,7,11,9,6,6,10,5,3,7,7,5,4,4,7,5,1,1,0,1,2,0,1,2,1,0,0,0,0,0,0,0,0
