# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 05:40:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c248ea2fd.json
# init = /tmp/RtmpC8O1hA/init-b41c230a42ed9_3.json
# random
#   seed = 1952006
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0185_rep019_mildly_wrong_moderate/prior_sensitivity_obspair_FAST-202605300640-3-235ee8.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0185_rep019_mildly_wrong_moderate/prior_sensitivity_obspair_FAST-profile-202605300640-3-49516e.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.120941
# Diagonal elements of inverse mass matrix:
# 0.0764077, 0.082728, 0.0290204, 0.01463, 0.0348609, 0.0284366, 0.0503226
-532.568,0.98812,0.120941,5,31,0,535.929,-2.81922,-2.88176,-0.765649,-0.230354,3.76159,-0.0802767,-1.07112,5.26603,2.10336,1.27392e-05,1.89494e-05,2.81859e-05,4.1921e-05,6.23395e-05,9.26784e-05,0.000137718,0.000204488,0.000303241,0.000448769,0.000662056,0.000972197,0.00141835,0.00205129,0.00293405,0.00414082,0.00575339,0.00785455,0.0105182,0.0137965,0.0177067,0.0222148,0.0272281,0.0325923,0.0380953,0.0434788,0.0484564,0.0527375,0.056055,0.0581954,0.059025,0.058506,0.0566979,0.0537457,0.0498601,0.0452931,0.0403132,0.0351809,0.0301285,0.0253445,0.0209656,0.0170755,0.0137098,0.0108653,0.00851025,0.00659557,0.0050635,0.00385455,0.00291214,0.00218531,0.00162997,0.00120915,0.000892574,0.000655959,0.000480123,0.000350125,0.000254461,0.000184357,0.000133179,9.59455e-05,6.89436e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.55826,-0,-0,-5.48686,-5.15797,-19.3867,-13.664,-17.1334,-16.1352,-22.842,-28.828,-23.9658,-16.3383,-28.2193,-12.1084,-26.4818,-43.2213,-56.879,-19.8086,-28.3863,-48.7903,-17.5409,-17.9912,-27.8514,-25.6886,-23.4308,-28.0183,-14.7008,-11.5946,-12.2103,-8.57928,-9.04437,-14.2995,-0,-10.5714,-0,-5.83887,-0,-0,-6.71784,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,5,3,3,6,8,7,11,8,19,16,11,5,10,9,10,8,11,7,8,6,2,7,3,1,1,1,2,4,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0
-534.878,0.980622,0.120941,4,15,0,536.57,-2.54113,-2.7557,-0.572573,-0.216998,3.36662,-0.161117,-1.47097,4.9078,2.0535,1.26424e-05,1.89037e-05,2.82635e-05,4.22514e-05,6.31477e-05,9.43454e-05,0.000140879,0.000210185,0.000313181,0.000465736,0.000690598,0.00101973,0.00149685,0.0021797,0.00314121,0.00446857,0.006259,0.0086114,0.0116134,0.0153248,0.0197597,0.0248648,0.0305105,0.0364865,0.0425101,0.0482443,0.0533279,0.0574141,0.0602123,0.061528,0.0612868,0.0595413,0.0564575,0.0522885,0.0473406,0.0419379,0.0363894,0.0309627,0.0258668,0.0212454,0.0171794,0.0136953,0.010778,0.00838427,0.00645463,0.00492301,0.00372367,0.0027956,0.00208487,0.00154554,0.00113957,0.000836156,0.000610828,0.000444436,0.000322188,0.000232783,0.000167667,0.00012042,8.62552e-05,6.16272e-05,4.39251e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.50439,-0,-0,-5.41069,-5.07373,-19.0187,-13.3668,-16.7131,-15.6965,-22.1658,-27.9175,-23.1757,-15.7901,-27.2833,-11.7252,-25.7172,-42.1482,-55.7653,-19.5453,-28.2109,-48.8625,-17.7059,-18.3023,-28.5441,-26.5078,-24.3248,-29.2384,-15.4065,-12.1921,-12.8721,-9.0605,-9.5628,-15.1289,-0,-11.1861,-0,-6.17305,-0,-0,-7.08669,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,2,4,4,5,10,9,9,8,12,6,6,14,14,10,16,8,14,6,8,7,5,7,1,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-532.385,1,0.120941,5,31,0,536.028,-2.19282,-3.06256,-0.697887,-0.198227,3.9256,-0.188816,-1.06289,5.12285,2.06033,1.3658e-05,2.05717e-05,3.09772e-05,4.6628e-05,7.01456e-05,0.000105433,0.00015827,0.00023714,0.000354349,0.000527459,0.000780986,0.00114821,0.00167278,0.0024096,0.00342443,0.00479153,0.00658872,0.00888966,0.0117535,0.015213,0.0192629,0.0238469,0.0288539,0.0341178,0.0394239,0.0445218,0.0491436,0.0530267,0.055938,0.0576992,0.0582063,0.0574413,0.0554717,0.0524406,0.0485485,0.0440324,0.039143,0.0341234,0.0291906,0.0245223,0.0202485,0.0164505,0.0131642,0.0103883,0.00809351,0.00623272,0.00474955,0.00358523,0.00268346,0.00199328,0.00147056,0.00107832,0.00078638,0.000570658,0.000412275,0.000296652,0.000212675,0.00015196,0.000108243,7.68834e-05,5.44633e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.39327,-0,-0,-5.34091,-5.0224,-18.8915,-13.3308,-16.7424,-15.7983,-22.4166,-28.3641,-23.6456,-16.1669,-28.006,-12.052,-26.4326,-43.2527,-57.0502,-19.9063,-28.5699,-49.162,-17.6884,-18.1512,-28.1055,-25.9243,-23.6444,-28.2713,-14.8327,-11.699,-12.3222,-8.6605,-9.13415,-14.4501,-0,-10.6994,-0,-5.92065,-0,-0,-6.83235,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,2,1,3,8,4,5,10,3,9,15,11,5,5,16,11,11,12,11,7,6,4,5,5,7,3,6,3,4,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
-532.038,0.997862,0.120941,5,31,0,533.992,-1.75946,-2.77484,-1.0003,-0.239492,3.54664,-0.228764,-0.69381,4.83297,2.16977,2.46212e-05,3.64656e-05,5.39882e-05,7.98876e-05,0.000118118,0.000174439,0.000257181,0.000378253,0.000554423,0.000808821,0.0011725,0.00168577,0.00239884,0.00337122,0.00466952,0.00636305,0.00851747,0.0111865,0.0144029,0.018169,0.0224497,0.0271518,0.0321329,0.0372058,0.042147,0.046712,0.0506532,0.0537428,0.0557961,0.0566922,0.0563891,0.054927,0.0524204,0.0490418,0.0450006,0.0405222,0.0358291,0.031125,0.0265829,0.0223378,0.0184833,0.0150735,0.0121274,0.0096354,0.00756769,0.00588143,0.00452737,0.00345501,0.00261614,0.00196705,0.00146968,0.00109182,0.000806951,0.000593644,0.000434889,0.000317372,0.000230804,0.000167311,0.000120926,8.71603e-05,6.26598e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.03277,-0,-0,-5.05725,-4.76564,-17.9722,-12.721,-16.0322,-15.1859,-21.6379,-27.503,-23.039,-15.833,-27.5738,-11.931,-26.3119,-43.2908,-57.4024,-20.1284,-29.0175,-50.1238,-18.0905,-18.6065,-28.8532,-26.632,-24.2882,-29.0199,-15.2059,-11.9727,-12.5844,-8.82458,-9.28462,-14.6516,-0,-10.7952,-0,-5.94606,-0,-0,-6.81991,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,3,6,5,3,4,8,7,6,8,8,10,10,8,19,11,7,14,8,9,8,8,4,6,5,3,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
-534.399,0.989218,0.120941,5,31,0,536.353,-2.28163,-1.71651,-1.82744,-0.264822,4.53191,0.657236,-0.585814,5.31702,2.18177,1.37407e-05,2.01855e-05,2.9666e-05,4.36267e-05,6.42161e-05,9.46469e-05,0.000139753,0.000206844,0.000306962,0.000456461,0.00067852,0.00100409,0.00147239,0.00213116,0.00303678,0.00425366,0.00585251,0.00790658,0.0104854,0.0136461,0.0174238,0.0217637,0.0265674,0.0316955,0.0369751,0.0422054,0.0471621,0.0515981,0.055246,0.0578276,0.0590855,0.0588568,0.0571622,0.0542114,0.0503094,0.0457654,0.0408542,0.0358087,0.0308231,0.0260575,0.0216396,0.0176636,0.0141872,0.0112297,0.00877558,0.00678277,0.00519374,0.00394553,0.002977,0.00223306,0.00166644,0.00123796,0.000915926,0.000675193,0.000496083,0.000363381,0.000265434,0.000193384,0.000140549,0.000101913,7.3733e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.52087,-0,-0,-5.45998,-5.14088,-19.3602,-13.6733,-17.1772,-16.1997,-22.9651,-29.0246,-24.1611,-16.4876,-28.4869,-12.2167,-26.6784,-43.4394,-57.0058,-19.8014,-28.3265,-48.6517,-17.4892,-17.9374,-27.758,-25.582,-23.3069,-27.8359,-14.5898,-11.4997,-12.1087,-8.51083,-8.97838,-14.2073,-0,-10.5206,-0,-5.81684,-0,-0,-6.69429,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,4,6,6,4,8,13,8,7,6,12,11,10,10,10,4,9,13,10,4,7,6,4,5,3,2,3,8,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0
-530.781,0.999112,0.120941,5,31,0,537.088,-2.06343,-2.90586,-1.26478,-0.267125,3.7577,0.0569139,-0.968897,5.01212,2.16516,2.32825e-05,3.41441e-05,5.0073e-05,7.3431e-05,0.000107675,0.000157854,0.00023131,0.000338646,0.000494988,0.000721513,0.00104706,0.00150953,0.00215655,0.00304505,0.00423935,0.00580742,0.00781512,0.0103185,0.013355,0.0169334,0.0210269,0.0255552,0.0303921,0.0353691,0.0402837,0.0449113,0.0490191,0.0523835,0.054809,0.0561491,0.0563266,0.0553442,0.0532824,0.0502854,0.0465408,0.0422604,0.0376625,0.0329571,0.0283324,0.0239447,0.0199112,0.0163076,0.0131699,0.0105004,0.00827549,0.00645469,0.00498816,0.00382331,0.00290921,0.00219939,0.00165321,0.0012363,0.000920266,0.00068218,0.00050379,0.000370775,0.000272024,0.000198996,0.000145182,0.000105654,7.67037e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.13925,-0,-0,-5.14862,-4.8517,-18.2952,-12.9476,-16.3139,-15.4478,-22.0015,-27.9486,-23.3934,-16.059,-27.9276,-12.0622,-26.5425,-43.5585,-57.5949,-20.1361,-28.9418,-49.8465,-17.9402,-18.4046,-28.4751,-26.2327,-23.8878,-28.51,-14.928,-11.7494,-12.3484,-8.65964,-9.11269,-14.3834,-0,-10.6014,-0,-5.83987,-0,-0,-6.69563,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,2,1,2,3,9,7,6,4,7,9,9,10,9,16,9,11,10,11,8,7,10,5,11,2,3,2,3,2,1,0,1,1,3,0,0,0,1,0,0,1,0,0,0,0,0
