# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 05:50:25 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c220552221.json
# init = /tmp/RtmpC8O1hA/init-b41c229a6170_1.json
# random
#   seed = 1952008
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0187_rep019_badly_wrong_weak/prior_sensitivity_obspair_FAST-202605300650-1-653080.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0187_rep019_badly_wrong_weak/prior_sensitivity_obspair_FAST-profile-202605300650-1-1fb328.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0740375
# Diagonal elements of inverse mass matrix:
# 0.0900104, 0.0754711, 0.112569, 0.0700264, 0.0929592, 0.272583, 0.347306
-532.796,0.998857,0.0740375,5,31,0,534.255,-0.870104,-1.2175,-1.69641,-0.393445,5.0348,1.33271,-0.282485,4.83259,2.23969,2.03137e-05,2.85312e-05,4.01111e-05,5.64675e-05,7.96478e-05,0.000112657,0.000159992,0.000228572,0.000329403,0.000480295,0.000708074,0.0010483,0.00154513,0.00225243,0.00323521,0.00457136,0.00635314,0.00868864,0.0117029,0.0155399,0.020371,0.0258379,0.0316585,0.0375868,0.0433981,0.0488768,0.0538032,0.0579401,0.0610203,0.0627333,0.0627256,0.0607019,0.0568162,0.0517344,0.0460913,0.0403235,0.0347089,0.0294189,0.0245558,0.0201789,0.016321,0.0129977,0.0102073,0.00792454,0.00609838,0.00466196,0.00354566,0.00268565,0.00202741,0.00152615,0.00114599,0.000858672,0.000642139,0.000479363,0.000357267,0.000265863,0.000197553,0.000146579,0.000108592,8.03116e-05,5.92723e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.47264,-0,-0,-5.38795,-5.05881,-18.983,-13.3438,-16.6574,-15.5746,-21.9355,-27.622,-22.9677,-15.6867,-27.1661,-11.6897,-25.6351,-41.9482,-55.3772,-19.3829,-28.0178,-48.7549,-17.7698,-18.4628,-28.8974,-26.8861,-24.6828,-29.6545,-15.6125,-12.3459,-13.0289,-9.1693,-9.67558,-15.2992,-0,-11.2841,-0,-6.201,-0,-0,-7.06012,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,4,2,5,6,7,13,8,12,9,10,13,10,16,13,13,8,4,13,5,6,4,5,2,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
-531.051,0.991036,0.0740375,6,63,0,534.528,-0.694767,-1.83221,-0.988081,-0.515574,4.60757,0.521555,-0.707315,4.86675,2.24908,3.11615e-05,4.21343e-05,5.70339e-05,7.73181e-05,0.000105032,0.00014308,0.000195664,0.000268983,0.000372396,0.000520293,0.000734859,0.00104946,0.0015118,0.00218585,0.00315178,0.0045034,0.00634276,0.00877139,0.0118783,0.0157253,0.0203315,0.0256022,0.0313714,0.0374054,0.0434149,0.0490741,0.0540433,0.0579942,0.0606374,0.0617582,0.0612614,0.0592085,0.0558112,0.0513762,0.0462437,0.0407462,0.0351841,0.02981,0.0248183,0.0203399,0.0164432,0.0131413,0.0104048,0.00817742,0.00638975,0.00497037,0.00385256,0.00297767,0.00229614,0.00176718,0.00135784,0.00104182,0.000798315,0.000610995,0.000467092,0.000356667,0.00027201,0.000207156,0.000157502,0.000119503,9.0436e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.49445,-0,-0,-5.40292,-5.06044,-18.945,-13.2991,-16.6099,-15.5823,-21.9905,-27.6949,-23.0016,-15.6848,-27.1298,-11.6719,-25.6267,-42.0426,-55.6906,-19.5482,-28.2669,-49.0583,-17.8115,-18.443,-28.8035,-26.7773,-24.5904,-29.5694,-15.5807,-12.3235,-12.996,-9.13097,-9.61276,-15.1592,-0,-11.118,-0,-6.07653,-0,-0,-6.86679,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,3,1,3,3,4,5,4,7,17,9,13,14,10,14,8,11,12,9,8,4,7,5,4,6,5,2,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
-533.23,0.999158,0.0740375,6,63,0,533.897,-0.505499,-2.48086,-0.641312,-0.227147,5.06219,0.0962584,-1.75499,5.03477,2.0612,7.92514e-06,1.18308e-05,1.76792e-05,2.64568e-05,3.96731e-05,5.96578e-05,9.00454e-05,0.000136558,0.000208244,0.000319324,0.000491642,0.000757419,0.00116169,0.00176373,0.00263679,0.00386591,0.00554325,0.00776081,0.0106001,0.0141193,0.0183383,0.0232181,0.0286531,0.0344666,0.040416,0.0462073,0.0515181,0.056025,0.0594345,0.0615122,0.0621099,0.0611857,0.0588116,0.0551653,0.0505061,0.045143,0.0394014,0.0335928,0.0279902,0.0228089,0.0181971,0.0142335,0.010934,0.00826546,0.0061614,0.00453855,0.00330992,0.00239402,0.00171981,0.00122856,0.000873576,0.000618759,0.000436836,0.000307533,0.00021597,0.000151333,0.000105827,7.38615e-05,5.14534e-05,3.57729e-05,2.48181e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.75788,-0,-0,-5.55556,-5.19517,-19.4347,-13.6407,-17.0409,-15.9951,-22.5769,-28.4199,-23.5743,-16.0426,-27.6715,-11.8633,-25.9376,-42.3432,-55.7704,-19.452,-27.9384,-48.1681,-17.3845,-17.914,-27.8813,-25.8716,-23.7541,-28.6072,-15.1224,-12.0195,-12.7565,-9.03175,-9.59134,-15.2684,-0,-11.4217,-0,-6.36554,-0,-0,-7.38779,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,2,5,2,3,5,4,7,8,8,9,11,14,15,13,18,10,5,7,12,11,4,7,1,4,3,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-534.525,0.986496,0.0740375,5,31,0,538.143,-0.339134,-3.58487,-1.12598,-0.035411,5.36556,0.686811,-1.75667,4.76424,1.96587,9.32648e-06,1.51168e-05,2.45068e-05,3.97406e-05,6.4467e-05,0.000104612,0.000169733,0.000274904,0.000442678,0.000704002,0.00109752,0.00166819,0.0024661,0.00354537,0.00496267,0.00677474,0.00903397,0.0117814,0.0150369,0.0187881,0.0229815,0.0275141,0.0322451,0.0370081,0.0416232,0.0459058,0.0496725,0.0527464,0.0549656,0.0561941,0.0563368,0.0553569,0.0532918,0.0502592,0.0464439,0.0420671,0.0373564,0.0325238,0.0277531,0.0231951,0.0189676,0.0151582,0.0118267,0.00900485,0.00669464,0.00486781,0.00347047,0.00243305,0.00168209,0.0011496,0.000778246,0.000522701,0.000348736,0.000231352,0.000152729,0.000100395,6.57454e-05,4.29101e-05,2.79216e-05,1.81186e-05,1.17274e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.00512,-0,-0,-4.99455,-4.70676,-17.7649,-12.5917,-15.8981,-15.0923,-21.5583,-27.4751,-23.0763,-15.8955,-27.7305,-12.0092,-26.4803,-43.5157,-57.5789,-20.1349,-28.9395,-49.8435,-17.9434,-18.4171,-28.5164,-26.298,-23.9805,-28.6752,-15.0553,-11.8951,-12.5676,-8.8748,-9.41998,-15.0193,-0,-11.3269,-0,-6.38772,-0,-0,-7.5565,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,1,1,5,4,8,1,3,10,12,18,10,9,10,15,22,6,9,11,4,6,6,8,3,4,1,1,0,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
-531.336,0.999601,0.0740375,6,63,0,536.465,-0.69338,-2.27197,-1.28588,-0.066413,5.65714,0.617677,-0.78903,5.08889,2.05201,7.98581e-06,1.27718e-05,2.04456e-05,3.27776e-05,5.26574e-05,8.48266e-05,0.000137044,0.000221717,0.000357614,0.000570965,0.00089567,0.00137285,0.00205,0.00297958,0.00421719,0.00581876,0.0078367,0.0103145,0.0132799,0.0167365,0.0206566,0.024951,0.0294957,0.0341392,0.0387134,0.0430431,0.046955,0.0502841,0.0528801,0.0546125,0.0553777,0.0551074,0.0537843,0.0514628,0.0482795,0.0444291,0.0401226,0.0355595,0.0309194,0.0263589,0.0220115,0.0179868,0.0143684,0.0112128,0.00854732,0.00636905,0.00464703,0.00332801,0.00234593,0.00163215,0.0011235,0.000766674,0.000519453,0.000349861,0.000234453,0.000156434,0.000103983,6.88879e-05,4.55008e-05,2.99717e-05,1.9693e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.18992,-0,-0,-5.14667,-4.84894,-18.2968,-12.9645,-16.3606,-15.5189,-22.145,-28.1881,-23.6412,-16.2578,-28.31,-12.2343,-26.9106,-44.0959,-58.1498,-20.255,-28.9847,-49.6871,-17.8014,-18.1845,-28.0247,-25.7265,-23.3558,-27.811,-14.5438,-11.4486,-12.0544,-8.48545,-8.98139,-14.2864,-0,-10.7431,-0,-6.05507,-0,-0,-7.17345,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,5,2,4,7,6,6,5,11,6,6,8,10,12,18,12,10,12,8,13,10,3,6,3,5,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-531.152,0.999662,0.0740375,6,63,0,532.784,-2.6959,-2.50938,-1.01071,-0.255618,3.26697,-0.0878334,-0.955646,4.96427,2.1652,1.78582e-05,2.63024e-05,3.8738e-05,5.70484e-05,8.40015e-05,0.000123657,0.000181951,0.000267522,0.000392846,0.000575723,0.000841109,0.00122315,0.00176704,0.00253022,0.00358217,0.00500208,0.00687382,0.00927798,0.0122811,0.015923,0.0202046,0.0250626,0.030371,0.0359399,0.0415211,0.046823,0.0515323,0.0553441,0.0579978,0.0593137,0.0592179,0.0577503,0.055052,0.05134,0.0468769,0.0419423,0.0368064,0.0317097,0.0268481,0.0223658,0.0183537,0.0148547,0.0118726,0.00938175,0.00733786,0.00568667,0.00437083,0.00333472,0.00252741,0.00190416,0.00142691,0.00106411,0.000790058,0.000584241,0.000430459,0.000316089,0.000231384,0.000168889,0.00012294,8.92637e-05,6.46536e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.33845,-0,-0,-5.2979,-4.98004,-18.7204,-13.1991,-16.56,-15.6074,-22.1183,-27.9541,-23.2814,-15.9078,-27.5524,-11.8622,-26.0477,-42.7102,-56.4983,-19.7857,-28.5163,-49.2911,-17.8157,-18.3614,-28.5431,-26.4167,-24.1579,-28.9405,-15.2009,-11.9938,-12.6283,-8.86704,-9.33798,-14.7441,-0,-10.8656,-0,-5.98056,-0,-0,-6.84562,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,1,0,1,0,0,1,2,1,1,1,0,3,1,5,2,1,6,4,8,11,9,7,11,14,10,8,11,9,13,7,13,7,3,5,5,3,3,4,1,2,2,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
