# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 06:01:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c24845057e.json
# init = /tmp/RtmpC8O1hA/init-b41c26a63864f_1.json
# random
#   seed = 1952009
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0188_rep019_badly_wrong_moderate/prior_sensitivity_obspair_FAST-202605300701-1-952d86.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0188_rep019_badly_wrong_moderate/prior_sensitivity_obspair_FAST-profile-202605300701-1-90f3bd.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.179408
# Diagonal elements of inverse mass matrix:
# 0.0865634, 0.0597725, 0.0357685, 0.013807, 0.0261094, 0.0315953, 0.0535135
-532.815,0.993156,0.179408,4,15,0,536.934,-0.873597,-2.85003,-0.575773,-0.615357,4.23525,0.776272,-0.809092,4.81632,2.21031,6.60392e-05,8.66687e-05,0.0001138,0.000149526,0.000196643,0.000258913,0.000341438,0.000451218,0.000597983,0.000795502,0.0010636,0.00143112,0.00193957,0.00264638,0.00362672,0.00497317,0.00679206,0.00919507,0.0122844,0.0161311,0.0207493,0.0260686,0.0319246,0.0380628,0.0441566,0.0498343,0.0547124,0.0584357,0.0607206,0.0614003,0.0604563,0.0580171,0.0543241,0.04969,0.0444576,0.0389649,0.0335159,0.0283564,0.0236583,0.0195157,0.0159547,0.0129526,0.010458,0.00840727,0.00673489,0.00537947,0.00428625,0.00340795,0.00270458,0.00214283,0.00169522,0.00133928,0.00105672,0.000832761,0.000655472,0.000515282,0.000404526,0.00031709,0.000248107,0.000193715,0.000150855,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.24529,-0,-0,-5.3037,-4.992,-18.7564,-13.1983,-16.508,-15.501,-21.8821,-27.555,-22.8796,-15.6001,-26.9915,-11.6227,-25.5585,-42.0221,-55.8068,-19.6408,-28.4702,-49.5174,-18.0117,-18.6793,-29.2058,-27.1659,-24.9403,-29.9523,-15.7462,-12.414,-13.0394,-9.12077,-9.55732,-15.0014,-0,-10.9047,-0,-5.91281,-0,-0,-6.61563,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,0,3,2,5,11,12,7,9,14,8,12,9,13,12,5,13,10,9,7,9,2,6,2,2,1,6,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
-533.375,0.965022,0.179408,5,31,0,536.839,-0.545384,-1.41925,-1.14838,-0.579361,4.38806,0.602772,-0.382503,4.7356,2.35202,3.8949e-05,5.17176e-05,6.87499e-05,9.15307e-05,0.00012211,0.000163357,0.000219362,0.00029608,0.000402412,0.000551983,0.000765896,0.00107633,0.00153014,0.00219153,0.00314321,0.00448578,0.00633471,0.00881442,0.0120492,0.0161511,0.0212079,0.0269863,0.0332348,0.0396697,0.0459752,0.0518092,0.0568107,0.0606138,0.0628773,0.0633471,0.061956,0.0588907,0.054535,0.0493353,0.0437044,0.0379851,0.0324438,0.0272745,0.0226053,0.0185049,0.0149913,0.0120421,0.00960811,0.00762588,0.00602782,0.00474931,0.00373235,0.00292699,0.00229139,0.00179113,0.00139827,0.0010903,0.000849257,0.000660834,0.000513698,0.000398897,0.00030938,0.000239601,0.000185212,0.000142805,0.000109717,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.48239,-0,-0,-5.40684,-5.06171,-18.9255,-13.2563,-16.5031,-15.4135,-21.6746,-27.2333,-22.5902,-15.3983,-26.6417,-11.4721,-25.2291,-41.4986,-55.1825,-19.4693,-28.3207,-49.4515,-18.0547,-18.7818,-29.435,-27.426,-25.2126,-30.3166,-15.9589,-12.6009,-13.2581,-9.2903,-9.75242,-15.3341,-0,-11.1814,-0,-6.0786,-0,-0,-6.8213,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,4,5,8,8,8,9,7,14,7,6,8,8,9,11,13,14,10,7,6,8,7,4,2,5,3,1,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
-534.119,0.968581,0.179408,4,31,0,539.499,-2.36659,-2.6365,-1.21526,-0.478898,3.74781,1.19018,-0.854318,5.00175,2.27243,4.24664e-05,5.79074e-05,7.89742e-05,0.000107727,0.000146987,0.000200629,0.000273988,0.000374431,0.000512188,0.000701555,0.000962677,0.00132413,0.00182607,0.00252254,0.00348199,0.00478715,0.00653331,0.00882298,0.0117543,0.0154,0.0197786,0.0248179,0.0303576,0.0361678,0.0419709,0.0474585,0.0523027,0.0561718,0.05876,0.0598605,0.0594422,0.0576155,0.0545738,0.0505616,0.0458551,0.0407471,0.0355288,0.0304618,0.0257453,0.0215004,0.0177776,0.014577,0.0118678,0.00960284,0.00772851,0.00619057,0.00493776,0.00392356,0.00310699,0.0024527,0.00193066,0.00151575,0.00118711,0.000927631,0.000723334,0.000562903,0.00043722,0.000338974,0.000262331,0.000202653,0.000156265,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.30559,-0,-0,-5.34182,-5.03084,-18.9216,-13.3306,-16.6936,-15.6926,-22.1771,-27.9577,-23.2371,-15.8539,-27.4311,-11.8028,-25.9141,-42.5144,-56.3148,-19.7593,-28.5396,-49.4394,-17.9074,-18.4936,-28.8033,-26.6993,-24.439,-29.276,-15.3587,-12.0894,-12.6849,-8.86786,-9.29139,-14.5885,-0,-10.6217,-0,-5.7741,-0,-0,-6.49185,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,1,1,3,1,4,2,3,7,4,8,8,10,12,8,10,13,10,10,10,10,10,7,6,7,6,3,3,5,6,2,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-534.606,0.980383,0.179408,5,31,0,536.865,-0.101846,-2.00152,-0.754813,-0.306868,5.02278,0.202707,-0.319749,4.98187,2.15058,1.28385e-05,1.85937e-05,2.69575e-05,3.91418e-05,5.69516e-05,8.31022e-05,0.000121727,0.000179189,0.000265362,0.000395526,0.0005929,0.000891518,0.00133877,0.00199674,0.00294145,0.00425957,0.00604253,0.00837857,0.011343,0.0149874,0.0193288,0.0242726,0.0296872,0.0353921,0.0411584,0.0467169,0.0517723,0.0560225,0.0591824,0.0610127,0.0613548,0.0601666,0.0575429,0.0537029,0.0489476,0.0436083,0.0380071,0.03243,0.0271122,0.0222292,0.0178948,0.0141636,0.0110401,0.00848981,0.00645267,0.00485587,0.00362399,0.00268605,0.00197954,0.00145199,0.00106082,0.000772453,0.000560862,0.000406213,0.00029355,0.000211701,0.000152379,0.000109471,7.84889e-05,5.61524e-05,4.00707e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.616,-0,-0,-5.45859,-5.10893,-19.1283,-13.4375,-16.8022,-15.7846,-22.3104,-28.1363,-23.3889,-15.9516,-27.5728,-11.8436,-25.938,-42.407,-55.9335,-19.5376,-28.1064,-48.5388,-17.5457,-18.102,-28.1926,-26.1599,-24.0007,-28.8622,-15.2254,-12.0697,-12.7712,-9.01244,-9.53778,-15.1298,-0,-11.2404,-0,-6.22489,-0,-0,-7.16594,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,4,4,4,7,10,5,12,14,19,7,13,16,10,11,13,11,8,5,5,6,0,3,4,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-538.466,0.980663,0.179408,5,31,0,542.967,-1.42941,-2.25537,-0.385852,-0.923754,3.75208,0.986665,-1.17659,5.18597,2.67608,6.28975e-05,7.72075e-05,9.49119e-05,0.000116887,0.000144273,0.000178572,0.000221795,0.000276685,0.000347073,0.000438454,0.000558985,0.000721253,0.000945522,0.00126533,0.00173569,0.00244285,0.00351421,0.00512439,0.00749033,0.0108454,0.0153857,0.0211911,0.0281585,0.0359699,0.0441068,0.0519041,0.0586369,0.0636361,0.0664233,0.0668212,0.064959,0.0612042,0.0560742,0.0501433,0.0439523,0.0379339,0.0323727,0.0274109,0.0230851,0.0193697,0.0162096,0.0135389,0.011292,0.0094075,0.00783064,0.0065135,0.00541477,0.00449921,0.00373691,0.00310266,0.00257521,0.00213677,0.00177241,0.00146964,0.00121797,0.00100862,0.000834207,0.000688591,0.000566686,0.000464341,0.000378221,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.96377,-0,-0,-6.01459,-5.65094,-21.095,-14.6824,-18.096,-16.6973,-23.125,-28.5593,-23.2755,-15.6057,-26.6252,-11.3456,-24.7912,-40.6756,-54.1147,-19.138,-27.9354,-48.9784,-17.9572,-18.7479,-29.4472,-27.4435,-25.1777,-30.1486,-15.7762,-12.3665,-12.9066,-8.96732,-9.3325,-14.5491,-0,-10.4372,-0,-5.5895,-0,-0,-6.14846,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,2,1,2,1,2,3,3,7,7,9,9,14,14,14,16,9,18,5,3,5,10,7,6,4,4,7,0,1,4,1,1,1,2,0,0,1,1,0,0,1,1,0,0,0,0
-540.028,0.999488,0.179408,5,31,0,544.815,-1.00322,-1.49626,-1.25687,-0.176421,4.44801,-0.469757,-0.0136534,5.17281,2.43421,2.45707e-05,3.69856e-05,5.55059e-05,8.29883e-05,0.000123509,0.0001828,0.000268792,0.00039225,0.0005675,0.000813192,0.00115304,0.00161651,0.00223939,0.0030643,0.00414116,0.00552758,0.0072892,0.00950014,0.012245,0.0156269,0.019794,0.0244517,0.0293941,0.0344267,0.0393504,0.0439603,0.0480487,0.0514143,0.0538754,0.0552888,0.0555689,0.0547042,0.0527638,0.0498923,0.0462905,0.042188,0.0378139,0.0333731,0.0290334,0.0249202,0.0211189,0.0176805,0.0146287,0.0119657,0.00967867,0.00774368,0.00612987,0.00480238,0.00372486,0.00286139,0.00217791,0.00164322,0.00122957,0.000912907,0.000672874,0.000492594,0.000358348,0.000259166,0.000186422,0.000133422,9.50396e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.10155,-0,-0,-5.19801,-4.92136,-18.6258,-13.2079,-16.635,-15.6895,-22.2663,-28.2157,-23.5825,-16.1762,-28.1202,-12.1422,-26.7106,-43.8162,-57.9037,-20.2309,-29.0581,-50.0128,-17.9873,-18.4369,-28.4906,-26.2006,-23.8,-28.3145,-14.7683,-11.5728,-12.1059,-8.44955,-8.85142,-13.9135,-0,-10.1892,-0,-5.59273,-0,-0,-6.4111,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,5,2,5,8,5,5,14,9,8,9,14,9,10,6,10,12,11,5,10,8,7,7,5,6,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
