# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 06:06:15 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c21f87518f.json
# init = /tmp/RtmpC8O1hA/init-b41c24d8feb6f_1.json
# random
#   seed = 1952010
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0189_rep019_badly_wrong_strong/prior_sensitivity_obspair_FAST-202605300706-1-716690.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0189_rep019_badly_wrong_strong/prior_sensitivity_obspair_FAST-profile-202605300706-1-8fb2ce.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.141596
# Diagonal elements of inverse mass matrix:
# 0.0633802, 0.0440588, 0.00830752, 0.00558265, 0.0049636, 0.00737515, 0.00764839
-535.021,0.997824,0.141596,5,31,0,538.528,-0.865917,-1.65494,-0.681051,-0.772845,4.41522,0.573044,-0.609182,5.21909,2.53693,2.87249e-05,3.6408e-05,4.62234e-05,5.88113e-05,7.50357e-05,9.60833e-05,0.000123622,0.000160063,0.000209017,0.000276121,0.000370562,0.000507817,0.000714094,0.00103242,0.00152939,0.0023009,0.00347442,0.00520534,0.00766513,0.0110202,0.0154024,0.0208241,0.0271821,0.0342407,0.0416352,0.0488944,0.0554816,0.0608492,0.0645099,0.066127,0.0656042,0.0631082,0.0590015,0.053745,0.0478187,0.0416658,0.0356531,0.0300495,0.0250201,0.0206378,0.0169045,0.0137766,0.0111869,0.00906048,0.00732453,0.00591303,0.00476859,0.00384258,0.00309444,0.00249067,0.00200383,0.00161153,0.00129555,0.00104109,0.000836153,0.000671006,0.000537777,0.000430115,0.000342919,0.000272125,0.000214516,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.2445,-0,-0,-6.07445,-5.66233,-21.0323,-14.6132,-18.0321,-16.6929,-23.2299,-28.8416,-23.6204,-15.894,-27.1628,-11.5668,-25.1942,-41.114,-54.3236,-19.0688,-27.629,-48.1133,-17.541,-18.242,-28.6027,-26.6713,-24.5344,-29.5046,-15.5225,-12.2405,-12.8543,-8.98602,-9.40767,-14.7496,-0,-10.6914,-0,-5.77815,-0,-0,-6.43057,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,5,1,0,6,3,9,11,11,13,13,12,9,15,9,9,8,8,6,8,7,3,8,4,4,3,0,1,1,2,2,1,1,0,1,0,0,0,0,0,0,1,0,0
-534.328,1,0.141596,4,15,0,536.263,-0.617856,-2.5558,-0.805849,-0.774416,4.1752,0.705625,-0.497782,4.94443,2.5382,0.000152986,0.000193145,0.000244014,0.000308552,0.000390597,0.000495169,0.000628899,0.000800655,0.00102247,0.00131097,0.00168941,0.00219047,0.0028589,0.00375275,0.004942,0.00650477,0.008521,0.0110633,0.0141848,0.0179045,0.0221935,0.0269458,0.0319942,0.03712,0.0420689,0.0465718,0.0503651,0.0532134,0.054934,0.0554254,0.0546891,0.0528242,0.0500001,0.0464292,0.042344,0.0379786,0.0335506,0.0292455,0.0252039,0.0215174,0.0182307,0.0153523,0.0128653,0.0107385,0.00893416,0.00741269,0.00613602,0.00506899,0.00418009,0.0034416,0.00282951,0.00232318,0.00190505,0.00156023,0.0012762,0.00104244,0.000850201,0.000692196,0.000562393,0.000455816,0.000368371,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.85732,-0,-0,-5.03522,-4.76522,-18.0165,-12.7668,-16.0908,-15.2318,-21.6836,-27.5376,-23.0552,-15.8422,-27.6008,-11.9538,-26.401,-43.5243,-57.8544,-20.3426,-29.4079,-50.9274,-18.419,-18.9716,-29.4366,-27.1576,-24.7242,-29.446,-15.3556,-12.0139,-12.5295,-8.70645,-9.06783,-14.1536,-0,-10.1872,-0,-5.47742,-0,-0,-6.06482,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,1,2,1,0,3,5,9,5,9,10,9,13,9,20,11,11,9,5,9,5,9,4,2,5,6,2,5,1,3,3,2,4,1,0,0,1,1,0,0,0,0,0,0,0,0
-534.989,0.999361,0.141596,4,15,0,535.919,-0.472676,-2.55967,-0.873487,-0.695436,4.20041,0.765504,-0.488991,4.76315,2.41583,0.000125482,0.000161368,0.000207642,0.000267395,0.000344693,0.000444927,0.000575304,0.000745583,0.000969159,0.00126472,0.00165865,0.00218804,0.00290312,0.00386724,0.00515414,0.00684309,0.00901212,0.0117288,0.0150381,0.0189487,0.0234186,0.0283231,0.0334796,0.0386589,0.0436034,0.0480457,0.0517289,0.0544252,0.0559589,0.0562342,0.05526,0.0531473,0.0500774,0.0462715,0.0419677,0.0374035,0.0328002,0.0283476,0.024192,0.0204283,0.0171023,0.0142192,0.0117568,0.00967726,0.00793615,0.00648816,0.00529038,0.00430385,0.00349424,0.00283184,0.00229128,0.00185113,0.00149343,0.00120321,0.000968066,0.000777774,0.00062393,0.000499659,0.000399354,0.000318454,0.000253259,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.84197,-0,-0,-4.98452,-4.70918,-17.7828,-12.5915,-15.8641,-15.0169,-21.3845,-27.1746,-22.7708,-15.6631,-27.3204,-11.847,-26.1984,-43.2471,-57.5646,-20.2699,-29.3469,-50.9012,-18.4394,-19.0251,-29.5739,-27.3386,-24.9425,-29.7739,-15.5633,-12.2056,-12.7595,-8.88664,-9.27595,-14.509,-0,-10.4837,-0,-5.65664,-0,-0,-6.29196,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,2,6,3,3,6,4,9,6,11,11,12,12,10,13,12,9,10,8,7,9,3,7,7,1,3,0,0,2,2,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0
-535.168,0.998718,0.141596,4,31,0,536.622,-0.282098,-2.57625,-0.852672,-0.723605,4.23709,0.746901,-0.480284,4.79448,2.46976,0.000140957,0.000180065,0.000230178,0.000294488,0.000377181,0.000483786,0.000621677,0.000800812,0.00103484,0.00134279,0.00175144,0.0022983,0.00303365,0.00402004,0.00532902,0.00703604,0.0092138,0.0119237,0.0152048,0.0190611,0.0234487,0.0282433,0.0332682,0.038304,0.0431048,0.0474162,0.0509941,0.0536225,0.0551346,0.0554385,0.0545399,0.0525407,0.0496105,0.0459579,0.0418093,0.0373914,0.0329167,0.0285692,0.024492,0.0207807,0.0174837,0.0146105,0.0121433,0.0100484,0.00828496,0.00681042,0.00558395,0.0045682,0.00372993,0.00304018,0.00247407,0.00201044,0.00163144,0.0013221,0.00106994,0.000864604,0.000697554,0.000561752,0.00045143,0.000361872,0.000289231,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.79799,-0,-0,-4.95671,-4.68705,-17.7169,-12.5584,-15.8404,-15.0118,-21.4014,-27.2252,-22.8354,-15.7206,-27.4391,-11.9042,-26.3321,-43.4697,-57.8496,-20.3618,-29.4617,-51.0604,-18.4802,-19.0478,-29.5768,-27.3102,-24.888,-29.6753,-15.4949,-12.1395,-12.6781,-8.82196,-9.20068,-14.3799,-0,-10.3757,-0,-5.59137,-0,-0,-6.2094,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,1,2,3,3,7,2,10,10,7,12,10,10,11,9,10,16,14,9,2,2,8,5,6,3,5,4,3,4,1,2,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
-536.62,0.999024,0.141596,4,31,0,540.004,-0.12056,-1.16088,-0.862068,-0.836948,4.62674,0.671334,-0.677925,5.24891,2.71879,1.507e-05,1.8939e-05,2.38755e-05,3.02186e-05,3.84441e-05,4.9238e-05,6.36253e-05,8.32048e-05,0.000110603,0.000150392,0.00021094,0.000307877,0.000469495,0.000743449,0.00120328,0.001953,0.00312783,0.00488991,0.00741837,0.0108939,0.0154788,0.0210425,0.0274132,0.0343638,0.0415996,0.0487479,0.055358,0.0609135,0.0648736,0.0667678,0.0663572,0.0637657,0.0594273,0.0539082,0.0477651,0.0414737,0.0353998,0.0297934,0.0247978,0.0204671,0.0167906,0.0137165,0.0111733,0.00908412,0.007376,0.00598371,0.00485115,0.00393115,0.00318452,0.002579,0.00208814,0.00169035,0.001368,0.0011067,0.00089471,0.000722427,0.000582008,0.000467063,0.000372431,0.00029399,0.000228506,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.66385,-0,-0,-6.23839,-5.76742,-21.2823,-14.7114,-18.0782,-16.6731,-23.1673,-28.7739,-23.5953,-15.8983,-27.1898,-11.5757,-25.1847,-41.0297,-54.1307,-18.9889,-27.5254,-47.991,-17.5228,-18.2488,-28.6443,-26.7284,-24.5943,-29.576,-15.5557,-12.2608,-12.8675,-8.98846,-9.40246,-14.7286,-0,-10.6571,-0,-5.74945,-0,-0,-6.38282,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,2,1,13,2,9,16,10,13,15,15,16,11,7,11,6,8,5,5,4,3,7,1,4,3,1,0,1,1,2,0,0,1,1,0,0,0,0,0,0,0
-534.008,1,0.141596,4,15,0,537.887,-0.190108,-1.97462,-1.01217,-0.7401,4.53495,0.636,-0.546083,4.97766,2.57606,0.000102189,0.000130307,0.000166373,0.000212768,0.000272676,0.000350416,0.000451943,0.000585645,0.000763603,0.00100356,0.00133168,0.00178553,0.00241574,0.00328533,0.00446669,0.00603695,0.0080719,0.0106385,0.013786,0.0175357,0.0218717,0.0266577,0.031723,0.0368623,0.0418447,0.046425,0.0503577,0.0534116,0.0553878,0.0561453,0.055636,0.0539292,0.0511935,0.0476521,0.0435455,0.0391095,0.0345619,0.0300919,0.0258524,0.0219535,0.0184616,0.0154024,0.0127694,0.0105342,0.00865657,0.00709172,0.00579531,0.00472623,0.00384774,0.00312791,0.00253943,0.00205922,0.00166794,0.00134949,0.00109054,0.000880088,0.000709124,0.000570268,0.000457503,0.000365934,0.000291593,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.02575,-0,-0,-5.10986,-4.81937,-18.1731,-12.8523,-16.1741,-15.2902,-21.7481,-27.6057,-23.104,-15.869,-27.6293,-11.9544,-26.3675,-43.4009,-57.5963,-20.2225,-29.2008,-50.5264,-18.263,-18.8037,-29.1725,-26.92,-24.5245,-29.2428,-15.2753,-11.9762,-12.5197,-8.72141,-9.10626,-14.2483,-0,-10.3014,-0,-5.56027,-0,-0,-6.18543,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,2,1,2,6,5,5,6,5,5,9,12,8,10,11,13,10,8,10,9,8,10,4,6,3,5,2,4,2,1,1,2,1,0,0,3,0,0,0,1,0,1,0,0,1,1
