# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 06:06:15 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c21f87518f.json
# init = /tmp/RtmpC8O1hA/init-b41c24d8feb6f_3.json
# random
#   seed = 1952010
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0189_rep019_badly_wrong_strong/prior_sensitivity_obspair_FAST-202605300706-3-716690.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0189_rep019_badly_wrong_strong/prior_sensitivity_obspair_FAST-profile-202605300706-3-8fb2ce.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.122264
# Diagonal elements of inverse mass matrix:
# 0.0544217, 0.0384397, 0.00537519, 0.00308127, 0.00765019, 0.011772, 0.00723149
-535.797,0.999756,0.122264,5,31,0,538.693,-1.22195,-2.56375,-0.808491,-0.558459,4.38116,0.368096,-0.382273,5.06101,2.29771,5.92758e-05,7.90283e-05,0.000105418,0.000140717,0.000188011,0.000251511,0.00033701,0.000452547,0.000609383,0.000823405,0.00111704,0.00152161,0.00207959,0.00284627,0.0038898,0.00528904,0.00712842,0.00948929,0.0124378,0.0160108,0.020201,0.0249329,0.0300681,0.0354095,0.0407132,0.0457065,0.0501085,0.0536542,0.0561194,0.0573479,0.0572753,0.0559387,0.0534662,0.0500522,0.0459304,0.0413508,0.036559,0.0317783,0.0271947,0.0229477,0.0191265,0.0157732,0.0128917,0.0104578,0.00843048,0.00676085,0.00539818,0.00429418,0.00340507,0.00269259,0.00212399,0.00167183,0.00131335,0.00102988,0.000806238,0.000630152,0.000491754,0.000383147,0.000298037,0.000231424,0.000179351,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.17558,-0,-0,-5.24212,-4.94367,-18.6304,-13.161,-16.538,-15.6081,-22.1494,-28.0343,-23.3854,-16.006,-27.7696,-11.9743,-26.3268,-43.2041,-57.1724,-20.0192,-28.835,-49.788,-17.9681,-18.4838,-28.671,-26.4706,-24.1428,-28.8379,-15.0981,-11.87,-12.4483,-8.70235,-9.12082,-14.3277,-0,-10.4434,-0,-5.68249,-0,-0,-6.39383,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,1,4,5,1,6,2,5,8,4,10,12,8,10,15,16,12,10,13,7,9,3,8,5,6,0,3,0,1,1,5,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0
-535.11,0.999368,0.122264,5,31,0,538.62,-0.368221,-1.77326,-0.898125,-0.746593,4.70025,0.919968,-0.535643,5.16642,2.53848,5.15962e-05,6.57622e-05,8.39491e-05,0.000107383,0.000137722,0.000177248,0.000229171,0.000298147,0.000391176,0.000519228,0.000700038,0.000962026,0.00134797,0.00191711,0.00274541,0.00392361,0.00555297,0.00773833,0.010578,0.0141502,0.0184957,0.0235249,0.0290866,0.0349684,0.0409053,0.0465946,0.0517121,0.05593,0.0589371,0.0604713,0.060382,0.0587117,0.0556859,0.0516174,0.046838,0.0416665,0.036391,0.0312564,0.0264536,0.0221132,0.0183037,0.0150382,0.0122885,0.0100023,0.00811819,0.00657501,0.00531649,0.00429332,0.00346342,0.00279148,0.00224819,0.00180938,0.00145523,0.00116955,0.000939141,0.000753282,0.000603293,0.000482166,0.000384258,0.000305043,0.000240897,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.60916,-0,-0,-5.54074,-5.19342,-19.4463,-13.6469,-17.0321,-15.9609,-22.4982,-28.2998,-23.4732,-15.9825,-27.5964,-11.8483,-25.9529,-42.4693,-56.1117,-19.6494,-28.3512,-49.0965,-17.7834,-18.3664,-28.6025,-26.5075,-24.2587,-29.0589,-15.2463,-12.0019,-12.5915,-8.79819,-9.20989,-14.4409,-0,-10.4739,-0,-5.6655,-0,-0,-6.31477,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,2,1,2,2,9,5,11,12,13,8,9,9,13,11,11,15,9,12,9,6,6,5,2,6,2,3,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
-534.414,0.986163,0.122264,4,15,0,537.622,-0.419874,-2.17676,-0.896287,-0.751103,4.61095,0.878978,-0.548918,5.12173,2.53771,9.38299e-05,0.000119283,0.000151812,0.000193492,0.000247077,0.000316273,0.000406145,0.000523765,0.000679262,0.000887561,0.00117106,0.00156289,0.00210921,0.00286936,0.00391409,0.00532217,0.00717533,0.00955099,0.0125124,0.016096,0.0202967,0.0250208,0.0301176,0.0353852,0.0405847,0.0454565,0.0497371,0.0531756,0.055551,0.0566959,0.0565329,0.0551085,0.052577,0.0491519,0.0450719,0.0405807,0.0359128,0.0312803,0.0268608,0.0227868,0.0191398,0.0159521,0.0132165,0.0109006,0.00895929,0.00734352,0.00600584,0.00490286,0.00399627,0.00325295,0.00264475,0.00214793,0.00174262,0.00141231,0.00114333,0.000924393,0.000746252,0.000601327,0.000483437,0.000387552,0.000309586,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.16144,-0,-0,-5.23587,-4.93711,-18.6044,-13.1431,-16.5167,-15.5892,-22.1283,-28.0212,-23.3902,-16.0218,-27.819,-12.004,-26.4074,-43.3568,-57.4011,-20.1105,-28.9845,-50.0731,-18.077,-18.597,-28.8402,-26.6133,-24.2534,-28.9367,-15.1263,-11.868,-12.4145,-8.65258,-9.03787,-14.1452,-0,-10.23,-0,-5.52239,-0,-0,-6.14325,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,1,2,3,7,4,2,6,10,8,15,7,10,16,5,12,11,14,11,6,7,6,7,7,2,5,1,2,1,2,2,1,0,1,0,0,1,0,0,0,0,0,0,0
-533.229,0.998661,0.122264,5,31,0,536.929,-1.08527,-2.12351,-0.871469,-0.713221,4.13937,0.507226,-0.694309,5.01615,2.47684,8.86589e-05,0.000113614,0.000145715,0.000187091,0.000240553,0.00030986,0.000400088,0.000518197,0.000673896,0.000880977,0.00115933,0.00153776,0.00205723,0.00277374,0.00375954,0.00510181,0.00689795,0.00924665,0.0122345,0.0159187,0.020309,0.0253269,0.0308155,0.0365429,0.0422171,0.0475088,0.0520798,0.0556156,0.057863,0.0586713,0.0580228,0.0560296,0.0529006,0.0489016,0.0443218,0.0394467,0.0345344,0.0297974,0.0253915,0.0214131,0.0179056,0.0148711,0.012284,0.0101031,0.0082803,0.00676698,0.00551707,0.00448896,0.0036461,0.00295699,0.00239488,0.00193723,0.00156525,0.00126332,0.00101851,0.0008202,0.000659672,0.000529796,0.000424759,0.00033984,0.000271212,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.1864,-0,-0,-5.27816,-4.97653,-18.734,-13.2105,-16.561,-15.5868,-22.0553,-27.8379,-23.1649,-15.8246,-27.4216,-11.8199,-26.0036,-42.7452,-56.7161,-19.9284,-28.8187,-49.9688,-18.1077,-18.6977,-29.0952,-26.9264,-24.5933,-29.3867,-15.375,-12.0679,-12.625,-8.79892,-9.18983,-14.3816,-0,-10.3998,-0,-5.6141,-0,-0,-6.24649,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,2,1,0,2,1,3,6,5,4,6,9,8,14,10,17,14,8,11,4,8,13,5,7,8,9,5,3,0,1,2,3,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
-536.42,0.997101,0.122264,4,31,0,537.568,-1.46388,-2.84589,-0.55606,-0.647985,4.44005,0.696005,-0.333144,5.25728,2.30301,6.00693e-05,7.81542e-05,0.000101734,0.000132516,0.000172758,0.000225478,0.000294731,0.000386029,0.000506975,0.000668236,0.000885063,0.00117955,0.00158363,0.00214248,0.00291755,0.00398856,0.00545275,0.00741965,0.00999936,0.0132835,0.0173208,0.0220888,0.0274805,0.0333017,0.0392814,0.0450917,0.0503756,0.0547792,0.0579898,0.0597773,0.0600334,0.0587878,0.0561912,0.0524826,0.0479551,0.0429229,0.0376916,0.0325322,0.0276598,0.0232216,0.019296,0.0159033,0.0130229,0.0106098,0.0086085,0.00696133,0.00561363,0.00451611,0.00362571,0.00290561,0.00232478,0.00185735,0.00148192,0.00118088,0.00093985,0.000747104,0.000593131,0.000470239,0.000372225,0.000294104,0.000231878,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.44803,-0,-0,-5.52433,-5.21164,-19.6145,-13.8157,-17.2849,-16.2234,-22.8761,-28.7542,-23.815,-16.185,-27.8915,-11.953,-26.14,-42.7123,-56.3426,-19.69,-28.3382,-48.9429,-17.6836,-18.2249,-28.3352,-26.2265,-23.9787,-28.7022,-15.0507,-11.8436,-12.4237,-8.68209,-9.09195,-14.265,-0,-10.3651,-0,-5.61971,-0,-0,-6.2886,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,2,2,5,3,9,5,8,9,12,12,15,9,12,10,13,7,7,13,12,3,3,5,3,3,1,2,3,0,1,1,1,2,0,0,0,0,0,0,0,0,0,1,0
-534.318,1,0.122264,5,31,0,537.808,-1.15081,-3.0059,-0.814509,-0.595268,4.42881,0.636224,-0.763212,5.01577,2.26419,8.24352e-05,0.000108737,0.000143486,0.000189438,0.000250278,0.000330956,0.000438168,0.000581032,0.000772076,0.00102863,0.00137466,0.00184284,0.00247621,0.00332878,0.00446485,0.00595662,0.00787929,0.0103031,0.0132819,0.0168393,0.0209549,0.0255501,0.030489,0.0355846,0.0406106,0.045317,0.0494482,0.0527625,0.0550549,0.0561807,0.0560787,0.0547814,0.0524052,0.0491282,0.0451661,0.040752,0.0361174,0.0314765,0.027012,0.022864,0.019124,0.0158361,0.013005,0.0106072,0.00860285,0.00694453,0.00558368,0.0044743,0.00357479,0.00284873,0.00226492,0.00179703,0.0014231,0.00112501,0.000887898,0.000699653,0.000550459,0.000432397,0.000339098,0.000265463,0.000207416,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.00102,-0,-0,-5.12325,-4.84352,-18.3012,-12.9641,-16.3362,-15.4615,-22.0027,-27.9231,-23.3509,-16.0186,-27.8467,-12.0273,-26.4776,-43.4914,-57.5836,-20.167,-29.0441,-50.1287,-18.0799,-18.5845,-28.8023,-26.5678,-24.2096,-28.8918,-15.1128,-11.8704,-12.4364,-8.68485,-9.09244,-14.267,-0,-10.3758,-0,-5.63385,-0,-0,-6.32162,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,2,2,0,1,3,4,7,6,8,13,7,13,9,15,15,15,13,10,7,10,4,6,5,3,3,4,0,0,2,2,1,3,0,2,0,0,0,0,0,0,0,0,0,0
