# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 07:22:13 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c21afa0ffe.json
# init = /tmp/RtmpC8O1hA/init-b41c215283772_2.json
# random
#   seed = 2052010
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0199_rep020_badly_wrong_strong/prior_sensitivity_obspair_FAST-202605300822-2-195592.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0199_rep020_badly_wrong_strong/prior_sensitivity_obspair_FAST-profile-202605300822-2-197b38.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.199218
# Diagonal elements of inverse mass matrix:
# 0.053687, 0.0618017, 0.00764793, 0.0048124, 0.00890193, 0.00755456, 0.00875036
-554.595,0.998037,0.199218,5,31,0,558.022,1.31572,-1.5982,-0.85381,-1.03458,4.36348,0.513587,-0.714715,5.30186,3.12799,0.000105802,0.000128234,0.000155898,0.000190247,0.00023325,0.00028764,0.000357308,0.000447962,0.000568232,0.000731551,0.000959188,0.00128446,0.00175686,0.00244339,0.00342566,0.00479406,0.00664087,0.00905294,0.0121036,0.015843,0.0202879,0.0251988,0.0304253,0.0357814,0.0410344,0.0459134,0.0501263,0.053387,0.0554516,0.056168,0.0555188,0.0536246,0.0507043,0.047026,0.0428675,0.0384882,0.0341101,0.0299052,0.0259919,0.0224383,0.0192712,0.0164877,0.0140662,0.011975,0.0101784,0.00864088,0.00732861,0.00621087,0.00526021,0.00445252,0.00376673,0.00318459,0.00269023,0.00226991,0.00191177,0.00160565,0.00134305,0.00111691,0.000921568,0.000752482,0.000606107,-0,-0,-0,-0,-0,-0,-0,-0,-7.47298,-0,-0,-0,-0,-0,-17.0294,-10.6808,-10.029,-9.40933,-22.0713,-0,-7.79546,-29.4477,-45.4023,-36.6336,-25.5467,-40.053,-41.9049,-11.7208,-8.67674,-43.1911,-34.6924,-23.406,-29.8174,-27.5135,-6.29928,-32.574,-16.8908,-17.5486,-18.2498,-15.1879,-51.3389,-16.4206,-8.52796,-0,-9.17497,-0,-0,-0,-0,-5.41429,-11.1631,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,1,2,6,10,12,5,8,17,9,10,13,14,8,7,8,5,15,7,8,7,3,3,6,1,0,2,0,2,0,1,1,0,1,0,0,1,0,0,0,1,0,0
-554.6,0.995006,0.199218,4,31,0,558.414,1.68044,-1.96536,-0.968876,-0.733647,4.0214,0.582819,-0.465477,4.39327,2.57241,0.000150359,0.000191931,0.000245272,0.000313889,0.000402452,0.000517246,0.000666864,0.000863251,0.00112333,0.00147147,0.00194291,0.00258737,0.0034701,0.00466747,0.00625872,0.00831866,0.0109118,0.0140863,0.0178663,0.0222428,0.0271652,0.0323281,0.0375368,0.0425681,0.0471753,0.0511043,0.0541116,0.0559884,0.0565919,0.0558834,0.0539492,0.0509781,0.0472139,0.0429161,0.0383365,0.0337028,0.0292066,0.0249946,0.0211639,0.0177642,0.0148059,0.0122713,0.0101253,0.00832472,0.00682445,0.00558108,0.00455497,0.00371101,0.00301878,0.00245231,0.00198962,0.00161229,0.00130496,0.00105487,0.000851485,0.00068615,0.000551775,0.000442579,0.000353857,0.000281794,0.000223295,-0,-0,-0,-0,-0,-0,-0,-0,-6.79146,-0,-0,-0,-0,-0,-15.2213,-9.57851,-9.03582,-8.5251,-20.1242,-0,-7.21164,-27.4546,-42.6716,-34.7232,-24.4311,-38.6605,-40.8339,-11.5304,-8.61567,-43.2673,-35.0365,-23.8109,-30.5307,-28.3366,-6.52271,-33.9018,-17.6668,-18.4455,-19.2773,-16.1223,-54.7655,-17.602,-9.18544,-0,-9.97449,-0,-0,-0,-0,-6.01072,-12.4396,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0,1,2,3,5,3,5,3,6,7,11,13,12,13,12,8,11,10,6,10,13,9,4,6,3,1,6,1,0,2,0,1,1,0,2,2,0,1,0,0,0,0,1,1,0,0
-552.218,0.988149,0.199218,3,15,0,557.914,1.5998,-1.72553,-0.935527,-0.803316,4.3932,0.652692,-0.55191,4.81236,2.71452,0.000102667,0.000129376,0.000163346,0.000206741,0.000262488,0.000334623,0.000428837,0.000553377,0.000720544,0.000949164,0.00126825,0.00172096,0.00236601,0.00327442,0.00452415,0.00619537,0.00836606,0.0111068,0.0144735,0.0184982,0.0231784,0.0282399,0.033528,0.0388508,0.0439773,0.0486474,0.0525876,0.0555304,0.0572428,0.0575713,0.0564959,0.0541483,0.0507671,0.046636,0.0420421,0.0372526,0.0324989,0.0279666,0.0237882,0.0200425,0.0167602,0.0139348,0.0115352,0.00951719,0.00783239,0.00643316,0.00527561,0.00432081,0.003535,0.00288941,0.0023597,0.0019255,0.00156978,0.00127841,0.00103969,0.000843975,0.000683394,0.000551509,0.000443091,0.000353903,0.000280521,-0,-0,-0,-0,-0,-0,-0,-0,-7.2355,-0,-0,-0,-0,-0,-16.195,-10.1679,-9.56714,-9.0004,-21.1772,-0,-7.52907,-28.5361,-44.1399,-35.7283,-24.9927,-39.301,-41.2338,-11.5633,-8.58136,-42.821,-34.483,-23.3282,-29.8051,-27.5884,-6.33817,-32.9003,-17.1327,-17.8837,-18.6928,-15.6396,-53.1537,-17.0935,-8.92471,-0,-9.69897,-0,-0,-0,-0,-5.8467,-12.0984,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,3,4,2,1,5,7,7,3,3,15,10,12,17,17,11,13,12,10,2,6,8,5,4,3,1,1,2,3,3,1,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0
-550.244,0.986191,0.199218,4,15,0,555.38,0.636321,-1.7409,-0.869394,-0.801583,4.16458,0.482355,-0.721643,4.73568,2.67537,9.6758e-05,0.00012192,0.000153899,0.000194709,0.000247059,0.000314656,0.000402683,0.000518558,0.000673189,0.000883025,0.00117329,0.00158244,0.00216662,0.00300146,0.004179,0.00580034,0.00796608,0.0107659,0.0142672,0.0185035,0.0234617,0.0289158,0.0346446,0.0403923,0.0458662,0.0507501,0.0547275,0.0575135,0.058894,0.0587725,0.0572001,0.0543633,0.0505356,0.0460266,0.0411438,0.0361657,0.0313231,0.0267881,0.022671,0.0190257,0.0158615,0.0131564,0.0108702,0.00895444,0.00735924,0.00603719,0.0049454,0.00404619,0.00330714,0.0027007,0.00220373,0.00179685,0.00146393,0.0011916,0.000968777,0.000786348,0.000636833,0.000514142,0.000413341,0.000330452,0.000262278,-0,-0,-0,-0,-0,-0,-0,-0,-7.30348,-0,-0,-0,-0,-0,-16.433,-10.2997,-9.66513,-9.06275,-21.2489,-0,-7.50477,-28.3469,-43.714,-35.3003,-24.6562,-38.751,-40.6754,-11.4229,-8.49605,-42.5112,-34.3344,-23.2965,-29.8508,-27.7068,-6.38137,-33.1965,-17.317,-18.099,-18.9333,-15.8479,-53.8702,-17.3234,-9.04346,-0,-9.8236,-0,-0,-0,-0,-5.91424,-12.2352,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,1,4,11,7,5,13,8,10,10,12,12,8,14,9,9,11,7,6,7,5,3,3,5,4,1,0,0,0,1,3,1,0,1,0,1,0,1,0,0,0,0,0
-548.956,0.998005,0.199218,4,15,0,552.524,0.512839,-2.29774,-0.862698,-0.772034,4.24932,0.529388,-0.487694,4.76974,2.62012,0.00016263,0.000205682,0.000260395,0.000330091,0.000419138,0.000533345,0.000680538,0.000871424,0.0011209,0.00144998,0.00188841,0.00247738,0.00327081,0.00433329,0.0057351,0.0075458,0.0098276,0.0126281,0.0159722,0.0198525,0.024222,0.0289248,0.0337868,0.0386039,0.0431501,0.0471912,0.0505024,0.0528858,0.0541925,0.0543466,0.0533631,0.0513451,0.0484588,0.0449061,0.040903,0.0366624,0.03238,0.028222,0.0243159,0.0207468,0.0175594,0.0147646,0.0123493,0.0102852,0.00853653,0.00706496,0.0058331,0.00480623,0.00395312,0.00324635,0.00266216,0.0021802,0.00178319,0.00145654,0.00118803,0.000967439,0.000786307,0.000637629,0.00051564,0.000415606,0.000333646,-0,-0,-0,-0,-0,-0,-0,-0,-6.79362,-0,-0,-0,-0,-0,-15.4835,-9.77353,-9.24512,-8.74365,-20.6845,-0,-7.44099,-28.3445,-44.0399,-35.7984,-25.1446,-39.6961,-41.8003,-11.7585,-8.74564,-43.6856,-35.1676,-23.7535,-30.2704,-27.9286,-6.3931,-33.06,-17.1511,-17.8383,-18.5831,-15.5014,-52.5481,-16.8621,-8.78831,-0,-9.5268,-0,-0,-0,-0,-5.73022,-11.8572,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,1,0,2,1,1,0,2,3,1,1,0,2,4,2,4,4,3,3,8,6,7,9,8,10,12,13,7,11,7,14,6,3,7,9,4,3,5,5,1,0,2,1,2,0,2,1,0,0,1,1,0,1,0,0,0,0
-553.125,0.944821,0.199218,4,15,0,555.77,1.31132,-2.55879,-0.930729,-0.609993,4.6619,0.653209,-0.43578,4.73895,2.4501,0.000108894,0.000143278,0.000188682,0.000248761,0.000328473,0.000434614,0.000576609,0.000767714,0.00102677,0.00138047,0.0018654,0.00252769,0.00341967,0.00459565,0.00610908,0.00801018,0.0103426,0.0131383,0.0164103,0.0201443,0.0242909,0.0287103,0.03326,0.0377711,0.0420572,0.0459256,0.049189,0.0516764,0.0532453,0.0537964,0.0532928,0.0517743,0.0493521,0.0461846,0.0424542,0.0383511,0.0340631,0.0297655,0.0256127,0.0217297,0.018205,0.0150885,0.0123937,0.010106,0.00819179,0.00660817,0.00530955,0.00425197,0.00339542,0.00270476,0.00214991,0.00170552,0.00135051,0.00106753,0.000842386,0.000663543,0.000521684,0.000409304,0.000320383,0.000250108,0.000194639,-0,-0,-0,-0,-0,-0,-0,-0,-6.88134,-0,-0,-0,-0,-0,-15.2939,-9.65408,-9.14296,-8.66444,-20.5492,-0,-7.4353,-28.404,-44.2442,-36.0383,-25.3498,-40.0495,-42.1692,-11.851,-8.79854,-43.8382,-35.1835,-23.6869,-30.0878,-27.676,-6.31866,-32.6097,-16.8977,-17.572,-18.3233,-15.3163,-52.0788,-16.7753,-8.78113,-0,-9.60925,-0,-0,-0,-0,-5.91274,-12.2847,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,2,0,0,1,1,0,1,1,1,3,4,1,4,6,7,6,10,9,7,8,4,10,4,15,19,13,9,6,11,3,5,5,7,3,4,1,0,3,0,0,1,2,2,0,0,1,0,0,0,0,0,0,0,0
