# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 07:25:34 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c210576e41.json
# init = /tmp/RtmpC8O1hA/init-b41c270fd6546_3.json
# random
#   seed = 2052011
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0200_rep020_manuscript_default/prior_sensitivity_obspair_FAST-202605300825-3-21038e.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0200_rep020_manuscript_default/prior_sensitivity_obspair_FAST-profile-202605300825-3-8c2d46.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0538694
# Diagonal elements of inverse mass matrix:
# 0.119443, 0.113107, 0.195405, 0.0811687, 0.578423, 0.0974557, 0.123804
-545.38,0.999337,0.0538694,5,31,0,548.994,-1.55388,-3.54643,-1.45407,-0.38289,4.02651,0.569838,-1.15444,4.80214,2.1656,4.55167e-05,6.40209e-05,9.00545e-05,0.000126687,0.000178247,0.000250835,0.000353063,0.000497071,0.000699918,0.00098533,0.00138554,0.0019425,0.00270778,0.00374096,0.00510687,0.00687151,0.00909596,0.0118282,0.0150926,0.0188798,0.0231382,0.0277588,0.0325894,0.0374447,0.0421185,0.0463962,0.0500668,0.0529341,0.0548313,0.0556398,0.0553115,0.0538822,0.0514622,0.0482126,0.0443232,0.0399965,0.0354361,0.0308365,0.0263721,0.0221871,0.0183867,0.0150324,0.012145,0.00971197,0.00769807,0.00605566,0.00473257,0.00367758,0.00284357,0.00218905,0.00167861,0.00128269,0.000977058,0.000742115,0.000562187,0.000424853,0.000320347,0.000241038,0.000181002,0.000135659,0.000101484,-0,-0,-0,-0,-0,-0,-0,-0,-7.26455,-0,-0,-0,-0,-0,-15.8315,-9.96074,-9.39985,-8.87455,-20.9677,-0,-7.53254,-28.6736,-44.509,-36.1338,-25.3381,-39.917,-41.9216,-11.7548,-8.71048,-43.3329,-34.7373,-23.3676,-29.6691,-27.2892,-6.2325,-32.1896,-16.7001,-17.3953,-18.1772,-15.233,-51.9497,-16.7902,-8.82167,-0,-9.73357,-0,-0,-0,-0,-6.12429,-12.7796,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,1,0,0,0,0,1,0,1,0,2,3,2,0,1,4,2,7,5,4,3,4,11,8,12,8,10,11,6,11,15,12,13,6,5,2,5,7,5,2,3,1,0,3,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
-545.847,0.98643,0.0538694,7,127,0,548.243,-0.656419,-1.84839,-0.839777,-0.257331,2.49271,-0.825006,-0.504617,4.42207,2.39493,6.45603e-05,9.37345e-05,0.000135689,0.000195729,0.000281161,0.00040192,0.00057131,0.000806847,0.00113114,0.00157274,0.00216679,0.00295526,0.00398667,0.00531478,0.00699629,0.00908719,0.0116377,0.0146866,0.0182542,0.0223363,0.026899,0.0317556,0.0366786,0.0414151,0.0457077,0.0493174,0.0520455,0.0537521,0.054367,0.0538937,0.0524036,0.0500242,0.0469218,0.0432836,0.0393001,0.0351513,0.0309956,0.0269643,0.0231582,0.0196485,0.016479,0.0136699,0.011222,0.00912198,0.00734583,0.00586336,0.00464107,0.00364468,0.00284098,0.00219905,0.00169101,0.00129233,0.000981939,0.000742061,0.000557942,0.000417515,0.000311042,0.000230754,0.000170519,0.000125539,9.20973e-05,-0,-0,-0,-0,-0,-0,-0,-0,-6.78453,-0,-0,-0,-0,-0,-14.8871,-9.40178,-8.907,-8.44164,-20.0168,-0,-7.23134,-27.5975,-42.9723,-35.0252,-24.6839,-39.1232,-41.3789,-11.6935,-8.736,-43.8111,-35.3854,-23.962,-30.5927,-28.2598,-6.47305,-33.4809,-17.3695,-18.0662,-18.827,-15.719,-53.3737,-17.1702,-8.97975,-0,-9.82724,-0,-0,-0,-0,-6.11973,-12.7649,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,4,2,1,3,8,2,14,6,5,13,7,5,7,12,14,9,17,10,7,13,5,4,8,2,6,2,2,0,2,1,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
-546.54,0.957272,0.0538694,5,31,0,548.801,-0.751391,-2.08626,-1.06765,-0.383025,2.68209,-0.817679,-0.567747,4.73274,2.59338,0.000119396,0.000165935,0.000230034,0.000317936,0.000437874,0.000600563,0.00081975,0.00111277,0.00150107,0.00201058,0.00267189,0.00351993,0.00459328,0.00593265,0.00757876,0.00956939,0.0119359,0.0146991,0.0178658,0.021425,0.0253455,0.029481,0.033661,0.0377009,0.0414137,0.0446239,0.0471802,0.0489677,0.0499162,0.050004,0.0492573,0.047745,0.0455694,0.042856,0.0397413,0.0363629,0.0328507,0.0293206,0.0258701,0.022577,0.019499,0.0166746,0.0141258,0.0118601,0.00987371,0.00815426,0.00668323,0.00543835,0.00439545,0.00352991,0.0028178,0.00223667,0.00176598,0.00138741,0.0010849,0.00084463,0.000654863,0.00050576,0.000389171,0.000298413,0.000228054,-0,-0,-0,-0,-0,-0,-0,-0,-6.50158,-0,-0,-0,-0,-0,-14.6472,-9.29837,-8.85642,-8.43994,-20.1243,-0,-7.35031,-28.1921,-44.0884,-36.0588,-25.4731,-40.4233,-42.7529,-12.0664,-8.99223,-44.9348,-36.1284,-24.3351,-30.8852,-28.3492,-6.45073,-33.1421,-17.0789,-17.6473,-18.2733,-15.1633,-51.1861,-16.3755,-8.51951,-0,-9.23576,-0,-0,-0,-0,-5.64648,-11.7436,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,1,0,1,0,3,1,1,2,1,2,3,7,8,5,10,8,7,8,8,10,10,10,8,10,13,5,6,11,15,2,1,6,2,3,3,2,0,0,1,0,0,0,1,2,0,0,1,0,1,0,0,0
-548.769,0.985596,0.0538694,6,63,0,553.399,-1.37584,-2.57009,-2.16962,0.800781,4.09033,-0.179045,0.0891229,4.64647,2.03619,5.10643e-07,1.41823e-06,3.79288e-06,9.66627e-06,2.3247e-05,5.23701e-05,0.000110105,0.000216106,0.000397364,0.000688274,0.00113012,0.00177008,0.00265984,0.00385367,0.00540589,0.00736755,0.00978253,0.0126833,0.0160873,0.0199955,0.0243956,0.029068,0.0338312,0.0385083,0.0429251,0.0469135,0.0503155,0.052988,0.0548064,0.0556711,0.0555158,0.0543187,0.0521154,0.0490092,0.04517,0.040817,0.0361852,0.0314894,0.0269024,0.0225511,0.0185255,0.0148878,0.0116788,0.00892053,0.00661653,0.00475208,0.00329545,0.00220059,0.00141156,0.000868013,0.000511,0.000287804,0.000155101,8.00546e-05,3.96416e-05,1.88764e-05,8.6677e-06,3.8499e-06,1.65941e-06,6.9632e-07,2.85332e-07,-0,-0,-0,-0,-0,-0,-0,-0,-7.83066,-0,-0,-0,-0,-0,-15.6608,-9.82134,-9.25431,-8.73494,-20.6486,-0,-7.42671,-28.3049,-44.0228,-35.8257,-25.1864,-39.7729,-41.8522,-11.7508,-8.71184,-43.3244,-34.6931,-23.3031,-29.5429,-27.1417,-6.19464,-31.9866,-16.5955,-17.2905,-18.0777,-15.1679,-51.8519,-16.8289,-8.89996,-0,-10.0364,-0,-0,-0,-0,-7.0493,-15.1583,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,4,5,7,4,4,11,9,6,9,14,12,11,15,12,15,7,5,7,7,4,3,4,5,2,2,1,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-546.315,0.999985,0.0538694,6,95,0,550.293,-1.38016,-2.84291,-2.32029,0.400825,4.2075,-0.0831983,-0.50887,4.8481,2.10261,3.25828e-06,6.71657e-06,1.3682e-05,2.74048e-05,5.36487e-05,0.000101986,0.000187152,0.000330083,0.000558315,0.000905647,0.00141118,0.00211795,0.00307114,0.00431595,0.00589496,0.00784493,0.010193,0.012953,0.0161215,0.0196752,0.0235702,0.0276923,0.0319117,0.0360884,0.0400777,0.0437361,0.0469265,0.0495231,0.0514159,0.0525154,0.0527583,0.052115,0.0505981,0.0482687,0.0452374,0.0416552,0.0376943,0.0335267,0.0293078,0.0251695,0.0212194,0.0175424,0.0142028,0.0112449,0.00869295,0.00655196,0.00480836,0.00343239,0.00238174,0.00160628,0.00105326,0.000672068,0.000417868,0.0002536,0.000150519,8.75512e-05,5.00117e-05,2.81123e-05,1.55796e-05,8.52707e-06,4.61628e-06,-0,-0,-0,-0,-0,-0,-0,-0,-7.49059,-0,-0,-0,-0,-0,-15.401,-9.69578,-9.1721,-8.69285,-20.638,-0,-7.49554,-28.6928,-44.7822,-36.5396,-25.7355,-40.6846,-42.8284,-12.0213,-8.90342,-44.1997,-35.3044,-23.6344,-29.8384,-27.2787,-6.19166,-31.7833,-16.3912,-16.9771,-17.6495,-14.7285,-50.0869,-16.1725,-8.50863,-0,-9.49048,-0,-0,-0,-0,-6.43383,-13.7117,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,1,1,2,6,8,5,9,6,14,12,6,15,9,15,5,9,13,8,6,9,6,8,6,7,1,2,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-544.689,0.99421,0.0538694,6,63,0,547.779,-0.900696,-1.35618,-1.8787,-0.224277,3.11498,-0.485487,-1.54723,4.64266,2.39913,4.1049e-05,6.06956e-05,8.95183e-05,0.000131608,0.000192723,0.000280859,0.000406936,0.000585594,0.00083606,0.00118301,0.00165731,0.00229656,0.00314523,0.00425421,0.00567986,0.00748223,0.00972266,0.0124608,0.0157512,0.0196398,0.02416,0.0291012,0.0342319,0.0393067,0.0440761,0.0482978,0.0517507,0.0542492,0.055659,0.0559104,0.0550068,0.0530268,0.050116,0.0464702,0.0423122,0.0378677,0.0333439,0.0289157,0.0247185,0.020847,0.0173592,0.0142817,0.011616,0.0093458,0.00744206,0.00586832,0.0045846,0.00355037,0.00272676,0.00207794,0.00157198,0.00118112,0.000881801,0.000654447,0.000483048,0.000354725,0.000259263,0.000188662,0.000136728,9.87126e-05,7.10098e-05,-0,-0,-0,-0,-0,-0,-0,-0,-7.08681,-0,-0,-0,-0,-0,-15.5125,-9.79045,-9.26659,-8.77033,-20.7542,-0,-7.44612,-28.2958,-43.8698,-35.6,-24.9747,-39.3948,-41.4585,-11.6567,-8.66553,-43.2601,-34.8036,-23.4957,-29.9341,-27.6205,-6.32536,-32.7366,-17.0044,-17.7168,-18.501,-15.4822,-52.6972,-16.9951,-8.91074,-0,-9.80122,-0,-0,-0,-0,-6.17638,-12.9108,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,4,2,5,2,6,3,10,3,8,7,10,11,12,6,7,17,12,14,7,6,6,7,6,6,5,2,3,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
