# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 07:53:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c2190e24e5.json
# init = /tmp/RtmpC8O1hA/init-b41c247079d34_2.json
# random
#   seed = 2152003
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0202_rep021_accurate_moderate/prior_sensitivity_obspair_FAST-202605300853-2-85127a.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0202_rep021_accurate_moderate/prior_sensitivity_obspair_FAST-profile-202605300853-2-4f89f7.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0885027
# Diagonal elements of inverse mass matrix:
# 0.0651045, 0.0575618, 0.0305051, 0.0165625, 0.062617, 0.0282912, 0.0376916
-547.491,0.981599,0.0885027,5,31,0,551.918,-1.4139,-2.76728,-1.62934,-0.509946,3.92998,0.123386,-1.03142,5.10076,2.48209,9.82687e-05,0.000132772,0.000179424,0.000242523,0.000327895,0.000443425,0.000599753,0.000811136,0.00109643,0.00148,0.00199239,0.00267014,0.00355487,0.00469121,0.00612393,0.00789429,0.0100357,0.0125693,0.0154988,0.0188075,0.0224555,0.0263547,0.0303917,0.0344319,0.0383261,0.0419177,0.0450512,0.0475815,0.0493843,0.0503681,0.0504861,0.0497438,0.0481978,0.0459467,0.043117,0.03985,0.036291,0.0325812,0.0288511,0.0252141,0.0217631,0.0185673,0.0156718,0.0130993,0.0108532,0.00892178,0.0072831,0.00590878,0.00476766,0.00382832,0.00306085,0.00243783,0.00193494,0.00153099,0.00120794,0.000950575,0.000746239,0.000584504,0.000456843,0.00035633,0.000277372,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.51571,-0,-0,-0,-5.36206,-5.09555,-14.5248,-9.20321,-4.3765,-12.501,-23.841,-11.3887,-14.5444,-24.4551,-23.5814,-35.8779,-28.5484,-18.5997,-39.589,-24.065,-17.9304,-47.7769,-30.0087,-30.3244,-15.4014,-18.863,-29.0037,-36.4781,-17.1201,-35.4561,-14.7214,-15.3102,-27.9045,-12.4677,-8.67039,-4.5233,-14.1578,-0,-0,-0,-0,-5.78906,-6.01665,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,1,4,2,1,2,4,5,6,7,7,5,13,13,7,7,13,7,10,9,9,6,5,6,5,6,6,10,1,5,3,1,1,3,2,2,0,1,0,0,0,0,0,0,0,0,0,0
-546.925,0.995636,0.0885027,6,63,0,549.45,-1.67527,-2.36481,-1.25799,-0.132447,3.38356,-0.460963,-1.18045,4.92512,2.24052,2.2419e-05,3.45138e-05,5.30165e-05,8.12036e-05,0.000123913,0.000188184,0.000284079,0.000425671,0.000632139,0.000928841,0.00134816,0.00192989,0.00272078,0.00377313,0.00514213,0.00688199,0.0090411,0.0116564,0.0147475,0.018312,0.0223209,0.0266861,0.0312821,0.0359491,0.0404992,0.0447268,0.0484225,0.0513898,0.0534634,0.0545267,0.0545246,0.0534706,0.0514437,0.0485777,0.0450449,0.0410372,0.0367492,0.0323638,0.0280416,0.0239149,0.0200839,0.0166168,0.0135515,0.0108994,0.00865088,0.00678006,0.00525069,0.0040208,0.00304671,0.00228603,0.0016997,0.00125314,0.000916737,0.000665859,0.000480469,0.00034461,0.000245804,0.00017444,0.000123219,8.66654e-05,6.07141e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.98157,-0,-0,-0,-5.57985,-5.27029,-14.9365,-9.41195,-4.4519,-12.65,-24.0012,-11.4067,-14.4945,-24.253,-23.2796,-35.2712,-27.9646,-18.1667,-38.5881,-23.4301,-17.4544,-46.5457,-29.2862,-29.6727,-15.123,-18.6006,-28.7395,-36.34,-17.1536,-35.7407,-14.933,-15.6313,-28.6814,-12.9038,-9.03809,-4.75009,-14.9813,-0,-0,-0,-0,-6.3773,-6.68211,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,2,0,0,2,2,4,1,10,7,9,10,14,11,9,11,6,13,11,9,8,13,8,5,4,3,2,6,2,2,4,2,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0
-546.533,0.995883,0.0885027,5,63,0,549.108,-1.37245,-2.18146,-1.33029,-0.172263,3.82858,-0.292477,-1.10333,4.86206,2.20925,2.36141e-05,3.58693e-05,5.44203e-05,8.24293e-05,0.00012457,0.000187668,0.000281548,0.000420071,0.000622318,0.000913788,0.00132737,0.00190382,0.00269138,0.00374433,0.00512021,0.0068759,0.00906242,0.0117192,0.0148678,0.0185069,0.0226078,0.0270753,0.0317759,0.0365418,0.0411772,0.04547,0.0492046,0.0521795,0.0542247,0.0552202,0.0551105,0.053913,0.0517158,0.0486658,0.0449497,0.0407727,0.0363392,0.0318384,0.027434,0.0232585,0.0194101,0.0159532,0.0129208,0.0103189,0.00813185,0.00632837,0.00486739,0.00370311,0.00278915,0.00208148,0.00154035,0.0011312,0.000824982,0.000597886,0.000430846,0.000308879,0.000220408,0.000156612,0.000110852,7.81849e-05,5.49642e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.99791,-0,-0,-0,-5.58751,-5.27456,-14.9392,-9.40724,-4.44653,-12.6257,-23.9377,-11.3684,-14.4365,-24.1433,-23.1651,-35.0886,-27.8163,-18.0706,-38.3898,-23.3169,-17.3786,-46.3746,-29.2038,-29.6199,-15.1139,-18.6133,-28.7977,-36.4634,-17.2354,-35.9597,-15.0443,-15.7678,-28.9667,-13.0467,-9.14755,-4.81197,-15.1881,-0,-0,-0,-0,-6.47575,-6.78448,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,3,0,3,5,10,7,5,8,15,11,15,10,9,9,9,10,8,7,6,11,9,10,3,2,4,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0
-547.965,0.996,0.0885027,5,63,0,548.951,-1.75918,-3.25629,-1.19259,-0.0266268,4.16893,-0.126691,-1.11229,4.9794,2.01241,8.85052e-06,1.43733e-05,2.33178e-05,3.77685e-05,6.10301e-05,9.82748e-05,0.000157455,0.000250503,0.000394777,0.000614578,0.000942492,0.0014202,0.00209839,0.00303553,0.00429508,0.00594109,0.00803203,0.0106133,0.0137091,0.0173147,0.0213908,0.0258528,0.0305764,0.0354026,0.0401455,0.0446028,0.0485684,0.051846,0.0542635,0.0556875,0.0560366,0.055292,0.0535006,0.05077,0.0472555,0.0431437,0.0386363,0.0339349,0.0292295,0.0246875,0.0204459,0.016606,0.0132308,0.0103465,0.00794706,0.00600104,0.0044599,0.00326602,0.00235966,0.00168408,0.00118874,0.000830846,0.000575602,0.00039565,0.000270059,0.000183188,0.00012357,8.2939e-05,5.54185e-05,3.68797e-05,2.44523e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.39458,-0,-0,-0,-5.79737,-5.45029,-15.3776,-9.64864,-4.54565,-12.8691,-24.3372,-11.5344,-14.6214,-24.4127,-23.3868,-35.3677,-27.9896,-18.1487,-38.4732,-23.3112,-17.328,-46.108,-28.9513,-29.2806,-14.9022,-18.3131,-28.289,-35.7892,-16.9165,-35.3258,-14.8058,-15.5599,-28.6859,-12.9756,-9.14221,-4.83495,-15.3475,-0,-0,-0,-0,-6.73486,-7.09307,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,1,1,3,0,4,5,5,5,5,8,8,10,8,14,9,12,8,13,16,10,5,8,6,6,7,6,4,2,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-550.184,0.987409,0.0885027,4,31,0,554.462,-1.34154,-3.65025,-1.11561,-0.339404,3.75599,-0.351635,-1.74629,4.96192,2.3259,6.44468e-05,9.18277e-05,0.000130733,0.000185907,0.000263942,0.000373908,0.000528114,0.000742957,0.00103979,0.00144561,0.0019934,0.00272176,0.00367372,0.00489449,0.00642813,0.00831342,0.010579,0.0132385,0.0162861,0.019693,0.0234062,0.0273373,0.0313731,0.0353789,0.039206,0.0426994,0.0457081,0.0480959,0.0497519,0.0505999,0.0506053,0.0497781,0.0481706,0.0458718,0.0429987,0.0396862,0.0360768,0.032312,0.0285232,0.0248261,0.0213154,0.0180627,0.0151158,0.0125005,0.0102228,0.00827322,0.00663087,0.00526719,0.00414971,0.00324483,0.00251995,0.00194484,0.00149252,0.00113954,0.000865983,0.000655314,0.000493982,0.000371054,0.000277811,0.000207375,0.000154362,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.53922,-0,-0,-0,-5.31965,-5.04707,-14.3697,-9.09777,-4.32463,-12.3523,-23.5649,-11.2643,-14.398,-24.2326,-23.3915,-35.6282,-28.3821,-18.5129,-39.4492,-24.0057,-17.9028,-47.7392,-30.0018,-30.3301,-15.4095,-18.8795,-29.0408,-36.5431,-17.1616,-35.5704,-14.7834,-15.3933,-28.0974,-12.576,-8.76398,-4.58314,-14.3842,-0,-0,-0,-0,-5.98352,-6.24257,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,3,2,7,2,4,10,7,9,12,8,8,2,11,5,9,11,16,7,11,8,6,8,8,3,1,7,1,2,1,1,0,2,1,2,0,0,0,0,0,0,1,0,0,0,0
-549.419,1,0.0885027,4,15,0,550.861,-1.51159,-3.6631,-1.15945,-0.312411,3.72258,-0.308372,-1.70305,5.00963,2.30378,5.18103e-05,7.45697e-05,0.000107248,0.000154085,0.000221052,0.00031647,0.000451792,0.000642502,0.000909062,0.00127776,0.00178119,0.00245817,0.00335271,0.00451196,0.00598307,0.0078089,0.0100231,0.0126449,0.015674,0.0190865,0.022833,0.0268276,0.030957,0.0350845,0.0390568,0.0427124,0.0458914,0.0484476,0.0502591,0.0512395,0.0513461,0.0505829,0.0490005,0.0466891,0.0437696,0.040383,0.0366793,0.0328075,0.0289072,0.0251011,0.0214898,0.0181494,0.0151303,0.012459,0.0101414,0.00816613,0.00651016,0.00514239,0.00402784,0.00313066,0.00241634,0.0018532,0.00141315,0.00107198,0.000809339,0.000608427,0.000455604,0.000339948,0.000252819,0.00018745,0.00013859,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.66265,-0,-0,-0,-5.40102,-5.11882,-14.5575,-9.20572,-4.3705,-12.4673,-23.7526,-11.3386,-14.4733,-24.3261,-23.45,-35.6701,-28.3794,-18.4889,-39.3546,-23.9245,-17.8275,-47.5067,-29.8414,-30.1592,-15.3212,-18.7729,-28.8841,-36.361,-17.0855,-35.4366,-14.7394,-15.3607,-28.0638,-12.5732,-8.77062,-4.59113,-14.4233,-0,-0,-0,-0,-6.0255,-6.29084,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,2,0,0,0,0,0,0,1,0,2,0,1,1,2,1,3,0,3,9,9,5,8,9,12,11,12,9,8,9,11,10,6,8,6,5,6,6,6,4,0,2,3,2,3,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0
