# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 08:15:19 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c216f3b394.json
# init = /tmp/RtmpC8O1hA/init-b41c25cf8d5e7_2.json
# random
#   seed = 2152006
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0205_rep021_mildly_wrong_moderate/prior_sensitivity_obspair_FAST-202605300915-2-442b3f.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0205_rep021_mildly_wrong_moderate/prior_sensitivity_obspair_FAST-profile-202605300915-2-304738.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.102748
# Diagonal elements of inverse mass matrix:
# 0.0872297, 0.074782, 0.0340148, 0.0248986, 0.0365629, 0.0377143, 0.0382401
-550.797,0.99537,0.102748,5,31,0,554.369,-0.718518,-3.44285,-1.21634,-0.32988,4.23482,0.396271,-0.961257,4.41925,2.06608,4.51129e-05,6.46492e-05,9.26568e-05,0.000132819,0.000190428,0.000273088,0.000391714,0.00056191,0.000805759,0.00115384,0.0016469,0.00233618,0.00328184,0.00454967,0.00620634,0.00831355,0.0109207,0.0140561,0.0177184,0.0218676,0.0264216,0.0312407,0.0361473,0.0409373,0.0453938,0.0493018,0.0524615,0.0547024,0.0558964,0.0559719,0.0549259,0.0528295,0.0498186,0.0460743,0.0418016,0.0372119,0.0325089,0.027878,0.023477,0.0194288,0.0158167,0.0126831,0.0100334,0.00784307,0.00606781,0.00465285,0.00354078,0.00267696,0.00201252,0.00150564,0.00112162,0.000832415,0.00061572,0.000454076,0.000333966,0.000245022,0.000179359,0.000131015,9.55087e-05,6.94892e-05,5.04605e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.76466,-0,-0,-0,-5.3927,-5.08218,-14.3696,-9.0342,-4.2647,-12.0995,-22.9365,-10.9007,-13.8641,-23.2411,-22.37,-34.0162,-27.0882,-17.6861,-37.776,-23.074,-17.2974,-46.4283,-29.4069,-29.9937,-15.3875,-19.0489,-29.6201,-37.6887,-17.8996,-37.5173,-15.764,-16.5868,-30.5724,-13.8055,-9.69625,-5.10476,-16.1108,-0,-0,-0,-0,-6.79298,-7.09118,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,4,2,4,9,5,10,7,4,10,12,8,14,19,7,9,17,7,10,9,6,2,3,4,5,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-550.353,1,0.102748,5,31,0,555.153,-1.26759,-3.51009,-0.714318,-0.338387,4.55734,0.135473,-1.46341,4.93409,2.03462,3.17003e-05,4.52948e-05,6.47284e-05,9.25163e-05,0.000132261,0.000189123,0.000270479,0.000386839,0.000553063,0.000789857,0.00112544,0.00159706,0.00225202,0.0031476,0.00434953,0.00592841,0.00795375,0.0104855,0.0135637,0.0171977,0.0213566,0.0259607,0.0308809,0.0359417,0.0409304,0.0456106,0.0497394,0.0530872,0.055459,0.0567139,0.0567806,0.0556659,0.0534531,0.0502904,0.0463735,0.0419258,0.0371783,0.0323519,0.027642,0.0232077,0.0191647,0.0155841,0.0124951,0.00989199,0.00774336,0.00600168,0.00461176,0.00351725,0.00266512,0.00200805,0.00150554,0.00112391,0.000835829,0.000619486,0.000457749,0.000337313,0.000247943,0.00018183,0.000133056,9.7163e-05,7.08086e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.14366,-0,-0,-0,-5.76112,-5.43769,-15.384,-9.66822,-4.55777,-12.9011,-24.3779,-11.5392,-14.6047,-24.3433,-23.281,-35.1547,-27.7885,-18.0058,-38.1657,-23.1369,-17.2184,-45.897,-28.8839,-29.2895,-14.9497,-18.4262,-28.5467,-36.2123,-17.1554,-35.8842,-15.0531,-15.8187,-29.1305,-13.1473,-9.23206,-4.86092,-15.3471,-0,-0,-0,-0,-6.4986,-6.79094,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,3,1,3,6,5,6,6,10,12,9,12,10,14,12,10,7,11,12,6,5,6,5,7,2,5,2,3,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
-550.728,0.999519,0.102748,5,31,0,553.657,-0.926107,-2.60581,-0.99191,-0.371121,5.10104,-0.00471169,-1.60417,5.2705,2.27631,4.03368e-05,5.70521e-05,8.07385e-05,0.000114335,0.000162035,0.000229818,0.000326167,0.00046301,0.000656827,0.000929789,0.0013107,0.00183541,0.0025465,0.003492,0.00472299,0.00629013,0.00823912,0.0106052,0.0134073,0.0166423,0.0202804,0.0242547,0.0284662,0.0327861,0.037062,0.0411258,0.0448048,0.0479322,0.0503592,0.0519657,0.0526704,0.0524394,0.0512899,0.0492898,0.04655,0.0432132,0.0394405,0.035399,0.0312508,0.0271441,0.023206,0.0195369,0.0162079,0.0132609,0.0107106,0.00854895,0.006751,0.00528051,0.00409561,0.00315315,0.00241191,0.00183454,0.00138852,0.0010464,0.000785575,0.000587764,0.00043842,0.000326113,0.000241949,0.000179068,0.000132216,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.98055,-0,-0,-0,-5.65728,-5.35531,-15.2063,-9.59772,-4.54641,-12.9359,-24.5748,-11.6943,-14.8766,-24.9133,-23.9242,-36.2468,-28.7201,-18.6326,-39.4936,-23.9086,-17.743,-47.0992,-29.481,-29.7026,-15.0502,-18.4034,-28.2745,-35.5626,-16.7054,-34.6571,-14.4264,-15.0534,-27.5482,-12.3668,-8.64587,-4.53653,-14.2858,-0,-0,-0,-0,-6.02734,-6.30096,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,2,4,0,2,5,6,3,10,7,7,8,10,9,12,13,10,14,4,8,10,8,11,6,7,2,5,1,3,3,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0
-549.806,0.999366,0.102748,5,63,0,553.254,-1.53787,-2.74178,-1.0019,-0.44245,4.49004,0.352484,-1.71672,5.13449,2.16688,4.30872e-05,5.94654e-05,8.20979e-05,0.000113398,0.000156731,0.000216805,0.000300233,0.000416323,0.000578185,0.000804156,0.00111946,0.00155777,0.00216229,0.00298597,0.00409051,0.00554375,0.00741477,0.00976646,0.0126456,0.0160718,0.0200269,0.0244425,0.0292013,0.0341411,0.0390631,0.0437451,0.0479557,0.0514701,0.0540881,0.0556529,0.0560715,0.0553293,0.0534912,0.050689,0.0471013,0.042935,0.0384082,0.0337354,0.0291132,0.024708,0.0206468,0.0170123,0.0138441,0.0111447,0.00888887,0.00703407,0.00552931,0.00432189,0.00336182,0.00260412,0.00200987,0.00154628,0.00118625,0.000907727,0.000692998,0.000527944,0.000401411,0.000304639,0.000230785,0.000174532,0.00013176,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.12572,-0,-0,-0,-5.81383,-5.49908,-15.5853,-9.80856,-4.6288,-13.1113,-24.7841,-11.732,-14.8457,-24.7348,-23.6408,-35.6684,-28.1644,-18.2249,-38.5678,-23.3371,-17.3317,-46.098,-28.9445,-29.2824,-14.9102,-18.3327,-28.3326,-35.8543,-16.946,-35.3656,-14.8025,-15.5208,-28.5167,-12.8397,-8.99358,-4.72296,-14.871,-0,-0,-0,-0,-6.20968,-6.4719,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2,4,2,1,3,2,6,6,11,7,12,9,8,13,7,12,7,14,10,8,9,10,10,4,3,7,4,2,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
-548.277,0.997478,0.102748,5,31,0,552.692,-1.78541,-2.62363,-1.76615,-0.295096,4.23815,0.25089,-0.589295,5.16,2.27039,3.14284e-05,4.56234e-05,6.62407e-05,9.61935e-05,0.000139717,0.000202957,0.000294784,0.000427857,0.000619879,0.000894806,0.00128363,0.00182448,0.00256181,0.00354498,0.00482589,0.00645574,0.00848073,0.0109367,0.0138433,0.0171982,0.0209728,0.0250833,0.0294155,0.0338298,0.0381677,0.04226,0.0459344,0.0490229,0.0513714,0.0528497,0.0533676,0.0528914,0.0514556,0.0491585,0.0461436,0.0425773,0.0386317,0.0344743,0.0302611,0.0261318,0.0222051,0.0185748,0.0153062,0.012436,0.00997325,0.00790439,0.00619897,0.00481635,0.00371153,0.0028396,0.0021588,0.00163208,0.00122779,0.000919575,0.000686013,0.000509947,0.000377837,0.00027912,0.000205627,0.000151096,0.000110757,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.0189,-0,-0,-0,-5.64222,-5.33376,-15.1284,-9.53992,-4.51563,-12.8399,-24.3777,-11.5936,-14.7422,-24.6836,-23.7049,-35.9234,-28.4752,-18.4833,-39.2011,-23.7494,-17.6418,-46.8888,-29.3951,-29.6704,-15.0635,-18.456,-28.4079,-35.7905,-16.8377,-34.9789,-14.5784,-15.2297,-27.9017,-12.5385,-8.77432,-4.60785,-14.521,-0,-0,-0,-0,-6.1382,-6.4179,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,2,2,2,4,4,3,10,13,12,8,8,7,7,16,9,13,13,7,11,6,10,7,5,5,4,2,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-547.93,0.999414,0.102748,5,63,0,549.794,-1.41136,-2.3943,-1.15398,-0.37292,3.90671,-0.0960449,-0.371296,4.92547,2.30925,4.3554e-05,6.1488e-05,8.68165e-05,0.000122592,0.000173125,0.00024449,0.000345214,0.000487199,0.00068687,0.000966539,0.0013558,0.0018927,0.00262425,0.00360581,0.00489908,0.00656818,0.0086742,0.0112681,0.0143827,0.0180255,0.0221718,0.0267218,0.0315325,0.0364218,0.0411775,0.0455697,0.0493673,0.0523573,0.0543651,0.0552755,0.0550475,0.05372,0.0514037,0.0482637,0.0444972,0.0403125,0.0359122,0.0314805,0.027174,0.0231162,0.0193954,0.0160659,0.0131509,0.0106485,0.00853766,0.00678471,0.00534894,0.00418716,0.00325705,0.00251932,0.00193894,0.00148559,0.00113368,0.000862012,0.000653308,0.000493663,0.000372013,0.000279632,0.000209692,0.00015689,0.000117127,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.94179,-0,-0,-0,-5.62521,-5.31871,-15.0766,-9.4948,-4.48578,-12.7252,-24.0958,-11.4268,-14.4891,-24.1972,-23.1881,-35.0885,-27.7966,-18.0508,-38.3456,-23.2963,-17.3726,-46.3929,-29.2397,-29.6805,-15.1554,-18.674,-28.8998,-36.5935,-17.2919,-36.055,-15.0689,-15.7709,-28.9174,-12.9938,-9.08467,-4.76327,-14.9792,-0,-0,-0,-0,-6.24562,-6.51195,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,3,1,5,3,4,7,7,13,12,8,3,11,10,10,11,8,9,8,12,11,6,5,6,6,6,2,1,2,0,2,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0
