# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 08:56:35 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c24f0ecee3.json
# init = /tmp/RtmpC8O1hA/init-b41c2461b3554_1.json
# random
#   seed = 2152011
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0210_rep021_manuscript_default/prior_sensitivity_obspair_FAST-202605300956-1-3e1dec.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0210_rep021_manuscript_default/prior_sensitivity_obspair_FAST-profile-202605300956-1-4784d5.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.045233
# Diagonal elements of inverse mass matrix:
# 0.113323, 0.10168, 0.142115, 0.129885, 0.59777, 0.0931414, 0.227377
-550.647,0.982777,0.045233,7,127,0,556.836,-0.811195,-2.09547,-1.8393,1.39568,3.7175,-0.849423,-1.5662,4.71925,2.23695,5.24306e-06,1.26632e-05,2.82617e-05,5.86299e-05,0.000113777,0.000207859,0.00035969,0.000592932,0.000935916,0.00142105,0.00208382,0.00296139,0.00409084,0.00550714,0.00724094,0.0093163,0.0117486,0.0145426,0.0176912,0.0211747,0.0249604,0.0289242,0.0329314,0.036841,0.0405107,0.043803,0.0465904,0.0487614,0.0502261,0.0509212,0.0508144,0.0499075,0.048238,0.045878,0.0429311,0.0395254,0.0358045,0.0319157,0.0279992,0.0241778,0.0205508,0.0171915,0.0141483,0.0114479,0.00909944,0.00709773,0.00542652,0.00406107,0.00297061,0.00212056,0.00147479,0.000997488,0.000654897,0.000416564,0.000256194,0.000152038,8.68878e-05,4.77222e-05,2.51421e-05,1.26827e-05,6.11534e-06,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.55636,-0,-0,-0,-5.20171,-4.928,-14.028,-8.88805,-4.23067,-12.1041,-23.1297,-11.0714,-14.1723,-23.8933,-23.108,-35.2681,-28.1525,-18.3982,-39.2706,-23.9298,-17.8649,-47.6732,-29.9758,-30.3161,-15.4088,-18.889,-29.0773,-36.6265,-17.2233,-35.7558,-14.8893,-15.5394,-28.4434,-12.7745,-8.9399,-4.69954,-14.8439,-0,-0,-0,-0,-6.51924,-6.91027,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,3,2,2,0,5,3,1,6,9,9,6,10,7,12,8,8,7,16,6,8,6,11,10,3,7,4,3,6,4,2,5,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
-553.497,0.999758,0.045233,6,63,0,555.02,-3.76575,-3.36301,-1.25296,1.13558,2.89861,-1.09609,0.173616,5.21006,2.11361,1.6915e-06,3.97993e-06,8.87819e-06,1.87994e-05,3.78524e-05,7.26303e-05,0.000133134,0.000233755,0.000394189,0.000640155,0.00100372,0.00152313,0.00224191,0.00320724,0.00446753,0.00606923,0.00805307,0.01045,0.0132774,0.0165354,0.0202046,0.0242176,0.0284789,0.0328655,0.0372318,0.041415,0.0452435,0.048547,0.0511677,0.052972,0.0538623,0.0537862,0.0527435,0.0507871,0.0480199,0.0445854,0.040654,0.0364074,0.0320238,0.027665,0.0234685,0.0195431,0.0159675,0.0127921,0.010041,0.00771571,0.0057989,0.0042587,0.00305316,0.00213474,0.00145428,0.000964382,0.000621958,0.000389773,0.000237168,0.000140017,8.01508e-05,4.44625e-05,2.38916e-05,1.2431e-05,6.26151e-06,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.3538,-0,-0,-0,-5.74235,-5.41092,-15.3136,-9.6434,-4.56115,-12.9651,-24.6135,-11.7055,-14.8827,-24.9102,-23.9073,-36.1965,-28.657,-18.5742,-39.3279,-23.7812,-17.628,-46.7412,-29.2274,-29.4232,-14.9006,-18.2168,-27.9931,-35.2292,-16.5649,-34.4128,-14.3504,-15.0084,-27.5459,-12.4116,-8.71786,-4.60108,-14.5935,-0,-0,-0,-0,-6.53325,-6.94402,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,4,3,2,5,3,4,6,7,8,7,11,6,9,9,11,6,22,8,12,7,12,6,4,4,4,3,4,3,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
-551.539,0.999408,0.045233,6,63,0,555.189,-2.87441,-2.09934,-2.09436,1.01431,2.36877,-0.9056,0.292701,5.13806,2.26098,3.96622e-06,8.80338e-06,1.85086e-05,3.69102e-05,6.99683e-05,0.00012642,0.000218387,0.000361871,0.000577065,0.000888437,0.00132454,0.00191758,0.00270266,0.00371689,0.00499829,0.0065847,0.00851292,0.0108188,0.0135403,0.0167293,0.0205018,0.0246668,0.0290693,0.0335543,0.0379614,0.0421245,0.0458761,0.0490536,0.0515078,0.0531131,0.0537783,0.0534573,0.0521576,0.0499444,0.0469379,0.043304,0.0392377,0.0349416,0.0306049,0.0263869,0.0224081,0.0187488,0.0154551,0.012546,0.0100218,0.00786967,0.00606783,0.00458812,0.00339778,0.00246122,0.00174154,0.00120225,0.000808728,0.000529478,0.00033702,0.000208349,0.000124987,7.27017e-05,4.09781e-05,2.23705e-05,1.18243e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.02605,-0,-0,-0,-5.59487,-5.29866,-15.069,-9.53234,-4.52647,-12.9062,-24.5436,-11.6617,-14.8092,-24.7665,-23.7621,-35.983,-28.5041,-18.4909,-39.193,-23.7282,-17.612,-46.7662,-29.2887,-29.5348,-14.9842,-18.3536,-28.2556,-35.6193,-16.7704,-34.866,-14.5395,-15.1933,-27.8364,-12.5095,-8.7567,-4.60299,-14.5342,-0,-0,-0,-0,-6.35298,-6.72356,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,3,2,2,4,5,2,7,6,9,12,8,9,11,10,11,10,7,9,9,5,7,4,13,6,7,4,2,5,1,0,1,0,2,1,2,0,0,0,0,0,0,0,0,0,0
-552.129,0.998911,0.045233,7,127,0,558.264,-0.928349,-3.4946,-1.04181,0.622093,3.34221,-1.11926,-2.97981,4.84273,2.22449,1.19885e-05,2.27434e-05,4.19171e-05,7.50015e-05,0.000130233,0.000219436,0.000358859,0.000569862,0.000879308,0.00131948,0.00192741,0.00274349,0.00380936,0.00516521,0.0068465,0.00888046,0.0112827,0.014054,0.017178,0.0206199,0.0243262,0.0282048,0.0321437,0.0360154,0.0396829,0.0430069,0.0458541,0.0481056,0.0496649,0.0504648,0.0504723,0.0496909,0.0481607,0.0459544,0.0431725,0.0399349,0.0363727,0.0326194,0.0288029,0.0250393,0.0214277,0.0180475,0.0149572,0.0121946,0.00977779,0.00770803,0.00597233,0.00454688,0.00340039,0.00249734,0.00180078,0.00127466,0.000885536,0.000603745,0.000403932,0.000265196,0.000170863,0.000108042,6.7061e-05,4.08664e-05,2.44565e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.63052,-0,-0,-0,-5.26581,-4.98402,-14.1717,-8.96897,-4.26485,-12.1924,-23.289,-11.1486,-14.2731,-24.0628,-23.2667,-35.4952,-28.3176,-18.4937,-39.4466,-24.0197,-17.9189,-47.7813,-30.0193,-30.3321,-15.4005,-18.8553,-28.9845,-36.4533,-17.1142,-35.4728,-14.7492,-15.3723,-28.1032,-12.6077,-8.81353,-4.62764,-14.5965,-0,-0,-0,-0,-6.31953,-6.66508,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,4,3,2,2,4,7,11,10,7,8,9,12,8,15,10,11,16,14,8,2,4,9,4,2,2,1,2,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
-551.555,0.999196,0.045233,6,63,0,557.728,-1.18128,-1.23987,-0.785287,0.277417,4.34114,-0.924425,0.546211,5.26775,2.35104,8.83296e-06,1.52906e-05,2.60401e-05,4.35785e-05,7.16022e-05,0.000115434,0.000182536,0.000283096,0.000430683,0.000642923,0.000942147,0.00135589,0.00191708,0.00266368,0.00363769,0.004884,0.0064514,0.00840227,0.0108423,0.0139795,0.0185178,0.023427,0.028554,0.0337615,0.038904,0.0437918,0.0481979,0.0518842,0.0546325,0.0562724,0.0567047,0.0559165,0.0539849,0.0510679,0.0473821,0.0431728,0.0386837,0.0341311,0.029689,0.0254846,0.0216011,0.0180858,0.0149589,0.0122213,0.00985993,0.00785301,0.00617235,0.00478596,0.00365978,0.00275927,0.00205067,0.0015021,0.00108436,0.000771474,0.000540983,0.000373963,0.000254894,0.000171358,0.000113663,7.44199e-05,4.81179e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.34949,-0,-0,-0,-5.92805,-5.61641,-15.9654,-10.0869,-4.77925,-13.5729,-25.621,-11.9671,-15.0155,-24.8917,-23.719,-35.7132,-28.1548,-18.1946,-38.4636,-23.257,-17.2653,-45.9184,-28.839,-29.1905,-14.873,-18.2971,-28.2829,-35.7757,-16.8877,-35.1698,-14.6787,-15.3401,-28.0884,-12.6073,-8.80916,-4.61928,-14.5406,-0,-0,-0,-0,-6.18959,-6.50089,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2,1,1,2,3,4,4,1,6,6,8,10,13,16,11,8,8,15,11,8,12,6,3,3,5,9,5,5,1,1,2,0,1,0,1,2,0,0,0,0,0,1,0,0,0,0
-551.685,0.999912,0.045233,6,127,0,552.427,-1.1754,-1.20259,-0.708996,0.248774,4.24197,-0.928115,0.52159,5.20627,2.32422,8.34456e-06,1.43771e-05,2.44062e-05,4.07743e-05,6.69724e-05,0.000108069,0.000171229,0.00026633,0.000406649,0.000609609,0.000897513,0.00129817,0.00184525,0.0025781,0.00354094,0.00478183,0.00635389,0.00832485,0.0108047,0.0139964,0.0185537,0.0235724,0.0288756,0.0342915,0.0396449,0.044721,0.0492703,0.053035,0.055783,0.0573395,0.0576127,0.0566075,0.0544261,0.051253,0.0473277,0.0429116,0.0382561,0.033579,0.0290516,0.0247964,0.0208921,0.0173815,0.0142804,0.0115855,0.00927946,0.00733609,0.00572304,0.00440456,0.00334349,0.00250291,0.00184754,0.00134469,0.000965045,0.000682979,0.000476733,0.000328285,0.000223082,0.000149648,9.91377e-05,6.48879e-05,4.19807e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.40269,-0,-0,-0,-5.9607,-5.64336,-16.0288,-10.1174,-4.78851,-13.5833,-25.6137,-11.9613,-14.9907,-24.8133,-23.61,-35.5057,-27.9658,-18.0626,-38.1784,-23.0903,-17.1526,-45.6642,-28.7161,-29.1091,-14.8549,-18.304,-28.3375,-35.898,-16.9693,-35.3868,-14.7882,-15.4735,-28.3665,-12.7466,-8.91601,-4.67995,-14.7448,-0,-0,-0,-0,-6.2939,-6.61159,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,4,4,2,8,5,11,9,7,13,10,11,13,12,13,10,12,12,8,10,3,3,6,2,1,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
