# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 08:56:35 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c24f0ecee3.json
# init = /tmp/RtmpC8O1hA/init-b41c2461b3554_3.json
# random
#   seed = 2152011
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0210_rep021_manuscript_default/prior_sensitivity_obspair_FAST-202605300956-3-3e1dec.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0210_rep021_manuscript_default/prior_sensitivity_obspair_FAST-profile-202605300956-3-4784d5.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0261513
# Diagonal elements of inverse mass matrix:
# 0.106624, 0.0750057, 0.12602, 0.255027, 0.271759, 0.103086, 0.238266
-547.649,0.998799,0.0261513,7,127,0,549.981,-1.7337,-2.98848,-0.916007,-0.499776,4.17324,0.148373,-0.365178,5.23712,2.35371,6.06851e-05,8.22541e-05,0.000111518,0.000151246,0.000205217,0.000278602,0.000378486,0.000514585,0.000700203,0.000953453,0.00129869,0.00176799,0.00240222,0.0032514,0.00437368,0.00583262,0.00769226,0.01001,0.0128274,0.0161608,0.0199914,0.0242518,0.028829,0.0335666,0.0382735,0.0427357,0.0467311,0.0500472,0.0524993,0.0539503,0.0543268,0.0536273,0.0519192,0.0493268,0.0460157,0.0421757,0.0380057,0.0336981,0.0294259,0.0253328,0.0215266,0.018078,0.0150232,0.0123692,0.0101015,0.00819128,0.00660127,0.00529121,0.00422109,0.00335335,0.00265416,0.00209381,0.00164687,0.00129184,0.00101086,0.00078919,0.000614824,0.00047802,0.000370937,0.000287298,0.000222098,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.95542,-0,-0,-0,-5.72867,-5.43215,-15.4329,-9.73508,-4.60417,-13.0685,-24.751,-11.7374,-14.8771,-24.8246,-23.7596,-35.893,-28.3745,-18.3801,-38.9323,-23.5756,-17.5182,-46.6038,-29.257,-29.5807,-15.0464,-18.4726,-28.4932,-35.9702,-16.9516,-35.2588,-14.7026,-15.3539,-28.0914,-12.5945,-8.7851,-4.59507,-14.4141,-0,-0,-0,-0,-5.93163,-6.16877,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,2,3,1,2,5,5,8,7,6,9,9,14,6,12,10,13,15,7,9,8,5,11,4,5,3,6,4,0,3,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
-550.36,0.999628,0.0261513,7,127,0,553.41,-1.4999,-2.53949,-2.45765,0.490908,5.91418,0.879479,-2.18849,5.23564,1.97729,8.56916e-07,1.93956e-06,4.38864e-06,9.91665e-06,2.22956e-05,4.93447e-05,0.000105159,0.000210457,0.000390864,0.000675354,0.00109555,0.00168547,0.00248149,0.00352222,0.00484818,0.00650089,0.00852079,0.0109427,0.0137874,0.0170501,0.0206891,0.0245966,0.0286397,0.0326818,0.0365977,0.0402775,0.0436224,0.0465408,0.0489437,0.0507439,0.0518556,0.0521967,0.0516944,0.0502983,0.0480122,0.0449462,0.0413199,0.0373666,0.0332676,0.0291533,0.0251196,0.021241,0.0175787,0.0141863,0.0111122,0.0084008,0.00609043,0.00420782,0.00275795,0.00171344,0.00101276,0.000573571,0.000313824,0.000167126,8.71446e-05,4.46893e-05,2.26126e-05,1.13169e-05,5.612e-06,2.76137e-06,1.34965e-06,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.30027,-0,-0,-0,-5.64866,-5.32915,-15.1074,-9.53049,-4.51509,-12.852,-24.4296,-11.6344,-14.8206,-24.8707,-23.9466,-36.3855,-28.9077,-18.7931,-39.8765,-24.1367,-17.8858,-47.3487,-29.5274,-29.6241,-14.9489,-18.2178,-27.9206,-35.0505,-16.4349,-34.0317,-14.1407,-14.7364,-26.9628,-12.1232,-8.51096,-4.49971,-14.3383,-0,-0,-0,-0,-6.89508,-7.46363,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,3,1,3,2,4,0,4,6,7,7,10,7,10,11,14,10,13,12,9,9,11,6,4,9,7,6,0,2,5,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-550.618,0.995589,0.0261513,6,127,0,554.631,-1.67103,-1.49465,-2.88496,-0.309957,4.06203,0.943728,-0.912342,4.75407,2.22993,2.41366e-05,3.48609e-05,5.03701e-05,7.28211e-05,0.000105367,0.000152643,0.000221514,0.00032225,0.000470333,0.000688981,0.00101145,0.001481,0.00214866,0.00307145,0.00431148,0.00593513,0.00801168,0.0106105,0.0137965,0.0176233,0.022127,0.0271367,0.0324575,0.0378786,0.0431812,0.0481413,0.0525277,0.0560978,0.0585948,0.059757,0.0593702,0.0573993,0.0540845,0.0498153,0.0449688,0.0398533,0.0347073,0.0297129,0.0250091,0.0207003,0.0168601,0.0135299,0.0107163,0.0083938,0.00651352,0.00501503,0.00383576,0.00291711,0.0022075,0.00166321,0.00124824,0.000933532,0.00069595,0.000517328,0.000383527,0.00028363,0.000209271,0.000154072,0.000113199,8.30017e-05,6.07386e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.2803,-0,-0,-0,-5.78561,-5.44647,-15.3806,-9.65371,-4.54591,-12.85,-24.2312,-11.4329,-14.4275,-23.9948,-22.9136,-34.5658,-27.3025,-17.6785,-37.4486,-22.6969,-16.9048,-45.1834,-28.5772,-29.1721,-14.9972,-18.6107,-29.003,-36.9689,-17.5809,-36.8851,-15.5104,-16.3312,-30.12,-13.608,-9.56052,-5.03387,-15.8859,-0,-0,-0,-0,-6.68602,-6.97654,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,5,1,2,9,4,7,11,6,8,11,12,8,11,11,10,6,18,5,6,9,6,3,5,8,4,5,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
-550.343,0.997193,0.0261513,7,127,0,557.251,0.094767,-1.22402,-1.07957,0.560451,4.17457,-1.1899,-1.70041,4.72974,2.46956,3.01049e-05,5.0819e-05,8.36074e-05,0.000134149,0.000210124,0.000321681,0.000481957,0.000707656,0.00101965,0.00144354,0.00201014,0.00275562,0.00372129,0.00495267,0.00649779,0.00840458,0.0107175,0.0134734,0.0166974,0.0203981,0.024565,0.0290054,0.0335153,0.037891,0.0419401,0.0454899,0.0483934,0.0505356,0.0518364,0.052254,0.0517865,0.0504713,0.0483831,0.045629,0.042341,0.0386672,0.034761,0.030771,0.0268315,0.0230557,0.019531,0.0163181,0.0134524,0.0109464,0.00879473,0.00697857,0.0054699,0.00423552,0.00324013,0.00244867,0.00182797,0.00134774,0.00098119,0.000705191,0.000500203,0.000350065,0.000241648,0.000164485,0.000110373,7.29935e-05,4.75668e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.54066,-0,-0,-0,-5.30783,-5.03629,-14.3369,-9.07175,-4.30703,-12.2775,-23.3539,-11.1193,-14.1611,-23.7703,-22.9113,-34.8866,-27.8124,-18.1703,-38.806,-23.6773,-17.7098,-47.37,-29.8635,-30.286,-15.4361,-18.972,-29.2749,-36.9518,-17.4059,-36.1818,-15.0794,-15.743,-28.8083,-12.9258,-9.0295,-4.7336,-14.8947,-0,-0,-0,-0,-6.30455,-6.60933,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,2,4,3,10,12,4,6,6,11,4,14,9,3,12,14,3,10,12,8,5,7,8,4,3,4,1,4,4,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-553.461,0.999529,0.0261513,7,127,0,555.228,-4.09891,-3.75514,-1.92949,-0.459281,2.21096,-0.0673301,0.246713,4.94351,2.54489,7.24829e-05,9.94058e-05,0.000136324,0.00018694,0.000256319,0.00035137,0.000481492,0.000659397,0.000902133,0.00123226,0.00167907,0.00227953,0.00307862,0.00412857,0.00548656,0.00721097,0.00935624,0.0119669,0.0150711,0.0186757,0.022762,0.0272226,0.0319093,0.0366364,0.0411882,0.0453319,0.0488361,0.0514945,0.0531521,0.0537262,0.0532157,0.0516953,0.0492995,0.0462005,0.0425887,0.0386553,0.0345783,0.0305135,0.0265882,0.0228985,0.01951,0.01646,0.0137629,0.0114143,0.00939667,0.00768403,0.00624545,0.00504825,0.0040601,0.00325046,0.00259141,0.00205807,0.00162873,0.00128476,0.00101037,0.000792334,0.000619707,0.000483476,0.00037629,0.000292189,0.000226371,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.6989,-0,-0,-0,-5.48982,-5.20545,-14.7965,-9.34342,-4.42561,-12.5849,-23.8832,-11.348,-14.4148,-24.114,-23.147,-35.0856,-27.8437,-18.1157,-38.5616,-23.4768,-17.5431,-46.9344,-29.6239,-30.0984,-15.3738,-18.937,-29.2777,-37.0098,-17.4479,-36.2729,-15.1067,-15.7473,-28.7477,-12.8573,-8.94579,-4.6674,-14.6058,-0,-0,-0,-0,-5.95555,-6.18599,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,3,1,4,5,5,6,2,8,5,13,9,11,8,11,12,10,12,6,9,12,6,6,6,8,3,3,1,4,0,0,2,1,0,2,0,0,1,0,0,0,0,0,0,0,0
-551.813,0.996518,0.0261513,7,127,0,557.604,-4.2189,-3.72985,-1.99692,0.00744835,3.3347,-0.173388,0.0318346,5.22311,2.14341,8.41799e-06,1.38817e-05,2.28511e-05,3.75179e-05,6.13655e-05,9.98318e-05,0.000161202,0.000257709,0.000406742,0.000631963,0.0009641,0.00144119,0.00210809,0.00301519,0.00421609,0.00576424,0.00770856,0.0100882,0.0129268,0.0162275,0.0199687,0.02408,0.0284597,0.0329773,0.0374785,0.0417921,0.0457378,0.0491355,0.0518161,0.0536341,0.0544822,0.0543056,0.053113,0.0509779,0.0480283,0.04443,0.0403666,0.0360236,0.0315769,0.0271848,0.0229824,0.0190779,0.0155497,0.0124458,0.00978506,0.00756066,0.00574522,0.00429706,0.00316645,0.00230126,0.0016513,0.00117117,0.000821886,0.000571253,0.000393617,0.000269101,0.000182677,0.000123218,8.26328e-05,5.51251e-05,3.6599e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.36668,-0,-0,-0,-5.80409,-5.46885,-15.4682,-9.73085,-4.59639,-13.0454,-24.7263,-11.7408,-14.9055,-24.9149,-23.8836,-36.1239,-28.5754,-18.509,-39.1713,-23.6804,-17.5534,-46.5581,-29.1313,-29.3533,-14.8818,-18.2158,-28.0246,-35.3073,-16.6179,-34.5533,-14.4204,-15.0921,-27.7146,-12.4911,-8.77275,-4.6269,-14.6544,-0,-0,-0,-0,-6.40619,-6.74975,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,2,2,2,1,7,4,8,8,8,7,12,5,8,14,9,12,15,10,9,5,9,6,4,5,1,5,2,2,3,0,4,2,1,0,2,0,2,0,0,0,0,0,0,0,0
