# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 09:34:37 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c236315dd.json
# init = /tmp/RtmpC8O1hA/init-b41c25b556f22_2.json
# random
#   seed = 2252005
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0214_rep022_mildly_wrong_weak/prior_sensitivity_obspair_FAST-202605301034-2-40b76c.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0214_rep022_mildly_wrong_weak/prior_sensitivity_obspair_FAST-profile-202605301034-2-22a07a.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.104411
# Diagonal elements of inverse mass matrix:
# 0.108467, 0.0718067, 0.168632, 0.0351047, 0.15619, 0.132268, 0.186662
-541.75,0.998898,0.104411,5,31,0,545.191,-1.93305,-1.87559,-1.24784,-0.458232,2.49392,-0.426433,-0.664878,4.94983,2.57318,7.22704e-05,9.90848e-05,0.000135813,0.00018609,0.000254851,0.000348779,0.000476872,0.000651163,0.000887587,0.00120699,0.0016362,0.00220902,0.00296693,0.0039592,0.00524203,0.00687646,0.00892479,0.0114456,0.0144876,0.0180828,0.0222401,0.0268528,0.0317597,0.0367491,0.0415703,0.0459533,0.049636,0.0523935,0.0540664,0.0545793,0.0539463,0.0522622,0.0496838,0.0464053,0.0426355,0.0385771,0.0344132,0.030298,0.0263528,0.0226655,0.0192937,0.0162679,0.0135973,0.0112744,0.00927989,0.00758705,0.00616499,0.00498135,0.00400429,0.00320373,0.00255215,0.00202503,0.00160091,0.00126135,0.000990709,0.000775871,0.000605964,0.000472044,0.000366814,0.000284361,0.000219922,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.53171,-10.5021,-0,-4.71892,-13.4104,-16.9379,-12.0384,-26.641,-14.4695,-20.6973,-13.2146,-22.2626,-36.9615,-18.0182,-29.4897,-32.093,-31.9891,-40.8767,-32.4663,-33.0228,-39.9144,-22.0855,-29.2959,-16.8466,-13.9867,-10.9085,-26.5084,-23.6879,-16.4742,-8.59577,-8.97044,-9.35981,-14.6439,-15.2666,-5.30205,-0,-0,-0,-0,-0,-0,-6.91709,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,2,2,0,3,3,6,6,9,7,8,11,8,6,12,11,12,20,8,8,8,7,7,4,2,3,2,3,1,4,3,2,1,0,0,0,1,0,3,0,1,0,0,0,0,0,0
-542.185,0.990582,0.104411,5,63,0,544.286,-2.33344,-2.40898,-1.53184,-0.31107,4.65752,1.19172,-0.399346,5.27933,2.12092,1.74682e-05,2.52098e-05,3.63907e-05,5.2548e-05,7.59158e-05,0.000109753,0.000158835,0.000230214,0.000334392,0.000487114,0.000711563,0.00103974,0.00151277,0.0021813,0.00310585,0.0043565,0.00601114,0.00815086,0.0108507,0.0141637,0.0180997,0.0225885,0.0274978,0.0326536,0.0378598,0.042909,0.0475855,0.0516669,0.0549255,0.0571347,0.0580915,0.0576926,0.0560151,0.05325,0.0496187,0.0453437,0.0406403,0.0357144,0.0307617,0.0259665,0.0214949,0.0174793,0.0139978,0.0110684,0.00866115,0.00671892,0.00517418,0.00395962,0.00301362,0.00228259,0.00172149,0.00129333,0.00096828,0.000722628,0.000537732,0.000399073,0.000295431,0.000218196,0.000160799,0.00011825,8.67834e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.12783,-11.5489,-0,-5.11414,-14.4289,-18.0941,-12.7712,-28.083,-15.1613,-21.5619,-13.6872,-22.917,-37.7841,-18.2714,-29.6294,-31.9196,-31.4858,-39.8403,-31.3789,-31.7035,-38.1258,-21.0237,-27.8414,-16.015,-13.3288,-10.4445,-25.5566,-23.0396,-16.1869,-8.5377,-9.00732,-9.49782,-15.0085,-15.7922,-5.53161,-0,-0,-0,-0,-0,-0,-7.52815,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,4,4,2,2,4,4,7,4,9,8,10,9,10,10,17,13,12,7,8,7,6,9,10,6,1,1,4,4,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-542.827,0.940751,0.104411,4,31,0,545.48,-1.29666,-2.46371,-1.9343,-0.163762,4.3027,0.389831,-0.14497,4.70596,2.14705,1.82961e-05,2.79838e-05,4.28095e-05,6.55068e-05,0.000100267,0.000153507,0.000234998,0.000359413,0.000548172,0.000831075,0.00124695,0.00184295,0.00267282,0.0037946,0.00526788,0.00715028,0.00949289,0.0123345,0.0156955,0.0195717,0.0239317,0.028611,0.033435,0.0382178,0.042769,0.0468999,0.0504297,0.0531901,0.0550314,0.055833,0.0555215,0.0540964,0.0516486,0.048351,0.0444196,0.0400745,0.0355168,0.0309225,0.0264416,0.0221992,0.0182947,0.0148003,0.0117587,0.0091829,0.00705821,0.00534794,0.00400115,0.00296078,0.00217023,0.0015778,0.00113903,0.000817264,0.000583263,0.000414307,0.000293066,0.000206531,0.000145058,0.000101571,7.0922e-05,4.93928e-05,3.43154e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.57418,-10.4923,-0,-4.65721,-13.1861,-16.6175,-11.801,-26.1279,-14.2159,-20.3889,-13.0578,-22.0636,-36.7169,-17.923,-29.3388,-31.8984,-31.7393,-40.4738,-32.0869,-32.5962,-39.3805,-21.7985,-28.9531,-16.6887,-13.9051,-10.8984,-26.6539,-24.0069,-16.8524,-8.88633,-9.38082,-9.90713,-15.6931,-16.5635,-5.8223,-0,-0,-0,-0,-0,-0,-8.13511,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,2,3,4,5,2,2,4,7,13,6,11,9,6,14,15,11,11,6,11,14,4,10,5,1,7,2,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-542.796,0.9958,0.104411,4,31,0,545.184,-2.2735,-2.45496,-1.1563,-0.186565,4.78815,0.624666,-0.623768,5.37609,1.95771,7.07973e-06,1.07263e-05,1.62559e-05,2.46466e-05,3.73924e-05,5.67827e-05,8.63432e-05,0.000131525,0.000200762,0.000306952,0.000469261,0.000714967,0.00108121,0.00161664,0.00238258,0.00345323,0.00491378,0.0068551,0.00936368,0.0125064,0.0163127,0.0207513,0.0257279,0.0310891,0.0366334,0.0421257,0.0473104,0.0519232,0.0557038,0.0584107,0.0598462,0.0598942,0.0585592,0.0559658,0.0523182,0.0478592,0.0428453,0.0375319,0.0321624,0.0269578,0.0221056,0.017748,0.0139724,0.0108083,0.0082346,0.00619357,0.00460861,0.00339857,0.00248734,0.00180874,0.00130798,0.000941277,0.000674485,0.000481466,0.000342503,0.000242889,0.000171756,0.000121137,8.52273e-05,5.98257e-05,4.19038e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.4274,-12.0791,-0,-5.31571,-14.9483,-18.6837,-13.1445,-28.8107,-15.5006,-21.9611,-13.8836,-23.1476,-38.0052,-18.3062,-29.5799,-31.7648,-31.2428,-39.4237,-30.9669,-31.2149,-37.4792,-20.6529,-27.3554,-15.7508,-13.1303,-10.3109,-25.2944,-22.8715,-16.1259,-8.54135,-9.05487,-9.59882,-15.2527,-16.1395,-5.6844,-0,-0,-0,-0,-0,-0,-7.97923,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,0,2,0,3,4,2,5,2,9,7,9,12,8,8,18,13,14,9,16,12,8,7,6,3,5,2,2,1,2,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-541.801,0.994623,0.104411,4,15,0,544.855,-1.4957,-2.4987,-2.20472,-0.390999,4.41815,0.78745,-0.95843,4.99392,2.31405,5.09575e-05,7.15078e-05,0.000100371,0.000140934,0.000197986,0.000278321,0.000391601,0.000551593,0.000777784,0.00109705,0.00154427,0.00216111,0.00299373,0.00409068,0.00550088,0.00727106,0.0094424,0.0120457,0.0150954,0.0185827,0.0224708,0.0266512,0.030989,0.0353322,0.0395216,0.0433979,0.0468057,0.0495962,0.0516299,0.0527831,0.0529625,0.0521365,0.0503648,0.0477853,0.0445696,0.0408918,0.0369166,0.0327964,0.0286702,0.0246628,0.0208826,0.0174166,0.0143247,0.0116364,0.00935147,0.00744651,0.00588345,0.00461752,0.00360316,0.00279754,0.00216248,0.00166503,0.00127751,0.00097707,0.000745129,0.000566741,0.000430004,0.000325511,0.000245879,0.000185346,0.000139436,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.49904,-10.4057,-0,-4.66254,-13.2571,-16.7735,-11.9566,-26.5688,-14.4997,-20.8447,-13.3718,-22.6164,-37.6481,-18.3705,-30.0384,-32.6002,-32.3572,-41.1344,-32.4928,-32.8731,-39.5335,-21.7749,-28.7714,-16.4955,-13.6697,-10.6557,-25.9172,-23.213,-16.2013,-8.49154,-8.90724,-9.34444,-14.7,-15.4068,-5.3779,-0,-0,-0,-0,-0,-0,-7.20195,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,2,1,7,4,4,6,7,5,13,9,7,20,15,13,10,7,8,8,9,8,4,3,5,3,3,3,2,6,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
-545.847,0.868683,0.104411,3,15,0,548.155,-2.13453,-2.68193,-2.39173,-0.452913,4.71773,0.723564,-1.11119,5.69313,2.52762,6.41869e-05,8.82672e-05,0.000121412,0.00016706,0.000229977,0.000316774,0.000436632,0.000602216,0.000830645,0.00114402,0.00156911,0.00213638,0.00287911,0.00383239,0.00503207,0.00651311,0.00830715,0.0104392,0.0129233,0.0157578,0.0189215,0.0223502,0.0259591,0.0296489,0.0333119,0.036836,0.0401086,0.0430173,0.0454514,0.0473034,0.0484739,0.0488841,0.0484989,0.0473475,0.0455152,0.043115,0.0402675,0.0370913,0.0336998,0.0302003,0.0266933,0.0232715,0.0200171,0.0169982,0.0142639,0.011842,0.00973883,0.00794328,0.00643231,0.00517607,0.00414216,0.00329853,0.0026152,0.00206525,0.00162511,0.00127458,0.000996643,0.000777137,0.000604392,0.000468885,0.000362901,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.56427,-10.5838,-0,-4.79064,-13.6866,-17.3949,-12.4513,-27.7722,-15.2037,-21.9074,-14.0733,-23.8129,-39.6153,-19.297,-31.4615,-34.0022,-33.5629,-42.3742,-33.2013,-33.2884,-39.6531,-21.628,-28.295,-16.0611,-13.1775,-10.1708,-24.4993,-21.74,-15.0421,-7.82234,-8.1493,-8.50004,-13.3083,-13.8949,-4.83543,-0,-0,-0,-0,-0,-0,-6.42218,-0,-0,-0,-0,-0,-0,0,0,0,0,1,0,0,0,0,1,0,0,2,1,2,2,2,0,2,2,5,2,4,5,3,7,14,8,12,5,13,10,13,9,5,10,13,5,6,10,5,4,2,6,0,3,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0
