# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 09:43:16 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c26cbae014.json
# init = /tmp/RtmpC8O1hA/init-b41c210e2eb79_3.json
# random
#   seed = 2252006
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0215_rep022_mildly_wrong_moderate/prior_sensitivity_obspair_FAST-202605301043-3-5196cf.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0215_rep022_mildly_wrong_moderate/prior_sensitivity_obspair_FAST-profile-202605301043-3-55108a.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.120013
# Diagonal elements of inverse mass matrix:
# 0.093327, 0.0646037, 0.0278989, 0.0176929, 0.0392429, 0.0309651, 0.0330131
-546.712,0.965113,0.120013,5,31,0,548.472,-1.02968,-2.01551,-1.17906,-0.506576,4.18329,1.04637,-0.951408,4.58499,2.14933,4.54824e-05,6.15657e-05,8.33807e-05,0.000113008,0.000153313,0.000208275,0.000283468,0.000386798,0.000529673,0.000728902,0.00100974,0.00141011,0.00198397,0.0028018,0.00394889,0.00552226,0.00762522,0.0103583,0.0138055,0.0180139,0.0229718,0.0285497,0.0345332,0.0406417,0.0465531,0.0519279,0.0564288,0.0597405,0.0615937,0.0618111,0.0603857,0.0575046,0.0534599,0.0485754,0.0431754,0.0375681,0.0320328,0.0268055,0.0220639,0.0179132,0.014386,0.0114565,0.00906421,0.00713471,0.00559265,0.00436882,0.00340288,0.00264386,0.00204963,0.00158585,0.00122486,0.000944528,0.000727283,0.000559235,0.000429452,0.000329366,0.00025228,0.000192977,0.0001474,0.000112406,8.55594e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.87749,-11.0686,-0,-4.87629,-13.7099,-17.1308,-12.0498,-26.4144,-14.2244,-20.195,-12.8118,-21.4701,-35.4948,-17.2487,-28.1775,-30.6591,-30.6204,-39.298,-31.4148,-32.2171,-39.3203,-21.9974,-29.5344,-17.205,-14.4766,-11.4414,-28.1555,-25.449,-17.8768,-9.40684,-9.88557,-10.3726,-16.2998,-17.0494,-5.93551,-0,-0,-0,-0,-0,-0,-7.753,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,3,3,4,8,1,10,4,9,9,14,12,13,10,12,13,9,10,7,6,7,4,10,6,1,1,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-546.208,0.999168,0.120013,5,31,0,548.601,-1.28535,-1.28018,-0.885164,-0.378389,4.43462,-0.408962,-0.838084,5.30383,2.39089,1.29723e-05,1.82956e-05,2.58184e-05,3.64645e-05,5.15594e-05,7.30172e-05,0.000103623,0.000147464,0.000210583,0.000301978,0.000435077,0.000629832,0.000915529,0.0013342,0.00194425,0.00282351,0.00407059,0.00580312,0.00815192,0.0112503,0.0152189,0.0200581,0.0256864,0.0319276,0.038509,0.0450731,0.0512053,0.056475,0.060487,0.0629349,0.0636463,0.062608,0.0599647,0.05599,0.0510387,0.0454929,0.0397147,0.0340122,0.0286219,0.0237046,0.019351,0.0155937,0.0124216,0.00979403,0.00765298,0.00593294,0.0045679,0.0034959,0.00266158,0.00201721,0.00152282,0.00114563,0.000859253,0.000642729,0.000479608,0.0003571,0.000265341,0.000196771,0.00014563,0.00010755,7.9235e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.61942,-12.4858,-0,-5.50397,-15.4481,-19.238,-13.4621,-29.2965,-15.6365,-21.9708,-13.7771,-22.798,-37.1936,-17.8315,-28.7396,-30.8586,-30.4222,-38.5618,-30.4795,-30.954,-37.4736,-20.8262,-27.8118,-16.1302,-13.5241,-10.6607,-26.1946,-23.6701,-16.6436,-8.77664,-9.25196,-9.74532,-15.3817,-16.1661,-5.65616,-0,-0,-0,-0,-0,-0,-7.64254,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3,2,8,7,9,12,9,14,14,13,10,17,14,12,14,7,8,6,2,7,3,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
-550.275,0.996745,0.120013,5,31,0,552.203,-0.333902,-2.84368,-0.772754,-0.89366,4.59027,1.32104,-1.11744,5.37746,2.73823,0.000201312,0.00024801,0.000305828,0.000377565,0.000466807,0.000578193,0.000717795,0.000893678,0.00111675,0.00140209,0.00177093,0.00225311,0.00288788,0.00372281,0.00481224,0.00621533,0.00799313,0.0102041,0.0128968,0.0160979,0.0197966,0.0239257,0.0283649,0.0329517,0.0374951,0.0417865,0.0456107,0.0487578,0.05104,0.052312,0.0525006,0.0516282,0.0497975,0.0471619,0.0439032,0.0402132,0.0362815,0.0322859,0.0283837,0.0247022,0.0213272,0.0183007,0.0156298,0.0132992,0.0112824,0.00954801,0.00806355,0.00679784,0.00572195,0.00480969,0.00403777,0.00338569,0.00283556,0.00237188,0.00198135,0.00165259,0.00137593,0.00114316,0.000947384,0.000782783,0.000644504,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.59328,-10.6732,-0,-4.82917,-13.7549,-17.4031,-12.3872,-27.4557,-14.9312,-21.3756,-13.6508,-22.9848,-38.1022,-18.5257,-30.2089,-32.7266,-32.4558,-41.257,-32.6006,-32.9977,-39.7042,-21.8804,-28.922,-16.5822,-13.7325,-10.6858,-25.9061,-23.0866,-16.0033,-8.31716,-8.6401,-8.96902,-13.9543,-14.4612,-4.99115,-0,-0,-0,-0,-0,-0,-6.22398,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,3,0,6,1,4,11,5,11,12,10,10,14,9,17,13,10,4,9,8,4,5,5,3,3,3,0,4,2,1,4,0,0,1,0,3,1,0,0,0,0,0,0,0,0
-549.068,0.992,0.120013,6,63,0,556.031,-2.03672,-2.84377,-1.46534,0.137866,2.9682,-0.525299,-0.546912,4.72822,2.10455,7.32475e-06,1.27546e-05,2.20776e-05,3.79285e-05,6.45504e-05,0.000108604,0.000180229,0.000294334,0.000471997,0.000741773,0.00114062,0.00171411,0.00251563,0.00360436,0.00504185,0.00688738,0.00919234,0.011994,0.0153095,0.0191305,0.02342,0.0280707,0.0329374,0.0378407,0.0425758,0.0469233,0.0506641,0.053596,0.0555515,0.0564157,0.0561389,0.0547442,0.0523253,0.049035,0.0450678,0.0406382,0.0359614,0.0312367,0.0266373,0.0223023,0.0183347,0.0148013,0.0117348,0.00913859,0.00699236,0.00525854,0.00388868,0.00282926,0.00202655,0.00143009,0.00099501,0.000683128,0.000463179,0.000310409,0.000205787,0.000135068,8.78371e-05,5.66385e-05,3.62374e-05,2.30193e-05,1.45271e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.62561,-10.58,-0,-4.68939,-13.27,-16.7171,-11.8694,-26.2792,-14.2921,-20.4789,-13.0975,-22.0953,-36.7109,-17.8952,-29.2628,-31.7949,-31.6251,-40.319,-31.9559,-32.453,-39.1979,-21.6971,-28.8274,-16.6266,-13.8646,-10.8763,-26.6215,-23.9937,-16.8522,-8.89039,-9.3905,-9.92587,-15.7437,-16.6491,-5.86774,-0,-0,-0,-0,-0,-0,-8.48867,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,3,1,4,2,5,8,6,4,9,6,5,15,13,9,19,14,11,10,4,7,8,8,4,6,2,4,0,0,0,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0
-547.042,0.993832,0.120013,5,31,0,551.064,-0.420606,-2.46781,-1.06295,-0.801752,4.94858,0.966852,-1.12095,5.36054,2.67523,0.000156984,0.000197332,0.000248337,0.000312985,0.000395204,0.00050022,0.000635102,0.000809578,0.0010373,0.00133765,0.00173759,0.00227231,0.00298397,0.00391984,0.00513005,0.00666498,0.00857189,0.0108904,0.0136461,0.0168429,0.0204539,0.0244015,0.0285711,0.032819,0.0369833,0.0408938,0.044381,0.0472844,0.0494606,0.0507923,0.0512019,0.0506714,0.0492542,0.0470591,0.0442257,0.0409081,0.0372652,0.0334524,0.0296155,0.0258839,0.0223648,0.0191362,0.0162435,0.0137011,0.0114994,0.00961368,0.00801186,0.00665964,0.0055236,0.00457279,0.0037794,0.003119,0.00257037,0.00211534,0.00173843,0.00142656,0.00116876,0.000955806,0.000780029,0.000635041,0.000515549,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.5417,-10.5453,-0,-4.75927,-13.5596,-17.1772,-12.2515,-27.2271,-14.8524,-21.3322,-13.667,-23.081,-38.3613,-18.6897,-30.5157,-33.0724,-32.7801,-41.6077,-32.8063,-33.1184,-39.7326,-21.8291,-28.7678,-16.4485,-13.5905,-10.5584,-25.5789,-22.8016,-15.8247,-8.24013,-8.58056,-8.93092,-13.9337,-14.4805,-5.01169,-0,-0,-0,-0,-0,-0,-6.35478,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,2,0,1,2,3,8,3,4,6,4,8,11,8,10,12,7,9,10,13,8,15,6,6,3,6,5,4,5,4,2,4,2,1,0,1,1,0,0,0,0,0,0,0,1,0,0
-542.907,0.999165,0.120013,5,31,0,550.381,-3.02665,-2.8761,-1.21758,-0.525225,2.98604,0.300974,-0.808988,5.09655,2.51398,6.88917e-05,9.26225e-05,0.00012454,0.000167477,0.000225255,0.000303032,0.00040778,0.000548928,0.000739241,0.000995986,0.00134245,0.00180972,0.00243861,0.00328095,0.00439966,0.00586669,0.00775827,0.0101472,0.0130921,0.0166247,0.0207373,0.0253565,0.0303482,0.0355198,0.0406282,0.045396,0.0495336,0.0527709,0.0548962,0.055789,0.0554337,0.0539096,0.0513699,0.048019,0.0440875,0.0398103,0.0354052,0.0310572,0.0269099,0.0230631,0.0195762,0.0164755,0.0137618,0.0114187,0.00941834,0.00772724,0.00630954,0.00512973,0.0041542,0.00335214,0.00269607,0.00216185,0.00172864,0.00137864,0.00109683,0.000870622,0.000689559,0.000545006,0.000429876,0.000338383,0.000265825,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.71962,-10.8525,-0,-4.859,-13.7717,-17.343,-12.2906,-27.1307,-14.6989,-20.9701,-13.3507,-22.423,-37.108,-18.0306,-29.4179,-31.9254,-31.748,-40.4959,-32.1249,-32.6557,-39.4701,-21.851,-29.0127,-16.7045,-13.8877,-10.8458,-26.3867,-23.6006,-16.4235,-8.57171,-8.94501,-9.33019,-14.589,-15.1971,-5.2727,-0,-0,-0,-0,-0,-0,-6.81533,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,2,2,1,4,5,3,4,9,11,6,13,14,9,12,7,8,7,13,11,11,3,7,4,6,5,3,6,4,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0
